Gene name	Number of transposons per gene	Number of reads per gene
TFC3	31	340
EFB1	1	0
MAK16	0	0
PRP45	69	2233
POP5	5	38
YAL034C-B	40	1414
MTW1	21	180
CDC19	9	132
CDC24	16	256
PTA1	31	330
RFA1	8	60
SEN34	13	169
CDC15	25	854
HTA2	46	1750
UTP20	25	451
RRN6	43	996
POP8	13	44
RFT1	16	126
MCM2	22	132
LSM2	1	0
PET9	5	7
STU1	41	948
POL12	31	639
ERD2	15	166
PRE7	3	22
SEC17	6	80
YBL073W	22	704
AAR2	40	610
ILS1	12	114
YBL077W	15	538
CDC27	18	204
RPL32	0	0
BRN1	21	382
SFT2	11	153
PKC1	28	345
RER2	37	1643
GPI18	17	231
HHF1	14	157
IPP1	18	241
SCO2	38	803
CDS1	7	43
CHS2	44	806
REB1	22	191
PRP6	36	599
TSC3	1	0
ORC2	21	464
ALG14	3	3
RPG1	32	598
SEC18	7	102
RFC5	6	16
POL30	8	106
YBR089W	7	80
TIM12	1	0
EXO84	44	980
CMD1	1	0
ALG1	6	55
GRS1	1	0
TFC1	15	196
YBR124W	16	416
CKS1	1	0
MEC1	28	572
IRA1	57	671
MAK5	13	183
SUP45	2	9
SPP381	19	129
RIB7	2	5
RPB5	4	5
CNS1	3	30
AMN1	31	653
CDC28	3	31
POP7	2	25
YBR190W	18	309
RIM2	8	46
MED8	1	0
PGI1	5	12
TAF5	7	52
MCM7	19	263
AME1	14	202
DAD3	0	0
ARC40	5	56
ABD1	17	255
PRP5	12	214
ALG7	1	0
ENP1	5	28
DUT1	5	65
SRB6	5	25
TRS20	5	35
RIB5	5	35
POP4	7	51
TSC10	3	2
PGS1	96	2390
NFS1	12	134
RRP7	6	37
YCL041C	26	90
PDI1	28	670
PBN1	13	328
SPB1	30	434
KRR1	4	6
HMLALPHA2	1	0
PGK1	4	54
YCR013C	7	162
RRP43	5	19
MATALPHA2	1	0
RSC6	9	53
CTR86	14	177
PWP2	33	431
RSA4	12	137
CDC39	54	1007
HMRA2	0	0
MCD1	17	326
ATP16	20	306
RPT2	6	23
APC11	18	693
SLX5	32	295
NOP1	3	2
TSC13	0	0
YDL016C	12	113
CDC7	22	464
MPS1	26	413
ARP2	2	1
PRP9	10	41
DBP10	18	227
PRP11	4	48
FAD1	4	7
PSA1	10	108
USO1	59	1025
TSR1	11	138
UBC9	8	101
COX9	5	75
SUB2	6	47
LUC7	12	57
SRP14	20	1557
RPN6	28	476
SNU23	9	121
POL3	23	581
QRI1	9	126
NSE4	4	19
KIN28	13	74
RRP42	8	202
