Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	14	214
YAL068W-A	2	2
PAU8	20	186
YAL067W-A	10	68
SEO1	51	1674
YAL066W	13	304
YAL065C	22	616
YAL064W-B	22	268
TDA8	9	200
YAL064W	10	93
YAL063C-A	6	27
FLO9	169	4155
GDH3	172	7890
BDH2	87	3567
BDH1	50	1342
YAL059C-A	22	555
ECM1	27	728
CNE1	72	2392
YAL056C-A	23	677
GPB2	125	4312
PEX22	24	660
ACS1	93	2805
FLC2	71	1687
OAF1	100	2510
AIM2	24	986
GEM1	81	1884
YAL047W-A	27	384
SPC72	14	201
BOL3	11	164
YAL045C	9	174
BOL1	11	320
GCV3	38	1086
PTA1	31	330
YAL042C-A	38	1360
ERV46	123	4354
CDC24	16	256
CLN3	35	398
CYC3	178	7420
CDC19	9	132
YAL037C-B	3	2
YAL037C-A	12	356
YAL037W	43	832
RBG1	72	1980
FUN12	21	549
YAL034C-B	40	1414
MTW1	21	180
FUN19	64	958
POP5	5	38
PRP45	69	2233
YAL031W-A	17	472
GIP4	85	2356
SNC1	16	353
MYO4	152	4573
FRT2	95	1928
SAW1	46	1236
YAL026C-A	17	378
DRS2	111	1726
MAK16	0	0
LTE1	49	774
PMT2	109	2459
FUN26	82	3227
CCR4	87	1712
ATS1	96	3775
YAL019W-A	75	4024
FUN30	90	1776
LDS1	32	592
PSK1	160	5181
YAL016C-B	16	53
YAL016C-A	16	437
TPD3	8	80
NTG1	116	4522
SYN8	63	2102
DEP1	66	1082
CYS3	22	237
SWC3	96	1633
MDM10	18	110
SPO7	37	636
FUN14	48	2199
ERP2	61	2362
SSA1	192	4185
YAL004W	40	748
EFB1	1	0
VPS8	348	16854
TFC3	31	340
NUP60	241	10223
ERP1	138	7117
SWD1	129	5213
RFA1	8	60
SEN34	13	169
BUD14	152	5258
ADE1	5	78
KIN3	64	1193
CDC15	25	854
YAR019W-A	55	3322
PAU7	6	55
YAR023C	65	2642
UIP3	44	976
YAR028W	54	1813
YAR029W	3	2
YAR030C	10	143
PRM9	45	1086
MST28	76	2170
YAT1	319	14198
YAR035C-A	14	71
SWH1	139	3432
YAR047C	6	16
FLO1	193	4137
YAR053W	7	69
YAR060C	22	445
YAR064W	23	375
YAR066W	26	410
YAR068W	12	81
YAR069C	7	30
YAR070C	8	61
PHO11	22	249
IMD1	22	928
YAR075W	7	71
YBL113C	117	829
YBL113W-A	45	303
YBL112C	31	120
YBL111C	325	4616
YBL109W	27	404
PAU9	11	68
YBL108W	20	532
YBL107W-A	9	11
MIX23	19	284
SRO77	48	1019
PKC1	28	345
SEA4	115	3368
RTG3	21	412
SFT2	11	153
ECM21	76	2424
YBL100W-C	13	131
YBL100C	3	5
ATP1	18	136
BNA4	53	1440
BRN1	21	382
YBL096C	25	342
MRX3	26	526
YBL094C	5	5
ROX3	14	151
RPL32	0	0
SCS22	10	120
MAP2	47	1194
MRP21	16	444
AVT5	50	1015
TEL1	164	3241
RPL23A	26	497
YBL086C	17	176
BOI1	76	1810
CDC27	18	204
YBL083C	10	147
ALG3	41	875
YBL081W	17	390
PET112	42	967
NUP170	52	1600
ATG8	1	0
YBL077W	15	538
ILS1	12	114
SSA3	95	2078
AAR2	40	610
YBL073W	22	704
RPS8A	24	159
YBL071C-B	3	28
KTI11	11	203
YBL071C	7	45
YBL070C	4	29
AST1	30	882
YBL068W-A	0	0
PRS4	18	542
UBP13	31	679
SEF1	81	1770
YBL065W	23	364
PRX1	30	656
KIP1	107	3490
YBL062W	9	160
SKT5	44	660
YEL1	57	1880
CMC2	0	0
YBL059W	13	327
SHP1	52	1283
PTH2	27	781
PTC3	25	769
YBL055C	52	1243
TOD6	44	1022
YBL053W	7	82
SAS3	87	1461
PIN4	30	687
SEC17	6	80
MOH1	11	125
RRT1	10	32
EDE1	87	2308
PSY4	51	1416
COR1	24	467
YBL044W	55	3780
ECM13	32	371
FUI1	62	1641
PRE7	3	22
ERD2	15	166
YBL039W-B	3	61
URA7	62	2365
YBL039C-A	2	1
MRPL16	33	379
APL3	92	2033
YBL036C	26	627
POL12	31	639
STU1	41	948
RIB1	10	138
HEK2	46	1477
SHE1	38	841
PET9	5	7
YBL029C-A	12	42
YBL029W	62	2060
YBL028C	9	327
RPL19B	15	161
LSM2	1	0
RRN10	2	2
NCL1	81	1788
MCM2	22	132
PIM1	82	1275
HAP3	20	257
RFT1	16	126
APN2	108	3331
POP8	13	44
PEP1	176	4513
FUS3	101	3032
ACH1	116	3901
RRN6	43	996
FMT1	243	18601
YBL012C	41	1466
SCT1	152	4864
YBL010C	61	1976
ALK2	162	7037
YBL008W-A	24	91
HIR1	156	4540
SLA1	62	886
LDB7	22	517
YBL006W-A	6	53
PDR3	175	4571
UTP20	25	451
HTA2	46	1750
HTB2	100	5743
ECM15	87	5293
NTH2	415	17620
RER2	37	1643
COQ1	155	5319
GPI18	17	231
RCR1	132	7893
UGA2	172	8558
DSF2	313	18165
FLR1	185	5492
HHF1	14	157
HHT1	36	855
IPP1	18	241
YBR012C	19	199
YBR013C	43	1311
GRX7	19	758
MNN2	68	2005
YBR016W	28	576
KAP104	20	535
GAL7	13	242
GAL10	39	813
GAL1	24	297
FUR4	54	1884
POA1	40	1438
CHS3	57	1428
SCO2	38	803
OLA1	55	1482
ETR1	22	271
YBR027C	26	880
YPK3	60	757
CDS1	7	43
RKM3	24	573
RPL4A	33	428
YBR032W	43	879
EDS1	106	2084
HMT1	53	1275
PDX3	27	505
CSG2	20	339
SCO1	37	743
CHS2	44	806
ATP3	15	270
FIG1	8	148
FAT1	41	715
CST26	41	541
QDR3	40	935
TCM62	45	1339
GIP1	47	904
ZTA1	34	579
FMP23	27	832
RPS11B	23	335
REB1	22	191
REG2	43	853
YBR051W	7	69
RFS1	12	400
YBR053C	32	1037
YRO2	30	573
PRP6	36	599
YBR056W	29	605
YBR056W-A	15	156
YBR056C-B	12	136
MUM2	23	680
UBP14	38	628
TSC3	1	0
AKL1	58	1932
ORC2	21	464
TRM7	32	1133
YBR062C	9	295
YBR063C	21	236
YBR064W	5	21
ECM2	42	580
NRG2	18	308
TIP1	5	7
BAP2	33	740
TAT1	19	197
ALG14	3	3
YBR071W	39	987
HSP26	11	139
YBR072C-A	16	811
RDH54	58	891
PFF1	71	2046
ECM8	29	517
YBR076C-A	12	506
SLM4	14	32
ECM33	41	741
RPG1	32	598
SEC18	7	102
SPT7	61	947
UBC4	32	794
TEC1	26	310
MIS1	53	1799
RPL19A	23	611
AAC3	15	266
YBR085C-A	4	17
IST2	47	630
RFC5	6	16
POL30	8	106
YBR089W	7	80
NHP6B	6	60
YBR090C	32	259
TIM12	1	0
PHO3	27	904
PHO5	24	700
PBY1	53	859
RXT2	18	134
YBR096W	4	3
VPS15	22	236
MMS4	48	735
YBR099C	13	233
FES1	4	66
EXO84	44	980
SIF2	18	347
YBR103C-A	23	309
YMC2	39	559
VID24	27	693
PHO88	16	437
IML3	11	139
AIM3	59	1697
CMD1	1	0
YBR109W-A	31	961
ALG1	6	55
YSA1	22	265
SUS1	3	28
CYC8	12	137
YBR113W	4	8
RAD16	62	1703
LYS2	66	1114
YBR116C	17	275
TKL2	42	1025
TEF2	33	656
MUD1	16	166
CBP6	7	18
GRS1	1	0
YBR121C-A	0	0
MRPL36	9	322
TFC1	15	196
YBR124W	16	416
PTC4	26	734
TPS1	20	207
YBR126W-A	26	720
YBR126W-B	18	488
VMA2	9	135
ATG14	33	668
OPY1	12	219
SHE3	10	166
CCZ1	24	159
YBR131C-A	0	0
AGP2	23	248
HSL7	61	1250
YBR134W	40	903
CKS1	1	0
MEC1	28	572
YBR137W	17	195
YBR138C	35	1052
YBR139W	47	900
IRA1	57	671
BMT2	20	149
YBR141W-A	1	0
MAK5	13	183
SUP45	2	9
YBR144C	28	1527
ADH5	21	612
MRPS9	18	126
RTC2	22	870
YSW1	36	558
ARA1	23	416
TBS1	55	977
APD1	17	304
SPP381	19	129
RIB7	2	5
RPB5	4	5
CNS1	3	30
SLI15	16	215
ICS2	13	144
AMN1	31	653
IFA38	9	122
CDC28	3	31
CSH1	4	19
TOS1	29	858
YSY6	1	0
EXO5	25	233
ARL1	7	140
UBS1	7	120
TYR1	9	68
POP7	2	25
PEX32	13	59
SSE2	22	354
NPL4	25	613
SEC66	8	91
SMY2	27	459
UMP1	6	18
YBR174C	11	686
SWD3	9	115
ECM31	16	247
EHT1	35	472
YBR178W	24	467
FZO1	43	664
DTR1	30	410
RPS6B	9	64
SMP1	25	356
YBR182C-A	2	1
YPC1	20	459
YBR184W	21	230
MBA1	9	82
PCH2	43	1436
GDT1	6	66
NTC20	14	151
RPS9B	2	1
YBR190W	18	309
RPL21A	6	20
YBR191W-A	0	0
RIM2	8	46
MED8	1	0
AIM4	7	25
MSI1	23	567
PGI1	5	12
YBR196C-A	23	249
YBR196C-B	14	200
YBR197C	94	4765
TAF5	7	52
KTR4	17	259
BEM1	10	124
YBR200W-A	0	0
DER1	7	63
YBR201C-A	4	87
MCM7	19	263
COS111	46	955
LDH1	18	270
KTR3	16	185
YBR206W	6	11
FTH1	26	657
DUR1,2	103	2747
YBR209W	40	602
ERV15	5	72
AME1	14	202
NGR1	28	382
MET8	59	1604
SDS24	39	1164
HPC2	25	249
YBP1	27	538
ATG12	7	61
PYC2	88	2191
YBR219C	51	1868
YBR220C	49	1621
PDB1	19	400
YBR221W-A	23	706
PCS60	79	2698
TDP1	52	1870
YBR223W-A	11	441
YBR224W	36	748
YBR225W	17	93
YBR226C	2	4
MCX1	13	216
SLX1	15	246
ROT2	45	770
OM14	3	4
YBR230W-A	9	91
SWC5	28	407
YBR232C	9	33
PBP2	32	495
DAD3	0	0
ARC40	5	56
VHC1	63	1421
ABD1	17	255
PRP5	12	214
YBR238C	23	364
ERT1	83	1689
THI2	51	1529
YBR241C	78	2761
YBR242W	23	620
ALG7	1	0
GPX2	5	114
ISW1	65	1361
RRT2	25	401
ENP1	5	28
HIS7	38	681
ARO4	15	166
SPO23	37	536
MRPS5	17	293
DUT1	5	65
SRB6	5	25
TRS20	5	35
MTC4	36	685
YBR255C-A	5	214
RIB5	5	35
POP4	7	51
SHG1	8	54
YBR259W	39	968
RGD1	40	937
TAE1	15	225
MIC12	13	153
SHM1	21	519
YPT10	9	68
TSC10	3	2
REI1	22	312
SLM6	5	41
MRPL37	6	99
SDH8	7	83
BIT2	21	272
EFM2	21	535
HSM3	19	241
UBX7	19	168
CHK1	24	280
RIF1	56	1073
PPS1	49	1238
YBR277C	14	68
DPB3	16	480
PAF1	8	22
SAF1	29	395
DUG2	63	927
MRPL27	9	40
SSH1	23	298
YBR284W	64	1856
YBR285W	2	4
APE3	52	1230
YBR287W	30	707
APM3	21	245
SNF5	35	646
BSD2	8	130
CTP1	57	2390
YBR292C	7	15
VBA2	30	980
SUL1	37	971
PCA1	78	1467
PHO89	37	1008
YBR296C-A	4	4
MAL33	41	1371
MAL31	43	867
YBR298C-A	18	170
MAL32	51	1439
YBR300C	6	13
PAU24	16	176
COS2	28	298
YCL076W	1	0
GEX1	57	876
VBA3	25	549
YCL068C	17	175
HMLALPHA2	1	0
HMLALPHA1	8	11
YCL065W	7	15
CHA1	15	300
VAC17	35	682
MRC1	21	400
KRR1	4	6
FYV5	23	625
ADF1	16	362
MIC10	17	458
PRD1	56	1469
PEX34	15	127
KAR4	17	324
RDT1	0	0
