Gene name	Number of transposons per gene	Number of reads per gene
TFC3	56	340
EFB1	6	7
MAK16	12	46
PRP45	22	179
POP5	3	3
YAL034C-B	20	95
MTW1	26	98
CDC19	27	202
CDC24	59	551
PTA1	44	256
RFA1	7	7
SEN34	16	101
CDC15	46	391
HTA2	13	33
UTP20	85	840
RRN6	60	471
POP8	13	79
RFT1	25	100
MCM2	34	178
LSM2	7	50
PET9	19	95
STU1	92	686
POL12	31	158
ERD2	30	206
PRE7	10	31
SEC17	14	80
YBL073W	23	165
AAR2	29	156
ILS1	45	414
YBL077W	15	156
CDC27	47	582
RPL32	5	4
BRN1	51	362
SFT2	6	18
PKC1	72	1154
RER2	29	142
GPI18	31	186
HHF1	6	26
IPP1	23	184
SCO2	13	39
CDS1	37	291
CHS2	64	851
REB1	61	361
PRP6	43	273
TSC3	4	3
ORC2	43	254
ALG14	12	84
RPG1	57	576
SEC18	37	352
RFC5	7	20
POL30	6	14
YBR089W	4	6
TIM12	4	3
EXO84	83	1520
CMD1	1	0
ALG1	9	41
GRS1	2	1
TFC1	15	71
YBR124W	7	12
CKS1	8	50
MEC1	117	1254
IRA1	110	1055
MAK5	45	484
SUP45	26	121
SPP381	13	68
RIB7	5	5
RPB5	9	37
CNS1	13	49
AMN1	36	314
CDC28	14	89
POP7	4	15
YBR190W	8	104
RIM2	4	3
MED8	14	33
PGI1	15	89
TAF5	45	275
MCM7	31	404
AME1	5	21
DAD3	1	0
ARC40	31	463
ABD1	21	171
PRP5	44	342
ALG7	10	51
ENP1	9	47
DUT1	3	18
SRB6	4	4
TRS20	8	67
RIB5	11	15
POP4	11	31
TSC10	30	231
PGS1	25	181
NFS1	24	128
RRP7	28	385
YCL041C	19	118
PDI1	58	951
PBN1	23	136
SPB1	67	681
KRR1	14	98
HMLALPHA2	4	4
PGK1	2	2
YCR013C	4	49
RRP43	4	5
MATALPHA2	0	0
RSC6	24	193
CTR86	43	348
PWP2	53	714
RSA4	39	434
CDC39	96	1134
HMRA2	1	0
MCD1	23	182
ATP16	5	4
RPT2	56	258
APC11	18	164
SLX5	26	86
NOP1	8	30
TSC13	15	84
YDL016C	7	45
CDC7	36	251
MPS1	69	791
ARP2	7	6
PRP9	25	108
DBP10	26	346
PRP11	14	86
FAD1	9	40
PSA1	9	46
USO1	85	411
TSR1	59	510
UBC9	14	64
COX9	9	47
SUB2	12	81
LUC7	2	2
SRP14	21	177
RPN6	43	552
SNU23	9	44
POL3	51	436
QRI1	15	81
NSE4	15	80
KIN28	11	130
RRP42	12	73
YFH1	5	43
CDC48	44	533
CDC53	50	458
SCM3	13	160
RPO21	85	695
BPL1	42	315
CCT4	23	127
COP1	28	149
RPN5	22	123
NOP14	62	379
RPC53	21	120
YDL152W	11	22
SAS10	21	82
CLB3	36	462
YDL163W	8	133
CDC9	51	384
CDC36	22	123
FAP7	10	32
NUS1	7	18
SEC31	58	730
YDL196W	20	109
HEM3	46	515
GLE1	12	15
NHP2	3	3
CWC2	18	88
SHR3	7	91
TIM22	9	78
CDC13	45	295
YDL221W	25	135
YPD1	0	0
YRB1	2	1
PSF1	4	3
DAD1	3	2
FAL1	19	126
SES1	9	43
KRS1	47	551
RSM10	2	9
HEM13	9	16
RPC11	5	6
BAP3	39	181
HEM12	53	587
TPI1	0	0
DBF4	32	355
YDR053W	5	8
CDC34	17	67
MAK21	44	315
LCB2	28	223
RPS13	11	54
PDC2	24	127
STN1	29	176
SSS1	0	0
RRP1	8	34
SLU7	18	88
RLI1	17	28
PDS1	7	11
APC4	36	302
INO2	36	284
DOP1	60	458
TAF12	13	75
CTH1	10	17
SSY1	11	35
SEC1	45	267
SEC5	157	2379
TAF10	13	59
CDC37	32	297
SEC7	96	798
SUP35	22	147
UBC1	9	28
SCC2	72	462
CDC1	27	248
YDR187C	6	12
CCT6	50	574
SLY1	21	97
RVB1	17	84
CAB5	6	7
SPC19	8	12
MSS4	60	421
GCD6	30	248
TCP1	26	123
HTB1	10	94
PCF11	13	67
COX20	23	102
HEM1	48	542
RTN1	4	4
PRP42	6	22
FMN1	5	17
SEC26	59	718
SNU56	10	100
PRP28	23	287
TRS23	14	81
CIA1	36	537
RRP45	16	63
NSE3	26	124
SRP101	30	242
BFR2	10	57
CFT1	96	777
GPI11	11	41
RSC3	24	133
SRB7	6	63
TFB1	29	336
UTP4	20	98
YCG1	44	237
YDR327W	8	51
SKP1	10	44
GPI8	32	148
FCF1	1	0
YDR341C	31	258
TRR1	2	1
YDR355C	6	52
SPC110	33	136
BCP1	28	243
TFC6	49	359
ESF1	16	56
KEI1	4	24
FRQ1	7	29
ARH1	15	70
YRA1	21	106
SAC7	23	123
UBA2	14	62
RPT3	18	129
YDR396W	10	64
NCB2	9	63
UTP5	14	33
RPB7	1	0
TRS120	72	661
RRP17	0	0
YDR413C	0	0
SYF1	40	183
RPL12B	7	15
RPN9	22	88
TIF35	6	9
GPI17	38	413
GPI19	4	3
UTP6	27	198
GUK1	0	0
TFB3	13	53
SPP41	46	239
TLG1	8	18
UGO1	23	103
TRS31	27	114
PRP3	40	493
SNM1	8	46
RIB3	11	45
SLD5	34	461
SEC20	6	5
LCD1	22	95
PSP1	15	86
SMT3	8	29
YDR526C	3	2
RBA50	20	126
CAB1	27	333
WBP1	16	52
MMS21	10	17
SNU13	0	0
MCM3	55	459
HYP2	20	173
UTR5	37	157
POL5	46	378
PCM1	31	358
PMI40	29	185
YND1	183	3597
NUG1	36	180
SEC3	191	4496
NTF2	7	6
PRE1	20	123
PRP22	68	574
BIM1	49	475
SPC25	15	56
RPN3	52	631
SRB4	39	241
PRO3	12	65
GCD11	11	81
ARB1	22	87
KRE29	8	52
SAH1	40	580
ISD11	3	2
FCY21	31	110
YOS1	4	3
UTP7	16	108
TSC11	64	443
PUP3	13	36
RTT105	23	314
MAM1	4	7
LSM4	0	0
RSP5	26	141
NSA2	18	98
LCP5	18	104
GLC7	14	226
GDI1	35	234
LSM5	1	0
SCC4	63	836
SPT15	22	221
COG3	30	137
BUR6	14	47
PAB1	20	81
CCA1	29	260
RAD3	40	381
BRR2	104	1087
SPB4	32	405
SEC4	43	122
SMC1	37	205
CDC4	50	407
GNA1	10	114
SMX2	1	0
FRS2	50	549
EPL1	49	322
CAK1	24	319
MOB2	11	28
TUB2	54	404
YPT1	14	52
ACT1	29	290
SEC53	0	0
NIC96	37	275
YPI1	9	36
RPN11	18	119
SAD1	23	162
ECO1	21	93
CDC14	43	266
PTR3	52	492
SMC2	64	644
RSC8	28	163
KEG1	12	56
PRE4	39	302
RET2	107	1188
RPN12	31	170
ERG26	30	106
PMA1	37	256
SCL1	23	152
PUF4	68	659
JAC1	17	82
STT3	72	889
RPL30	4	23
HEM2	11	28
RNA15	15	49
ALG13	9	8
RPT6	8	19
OLE1	16	79
DUO1	14	87
ALG2	27	106
MNP1	5	7
YGL069C	5	7
HSF1	60	548
YGL074C	17	171
MPS2	25	227
NBP35	28	348
NUP145	45	564
SPC105	34	238
SRM1	31	250
USE1	3	2
LSG1	16	53
YGL102C	12	44
RPL28	19	105
NSA1	20	93
TAF6	0	0
SLD3	53	585
CDC20	37	294
PRP43	53	492
NAB2	33	280
RPS2	2	1
CWC23	0	0
CEG1	5	8
SEC27	44	246
GPI10	27	312
TIP20	37	205
INO80	116	1383
CDC43	23	213
CUP2	32	379
SUA5	26	135
ROK1	24	101
NUP49	21	182
ATG1	42	189
MCM6	97	604
SPT16	42	304
VRG4	17	96
SEC15	39	222
CSE1	46	354
YGL239C	3	3
GUS1	30	179
BRR6	8	23
SWC4	43	245
TFG2	18	37
SEC9	23	92
SNU71	46	214
THG1	8	120
ERV1	11	73
POP6	6	7
TAM41	9	13
TFC4	55	310
UFD1	14	123
ERG25	20	193
VHT1	47	467
YGR073C	0	0
SMD1	0	0
PRP38	2	1
TOM20	8	35
GCD2	19	90
UTP22	22	119
PRP31	22	237
VAS1	81	850
RRP46	6	26
ESP1	43	209
TEL2	28	157
NOP7	17	135
DAM1	13	51
YGR114C	2	2
YGR115C	10	17
SPT6	66	475
NUP57	25	161
COG2	3	4
UTP8	12	82
CBF2	42	536
ENP2	39	408
NAT2	12	51
PTI1	11	39
MTR3	9	56
YIP1	13	56
ERG1	26	75
OKP1	30	154
TYS1	20	185
TFG1	30	141
YGR190C	3	4
HIP1	40	251
SKI6	14	43
YPP1	26	163
ZPR1	37	236
GPI1	13	64
CRM1	48	550
LSC2	52	561
SDA1	60	530
BRF1	42	448
NOP19	11	63
PUP2	32	237
MES1	56	451
YGR265W	19	188
FOL2	19	139
TAF1	50	309
CAB4	4	5
CWC22	21	164
PXR1	15	32
PAU12	5	36
RPS20	1	0
ARN2	32	207
TIM10	8	72
ERG11	21	145
SPO13	18	49
DED81	44	411
YHR020W	41	276
MYO1	65	324
MAS2	16	73
BRL1	24	98
BCD1	50	443
NCP1	103	1549
CPR2	32	381
MED6	15	160
RPP1	17	167
RRP3	31	270
DYS1	42	542
RRP4	16	44
TRM5	33	275
ERG7	38	222
NOP10	0	0
QNS1	53	488
KSP1	88	795
SAM35	31	310
STE12	60	706
IPI1	7	18
NAM8	52	618
RPF1	9	9
SFB3	59	538
BIG1	11	31
CDC12	7	35
ORC6	25	84
YHR122W	24	179
RPC10	0	0
IMP3	31	341
DNA2	56	529
CDC23	53	550
NMD3	20	142
SPC97	37	227
KOG1	97	1164
