Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	25	198
YAL068W-A	5	8
PAU8	23	126
YAL067W-A	4	5
SEO1	58	512
YAL066W	22	98
YAL065C	11	64
YAL064W-B	18	281
TDA8	17	74
YAL064W	8	16
YAL063C-A	14	77
FLO9	152	1864
GDH3	120	900
BDH2	67	821
BDH1	56	574
YAL059C-A	13	79
ECM1	17	123
CNE1	142	3666
YAL056C-A	25	344
GPB2	56	431
PEX22	16	99
ACS1	77	623
FLC2	46	249
OAF1	71	411
AIM2	22	121
GEM1	71	610
YAL047W-A	16	55
SPC72	18	80
BOL3	26	348
YAL045C	20	130
BOL1	21	182
GCV3	19	118
PTA1	44	256
YAL042C-A	20	206
ERV46	66	603
CDC24	59	551
CLN3	34	141
CYC3	27	116
CDC19	27	202
YAL037C-B	18	107
YAL037C-A	3	5
YAL037W	15	23
RBG1	27	117
FUN12	48	204
YAL034C-B	20	95
MTW1	26	98
FUN19	50	374
POP5	3	3
PRP45	22	179
YAL031W-A	16	69
GIP4	35	209
SNC1	18	160
MYO4	78	607
FRT2	40	217
SAW1	19	50
YAL026C-A	6	5
DRS2	133	1466
MAK16	12	46
LTE1	61	421
PMT2	87	1401
FUN26	76	740
CCR4	73	821
ATS1	49	626
YAL019W-A	41	319
FUN30	72	391
LDS1	16	71
PSK1	101	997
YAL016C-B	4	5
YAL016C-A	13	35
TPD3	14	21
NTG1	41	278
SYN8	42	433
DEP1	12	19
CYS3	22	94
SWC3	49	292
MDM10	19	132
SPO7	14	46
FUN14	32	254
ERP2	23	150
SSA1	86	513
YAL004W	18	59
EFB1	6	7
VPS8	182	2309
TFC3	56	340
NUP60	22	92
ERP1	32	115
SWD1	18	106
RFA1	7	7
SEN34	16	101
BUD14	269	13878
ADE1	11	70
KIN3	22	29
CDC15	46	391
YAR019W-A	29	225
PAU7	5	16
YAR023C	33	268
UIP3	23	192
YAR028W	47	548
YAR029W	4	14
YAR030C	12	56
PRM9	39	266
MST28	42	199
YAT1	188	2017
YAR035C-A	8	24
SWH1	69	428
YAR047C	0	0
FLO1	179	3887
YAR053W	2	1
YAR060C	8	18
YAR064W	11	15
YAR066W	7	26
YAR068W	14	66
YAR069C	16	86
YAR070C	13	42
PHO11	44	308
IMD1	18	173
YAR075W	3	2
YBL113C	79	591
YBL113W-A	34	230
YBL112C	24	146
YBL111C	157	715
YBL109W	28	127
PAU9	6	29
YBL108W	19	157
YBL107W-A	1	0
MIX23	15	48
SRO77	83	926
PKC1	72	1154
SEA4	101	774
RTG3	38	216
SFT2	6	18
ECM21	93	741
YBL100W-C	5	32
YBL100C	0	0
ATP1	23	133
BNA4	42	252
BRN1	51	362
YBL096C	12	53
MRX3	19	145
YBL094C	10	11
ROX3	61	3736
RPL32	5	4
SCS22	9	44
MAP2	34	152
MRP21	14	122
