Gene name	Number of transposons per gene	Number of reads per gene
TFC3	72	360
EFB1	20	28
MAK16	23	59
PRP45	35	323
POP5	13	14
YAL034C-B	39	478
MTW1	24	258
CDC19	29	319
CDC24	75	672
PTA1	61	259
RFA1	14	18
SEN34	21	163
CDC15	56	472
HTA2	19	162
UTP20	113	1101
RRN6	76	606
POP8	16	107
RFT1	39	290
MCM2	39	294
LSM2	12	80
PET9	24	120
STU1	113	1041
POL12	48	520
ERD2	31	273
PRE7	20	50
SEC17	28	133
YBL073W	28	229
AAR2	49	374
ILS1	85	497
YBL077W	14	152
CDC27	54	648
RPL32	6	8
BRN1	64	434
SFT2	16	131
PKC1	100	1037
RER2	52	341
GPI18	39	257
HHF1	11	47
IPP1	40	343
SCO2	27	130
CDS1	39	248
CHS2	84	962
REB1	62	461
PRP6	59	528
TSC3	10	18
ORC2	53	357
ALG14	22	125
RPG1	92	682
SEC18	47	429
RFC5	13	49
POL30	8	33
YBR089W	7	9
TIM12	18	24
EXO84	74	838
CMD1	0	0
ALG1	15	44
GRS1	3	2
TFC1	34	147
YBR124W	16	65
CKS1	19	100
MEC1	159	1821
IRA1	147	1230
MAK5	63	508
SUP45	22	132
SPP381	25	170
RIB7	10	14
RPB5	9	64
CNS1	23	64
AMN1	42	453
CDC28	16	114
POP7	8	23
YBR190W	16	98
RIM2	2	1
MED8	16	37
PGI1	28	193
TAF5	51	213
MCM7	63	701
AME1	8	54
DAD3	4	7
ARC40	50	669
ABD1	34	340
PRP5	59	421
ALG7	16	102
ENP1	16	104
DUT1	3	26
SRB6	9	13
TRS20	11	53
RIB5	11	21
POP4	15	57
TSC10	37	333
PGS1	37	186
NFS1	36	181
RRP7	44	485
YCL041C	37	175
PDI1	75	805
PBN1	34	162
SPB1	85	726
KRR1	16	91
HMLALPHA2	1	0
PGK1	5	15
YCR013C	5	51
RRP43	7	23
MATALPHA2	2	1
RSC6	27	234
CTR86	55	454
PWP2	82	976
RSA4	56	672
CDC39	134	1620
HMRA2	1	0
MCD1	40	299
ATP16	13	14
RPT2	66	318
APC11	32	266
SLX5	38	117
NOP1	20	66
TSC13	30	145
YDL016C	6	80
CDC7	41	356
MPS1	74	839
ARP2	10	19
PRP9	27	208
DBP10	46	428
PRP11	33	221
FAD1	20	142
PSA1	21	72
USO1	111	748
TSR1	72	551
