Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	32	457
YAL068W-A	9	104
PAU8	29	279
YAL067W-A	11	15
SEO1	60	819
YAL066W	18	242
YAL065C	24	145
YAL064W-B	33	366
TDA8	21	112
YAL064W	11	16
YAL063C-A	21	183
FLO9	223	3463
GDH3	169	2835
BDH2	124	2380
BDH1	88	1299
YAL059C-A	10	21
ECM1	17	46
CNE1	167	6459
YAL056C-A	35	818
GPB2	81	698
PEX22	18	53
ACS1	137	1545
FLC2	59	325
OAF1	111	816
AIM2	42	360
GEM1	111	1672
YAL047W-A	7	17
SPC72	32	197
BOL3	34	689
YAL045C	19	264
BOL1	21	378
GCV3	26	295
PTA1	61	259
YAL042C-A	27	219
ERV46	93	791
CDC24	75	672
CLN3	48	256
CYC3	55	330
CDC19	29	319
YAL037C-B	21	160
YAL037C-A	4	19
YAL037W	19	100
RBG1	40	317
FUN12	62	376
YAL034C-B	39	478
MTW1	24	258
FUN19	61	522
POP5	13	14
PRP45	35	323
YAL031W-A	15	131
GIP4	53	350
SNC1	20	76
MYO4	169	1340
FRT2	63	569
SAW1	49	340
YAL026C-A	19	82
DRS2	172	2132
MAK16	23	59
LTE1	80	571
PMT2	129	1591
FUN26	107	1200
CCR4	105	1224
ATS1	62	723
YAL019W-A	59	995
FUN30	104	719
LDS1	36	184
PSK1	157	1389
YAL016C-B	9	41
YAL016C-A	22	102
TPD3	25	46
NTG1	71	891
SYN8	57	857
DEP1	37	324
CYS3	32	238
SWC3	78	626
MDM10	23	203
SPO7	10	52
FUN14	56	703
ERP2	51	608
SSA1	132	930
YAL004W	26	101
EFB1	20	28
VPS8	279	6153
TFC3	72	360
NUP60	58	383
ERP1	69	444
SWD1	42	217
RFA1	14	18
SEN34	21	163
BUD14	341	27574
ADE1	17	125
KIN3	39	225
CDC15	56	472
YAR019W-A	56	1799
PAU7	12	91
YAR023C	48	639
UIP3	32	269
YAR028W	57	1064
YAR029W	4	16
YAR030C	10	16
PRM9	51	391
MST28	62	849
YAT1	329	6833
YAR035C-A	6	46
SWH1	116	916
YAR047C	0	0
FLO1	230	6076
YAR053W	6	10
YAR060C	12	25
YAR064W	14	51
YAR066W	10	53
YAR068W	24	232
YAR069C	14	176
YAR070C	17	120
PHO11	49	495
IMD1	19	239
YAR075W	2	5
YBL113C	125	927
YBL113W-A	48	276
YBL112C	32	187
YBL111C	249	1900
YBL109W	37	258
PAU9	8	57
YBL108W	37	686
YBL107W-A	4	3
MIX23	19	73
SRO77	130	1810
PKC1	100	1037
SEA4	151	1393
RTG3	48	278
SFT2	16	131
ECM21	117	1400
YBL100W-C	5	5
YBL100C	0	0
ATP1	24	226
BNA4	51	343
BRN1	64	434
YBL096C	21	215
MRX3	28	334
YBL094C	4	51
ROX3	151	28858
RPL32	6	8
SCS22	24	103
MAP2	21	168
MRP21	19	186
AVT5	40	313
TEL1	257	2396
RPL23A	32	175
YBL086C	10	22
BOI1	42	238
CDC27	54	648
YBL083C	5	9
ALG3	48	385
YBL081W	105	4693
PET112	72	752
NUP170	136	1267
ATG8	2	4
YBL077W	14	152
ILS1	85	497
SSA3	88	1062
AAR2	49	374
YBL073W	28	229
RPS8A	10	47
YBL071C-B	1	0
KTI11	7	15
YBL071C	8	60
YBL070C	13	60
AST1	42	338
YBL068W-A	7	10
PRS4	55	530
UBP13	28	122
SEF1	115	1215
YBL065W	32	418
PRX1	23	124
KIP1	130	1327
YBL062W	8	49
SKT5	49	480
YEL1	63	408
CMC2	2	1
YBL059W	40	625
SHP1	45	430
PTH2	27	335
PTC3	46	476
YBL055C	64	834
TOD6	40	122
YBL053W	10	35
SAS3	44	361
PIN4	42	473
SEC17	28	133
MOH1	12	38
RRT1	3	38
EDE1	101	1022
PSY4	84	793
COR1	20	40
