Gene name	Number of transposons per gene	Number of reads per gene
TFC3	9	13
EFB1	0	0
MAK16	2	2
PRP45	9	9
POP5	0	0
YAL034C-B	2	1
MTW1	5	5
CDC19	12	19
CDC24	18	26
PTA1	15	16
RFA1	1	0
SEN34	10	9
CDC15	21	24
HTA2	0	0
UTP20	20	23
RRN6	16	16
POP8	3	3
RFT1	7	8
MCM2	11	11
LSM2	0	0
PET9	8	7
STU1	27	27
POL12	9	8
ERD2	5	4
PRE7	7	8
SEC17	5	4
YBL073W	2	1
AAR2	5	4
ILS1	14	15
YBL077W	4	5
CDC27	15	15
RPL32	1	0
BRN1	14	14
SFT2	1	0
PKC1	26	38
RER2	5	5
GPI18	7	6
HHF1	2	1
IPP1	4	3
SCO2	1	0
CDS1	10	11
CHS2	19	24
REB1	19	23
PRP6	14	17
TSC3	1	0
ORC2	6	5
ALG14	6	6
RPG1	28	34
SEC18	14	15
RFC5	1	0
POL30	0	0
YBR089W	0	0
TIM12	2	1
EXO84	14	15
CMD1	1	0
ALG1	4	4
GRS1	0	0
TFC1	9	8
YBR124W	0	0
CKS1	5	4
MEC1	32	46
IRA1	42	49
MAK5	11	11
SUP45	2	1
SPP381	2	1
RIB7	5	4
RPB5	5	4
CNS1	8	9
AMN1	9	12
CDC28	3	2
POP7	0	0
YBR190W	1	0
RIM2	0	0
MED8	2	1
PGI1	6	6
TAF5	10	11
MCM7	16	18
AME1	5	4
DAD3	1	0
ARC40	13	15
ABD1	6	5
PRP5	6	5
ALG7	3	2
ENP1	4	3
DUT1	1	0
SRB6	1	0
TRS20	2	1
RIB5	3	2
POP4	3	2
TSC10	11	14
PGS1	3	2
NFS1	10	10
RRP7	8	14
YCL041C	3	2
PDI1	24	35
PBN1	3	2
SPB1	19	21
KRR1	3	2
HMLALPHA2	0	0
PGK1	0	0
YCR013C	0	0
RRP43	1	0
MATALPHA2	0	0
RSC6	10	9
CTR86	6	7
PWP2	21	24
RSA4	12	15
CDC39	35	36
HMRA2	0	0
MCD1	4	4
ATP16	1	0
RPT2	6	8
APC11	5	4
SLX5	7	8
NOP1	3	2
TSC13	1	0
YDL016C	3	5
CDC7	8	7
MPS1	15	16
ARP2	1	0
PRP9	4	3
DBP10	10	12
PRP11	7	6
FAD1	3	2
PSA1	4	3
USO1	21	26
TSR1	13	14
UBC9	4	3
COX9	0	0
SUB2	6	6
LUC7	2	1
SRP14	2	1
RPN6	7	6
SNU23	2	5
POL3	13	16
QRI1	6	6
NSE4	6	5
KIN28	3	2
RRP42	6	5
YFH1	1	0
CDC48	13	14
CDC53	15	17
SCM3	4	3
RPO21	32	33
BPL1	8	8
CCT4	11	10
COP1	6	5
RPN5	4	3
NOP14	22	26
RPC53	10	9
YDL152W	2	5
SAS10	2	1
CLB3	14	17
YDL163W	8	10
CDC9	23	29
CDC36	1	0
FAP7	5	4
NUS1	3	2
SEC31	17	16
YDL196W	9	12
HEM3	16	19
GLE1	6	5
NHP2	2	1
CWC2	8	8
SHR3	2	1
TIM22	1	0
CDC13	18	25
YDL221W	7	12
YPD1	0	0
YRB1	2	1
PSF1	3	2
DAD1	0	0
FAL1	4	4
SES1	4	3
KRS1	20	22
RSM10	1	0
HEM13	2	1
RPC11	2	1
BAP3	8	9
HEM12	15	18
TPI1	0	0
DBF4	7	6
YDR053W	4	3
CDC34	6	12
MAK21	15	17
LCB2	10	11
RPS13	4	3
PDC2	11	10
STN1	4	5
SSS1	0	0
RRP1	5	4
SLU7	7	7
RLI1	4	3
PDS1	1	0
APC4	7	6
INO2	12	11
DOP1	20	26
TAF12	5	6
CTH1	2	1
SSY1	4	3
SEC1	11	12
SEC5	17	54
TAF10	7	7
CDC37	10	11
SEC7	33	38
SUP35	13	14
UBC1	5	4
SCC2	21	25
CDC1	14	21
YDR187C	4	3
CCT6	16	15
SLY1	2	1
RVB1	5	5
CAB5	6	5
SPC19	8	8
MSS4	19	23
GCD6	8	9
TCP1	7	8
HTB1	4	3
PCF11	7	6
COX20	8	9
HEM1	14	15
RTN1	0	0
PRP42	2	1
FMN1	2	1
SEC26	16	18
SNU56	4	3
PRP28	9	9
TRS23	2	1
CIA1	11	14
RRP45	3	2
NSE3	5	4
SRP101	6	6
BFR2	4	3
CFT1	17	18
GPI11	1	0
RSC3	8	9
SRB7	1	0
TFB1	10	10
UTP4	5	4
YCG1	17	19
YDR327W	3	2
SKP1	3	2
GPI8	5	4
FCF1	0	0
YDR341C	2	1
TRR1	0	0
YDR355C	1	0
SPC110	12	12
BCP1	5	4
TFC6	14	17
ESF1	5	7
KEI1	0	0
FRQ1	0	0
ARH1	8	7
YRA1	6	5
SAC7	4	3
UBA2	5	6
RPT3	3	2
YDR396W	2	1
NCB2	3	2
UTP5	0	0
RPB7	1	0
TRS120	23	34
RRP17	0	0
YDR413C	0	0
SYF1	16	19
RPL12B	3	2
RPN9	6	5
TIF35	1	0
GPI17	5	4
GPI19	3	2
UTP6	4	3
GUK1	0	0
TFB3	1	0
SPP41	13	13
TLG1	4	3
UGO1	7	6
TRS31	4	3
PRP3	9	10
SNM1	3	2
RIB3	4	3
SLD5	3	2
SEC20	1	0
LCD1	7	7
PSP1	7	6
SMT3	2	2
YDR526C	1	0
RBA50	10	11
CAB1	6	5
WBP1	10	10
MMS21	2	1
SNU13	0	0
MCM3	14	16
HYP2	10	11
UTR5	3	2
POL5	11	11
PCM1	7	7
PMI40	4	3
YND1	15	17
NUG1	8	8
SEC3	23	190
NTF2	0	0
PRE1	5	5
PRP22	23	27
BIM1	15	18
SPC25	2	1
RPN3	5	4
SRB4	7	8
PRO3	5	4
GCD11	5	4
ARB1	14	15
KRE29	5	4
SAH1	13	12
ISD11	1	0
FCY21	8	8
YOS1	1	0
UTP7	7	6
TSC11	15	18
PUP3	4	3
RTT105	2	1
MAM1	1	0
LSM4	1	0
RSP5	8	8
NSA2	6	6
LCP5	8	9
GLC7	5	5
GDI1	9	11
LSM5	0	0
SCC4	15	16
SPT15	6	5
COG3	6	6
BUR6	1	0
PAB1	7	6
CCA1	9	9
RAD3	16	57
BRR2	41	47
SPB4	7	10
SEC4	1	0
SMC1	10	13
CDC4	10	13
GNA1	3	2
SMX2	0	0
FRS2	11	12
EPL1	12	16
CAK1	3	3
MOB2	2	1
TUB2	11	18
YPT1	2	1
ACT1	11	11
SEC53	4	3
NIC96	13	14
YPI1	4	3
RPN11	1	0
SAD1	3	2
ECO1	5	5
CDC14	7	7
PTR3	24	25
SMC2	18	20
RSC8	18	20
KEG1	1	0
PRE4	7	8
RET2	27	67
RPN12	2	1
ERG26	3	2
PMA1	10	10
SCL1	9	9
PUF4	27	31
JAC1	7	6
STT3	26	27
RPL30	5	5
HEM2	5	4
RNA15	2	2
ALG13	1	0
RPT6	3	2
OLE1	7	6
DUO1	5	4
ALG2	3	2
MNP1	4	3
YGL069C	4	3
HSF1	18	27
YGL074C	2	1
MPS2	6	6
NBP35	5	4
NUP145	7	7
SPC105	5	4
SRM1	13	14
USE1	2	1
LSG1	7	7
YGL102C	1	0
RPL28	3	2
NSA1	9	10
TAF6	0	0
SLD3	12	12
CDC20	15	21
PRP43	18	23
NAB2	8	9
RPS2	1	0
CWC23	0	0
CEG1	3	4
SEC27	5	4
GPI10	6	5
TIP20	6	5
INO80	33	37
CDC43	9	9
CUP2	6	5
SUA5	4	3
ROK1	8	9
NUP49	8	7
ATG1	11	11
MCM6	36	46
SPT16	12	14
VRG4	9	10
SEC15	14	20
CSE1	15	15
YGL239C	0	0
GUS1	10	9
BRR6	2	1
SWC4	12	15
TFG2	2	1
SEC9	5	4
SNU71	16	23
THG1	1	0
ERV1	4	4
POP6	2	1
TAM41	2	1
TFC4	13	13
UFD1	5	6
ERG25	10	10
VHT1	15	18
YGR073C	0	0
SMD1	0	0
PRP38	0	0
TOM20	3	2
GCD2	8	8
UTP22	8	8
PRP31	10	11
VAS1	24	23
RRP46	2	1
ESP1	9	9
TEL2	10	10
NOP7	5	4
DAM1	5	4
YGR114C	0	0
YGR115C	3	2
SPT6	22	29
NUP57	8	8
COG2	3	2
UTP8	4	3
CBF2	18	22
ENP2	9	10
NAT2	3	3
PTI1	7	6
MTR3	6	5
YIP1	1	0
ERG1	16	16
OKP1	12	17
TYS1	6	5
TFG1	7	6
YGR190C	0	0
HIP1	9	8
SKI6	4	3
YPP1	3	2
ZPR1	11	10
GPI1	5	4
CRM1	9	8
LSC2	13	13
SDA1	13	15
BRF1	11	13
NOP19	5	7
PUP2	4	5
MES1	15	18
YGR265W	8	14
FOL2	3	2
TAF1	15	20
CAB4	0	0
CWC22	8	9
PXR1	4	3
PAU12	2	1
RPS20	0	0
ARN2	4	13
TIM10	3	2
ERG11	6	5
SPO13	2	1
DED81	11	11
YHR020W	11	13
MYO1	19	22
MAS2	5	4
BRL1	6	6
BCD1	14	13
NCP1	18	76
CPR2	11	11
MED6	5	4
RPP1	2	1
RRP3	6	5
DYS1	18	27
RRP4	7	6
TRM5	12	12
ERG7	14	20
NOP10	0	0
QNS1	7	7
KSP1	25	33
SAM35	11	10
STE12	18	27
IPI1	3	2
NAM8	12	13
RPF1	1	0
SFB3	11	12
BIG1	1	0
CDC12	4	3
ORC6	15	16
YHR122W	8	7
RPC10	0	0
IMP3	6	6
DNA2	7	6
CDC23	14	17
NMD3	5	4
SPC97	5	11
KOG1	32	39
GPI16	14	19
ERG9	14	15
UTP9	12	11
RIX1	12	12
CFD1	3	3
BET1	1	0
FAF1	9	8
RPB3	5	4
TIM44	5	5
IRR1	19	20
ULP2	19	23
MET30	15	20
NEO1	7	6
MMF1	1	0
SNP1	3	3
ARC15	2	1
YRB2	13	84
SEC6	9	11
RPN2	27	38
THS1	9	9
CAB2	3	2
UTP25	12	12
SHQ1	14	15
MOB1	0	0
SEC24	19	23
NUP159	31	45
RHO3	8	13
STH1	12	14
TAO3	41	49
CCT2	17	21
SSL2	17	17
NDC80	8	9
SLN1	19	108
MCM10	10	9
DJP1	6	52
PAN1	25	171
PRI1	2	1
DSN1	9	10
STS1	6	6
SQT1	14	15
RPR2	2	1
SEC11	1	0
PRE3	5	5
OST1	5	4
CYR1	35	65
CCT8	10	12
YJL009W	2	1
NOP9	8	12
RPC17	3	2
CCT3	5	4
YJL015C	3	3
MPS3	11	11
RRN7	6	6
RNR2	13	15
BET4	1	0
