Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	4	3
YAL068W-A	1	0
PAU8	3	2
YAL067W-A	2	1
SEO1	8	8
YAL066W	3	2
YAL065C	4	3
YAL064W-B	11	12
TDA8	0	0
YAL064W	1	0
YAL063C-A	6	6
FLO9	34	62
GDH3	26	38
BDH2	18	19
BDH1	16	15
YAL059C-A	1	0
ECM1	2	1
CNE1	27	185
YAL056C-A	4	5
GPB2	14	14
PEX22	2	1
ACS1	18	27
FLC2	12	15
OAF1	8	10
AIM2	2	1
GEM1	13	16
YAL047W-A	3	2
SPC72	6	5
BOL3	13	14
YAL045C	4	3
BOL1	5	4
GCV3	5	5
PTA1	15	16
YAL042C-A	5	4
ERV46	22	23
CDC24	18	26
CLN3	15	65
CYC3	8	8
CDC19	12	19
YAL037C-B	8	12
YAL037C-A	0	0
YAL037W	2	2
RBG1	8	8
FUN12	14	13
YAL034C-B	2	1
MTW1	5	5
FUN19	11	12
POP5	0	0
PRP45	9	9
YAL031W-A	1	0
GIP4	5	5
SNC1	4	13
MYO4	16	54
FRT2	17	25
SAW1	4	3
YAL026C-A	0	0
DRS2	25	34
MAK16	2	2
LTE1	22	25
PMT2	36	47
FUN26	13	15
CCR4	18	20
ATS1	16	21
YAL019W-A	13	35
FUN30	17	32
LDS1	4	9
PSK1	23	39
YAL016C-B	1	0
YAL016C-A	1	0
TPD3	1	0
NTG1	10	22
SYN8	6	6
DEP1	2	8
CYS3	9	8
SWC3	10	13
MDM10	0	0
SPO7	1	0
FUN14	4	5
ERP2	12	23
SSA1	15	18
YAL004W	4	3
EFB1	0	0
VPS8	16	45
TFC3	9	13
NUP60	3	2
ERP1	8	23
SWD1	6	5
RFA1	1	0
SEN34	10	9
BUD14	127	6027
ADE1	4	5
KIN3	6	5
CDC15	21	24
YAR019W-A	5	4
PAU7	0	0
YAR023C	6	5
UIP3	4	3
YAR028W	6	7
YAR029W	0	0
YAR030C	1	0
PRM9	3	2
MST28	5	5
YAT1	39	127
YAR035C-A	1	0
SWH1	25	29
YAR047C	0	0
FLO1	61	124
YAR053W	2	1
YAR060C	0	0
YAR064W	2	4
YAR066W	1	0
YAR068W	2	1
YAR069C	7	7
YAR070C	1	0
PHO11	7	6
IMD1	7	6
YAR075W	0	0
YBL113C	27	41
YBL113W-A	10	10
YBL112C	7	8
YBL111C	33	47
YBL109W	4	4
PAU9	1	0
YBL108W	4	15
YBL107W-A	0	0
MIX23	0	0
SRO77	38	64
PKC1	26	38
SEA4	32	36
RTG3	10	10
SFT2	1	0
ECM21	33	47
YBL100W-C	1	0
YBL100C	0	0
ATP1	8	8
BNA4	4	3
BRN1	14	14
YBL096C	0	0
MRX3	2	1
YBL094C	0	0
ROX3	18	157
RPL32	1	0
SCS22	2	1
MAP2	14	14
MRP21	3	2
AVT5	5	5
TEL1	41	55
RPL23A	3	2
YBL086C	2	1
BOI1	4	3
CDC27	15	15
YBL083C	2	1
ALG3	8	7
YBL081W	17	193
PET112	11	15
NUP170	26	38
ATG8	0	0
YBL077W	4	5
ILS1	14	15
SSA3	13	18
AAR2	5	4
YBL073W	2	1
RPS8A	5	4
YBL071C-B	0	0
KTI11	0	0
YBL071C	3	3
YBL070C	3	2
AST1	10	10
YBL068W-A	1	0
PRS4	12	20
UBP13	8	10
SEF1	18	20
YBL065W	6	5
PRX1	5	4
KIP1	27	41
YBL062W	3	2
SKT5	17	21
YEL1	12	14
CMC2	0	0
YBL059W	0	0
SHP1	15	16
PTH2	6	6
PTC3	4	6
YBL055C	21	27
TOD6	8	8
YBL053W	0	0
SAS3	9	32
PIN4	9	11
SEC17	5	4
MOH1	3	2
RRT1	1	0
EDE1	33	98
PSY4	15	19
COR1	1	0
YBL044W	6	31
ECM13	0	0
FUI1	14	17
PRE7	7	8
ERD2	5	4
YBL039W-B	0	0
URA7	18	26
YBL039C-A	1	0
MRPL16	7	8
APL3	20	19
YBL036C	5	6
POL12	9	8
STU1	27	27
RIB1	8	10
HEK2	12	18
SHE1	7	7
PET9	8	7
YBL029C-A	1	0
YBL029W	10	15
YBL028C	3	4
RPL19B	0	0
LSM2	0	0
RRN10	2	1
NCL1	9	8
MCM2	11	11
PIM1	9	8
HAP3	4	3
RFT1	7	8
APN2	9	8
POP8	3	3
PEP1	41	45
FUS3	7	10
ACH1	20	22
RRN6	16	16
FMT1	20	33
YBL012C	6	44
SCT1	23	69
YBL010C	3	8
ALK2	43	330
YBL008W-A	6	6
HIR1	12	13
SLA1	17	20
LDB7	5	6
YBL006W-A	2	3
PDR3	25	49
UTP20	20	23
HTA2	0	0
HTB2	2	1
ECM15	3	3
NTH2	25	118
RER2	5	5
COQ1	8	7
GPI18	7	6
RCR1	11	42
UGA2	12	16
DSF2	29	129
FLR1	21	21
HHF1	2	1
HHT1	4	5
IPP1	4	3
YBR012C	0	0
YBR013C	0	0
GRX7	1	0
MNN2	8	7
YBR016W	7	8
KAP104	13	15
GAL7	5	4
GAL10	11	15
GAL1	12	18
FUR4	6	5
POA1	5	14
CHS3	12	11
SCO2	1	0
OLA1	5	4
ETR1	8	9
YBR027C	2	1
YPK3	5	7
CDS1	10	11
RKM3	10	13
RPL4A	2	1
YBR032W	0	0
EDS1	17	19
HMT1	12	14
PDX3	14	13
CSG2	7	36
SCO1	8	10
CHS2	19	24
ATP3	5	4
FIG1	6	6
FAT1	7	6
CST26	4	3
QDR3	15	25
TCM62	5	6
GIP1	5	4
ZTA1	3	2
FMP23	2	1
RPS11B	4	3
REB1	19	23
REG2	2	1
YBR051W	2	1
RFS1	4	5
YBR053C	5	4
YRO2	6	30
PRP6	14	17
YBR056W	12	15
YBR056W-A	3	2
YBR056C-B	0	0
MUM2	10	16
UBP14	11	14
TSC3	1	0
AKL1	15	14
ORC2	6	5
TRM7	12	13
YBR062C	1	0
YBR063C	4	3
YBR064W	0	0
ECM2	2	1
NRG2	3	3
TIP1	1	0
BAP2	7	7
TAT1	16	17
ALG14	6	6
YBR071W	6	5
HSP26	4	4
YBR072C-A	1	0
RDH54	14	13
PFF1	27	32
ECM8	3	2
YBR076C-A	2	1
SLM4	0	0
ECM33	9	10
RPG1	28	34
SEC18	14	15
SPT7	19	23
UBC4	8	10
TEC1	8	13
MIS1	17	24
RPL19A	11	10
AAC3	7	6
YBR085C-A	2	1
IST2	12	19
RFC5	1	0
POL30	0	0
YBR089W	0	0
NHP6B	2	1
YBR090C	6	11
TIM12	2	1
PHO3	14	16
PHO5	9	9
PBY1	6	5
RXT2	3	2
YBR096W	1	0
VPS15	15	18
MMS4	11	16
YBR099C	4	4
FES1	3	2
EXO84	14	15
SIF2	26	91
YBR103C-A	1	0
YMC2	1	0
VID24	12	24
PHO88	3	2
IML3	2	1
AIM3	9	18
CMD1	1	0
YBR109W-A	1	0
ALG1	4	4
YSA1	2	1
SUS1	0	0
CYC8	10	9
YBR113W	1	0
RAD16	20	47
LYS2	27	35
YBR116C	5	5
TKL2	24	35
TEF2	6	5
MUD1	0	0
CBP6	1	0
GRS1	0	0
YBR121C-A	0	0
MRPL36	1	0
TFC1	9	8
YBR124W	0	0
PTC4	7	7
TPS1	14	14
YBR126W-A	0	0
YBR126W-B	0	0
VMA2	11	11
ATG14	13	15
OPY1	2	1
SHE3	2	1
CCZ1	7	7
YBR131C-A	0	0
AGP2	15	16
HSL7	21	25
YBR134W	3	3
CKS1	5	4
MEC1	32	46
YBR137W	0	0
YBR138C	6	5
YBR139W	8	12
IRA1	42	49
BMT2	9	10
YBR141W-A	1	0
MAK5	11	11
SUP45	2	1
YBR144C	7	11
ADH5	11	16
MRPS9	11	12
RTC2	16	18
YSW1	9	9
ARA1	8	7
TBS1	20	23
APD1	10	13
SPP381	2	1
RIB7	5	4
RPB5	5	4
CNS1	8	9
SLI15	7	7
ICS2	2	1
AMN1	9	12
IFA38	5	4
CDC28	3	2
CSH1	0	0
TOS1	9	10
YSY6	5	5
EXO5	5	4
ARL1	4	3
UBS1	4	3
TYR1	4	3
POP7	0	0
PEX32	2	1
SSE2	6	15
NPL4	16	22
SEC66	2	2
SMY2	9	11
UMP1	2	2
YBR174C	3	2
SWD3	2	1
ECM31	6	5
EHT1	9	10
YBR178W	3	2
FZO1	18	21
DTR1	8	13
RPS6B	3	2
SMP1	6	5
YBR182C-A	0	0
YPC1	5	5
YBR184W	10	14
MBA1	2	1
PCH2	8	12
GDT1	1	0
NTC20	2	2
RPS9B	1	0
YBR190W	1	0
RPL21A	6	5
YBR191W-A	0	0
RIM2	0	0
MED8	2	1
AIM4	0	0
MSI1	11	13
PGI1	6	6
YBR196C-A	0	0
YBR196C-B	2	1
YBR197C	4	3
TAF5	10	11
KTR4	6	6
BEM1	165	1057
YBR200W-A	0	0
DER1	1	0
YBR201C-A	1	0
MCM7	16	18
COS111	13	15
LDH1	5	4
KTR3	10	10
YBR206W	0	0
FTH1	7	9
DUR1,2	30	42
YBR209W	4	7
ERV15	0	0
AME1	5	4
NGR1	20	24
MET8	6	5
SDS24	25	33
HPC2	5	5
YBP1	8	10
ATG12	3	3
PYC2	23	41
YBR219C	4	3
YBR220C	20	22
PDB1	5	5
YBR221W-A	3	3
PCS60	8	8
TDP1	14	16
YBR223W-A	3	2
YBR224W	1	0
YBR225W	10	12
YBR226C	2	1
MCX1	3	2
SLX1	4	3
ROT2	27	37
OM14	0	0
YBR230W-A	4	4
SWC5	7	9
YBR232C	0	0
PBP2	2	1
DAD3	1	0
ARC40	13	15
VHC1	21	36
ABD1	6	5
PRP5	6	5
YBR238C	16	24
ERT1	16	17
THI2	37	100
YBR241C	19	24
YBR242W	4	4
ALG7	3	2
GPX2	1	0
ISW1	11	12
RRT2	11	10
ENP1	4	3
HIS7	2	1
ARO4	6	5
SPO23	2	1
MRPS5	9	8
DUT1	1	0
