Gene name	Number of transposons per gene	Number of reads per gene
TFC3	14	13
EFB1	2	1
MAK16	8	7
PRP45	12	11
POP5	4	3
YAL034C-B	8	26
MTW1	3	2
CDC19	10	12
CDC24	11	11
PTA1	19	23
RFA1	2	1
SEN34	9	9
CDC15	23	35
HTA2	3	5
UTP20	35	43
RRN6	25	30
POP8	1	0
RFT1	14	14
MCM2	16	25
LSM2	0	0
PET9	19	23
STU1	46	57
POL12	12	19
ERD2	7	7
PRE7	9	8
SEC17	6	5
YBL073W	11	39
AAR2	10	9
ILS1	29	36
YBL077W	3	17
CDC27	18	21
RPL32	3	3
BRN1	18	19
SFT2	5	10
PKC1	38	48
RER2	9	10
GPI18	10	12
HHF1	4	9
IPP1	9	10
SCO2	8	20
CDS1	13	18
CHS2	46	55
REB1	26	38
PRP6	14	19
TSC3	1	0
ORC2	14	13
ALG14	8	10
RPG1	40	46
SEC18	13	15
RFC5	6	6
POL30	4	3
YBR089W	3	2
TIM12	2	1
EXO84	22	38
CMD1	1	0
ALG1	6	7
GRS1	0	0
TFC1	6	6
YBR124W	3	2
CKS1	6	6
MEC1	43	57
IRA1	56	76
MAK5	14	13
SUP45	11	10
SPP381	6	5
RIB7	2	1
RPB5	4	5
CNS1	7	8
AMN1	8	9
CDC28	7	6
POP7	6	6
YBR190W	5	4
RIM2	3	2
MED8	5	6
PGI1	11	12
TAF5	15	16
MCM7	15	18
AME1	6	5
DAD3	0	0
ARC40	11	12
ABD1	13	15
PRP5	11	13
ALG7	3	4
ENP1	6	5
DUT1	1	0
SRB6	5	5
TRS20	1	0
RIB5	3	2
POP4	3	2
TSC10	12	15
PGS1	6	6
NFS1	16	15
RRP7	9	10
YCL041C	10	9
PDI1	23	31
PBN1	4	3
SPB1	22	23
KRR1	4	4
HMLALPHA2	0	0
PGK1	1	0
YCR013C	1	0
RRP43	4	4
MATALPHA2	1	0
RSC6	10	13
CTR86	11	23
PWP2	27	32
RSA4	20	23
CDC39	52	65
HMRA2	1	0
MCD1	13	16
ATP16	1	0
RPT2	8	8
