Gene name	Number of transposons per gene	Number of reads per gene
TFC3	22	27
EFB1	2	1
MAK16	9	10
PRP45	19	33
POP5	4	3
YAL034C-B	10	31
MTW1	8	10
CDC19	22	33
CDC24	27	39
PTA1	33	41
RFA1	3	2
SEN34	18	20
CDC15	42	65
HTA2	3	4
UTP20	53	70
RRN6	38	48
POP8	4	5
RFT1	19	24
MCM2	26	39
LSM2	0	0
PET9	25	31
STU1	69	86
POL12	20	29
ERD2	12	12
PRE7	16	19
SEC17	10	10
YBL073W	11	42
AAR2	15	15
ILS1	40	52
YBL077W	7	24
CDC27	30	38
RPL32	4	6
BRN1	30	35
SFT2	6	11
PKC1	58	90
RER2	14	17
GPI18	15	19
HHF1	6	13
IPP1	13	14
SCO2	9	22
CDS1	23	31
CHS2	63	82
REB1	43	64
PRP6	28	38
TSC3	2	1
ORC2	20	20
ALG14	14	18
RPG1	64	82
SEC18	27	32
RFC5	6	9
POL30	4	3
YBR089W	3	2
TIM12	4	3
EXO84	36	93
CMD1	2	1
ALG1	10	13
GRS1	0	0
TFC1	15	16
YBR124W	3	2
CKS1	11	11
MEC1	67	107
IRA1	91	127
MAK5	25	26
SUP45	13	12
SPP381	8	7
RIB7	7	6
RPB5	8	10
CNS1	14	19
AMN1	14	23
CDC28	10	9
POP7	6	6
YBR190W	6	5
RIM2	3	2
MED8	6	7
PGI1	15	21
TAF5	25	29
MCM7	30	38
AME1	11	10
DAD3	1	0
ARC40	24	31
ABD1	17	22
PRP5	16	19
ALG7	6	8
ENP1	10	10
DUT1	2	1
SRB6	6	6
TRS20	3	2
RIB5	6	5
POP4	5	4
TSC10	19	31
PGS1	9	9
NFS1	25	27
RRP7	16	27
YCL041C	13	12
PDI1	44	70
PBN1	7	6
SPB1	39	46
KRR1	7	9
HMLALPHA2	0	0
PGK1	1	0
YCR013C	1	0
RRP43	5	6
MATALPHA2	1	0
RSC6	20	24
CTR86	16	32
PWP2	45	58
RSA4	31	39
CDC39	80	105
HMRA2	1	0
MCD1	16	23
ATP16	2	2
RPT2	12	17
APC11	12	14
SLX5	16	26
NOP1	9	8
TSC13	7	8
YDL016C	4	10
CDC7	13	15
MPS1	32	41
ARP2	5	4
PRP9	18	19
DBP10	22	27
PRP11	13	14
FAD1	9	8
PSA1	11	10
USO1	60	146
TSR1	33	38
UBC9	10	12
COX9	2	1
SUB2	12	14
LUC7	4	4
SRP14	15	17
RPN6	19	22
SNU23	6	9
POL3	33	47
QRI1	10	14
NSE4	11	12
KIN28	10	9
RRP42	15	20
YFH1	2	1
CDC48	26	35
CDC53	37	80
SCM3	7	7
RPO21	76	93
BPL1	21	34
CCT4	22	24
COP1	29	36
RPN5	12	17
NOP14	65	88
RPC53	18	22
YDL152W	3	6
SAS10	10	12
CLB3	37	45
YDL163W	13	22
CDC9	46	68
CDC36	10	11
FAP7	9	10
NUS1	8	7
SEC31	26	28
YDL196W	22	83
HEM3	25	37
GLE1	8	9
NHP2	7	6
CWC2	11	16
