Gene name	Number of transposons per gene	Number of reads per gene
TFC3	87	1521
EFB1	12	24
MAK16	17	83
PRP45	49	744
POP5	9	11
YAL034C-B	21	157
MTW1	29	389
CDC19	57	1168
CDC24	77	1586
PTA1	91	1327
RFA1	9	17
SEN34	44	585
CDC15	115	2174
HTA2	4	9
UTP20	149	2573
RRN6	105	2065
POP8	11	109
RFT1	61	786
MCM2	61	1055
LSM2	4	115
PET9	54	469
STU1	158	2367
POL12	64	1042
ERD2	51	1177
PRE7	26	173
SEC17	27	401
YBL073W	30	408
AAR2	50	715
ILS1	84	1192
YBL077W	16	91
CDC27	84	1551
RPL32	9	39
BRN1	94	1567
SFT2	10	50
PKC1	139	3093
RER2	27	138
GPI18	43	809
HHF1	9	25
IPP1	38	598
SCO2	22	124
CDS1	62	787
CHS2	138	2651
REB1	116	1929
PRP6	78	1422
TSC3	4	3
ORC2	55	717
ALG14	29	278
RPG1	138	2989
SEC18	71	835
RFC5	24	159
POL30	17	129
YBR089W	13	54
TIM12	6	5
EXO84	98	1401
CMD1	5	7
ALG1	19	208
GRS1	2	1
TFC1	40	544
YBR124W	5	19
CKS1	16	147
MEC1	211	4140
IRA1	238	3829
MAK5	78	1749
SUP45	36	413
SPP381	24	368
RIB7	17	99
RPB5	14	87
CNS1	31	166
AMN1	39	720
CDC28	21	244
POP7	14	143
YBR190W	16	178
RIM2	9	33
MED8	19	178
PGI1	38	595
TAF5	79	925
MCM7	80	1190
AME1	27	294
DAD3	3	4
ARC40	51	1203
ABD1	47	917
PRP5	71	1222
ALG7	18	177
ENP1	19	239
DUT1	7	64
SRB6	11	45
TRS20	10	206
RIB5	26	171
POP4	15	322
TSC10	41	618
PGS1	28	347
NFS1	56	837
RRP7	45	1177
YCL041C	16	127
PDI1	100	2448
PBN1	36	469
SPB1	134	2345
KRR1	27	207
HMLALPHA2	0	0
PGK1	8	86
YCR013C	9	100
RRP43	13	221
MATALPHA2	1	0
RSC6	35	520
CTR86	48	1056
PWP2	103	2162
RSA4	68	1381
CDC39	186	4050
HMRA2	1	0
MCD1	46	977
ATP16	11	23
RPT2	42	582
APC11	32	637
