Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	41	697
YAL068W-A	9	26
PAU8	29	548
YAL067W-A	6	11
SEO1	82	1165
YAL066W	18	136
YAL065C	18	71
YAL064W-B	26	542
TDA8	9	67
YAL064W	11	34
YAL063C-A	15	80
FLO9	161	3080
GDH3	143	2484
BDH2	93	1299
BDH1	74	1225
YAL059C-A	19	123
ECM1	28	206
CNE1	145	2593
YAL056C-A	34	406
GPB2	97	1678
PEX22	14	42
ACS1	92	1945
FLC2	70	998
OAF1	97	1148
AIM2	21	231
GEM1	89	1400
YAL047W-A	7	14
SPC72	42	568
BOL3	39	771
YAL045C	19	80
BOL1	23	292
GCV3	28	580
PTA1	91	1327
YAL042C-A	35	569
ERV46	114	1913
CDC24	77	1586
CLN3	57	665
CYC3	38	518
CDC19	57	1168
YAL037C-B	33	455
YAL037C-A	3	2
YAL037W	12	94
RBG1	36	485
FUN12	65	884
YAL034C-B	21	157
MTW1	29	389
FUN19	56	591
POP5	9	11
PRP45	49	744
YAL031W-A	22	336
GIP4	57	953
SNC1	9	75
MYO4	145	1754
FRT2	73	1000
SAW1	26	281
YAL026C-A	3	5
DRS2	150	2741
MAK16	17	83
LTE1	120	1557
PMT2	180	3760
FUN26	56	857
CCR4	113	1922
ATS1	72	1227
YAL019W-A	54	656
FUN30	97	849
LDS1	14	57
PSK1	160	2569
YAL016C-B	3	29
YAL016C-A	14	46
TPD3	27	217
NTG1	68	1424
SYN8	37	581
DEP1	22	82
CYS3	58	1092
SWC3	63	380
MDM10	25	247
SPO7	8	19
FUN14	18	162
ERP2	41	445
SSA1	74	1408
YAL004W	18	433
EFB1	12	24
VPS8	107	1428
TFC3	87	1521
NUP60	24	220
ERP1	34	169
SWD1	44	633
RFA1	9	17
SEN34	44	585
BUD14	332	16469
ADE1	21	495
KIN3	22	102
CDC15	115	2174
YAR019W-A	24	121
PAU7	2	2
YAR023C	28	539
UIP3	29	341
YAR028W	61	1553
YAR029W	3	8
YAR030C	9	39
PRM9	38	455
MST28	43	392
YAT1	184	2943
YAR035C-A	6	6
SWH1	128	2033
YAR047C	0	0
FLO1	216	9160
YAR053W	4	5
YAR060C	6	9
YAR064W	7	16
YAR066W	11	168
YAR068W	10	184
YAR069C	16	209
YAR070C	16	34
PHO11	44	670
IMD1	26	265
YAR075W	3	2
YBL113C	110	1873
YBL113W-A	56	744
YBL112C	23	363
YBL111C	153	1708
YBL109W	25	67
PAU9	11	150
YBL108W	19	260
YBL107W-A	3	2
MIX23	16	238
SRO77	129	2631
PKC1	139	3093
SEA4	183	3869
RTG3	52	549
SFT2	10	50
ECM21	147	2171
YBL100W-C	7	26
YBL100C	1	0
ATP1	41	808
BNA4	53	975
BRN1	94	1567
YBL096C	12	223
MRX3	30	433
YBL094C	3	2
ROX3	97	4462
RPL32	9	39
SCS22	24	140
MAP2	52	851
MRP21	31	758
AVT5	39	431
TEL1	275	5368
RPL23A	28	263
YBL086C	12	18
BOI1	43	468
CDC27	84	1551
YBL083C	10	19
ALG3	53	1309
YBL081W	78	1689
PET112	92	1605
NUP170	174	3023
ATG8	2	1
YBL077W	16	91
ILS1	84	1192
SSA3	82	1306
AAR2	50	715
YBL073W	30	408
RPS8A	23	188
YBL071C-B	0	0
KTI11	8	16
YBL071C	16	193
YBL070C	13	55
AST1	72	1188
YBL068W-A	11	55
PRS4	40	774
UBP13	29	142
SEF1	113	1725
YBL065W	27	704
PRX1	30	322
KIP1	153	2817
YBL062W	13	166
SKT5	73	1393
YEL1	85	1126
CMC2	2	2
YBL059W	21	193
SHP1	70	1819
PTH2	27	529
PTC3	49	1000
YBL055C	86	1650
TOD6	60	382
