Gene name	Number of transposons per gene	Number of reads per gene
TFC3	31	234
EFB1	1	0
MAK16	4	9
PRP45	9	69
POP5	1	0
YAL034C-B	8	18
MTW1	9	37
CDC19	17	127
CDC24	29	301
PTA1	27	124
RFA1	3	2
SEN34	11	70
CDC15	44	318
HTA2	0	0
UTP20	49	361
RRN6	41	233
POP8	9	13
RFT1	14	50
MCM2	20	102
LSM2	2	16
PET9	12	33
STU1	43	345
POL12	19	123
ERD2	19	162
PRE7	2	12
SEC17	11	74
YBL073W	6	43
AAR2	19	114
ILS1	22	150
YBL077W	5	7
CDC27	26	231
RPL32	2	1
BRN1	26	139
SFT2	3	4
PKC1	40	502
RER2	8	17
GPI18	14	94
HHF1	1	0
IPP1	11	110
SCO2	4	7
CDS1	16	116
CHS2	42	366
REB1	31	228
PRP6	22	181
TSC3	1	0
ORC2	19	80
ALG14	8	19
RPG1	38	415
SEC18	17	154
RFC5	6	14
POL30	4	11
YBR089W	3	8
TIM12	2	1
EXO84	31	183
CMD1	1	0
ALG1	5	16
GRS1	0	0
TFC1	15	64
YBR124W	2	1
CKS1	3	31
MEC1	62	660
IRA1	69	528
MAK5	30	261
SUP45	10	45
SPP381	10	27
RIB7	5	9
RPB5	2	1
CNS1	12	22
AMN1	15	139
CDC28	11	44
POP7	5	7
YBR190W	5	47
RIM2	3	2
MED8	6	22
PGI1	11	47
TAF5	22	79
MCM7	19	144
AME1	7	24
DAD3	1	0
ARC40	19	194
ABD1	11	87
PRP5	21	171
ALG7	6	13
ENP1	7	42
DUT1	3	11
SRB6	3	3
TRS20	8	31
RIB5	8	13
POP4	7	43
TSC10	11	104
PGS1	9	36
NFS1	11	60
RRP7	16	202
YCL041C	3	5
PDI1	30	362
PBN1	12	45
SPB1	36	318
KRR1	6	16
HMLALPHA2	0	0
PGK1	4	7
YCR013C	3	6
RRP43	4	26
MATALPHA2	0	0
RSC6	12	50
CTR86	13	115
PWP2	32	340
RSA4	23	216
CDC39	47	521
HMRA2	0	0
MCD1	17	111
ATP16	3	4
RPT2	12	84
APC11	10	98
SLX5	11	22
NOP1	7	30
TSC13	7	40
YDL016C	2	1
CDC7	18	107
MPS1	28	312
ARP2	3	2
PRP9	16	96
DBP10	18	120
PRP11	10	54
FAD1	8	35
PSA1	4	34
USO1	41	230
TSR1	22	152
UBC9	9	51
COX9	6	18
SUB2	8	48
LUC7	3	4
SRP14	11	141
RPN6	23	185
SNU23	8	37
POL3	28	331
QRI1	8	66
NSE4	11	29
KIN28	10	61
RRP42	14	56
YFH1	4	11
CDC48	26	168
CDC53	28	197
SCM3	6	53
RPO21	61	461
BPL1	19	107
CCT4	14	62
COP1	19	104
RPN5	9	43
NOP14	39	367
RPC53	10	75
YDL152W	3	5
SAS10	7	19
CLB3	27	361
YDL163W	6	108
CDC9	24	247
CDC36	8	21
FAP7	5	38
NUS1	6	22
SEC31	25	294
YDL196W	8	71
HEM3	24	274
GLE1	4	3
NHP2	1	0
CWC2	6	43
SHR3	6	46
TIM22	6	24
CDC13	26	121
YDL221W	7	25
YPD1	0	0
YRB1	2	1
PSF1	2	1
DAD1	2	3
FAL1	10	91
SES1	9	51
KRS1	34	321
RSM10	2	7
HEM13	6	13
RPC11	5	14
BAP3	12	47
HEM12	25	298
TPI1	0	0
DBF4	12	48
YDR053W	1	0
CDC34	10	65
MAK21	23	158
LCB2	16	119
RPS13	5	14
PDC2	16	69
STN1	21	172
SSS1	0	0
RRP1	5	45
SLU7	10	50
RLI1	8	21
PDS1	6	7
APC4	18	83
INO2	12	79
DOP1	43	343
TAF12	5	47
CTH1	6	16
SSY1	9	21
SEC1	27	224
SEC5	23	149
TAF10	4	27
CDC37	19	141
SEC7	53	361
SUP35	20	213
UBC1	9	46
SCC2	35	235
CDC1	22	171
YDR187C	6	8
CCT6	35	250
SLY1	16	94
RVB1	14	84
CAB5	4	29
SPC19	5	8
MSS4	33	261
GCD6	20	150
TCP1	13	76
HTB1	4	26
PCF11	7	47
COX20	18	146
HEM1	18	234
RTN1	1	0
PRP42	3	21
FMN1	2	3
SEC26	30	299
SNU56	12	25
PRP28	18	105
TRS23	12	66
CIA1	16	181
RRP45	10	30
NSE3	8	63
SRP101	21	91
BFR2	11	40
CFT1	48	332
GPI11	3	8
RSC3	21	106
SRB7	4	10
TFB1	13	120
UTP4	10	30
YCG1	28	189
YDR327W	6	18
SKP1	9	44
GPI8	15	57
FCF1	0	0
YDR341C	17	71
TRR1	1	0
YDR355C	5	7
SPC110	19	122
BCP1	12	73
TFC6	22	135
ESF1	9	72
KEI1	1	0
FRQ1	6	14
ARH1	15	58
YRA1	14	76
SAC7	15	48
UBA2	8	53
RPT3	18	99
YDR396W	8	32
NCB2	8	32
UTP5	11	24
RPB7	0	0
TRS120	44	378
RRP17	0	0
YDR413C	0	0
SYF1	16	91
RPL12B	4	26
RPN9	8	23
TIF35	4	4
GPI17	16	156
GPI19	1	0
UTP6	11	80
GUK1	0	0
TFB3	7	10
SPP41	20	180
TLG1	9	30
UGO1	18	144
TRS31	6	12
PRP3	21	142
SNM1	6	29
RIB3	9	47
SLD5	17	142
SEC20	6	7
LCD1	13	47
PSP1	7	30
SMT3	3	13
YDR526C	2	1
RBA50	18	124
CAB1	18	107
WBP1	10	71
MMS21	6	20
SNU13	0	0
MCM3	32	221
HYP2	9	178
UTR5	4	6
POL5	19	213
PCM1	16	150
PMI40	12	121
YND1	32	277
NUG1	19	77
SEC3	43	357
NTF2	1	0
PRE1	4	6
PRP22	37	262
BIM1	16	132
SPC25	4	4
RPN3	16	93
SRB4	20	91
PRO3	6	37
GCD11	7	43
ARB1	15	115
KRE29	6	41
SAH1	20	207
ISD11	3	4
FCY21	13	54
YOS1	2	1
UTP7	12	89
TSC11	31	256
PUP3	8	34
RTT105	12	79
MAM1	1	0
LSM4	0	0
RSP5	19	92
NSA2	6	61
LCP5	9	26
GLC7	8	115
GDI1	13	91
LSM5	0	0
SCC4	24	240
SPT15	12	138
COG3	17	93
BUR6	4	6
PAB1	9	52
CCA1	21	92
RAD3	22	272
BRR2	65	609
SPB4	13	121
SEC4	4	7
SMC1	23	173
CDC4	26	198
GNA1	6	47
SMX2	0	0
FRS2	29	304
EPL1	30	169
CAK1	8	59
MOB2	6	17
TUB2	23	297
YPT1	12	64
ACT1	18	239
SEC53	1	0
NIC96	18	122
YPI1	5	20
RPN11	4	6
SAD1	13	70
ECO1	8	31
CDC14	13	90
PTR3	36	229
SMC2	35	234
RSC8	18	138
KEG1	5	20
PRE4	19	169
RET2	46	436
RPN12	8	38
ERG26	12	50
PMA1	22	196
SCL1	8	14
PUF4	30	343
JAC1	9	47
STT3	59	476
RPL30	7	34
HEM2	10	43
RNA15	5	22
ALG13	1	0
RPT6	4	16
OLE1	17	86
DUO1	7	31
ALG2	13	46
MNP1	8	18
YGL069C	8	18
HSF1	21	234
YGL074C	4	11
MPS2	12	86
NBP35	12	137
NUP145	26	264
SPC105	19	129
SRM1	21	203
USE1	3	2
LSG1	8	13
YGL102C	5	38
RPL28	9	85
NSA1	13	49
TAF6	0	0
SLD3	20	217
CDC20	21	193
PRP43	30	354
NAB2	13	147
RPS2	1	0
CWC23	0	0
CEG1	2	1
SEC27	27	124
GPI10	17	170
TIP20	23	103
INO80	63	596
CDC43	15	99
CUP2	14	169
SUA5	10	108
ROK1	16	118
NUP49	13	52
ATG1	24	104
MCM6	59	478
SPT16	28	203
VRG4	11	63
SEC15	24	115
CSE1	30	161
YGL239C	2	2
GUS1	20	165
BRR6	4	24
SWC4	6	17
TFG2	6	13
SEC9	13	44
SNU71	15	41
THG1	3	20
ERV1	5	49
POP6	3	8
TAM41	7	11
TFC4	27	162
UFD1	12	128
ERG25	10	103
VHT1	27	190
YGR073C	1	0
SMD1	0	0
PRP38	1	0
TOM20	5	43
GCD2	20	114
UTP22	12	63
PRP31	13	113
VAS1	40	423
RRP46	7	17
ESP1	25	165
TEL2	21	172
NOP7	14	79
DAM1	10	54
YGR114C	0	0
YGR115C	4	14
SPT6	52	340
NUP57	14	74
COG2	3	8
UTP8	4	16
CBF2	31	440
ENP2	23	183
NAT2	7	34
PTI1	5	6
MTR3	11	49
YIP1	4	18
ERG1	15	67
OKP1	19	106
TYS1	8	64
TFG1	19	75
YGR190C	1	0
HIP1	17	192
SKI6	5	27
YPP1	21	99
ZPR1	22	172
GPI1	15	95
CRM1	24	166
LSC2	24	178
SDA1	33	216
BRF1	22	209
NOP19	7	47
PUP2	11	109
MES1	21	209
YGR265W	8	69
FOL2	10	46
TAF1	24	174
CAB4	4	4
CWC22	11	146
PXR1	5	18
PAU12	3	18
RPS20	0	0
ARN2	18	100
TIM10	3	26
ERG11	16	68
SPO13	3	4
DED81	18	367
YHR020W	22	167
MYO1	43	255
MAS2	9	42
BRL1	13	75
BCD1	27	189
NCP1	22	211
CPR2	15	217
MED6	10	57
RPP1	4	21
RRP3	16	117
DYS1	26	290
RRP4	6	21
TRM5	15	123
ERG7	25	104
NOP10	0	0
QNS1	24	177
KSP1	31	255
SAM35	14	77
STE12	28	285
IPI1	2	1
NAM8	21	180
RPF1	2	1
SFB3	33	290
BIG1	6	8
CDC12	2	5
ORC6	16	89
YHR122W	9	63
RPC10	0	0
IMP3	18	123
DNA2	25	243
CDC23	25	234
NMD3	15	78
SPC97	15	80
KOG1	47	518
GPI16	24	292
ERG9	20	186
UTP9	28	206
RIX1	15	169
CFD1	12	54
BET1	2	1
FAF1	17	130
RPB3	21	143
TIM44	10	65
IRR1	30	215
ULP2	35	326
MET30	32	259
NEO1	17	92
MMF1	0	0
SNP1	4	10
ARC15	4	8
YRB2	17	75
SEC6	28	186
RPN2	42	326
THS1	20	201
CAB2	5	33
UTP25	38	249
SHQ1	23	200
MOB1	5	14
SEC24	46	489
NUP159	55	594
RHO3	11	72
STH1	21	108
TAO3	75	639
CCT2	27	181
SSL2	35	268
NDC80	22	123
SLN1	29	234
MCM10	21	177
DJP1	10	52
PAN1	40	183
PRI1	8	37
DSN1	17	91
STS1	8	37
SQT1	19	199
RPR2	3	6
SEC11	4	10
PRE3	5	12
OST1	8	34
CYR1	80	655
CCT8	19	206
YJL009W	4	49
NOP9	10	109
RPC17	3	10
CCT3	11	86
YJL015C	7	14
MPS3	21	60
RRN7	24	176
RNR2	19	137
BET4	5	4
YJL032W	1	0
HCA4	18	74
KAR2	14	97
TAD2	5	41
NUP192	30	124
NSP1	5	15
MTR4	50	496
TIM54	19	163
NUP82	10	74
UTP18	21	240
PSF2	11	102
SMC3	26	214
NET1	37	348
ARP4	4	7
EXO70	20	147
YJL086C	3	2
TRL1	12	42
DPB11	17	98
GWT1	10	71
PHS1	10	50
PAM16	3	2
IME2	33	249
UTP10	51	448
CCT7	11	41
ASF1	7	30
MTC1	14	75
GCD14	14	109
TIM17	7	35
SSY5	22	256
FAR1	32	321
TPK1	8	68
ERG20	11	107
RFA3	0	0
KRE9	6	60
CDC6	11	69
YJL195C	3	2
YJL202C	3	28
PRP21	8	73
MPP10	11	55
MRX12	12	78
POL31	6	12
SUI2	7	24
YJR012C	10	61
