Gene name	Number of transposons per gene	Number of reads per gene
TFC3	58	461
EFB1	7	8
MAK16	9	36
PRP45	19	211
POP5	4	4
YAL034C-B	15	59
MTW1	12	102
CDC19	42	415
CDC24	49	393
PTA1	34	398
RFA1	6	6
SEN34	18	175
CDC15	41	503
HTA2	3	3
UTP20	92	904
RRN6	65	628
POP8	13	47
RFT1	34	268
MCM2	36	299
LSM2	8	50
PET9	21	112
STU1	80	653
POL12	37	327
ERD2	34	412
PRE7	12	80
SEC17	14	132
YBL073W	19	146
AAR2	34	206
ILS1	56	463
YBL077W	8	44
CDC27	50	469
RPL32	7	10
BRN1	60	415
SFT2	10	44
PKC1	85	1021
RER2	17	39
GPI18	26	203
HHF1	2	3
IPP1	18	187
SCO2	8	34
CDS1	36	287
CHS2	69	796
REB1	53	544
PRP6	47	400
TSC3	3	2
ORC2	34	240
ALG14	11	94
RPG1	75	897
SEC18	45	315
RFC5	12	55
POL30	7	28
YBR089W	5	13
TIM12	2	1
EXO84	56	487
CMD1	1	0
ALG1	16	62
GRS1	3	2
TFC1	29	157
YBR124W	4	3
CKS1	10	73
MEC1	128	1417
IRA1	133	1191
MAK5	51	523
SUP45	28	166
SPP381	13	107
RIB7	11	28
RPB5	10	48
CNS1	15	37
AMN1	26	239
CDC28	14	76
POP7	6	39
YBR190W	10	89
RIM2	3	2
MED8	7	73
PGI1	22	192
TAF5	58	344
MCM7	43	427
AME1	10	98
DAD3	4	7
ARC40	37	410
ABD1	27	262
PRP5	42	389
ALG7	16	107
ENP1	11	78
DUT1	3	16
SRB6	6	7
TRS20	14	69
RIB5	9	31
POP4	8	67
TSC10	32	221
PGS1	20	132
NFS1	28	207
RRP7	29	349
YCL041C	13	75
PDI1	52	846
PBN1	26	170
SPB1	74	797
KRR1	15	75
HMLALPHA2	0	0
PGK1	3	22
YCR013C	4	21
RRP43	10	57
MATALPHA2	0	0
RSC6	20	193
CTR86	43	452
PWP2	51	705
RSA4	37	329
CDC39	99	1285
HMRA2	0	0
MCD1	23	260
ATP16	1	0
RPT2	21	137
APC11	25	196
SLX5	21	82
NOP1	12	40
TSC13	11	92
YDL016C	5	8
CDC7	32	289
MPS1	60	654
ARP2	7	13
PRP9	32	248
DBP10	30	326
PRP11	18	174
FAD1	14	47
PSA1	10	80
USO1	77	741
TSR1	48	460
UBC9	17	159
COX9	7	81
SUB2	21	191
LUC7	4	5
SRP14	26	232
RPN6	39	389
SNU23	19	99
POL3	52	493
QRI1	16	170
NSE4	16	102
KIN28	15	163
RRP42	14	132
YFH1	7	27
CDC48	46	580
CDC53	44	455
SCM3	12	186
RPO21	93	992
BPL1	43	319
CCT4	29	274
COP1	38	293
RPN5	15	141
NOP14	58	815
RPC53	20	206
YDL152W	3	10
SAS10	22	75
CLB3	43	664
YDL163W	12	100
CDC9	60	394
CDC36	13	83
FAP7	13	45
NUS1	11	67
SEC31	48	615
YDL196W	20	165
HEM3	36	550
GLE1	10	34
NHP2	3	3
CWC2	13	82
SHR3	8	75
TIM22	7	20
CDC13	51	452
YDL221W	19	75
YPD1	0	0
YRB1	2	1
PSF1	3	2
DAD1	1	0
FAL1	20	110
SES1	13	107
KRS1	76	746
RSM10	5	27
HEM13	9	33
RPC11	4	16
BAP3	40	204
HEM12	52	560
TPI1	0	0
DBF4	40	258
YDR053W	5	8
CDC34	14	151
MAK21	45	284
LCB2	32	232
RPS13	12	91
PDC2	32	202
STN1	36	285
SSS1	0	0
RRP1	8	44
SLU7	11	145
RLI1	23	65
PDS1	13	37
APC4	40	334
INO2	29	283
DOP1	80	845
TAF12	5	106
CTH1	5	21
SSY1	22	61
SEC1	53	489
SEC5	38	407
TAF10	9	96
CDC37	33	380
SEC7	103	1083
SUP35	31	313
UBC1	13	84
SCC2	73	738
CDC1	36	329
YDR187C	7	9
CCT6	50	738
SLY1	27	230
RVB1	19	142
CAB5	7	49
SPC19	7	18
MSS4	55	486
GCD6	37	332
TCP1	19	186
HTB1	9	44
PCF11	17	143
COX20	23	273
HEM1	33	486
RTN1	3	6
PRP42	3	10
FMN1	9	23
SEC26	52	682
SNU56	15	76
PRP28	33	297
TRS23	29	145
CIA1	37	445
RRP45	9	101
NSE3	21	158
SRP101	34	437
BFR2	15	112
CFT1	81	725
GPI11	13	45
RSC3	36	283
SRB7	8	44
TFB1	32	376
UTP4	22	190
YCG1	50	557
YDR327W	11	76
SKP1	19	80
GPI8	26	169
FCF1	1	0
YDR341C	43	282
TRR1	2	1
YDR355C	3	17
SPC110	31	293
BCP1	38	404
TFC6	48	360
ESF1	14	147
KEI1	2	1
FRQ1	6	36
ARH1	17	90
YRA1	18	145
SAC7	20	180
UBA2	21	139
RPT3	22	280
YDR396W	16	131
NCB2	14	129
UTP5	12	19
RPB7	5	5
TRS120	71	814
RRP17	0	0
YDR413C	0	0
SYF1	38	339
RPL12B	8	57
RPN9	17	117
TIF35	4	3
GPI17	41	523
GPI19	5	6
UTP6	21	185
GUK1	0	0
TFB3	13	114
SPP41	35	317
TLG1	11	81
UGO1	31	344
TRS31	14	102
PRP3	40	494
SNM1	14	86
RIB3	14	73
SLD5	40	489
SEC20	8	17
LCD1	27	131
PSP1	21	55
SMT3	7	41
YDR526C	3	2
RBA50	34	300
CAB1	35	440
WBP1	18	102
MMS21	21	46
SNU13	0	0
MCM3	71	546
HYP2	14	192
UTR5	9	24
POL5	64	522
PCM1	29	419
PMI40	29	231
YND1	62	902
NUG1	38	327
SEC3	75	535
NTF2	3	6
PRE1	5	13
PRP22	66	712
BIM1	35	407
SPC25	9	24
RPN3	28	291
SRB4	39	284
PRO3	12	56
GCD11	17	98
ARB1	28	210
KRE29	11	82
SAH1	32	415
ISD11	5	13
FCY21	25	174
YOS1	3	2
UTP7	11	165
TSC11	66	670
PUP3	14	63
RTT105	24	266
MAM1	3	2
LSM4	0	0
RSP5	33	255
NSA2	15	98
LCP5	17	145
GLC7	11	109
GDI1	30	341
LSM5	4	6
SCC4	57	722
SPT15	18	217
COG3	33	333
BUR6	9	22
PAB1	18	138
CCA1	36	418
RAD3	33	275
BRR2	106	1209
SPB4	32	278
SEC4	7	28
SMC1	45	376
CDC4	55	404
GNA1	10	130
SMX2	1	0
FRS2	48	561
EPL1	56	579
CAK1	22	254
MOB2	16	62
TUB2	53	574
YPT1	19	123
ACT1	26	294
SEC53	2	1
NIC96	40	389
YPI1	9	99
RPN11	3	35
SAD1	21	163
ECO1	15	122
CDC14	34	275
PTR3	51	597
SMC2	85	800
RSC8	37	283
KEG1	10	45
PRE4	38	386
RET2	86	1061
RPN12	14	68
ERG26	22	103
PMA1	40	257
SCL1	15	66
PUF4	55	719
JAC1	19	176
STT3	81	1051
RPL30	8	32
HEM2	14	72
RNA15	11	79
ALG13	4	3
RPT6	6	37
OLE1	19	189
DUO1	16	143
ALG2	22	131
MNP1	9	50
YGL069C	9	50
HSF1	59	466
YGL074C	7	52
MPS2	27	181
NBP35	23	313
NUP145	46	468
SPC105	38	348
SRM1	46	386
USE1	5	4
LSG1	14	76
YGL102C	12	112
RPL28	18	186
NSA1	19	145
TAF6	2	1
SLD3	48	444
CDC20	37	431
PRP43	60	624
NAB2	38	332
RPS2	3	2
CWC23	0	0
CEG1	10	10
SEC27	50	501
GPI10	31	413
TIP20	40	362
INO80	121	1393
CDC43	34	345
CUP2	24	372
SUA5	25	301
ROK1	29	236
NUP49	28	175
ATG1	51	309
MCM6	112	1180
SPT16	56	607
