Gene name	Number of transposons per gene	Number of reads per gene
TFC3	36	274
EFB1	3	2
MAK16	12	16
PRP45	40	369
POP5	2	1
YAL034C-B	43	650
MTW1	15	96
CDC19	16	97
CDC24	24	226
PTA1	42	183
RFA1	12	20
SEN34	16	77
CDC15	30	179
HTA2	26	161
UTP20	52	263
RRN6	46	324
POP8	12	90
RFT1	28	137
MCM2	25	110
LSM2	8	30
PET9	25	139
STU1	79	594
POL12	37	258
ERD2	17	104
PRE7	6	12
SEC17	11	71
YBL073W	28	600
AAR2	31	159
ILS1	30	108
YBL077W	19	186
CDC27	26	184
RPL32	2	1
BRN1	40	198
SFT2	22	113
PKC1	38	294
RER2	26	347
GPI18	23	52
HHF1	11	34
IPP1	21	149
SCO2	36	283
CDS1	35	110
CHS2	43	329
REB1	41	218
PRP6	52	429
TSC3	3	2
ORC2	25	213
ALG14	12	29
RPG1	56	305
SEC18	24	95
RFC5	4	3
POL30	6	21
YBR089W	5	11
TIM12	3	2
EXO84	62	790
CMD1	1	0
ALG1	8	62
GRS1	4	9
TFC1	19	94
YBR124W	21	202
CKS1	4	32
MEC1	130	1218
IRA1	74	574
MAK5	37	205
SUP45	13	39
SPP381	20	195
RIB7	8	9
RPB5	5	5
CNS1	14	37
AMN1	52	654
CDC28	8	20
POP7	9	12
YBR190W	19	83
RIM2	2	1
MED8	3	20
PGI1	18	71
TAF5	17	82
MCM7	29	158
AME1	12	24
DAD3	3	2
ARC40	16	138
ABD1	14	72
PRP5	32	185
ALG7	10	27
ENP1	5	48
DUT1	6	15
SRB6	4	4
TRS20	9	40
RIB5	15	113
POP4	9	23
TSC10	18	100
PGS1	26	346
NFS1	15	39
RRP7	25	221
YCL041C	46	111
PDI1	50	363
PBN1	24	119
SPB1	41	207
KRR1	22	250
HMLALPHA2	0	0
PGK1	4	6
YCR013C	7	36
RRP43	3	28
MATALPHA2	0	0
RSC6	10	132
CTR86	36	234
PWP2	43	429
RSA4	26	198
CDC39	75	782
HMRA2	4	3
MCD1	20	95
ATP16	4	4
RPT2	18	71
APC11	14	291
SLX5	40	177
NOP1	5	7
TSC13	5	13
YDL016C	11	62
CDC7	24	188
MPS1	48	407
ARP2	4	4
PRP9	21	76
DBP10	31	181
PRP11	14	55
FAD1	11	59
PSA1	14	30
USO1	81	760
TSR1	33	198
UBC9	10	57
COX9	7	55
SUB2	5	11
LUC7	12	29
SRP14	28	273
RPN6	29	144
SNU23	11	41
POL3	36	350
QRI1	10	65
NSE4	11	43
KIN28	21	113
RRP42	7	21
YFH1	6	9
CDC48	35	386
CDC53	36	190
SCM3	11	112
RPO21	59	394
BPL1	24	122
CCT4	17	78
COP1	28	132
RPN5	13	51
NOP14	52	340
RPC53	14	74
YDL152W	18	159
SAS10	9	25
CLB3	33	275
YDL163W	11	97
CDC9	42	233
CDC36	10	46
FAP7	13	85
NUS1	5	11
SEC31	45	412
YDL196W	42	383
HEM3	33	228
GLE1	16	45
NHP2	4	8
CWC2	13	40
SHR3	8	130
TIM22	5	49
CDC13	53	415
YDL221W	42	469
YPD1	0	0
YRB1	5	4
PSF1	2	1
DAD1	1	0
FAL1	8	38
SES1	8	20
KRS1	33	290
RSM10	7	21
HEM13	5	8
RPC11	6	9
BAP3	51	390
HEM12	36	348
TPI1	2	1
DBF4	24	95
YDR053W	5	4
CDC34	13	104
MAK21	36	225
LCB2	23	224
RPS13	5	34
PDC2	20	59
STN1	26	139
SSS1	0	0
RRP1	7	10
SLU7	14	27
RLI1	13	26
PDS1	16	80
APC4	37	217
INO2	14	56
DOP1	41	335
TAF12	10	41
CTH1	28	117
SSY1	9	12
SEC1	31	236
SEC5	71	452
TAF10	7	33
CDC37	27	258
SEC7	71	457
SUP35	22	114
UBC1	7	22
SCC2	58	345
CDC1	23	138
YDR187C	15	74
CCT6	27	271
SLY1	18	55
RVB1	9	29
CAB5	5	6
SPC19	10	22
MSS4	43	336
GCD6	21	74
TCP1	20	99
HTB1	7	40
PCF11	15	62
COX20	22	121
HEM1	23	210
RTN1	11	64
PRP42	7	28
FMN1	4	35
SEC26	28	333
SNU56	25	215
PRP28	17	136
TRS23	17	85
CIA1	21	166
RRP45	12	42
NSE3	10	11
SRP101	30	146
BFR2	22	76
CFT1	42	241
GPI11	7	16
RSC3	27	133
SRB7	7	12
TFB1	31	388
UTP4	12	42
YCG1	31	338
YDR327W	7	15
SKP1	9	18
GPI8	22	93
FCF1	4	3
YDR341C	21	101
TRR1	2	1
YDR355C	3	2
SPC110	27	161
BCP1	20	168
TFC6	37	158
ESF1	19	62
KEI1	1	0
FRQ1	3	9
ARH1	13	34
YRA1	14	72
SAC7	31	261
UBA2	14	97
RPT3	13	44
YDR396W	12	53
NCB2	10	51
UTP5	19	76
RPB7	1	0
TRS120	53	321
RRP17	4	7
YDR413C	4	7
SYF1	34	250
RPL12B	3	6
RPN9	17	41
TIF35	6	12
GPI17	27	256
GPI19	9	30
UTP6	11	104
GUK1	0	0
TFB3	8	15
SPP41	33	140
TLG1	16	46
UGO1	25	188
TRS31	12	58
PRP3	36	269
SNM1	9	41
RIB3	11	32
SLD5	18	209
SEC20	11	115
LCD1	28	112
PSP1	20	92
SMT3	9	23
YDR526C	2	3
RBA50	19	150
CAB1	29	153
WBP1	9	72
MMS21	17	48
SNU13	1	0
MCM3	34	216
HYP2	9	39
UTR5	94	1547
POL5	32	166
PCM1	31	212
PMI40	20	101
YND1	220	12655
NUG1	35	141
SEC3	162	3409
NTF2	4	4
PRE1	18	107
PRP22	46	445
BIM1	68	1157
SPC25	15	47
RPN3	28	197
SRB4	21	70
PRO3	13	21
GCD11	10	38
ARB1	16	73
KRE29	12	53
SAH1	20	262
ISD11	4	13
FCY21	42	344
YOS1	7	83
UTP7	18	98
TSC11	85	923
PUP3	9	16
RTT105	27	224
MAM1	9	35
LSM4	1	0
RSP5	18	141
NSA2	7	25
LCP5	14	44
GLC7	10	61
GDI1	16	86
LSM5	5	4
SCC4	48	341
SPT15	12	56
COG3	41	269
BUR6	10	31
PAB1	11	143
CCA1	25	149
RAD3	27	193
BRR2	71	837
SPB4	15	85
SEC4	11	21
SMC1	22	92
CDC4	36	225
GNA1	11	133
SMX2	2	1
FRS2	28	107
EPL1	50	279
CAK1	14	61
MOB2	19	101
TUB2	34	225
YPT1	11	44
ACT1	20	135
SEC53	0	0
NIC96	63	453
YPI1	14	88
RPN11	6	32
SAD1	15	74
ECO1	10	48
CDC14	29	240
PTR3	44	263
SMC2	40	220
RSC8	21	157
KEG1	3	14
PRE4	23	134
RET2	94	1337
RPN12	13	35
ERG26	18	60
PMA1	17	73
SCL1	18	173
