Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	32	542
YAL068W-A	7	48
PAU8	13	97
YAL067W-A	8	19
SEO1	64	588
YAL066W	18	160
YAL065C	21	146
YAL064W-B	22	300
TDA8	23	194
YAL064W	18	97
YAL063C-A	25	279
FLO9	203	2818
GDH3	133	2019
BDH2	124	2224
BDH1	61	845
YAL059C-A	15	128
ECM1	23	113
CNE1	133	5696
YAL056C-A	32	659
GPB2	48	313
PEX22	25	261
ACS1	138	1635
FLC2	58	475
OAF1	105	941
AIM2	30	286
GEM1	101	1172
YAL047W-A	20	55
SPC72	22	218
BOL3	29	276
YAL045C	12	130
BOL1	16	188
GCV3	19	109
PTA1	42	183
YAL042C-A	28	292
ERV46	67	741
CDC24	24	226
CLN3	42	222
CYC3	58	445
CDC19	16	97
YAL037C-B	10	52
YAL037C-A	6	34
YAL037W	32	181
RBG1	43	394
FUN12	28	157
YAL034C-B	43	650
MTW1	15	96
FUN19	60	600
POP5	2	1
PRP45	40	369
YAL031W-A	16	70
GIP4	63	498
SNC1	28	194
MYO4	122	940
FRT2	54	404
SAW1	51	459
YAL026C-A	13	27
DRS2	104	771
MAK16	12	16
LTE1	39	227
PMT2	57	476
FUN26	86	1466
CCR4	66	619
ATS1	61	508
YAL019W-A	63	1335
FUN30	95	783
LDS1	24	166
PSK1	136	1616
YAL016C-B	17	79
YAL016C-A	16	101
TPD3	10	15
NTG1	74	837
SYN8	52	546
DEP1	37	125
CYS3	19	118
SWC3	71	1063
MDM10	12	65
SPO7	4	3
FUN14	42	617
ERP2	36	459
SSA1	169	1423
YAL004W	33	159
EFB1	3	2
VPS8	203	4290
TFC3	36	274
NUP60	59	562
ERP1	65	895
SWD1	22	87
RFA1	12	20
SEN34	16	77
BUD14	222	5644
ADE1	11	28
KIN3	44	264
CDC15	30	179
YAR019W-A	49	900
PAU7	9	50
YAR023C	31	308
UIP3	31	263
YAR028W	47	510
YAR029W	1	0
YAR030C	19	210
PRM9	52	508
MST28	74	708
YAT1	318	5047
YAR035C-A	10	72
SWH1	92	855
YAR047C	0	0
FLO1	227	4059
YAR053W	4	3
YAR060C	17	70
YAR064W	31	138
YAR066W	12	41
YAR068W	15	216
YAR069C	17	80
YAR070C	14	149
PHO11	50	352
IMD1	19	187
YAR075W	2	1
YBL113C	169	989
YBL113W-A	62	277
YBL112C	34	227
YBL111C	325	2490
YBL109W	50	596
PAU9	9	54
YBL108W	29	620
YBL107W-A	3	2
MIX23	34	177
SRO77	108	1507
PKC1	38	294
SEA4	169	2308
RTG3	25	128
SFT2	22	113
ECM21	119	1392
YBL100W-C	10	54
YBL100C	1	0
ATP1	16	86
BNA4	41	409
BRN1	40	198
YBL096C	22	253
MRX3	29	389
YBL094C	5	52
ROX3	55	3281
RPL32	2	1
SCS22	29	216
MAP2	43	321
MRP21	23	126
AVT5	43	205
TEL1	221	2440
RPL23A	18	172
YBL086C	10	42
BOI1	38	354
CDC27	26	184
YBL083C	8	14
ALG3	40	271
YBL081W	79	1947
PET112	37	229
NUP170	85	704
ATG8	6	43
YBL077W	19	186
ILS1	30	108
SSA3	90	889
AAR2	31	159
YBL073W	28	600
RPS8A	5	8
YBL071C-B	4	3
KTI11	6	5
YBL071C	14	70
YBL070C	12	88
AST1	41	312
YBL068W-A	8	20
PRS4	27	269
UBP13	22	103
SEF1	111	1118
YBL065W	26	194
PRX1	40	382
KIP1	109	1011
YBL062W	15	72
SKT5	48	376
YEL1	50	359
CMC2	2	1
YBL059W	30	383
SHP1	48	410
PTH2	31	290
PTC3	48	411
YBL055C	57	685
TOD6	41	241
YBL053W	14	135
SAS3	80	736
PIN4	46	377
SEC17	11	71
MOH1	15	36
RRT1	8	37
EDE1	111	851
PSY4	58	779
COR1	12	26
YBL044W	70	1697
ECM13	19	69
FUI1	84	758
PRE7	6	12
ERD2	17	104
YBL039W-B	4	3
URA7	60	951
YBL039C-A	1	0
MRPL16	22	146
APL3	72	567
YBL036C	36	370
POL12	37	258
STU1	79	594
RIB1	24	128
HEK2	33	239
SHE1	36	172
PET9	25	139
YBL029C-A	17	148
YBL029W	67	839
YBL028C	13	202
RPL19B	3	13
LSM2	8	30
RRN10	4	3
NCL1	46	382
MCM2	25	110
PIM1	50	341
HAP3	21	149
RFT1	28	137
APN2	60	646
POP8	12	90
PEP1	139	1292
FUS3	68	1047
ACH1	114	1585
RRN6	46	324
FMT1	179	2496
YBL012C	42	480
SCT1	81	856
YBL010C	38	341
ALK2	107	1602
YBL008W-A	23	153
HIR1	84	798
SLA1	56	470
LDB7	38	666
YBL006W-A	13	339
PDR3	132	1571
UTP20	52	263
HTA2	26	161
HTB2	57	725
ECM15	37	544
NTH2	164	2028
RER2	26	347
COQ1	37	197
GPI18	23	52
RCR1	68	1122
UGA2	158	2802
DSF2	195	3444
FLR1	136	2353
HHF1	11	34
HHT1	20	64
IPP1	21	149
YBR012C	15	160
YBR013C	24	231
GRX7	11	164
MNN2	93	1241
YBR016W	42	755
KAP104	29	200
GAL7	55	404
GAL10	128	1526
GAL1	102	933
FUR4	85	1070
POA1	35	268
CHS3	22	119
SCO2	36	283
OLA1	31	188
ETR1	7	39
YBR027C	22	199
YPK3	27	208
CDS1	35	110
RKM3	45	756
RPL4A	12	35
YBR032W	40	454
EDS1	125	1527
HMT1	50	454
PDX3	37	442
CSG2	26	194
SCO1	26	136
CHS2	43	329
ATP3	20	93
FIG1	11	18
FAT1	34	150
CST26	26	195
QDR3	52	368
TCM62	54	530
GIP1	49	365
ZTA1	29	151
FMP23	23	86
RPS11B	17	64
REB1	41	218
REG2	35	216
YBR051W	12	64
RFS1	22	163
YBR053C	24	189
YRO2	46	605
PRP6	52	429
YBR056W	55	690
YBR056W-A	10	126
YBR056C-B	8	121
MUM2	39	285
UBP14	37	149
TSC3	3	2
AKL1	63	597
ORC2	25	213
TRM7	38	295
YBR062C	16	184
YBR063C	25	143
YBR064W	1	0
ECM2	29	155
NRG2	29	124
TIP1	12	71
BAP2	54	369
TAT1	34	519
ALG14	12	29
YBR071W	20	144
HSP26	17	106
YBR072C-A	12	24
RDH54	69	666
PFF1	86	739
ECM8	50	466
YBR076C-A	24	405
SLM4	19	154
ECM33	12	95
RPG1	56	305
SEC18	24	95
SPT7	72	416
UBC4	39	944
TEC1	61	749
MIS1	83	1157
RPL19A	27	149
AAC3	27	167
YBR085C-A	11	81
IST2	32	175
RFC5	4	3
POL30	6	21
YBR089W	5	11
NHP6B	7	45
YBR090C	48	263
TIM12	3	2
PHO3	36	446
PHO5	54	977
PBY1	77	500
