Gene name	Number of transposons per gene	Number of reads per gene
TFC3	39	147
EFB1	2	1
MAK16	9	34
PRP45	33	362
POP5	2	1
YAL034C-B	29	459
MTW1	23	210
CDC19	13	85
CDC24	27	354
PTA1	28	175
RFA1	6	5
SEN34	14	78
CDC15	26	165
HTA2	28	211
UTP20	56	399
RRN6	48	216
POP8	11	58
RFT1	27	70
MCM2	30	180
LSM2	9	39
PET9	18	87
STU1	62	624
POL12	33	370
ERD2	16	121
PRE7	8	17
SEC17	14	20
YBL073W	36	797
AAR2	30	203
ILS1	28	169
YBL077W	25	356
CDC27	25	155
RPL32	1	0
BRN1	37	236
SFT2	18	131
PKC1	44	359
RER2	20	275
GPI18	15	69
HHF1	5	9
IPP1	15	99
SCO2	42	259
CDS1	28	142
CHS2	50	423
REB1	39	325
PRP6	37	306
TSC3	4	6
ORC2	23	215
ALG14	4	26
RPG1	60	395
SEC18	16	134
RFC5	4	10
POL30	3	3
YBR089W	2	1
TIM12	7	6
EXO84	40	383
CMD1	0	0
ALG1	7	20
GRS1	2	1
TFC1	18	96
YBR124W	17	248
CKS1	5	24
MEC1	101	1287
IRA1	62	519
MAK5	42	246
SUP45	9	37
SPP381	28	151
RIB7	4	4
RPB5	3	3
CNS1	8	8
AMN1	48	521
CDC28	6	13
POP7	4	13
YBR190W	7	57
RIM2	5	4
MED8	9	53
PGI1	13	61
TAF5	27	118
MCM7	28	285
AME1	9	34
DAD3	1	0
ARC40	16	212
ABD1	15	90
PRP5	26	202
ALG7	5	5
ENP1	8	35
DUT1	3	6
SRB6	5	12
TRS20	8	25
RIB5	4	44
POP4	7	24
TSC10	11	87
PGS1	29	430
NFS1	21	83
RRP7	19	78
YCL041C	38	126
PDI1	36	324
PBN1	17	138
SPB1	45	205
KRR1	10	78
HMLALPHA2	2	1
PGK1	5	17
YCR013C	5	33
RRP43	7	13
MATALPHA2	2	1
RSC6	19	112
CTR86	27	176
PWP2	39	236
RSA4	16	145
CDC39	71	434
HMRA2	1	0
MCD1	12	107
ATP16	6	6
RPT2	12	55
APC11	19	204
SLX5	45	244
NOP1	5	7
TSC13	5	22
YDL016C	8	60
CDC7	21	184
MPS1	35	276
ARP2	4	4
PRP9	21	76
DBP10	22	200
PRP11	15	84
FAD1	9	20
PSA1	8	31
USO1	63	624
TSR1	25	290
UBC9	8	26
COX9	8	15
SUB2	6	23
LUC7	6	11
SRP14	21	347
RPN6	20	62
SNU23	10	54
POL3	32	258
QRI1	13	36
NSE4	11	45
KIN28	15	72
RRP42	13	43
YFH1	4	3
CDC48	29	404
CDC53	32	248
SCM3	7	41
RPO21	47	295
BPL1	28	113
CCT4	19	79
COP1	27	118
RPN5	11	55
NOP14	63	639
RPC53	12	79
YDL152W	13	65
SAS10	6	23
CLB3	41	386
YDL163W	10	113
CDC9	31	267
CDC36	9	45
FAP7	5	40
NUS1	6	24
SEC31	37	424
YDL196W	42	490
HEM3	20	106
GLE1	8	7
NHP2	2	1
CWC2	13	26
SHR3	5	61
TIM22	6	23
CDC13	60	891
YDL221W	53	765
YPD1	0	0
YRB1	1	0
PSF1	3	2
DAD1	3	3
FAL1	7	22
SES1	12	42
KRS1	31	156
RSM10	6	11
HEM13	6	21
RPC11	3	8
BAP3	40	428
HEM12	22	171
TPI1	1	0
DBF4	19	155
YDR053W	3	2
CDC34	9	48
MAK21	25	99
LCB2	13	105
RPS13	5	19
PDC2	20	64
STN1	22	104
SSS1	0	0
RRP1	6	19
SLU7	16	39
RLI1	11	18
PDS1	14	67
APC4	25	123
INO2	14	135
DOP1	43	225
TAF12	10	26
CTH1	24	195
SSY1	4	6
SEC1	20	199
SEC5	41	241
TAF10	7	27
CDC37	23	114
SEC7	47	320
SUP35	21	177
UBC1	8	19
SCC2	41	249
CDC1	20	123
YDR187C	14	124
CCT6	36	239
SLY1	10	29
RVB1	11	59
CAB5	7	33
SPC19	11	46
MSS4	36	388
GCD6	24	155
TCP1	12	91
HTB1	4	31
PCF11	6	14
COX20	22	214
HEM1	25	172
RTN1	14	106
PRP42	4	19
FMN1	3	5
SEC26	29	194
SNU56	8	42
PRP28	19	128
TRS23	17	106
CIA1	17	234
RRP45	12	80
NSE3	8	48
SRP101	18	103
BFR2	8	20
CFT1	50	349
GPI11	2	1
RSC3	18	89
SRB7	7	25
TFB1	29	293
UTP4	13	41
YCG1	32	158
YDR327W	5	14
SKP1	7	28
GPI8	15	53
FCF1	1	0
YDR341C	19	66
TRR1	1	0
YDR355C	3	19
SPC110	21	83
BCP1	14	150
TFC6	20	102
ESF1	18	52
KEI1	4	4
FRQ1	6	13
ARH1	13	47
YRA1	10	39
SAC7	27	113
UBA2	13	117
RPT3	14	105
YDR396W	11	39
NCB2	11	39
UTP5	9	20
RPB7	1	0
TRS120	43	539
RRP17	2	1
YDR413C	2	1
SYF1	34	285
RPL12B	3	4
RPN9	13	23
TIF35	6	13
GPI17	26	101
GPI19	5	37
UTP6	12	30
GUK1	1	0
TFB3	7	11
SPP41	28	245
TLG1	13	38
UGO1	28	112
TRS31	12	78
PRP3	31	358
