Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	35	474
YAL068W-A	11	145
PAU8	23	184
YAL067W-A	8	24
SEO1	56	860
YAL066W	11	70
YAL065C	25	327
YAL064W-B	26	357
TDA8	17	111
YAL064W	11	92
YAL063C-A	15	149
FLO9	217	3181
GDH3	140	2284
BDH2	110	3253
BDH1	67	1137
YAL059C-A	19	228
ECM1	24	291
CNE1	104	2200
YAL056C-A	24	538
GPB2	58	455
PEX22	29	421
ACS1	123	1777
FLC2	30	274
OAF1	125	1169
AIM2	33	559
GEM1	77	621
YAL047W-A	20	105
SPC72	22	182
BOL3	26	547
YAL045C	10	49
BOL1	13	92
GCV3	21	193
PTA1	28	175
YAL042C-A	26	297
ERV46	49	486
CDC24	27	354
CLN3	37	242
CYC3	93	1001
CDC19	13	85
YAL037C-B	7	30
YAL037C-A	12	197
YAL037W	32	170
RBG1	46	379
FUN12	23	67
YAL034C-B	29	459
MTW1	23	210
FUN19	55	681
POP5	2	1
PRP45	33	362
YAL031W-A	13	132
GIP4	59	746
SNC1	24	388
MYO4	126	1424
FRT2	50	723
SAW1	48	372
YAL026C-A	14	49
DRS2	114	1514
MAK16	9	34
LTE1	37	141
PMT2	60	621
FUN26	92	1404
CCR4	57	576
ATS1	74	851
YAL019W-A	69	1429
FUN30	83	1033
LDS1	32	262
PSK1	143	1477
YAL016C-B	18	54
YAL016C-A	14	321
TPD3	6	9
NTG1	69	928
SYN8	46	475
DEP1	23	72
CYS3	13	53
SWC3	64	623
MDM10	14	36
SPO7	2	1
FUN14	30	449
ERP2	30	456
SSA1	180	2287
YAL004W	25	129
EFB1	2	1
VPS8	183	2462
TFC3	39	147
NUP60	62	552
ERP1	52	795
SWD1	19	87
RFA1	6	5
SEN34	14	78
BUD14	130	2132
ADE1	9	57
KIN3	27	170
CDC15	26	165
YAR019W-A	51	833
PAU7	16	179
YAR023C	35	534
UIP3	47	580
YAR028W	45	591
YAR029W	3	6
YAR030C	6	16
PRM9	38	303
MST28	67	840
YAT1	317	6643
YAR035C-A	11	93
SWH1	105	1229
YAR047C	0	0
FLO1	242	5531
YAR053W	4	8
YAR060C	16	55
YAR064W	19	94
YAR066W	15	38
YAR068W	18	123
YAR069C	22	153
YAR070C	13	66
PHO11	35	245
IMD1	18	121
YAR075W	4	26
YBL113C	162	979
YBL113W-A	54	242
YBL112C	32	151
YBL111C	344	2760
YBL109W	57	469
PAU9	15	63
YBL108W	25	373
YBL107W-A	6	5
MIX23	31	173
SRO77	80	1021
PKC1	44	359
SEA4	139	1936
RTG3	17	85
SFT2	18	131
ECM21	117	2095
YBL100W-C	15	132
YBL100C	2	2
ATP1	24	162
BNA4	40	368
BRN1	37	236
YBL096C	27	302
MRX3	28	225
YBL094C	9	18
ROX3	22	123
RPL32	1	0
SCS22	24	163
MAP2	48	430
MRP21	16	105
AVT5	42	377
TEL1	190	2022
RPL23A	23	228
YBL086C	12	36
BOI1	37	184
CDC27	25	155
YBL083C	6	15
ALG3	42	318
YBL081W	40	907
PET112	33	297
NUP170	78	797
ATG8	3	2
YBL077W	25	356
ILS1	28	169
SSA3	119	1491
AAR2	30	203
YBL073W	36	797
RPS8A	5	17
YBL071C-B	2	1
KTI11	2	1
YBL071C	13	110
YBL070C	9	41
AST1	40	337
YBL068W-A	5	47
PRS4	27	437
UBP13	33	204
SEF1	85	1235
YBL065W	20	233
PRX1	24	166
KIP1	111	1342
YBL062W	12	193
SKT5	37	531
YEL1	59	537
CMC2	2	3
YBL059W	23	303
SHP1	33	343
PTH2	39	739
PTC3	50	518
YBL055C	56	894
TOD6	42	328
YBL053W	10	29
SAS3	60	435
PIN4	43	361
SEC17	14	20
MOH1	8	41
RRT1	13	43
EDE1	83	622
PSY4	64	718
COR1	7	8
YBL044W	57	1367
ECM13	19	121
FUI1	61	688
PRE7	8	17
ERD2	16	121
YBL039W-B	3	2
URA7	62	813
YBL039C-A	3	62
MRPL16	20	165
APL3	80	690
YBL036C	44	332
POL12	33	370
STU1	62	624
RIB1	23	190
HEK2	36	363
SHE1	46	430
PET9	18	87
YBL029C-A	22	165
YBL029W	66	1052
YBL028C	14	202
RPL19B	8	14
LSM2	9	39
RRN10	7	14
NCL1	48	585
MCM2	30	180
PIM1	54	270
HAP3	14	171
RFT1	27	70
APN2	68	760
POP8	11	58
PEP1	159	1836
FUS3	67	1377
ACH1	105	1698
RRN6	48	216
FMT1	167	3253
YBL012C	43	481
SCT1	99	1278
YBL010C	43	479
ALK2	115	1770
YBL008W-A	22	421
HIR1	59	564
SLA1	48	504
LDB7	43	578
YBL006W-A	12	254
PDR3	121	1236
UTP20	56	399
HTA2	28	211
HTB2	41	704
ECM15	34	339
NTH2	147	1874
RER2	20	275
COQ1	53	568
GPI18	15	69
RCR1	72	1144
UGA2	143	2598
DSF2	170	2870
FLR1	131	2462
HHF1	5	9
HHT1	17	95
IPP1	15	99
YBR012C	16	96
YBR013C	25	113
GRX7	18	115
MNN2	49	351
YBR016W	33	423
KAP104	28	171
GAL7	57	853
GAL10	133	1895
GAL1	83	965
FUR4	70	665
POA1	44	452
CHS3	20	114
SCO2	42	259
OLA1	25	137
ETR1	13	84
YBR027C	22	442
YPK3	44	284
CDS1	28	142
RKM3	40	525
RPL4A	9	66
YBR032W	35	463
EDS1	114	1865
HMT1	40	342
PDX3	21	315
CSG2	46	414
SCO1	27	140
CHS2	50	423
ATP3	14	56
FIG1	13	87
FAT1	29	168
CST26	16	66
QDR3	60	735
TCM62	61	683
GIP1	35	316
ZTA1	26	195
FMP23	28	335
RPS11B	16	128
REB1	39	325
REG2	36	351
YBR051W	9	84
RFS1	22	373
YBR053C	35	349
YRO2	56	817
PRP6	37	306
YBR056W	50	815
YBR056W-A	5	46
YBR056C-B	4	38
MUM2	46	782
UBP14	45	249
TSC3	4	6
AKL1	64	497
ORC2	23	215
TRM7	38	238
YBR062C	16	136
YBR063C	16	65
YBR064W	5	7
ECM2	28	198
NRG2	26	230
TIP1	14	234
BAP2	37	220
TAT1	32	583
ALG14	4	26
YBR071W	35	300
HSP26	30	428
YBR072C-A	16	66
RDH54	70	705
PFF1	97	1155
ECM8	59	908
YBR076C-A	31	589
SLM4	12	196
ECM33	10	113
RPG1	60	395
SEC18	16	134
SPT7	66	490
UBC4	25	276
TEC1	49	437
MIS1	78	1072
RPL19A	20	154
AAC3	24	461
YBR085C-A	12	118
IST2	39	297
RFC5	4	10
POL30	3	3
YBR089W	2	1
NHP6B	13	95
YBR090C	54	514
TIM12	7	6
PHO3	42	1099
PHO5	37	624
PBY1	69	594
RXT2	20	105
YBR096W	24	200
VPS15	58	390
MMS4	53	484
YBR099C	5	7
FES1	9	32
EXO84	40	383
SIF2	64	1416
YBR103C-A	21	151
YMC2	28	388
VID24	33	390
PHO88	23	292
IML3	10	25
AIM3	63	723
CMD1	0	0
YBR109W-A	13	337
ALG1	7	20
YSA1	16	62
SUS1	3	2
CYC8	38	307
YBR113W	20	98
RAD16	81	1397
LYS2	96	1167
YBR116C	35	413
TKL2	85	1020
TEF2	33	220
MUD1	17	92
CBP6	7	10
GRS1	2	1
YBR121C-A	0	0
MRPL36	9	14
TFC1	18	96
YBR124W	17	248
PTC4	27	302
TPS1	15	85
YBR126W-A	16	82
YBR126W-B	15	79
VMA2	11	51
ATG14	55	730
OPY1	10	36
SHE3	10	22
CCZ1	21	99
YBR131C-A	0	0
AGP2	49	464
HSL7	33	231
YBR134W	32	269
CKS1	5	24
MEC1	101	1287
YBR137W	18	92
YBR138C	44	355
YBR139W	55	660
IRA1	62	519
BMT2	43	703
YBR141W-A	4	4
MAK5	42	246
SUP45	9	37
YBR144C	35	791
ADH5	54	585
MRPS9	28	292
RTC2	32	333
YSW1	39	206
ARA1	27	169
TBS1	85	978
APD1	32	387
SPP381	28	151
RIB7	4	4
RPB5	3	3
CNS1	8	8
SLI15	19	98
ICS2	18	205
AMN1	48	521
IFA38	13	37
CDC28	6	13
CSH1	16	51
TOS1	44	739
YSY6	7	9
EXO5	23	67
ARL1	7	40
UBS1	21	260
TYR1	40	360
POP7	4	13
PEX32	39	389
SSE2	32	150
NPL4	43	311
SEC66	15	302
SMY2	41	291
UMP1	6	5
YBR174C	15	160
SWD3	11	79
ECM31	20	220
EHT1	32	204
YBR178W	32	326
FZO1	49	248
DTR1	40	274
RPS6B	5	6
SMP1	28	180
YBR182C-A	3	3
YPC1	26	234
YBR184W	41	377
MBA1	15	97
PCH2	69	618
GDT1	19	109
NTC20	11	26
RPS9B	1	0
YBR190W	7	57
RPL21A	8	82
