Gene name	Number of transposons per gene	Number of reads per gene
TFC3	98	427
EFB1	20	23
MAK16	25	41
PRP45	47	454
POP5	12	13
YAL034C-B	51	1087
MTW1	27	239
CDC19	26	184
CDC24	59	507
PTA1	53	306
RFA1	8	8
SEN34	36	184
CDC15	52	266
HTA2	31	270
UTP20	97	556
RRN6	96	623
POP8	19	229
RFT1	44	172
MCM2	44	234
LSM2	21	56
PET9	32	132
STU1	92	948
POL12	45	475
ERD2	37	244
PRE7	22	34
SEC17	34	128
YBL073W	41	753
AAR2	53	369
ILS1	55	265
YBL077W	22	461
CDC27	44	400
RPL32	6	7
BRN1	60	357
SFT2	35	370
PKC1	75	593
RER2	52	506
GPI18	40	141
HHF1	10	11
IPP1	48	253
SCO2	33	246
CDS1	47	217
CHS2	90	594
REB1	55	313
PRP6	66	912
TSC3	12	13
ORC2	59	279
ALG14	25	126
RPG1	95	623
SEC18	41	218
RFC5	10	26
POL30	7	18
YBR089W	5	11
TIM12	22	30
EXO84	70	615
CMD1	3	2
ALG1	19	33
GRS1	4	3
TFC1	32	106
YBR124W	25	520
CKS1	14	102
MEC1	137	1647
IRA1	164	1191
MAK5	70	563
SUP45	24	59
SPP381	30	387
RIB7	15	24
RPB5	10	40
CNS1	23	34
AMN1	59	875
CDC28	14	74
POP7	10	24
YBR190W	24	141
RIM2	17	20
MED8	12	53
PGI1	28	137
TAF5	60	248
MCM7	48	310
AME1	16	78
DAD3	3	3
ARC40	33	272
ABD1	25	180
PRP5	62	305
ALG7	19	39
ENP1	13	54
DUT1	4	44
SRB6	15	28
TRS20	14	49
RIB5	19	43
POP4	11	33
TSC10	43	298
PGS1	55	795
NFS1	35	110
RRP7	43	307
YCL041C	52	422
PDI1	63	625
PBN1	41	217
SPB1	102	554
KRR1	27	82
HMLALPHA2	5	7
PGK1	6	15
YCR013C	4	12
RRP43	10	22
MATALPHA2	4	4
RSC6	31	146
CTR86	45	420
PWP2	68	574
RSA4	41	318
CDC39	131	949
HMRA2	5	9
MCD1	37	229
ATP16	15	24
RPT2	36	140
APC11	34	301
SLX5	50	325
NOP1	12	11
TSC13	23	80
YDL016C	11	41
CDC7	42	267
MPS1	71	701
ARP2	10	31
PRP9	42	160
DBP10	40	304
PRP11	22	74
FAD1	21	53
PSA1	11	32
USO1	94	651
TSR1	66	373
UBC9	19	45
COX9	7	63
SUB2	21	53
LUC7	13	35
SRP14	37	491
RPN6	36	231
SNU23	19	58
POL3	61	594
QRI1	21	145
NSE4	14	73
KIN28	21	124
RRP42	22	113
YFH1	18	79
CDC48	45	375
CDC53	51	292
SCM3	22	52
RPO21	106	662
BPL1	42	235
CCT4	33	144
COP1	37	105
RPN5	20	78
NOP14	91	710
RPC53	22	103
YDL152W	20	117
SAS10	34	116
CLB3	75	1078
YDL163W	14	221
CDC9	54	488
CDC36	21	78
FAP7	17	34
NUS1	12	46
SEC31	44	443
YDL196W	45	616
HEM3	42	325
GLE1	28	148
NHP2	4	3
CWC2	27	122
SHR3	13	27
TIM22	11	28
CDC13	70	1533
YDL221W	44	1090
YPD1	2	1
YRB1	10	13
PSF1	3	2
DAD1	2	1
FAL1	23	107
SES1	16	47
KRS1	61	316
RSM10	14	38
HEM13	10	16
RPC11	7	9
BAP3	52	416
HEM12	64	509
TPI1	0	0
DBF4	40	198
YDR053W	9	16
CDC34	26	118
MAK21	68	338
LCB2	45	189
RPS13	12	30
PDC2	36	90
STN1	44	356
SSS1	0	0
RRP1	11	21
SLU7	36	92
RLI1	24	51
PDS1	14	24
APC4	57	383
INO2	27	216
DOP1	86	433
TAF12	14	81
CTH1	28	241
SSY1	26	43
SEC1	48	347
SEC5	43	245
TAF10	19	96
CDC37	33	208
SEC7	114	659
SUP35	39	257
UBC1	18	58
SCC2	78	399
CDC1	47	229
YDR187C	20	116
CCT6	47	321
SLY1	27	147
RVB1	27	80
CAB5	19	115
SPC19	13	27
MSS4	77	477
GCD6	39	200
TCP1	35	117
HTB1	16	22
PCF11	21	140
COX20	36	213
HEM1	49	431
RTN1	20	209
PRP42	5	38
FMN1	8	13
SEC26	63	703
SNU56	25	207
PRP28	29	281
TRS23	38	259
CIA1	37	315
RRP45	19	87
NSE3	19	86
SRP101	35	148
BFR2	20	67
CFT1	94	650
GPI11	13	29
RSC3	27	109
SRB7	13	38
TFB1	31	316
UTP4	35	145
YCG1	52	328
YDR327W	6	18
SKP1	15	47
GPI8	32	134
FCF1	2	1
YDR341C	40	158
TRR1	22	117
YDR355C	7	6
SPC110	46	248
BCP1	32	187
TFC6	69	418
ESF1	30	76
KEI1	9	19
FRQ1	11	25
ARH1	25	67
YRA1	24	57
SAC7	38	241
UBA2	34	473
RPT3	26	160
YDR396W	15	89
NCB2	15	89
UTP5	29	117
RPB7	7	7
TRS120	102	658
RRP17	7	12
YDR413C	4	3
SYF1	57	393
RPL12B	11	39
RPN9	26	106
TIF35	13	17
GPI17	51	351
GPI19	12	100
UTP6	29	304
GUK1	8	9
TFB3	12	43
SPP41	56	309
TLG1	11	37
UGO1	35	187
TRS31	24	54
PRP3	60	664
SNM1	29	77
RIB3	22	53
SLD5	36	260
SEC20	15	185
LCD1	36	126
PSP1	30	181
SMT3	10	47
YDR526C	5	5
RBA50	28	115
CAB1	44	280
WBP1	35	82
MMS21	37	191
SNU13	1	0
MCM3	78	335
HYP2	37	204
UTR5	82	2087
POL5	56	437
PCM1	46	317
PMI40	28	123
YND1	147	3291
NUG1	55	241
SEC3	122	1007
NTF2	18	21
PRE1	17	29
PRP22	95	878
BIM1	89	1586
SPC25	21	59
RPN3	41	487
SRB4	61	317
PRO3	25	43
GCD11	20	120
ARB1	44	118
KRE29	17	81
SAH1	46	405
ISD11	12	49
FCY21	60	749
YOS1	10	13
UTP7	37	274
TSC11	115	1314
PUP3	14	34
RTT105	48	600
MAM1	17	96
LSM4	1	0
RSP5	37	130
NSA2	24	91
LCP5	33	115
GLC7	19	93
GDI1	30	168
LSM5	10	23
SCC4	91	1357
SPT15	16	104
COG3	42	336
BUR6	10	12
PAB1	32	146
CCA1	38	205
RAD3	38	213
BRR2	124	1068
SPB4	54	319
SEC4	14	37
SMC1	80	233
CDC4	65	430
GNA1	14	122
SMX2	3	2
FRS2	55	433
EPL1	69	435
CAK1	31	205
MOB2	23	113
TUB2	49	370
YPT1	22	102
ACT1	42	326
SEC53	6	7
NIC96	107	1918
YPI1	14	50
RPN11	25	54
SAD1	33	172
ECO1	24	62
CDC14	46	355
PTR3	72	531
SMC2	85	452
RSC8	46	148
KEG1	8	23
PRE4	43	308
RET2	95	2017
RPN12	21	49
ERG26	37	128
PMA1	34	211
SCL1	28	116
PUF4	118	1690
JAC1	23	98
STT3	80	769
RPL30	5	36
HEM2	23	44
RNA15	27	65
ALG13	12	17
RPT6	11	16
OLE1	32	95
DUO1	40	257
ALG2	35	188
MNP1	14	54
YGL069C	12	48
HSF1	98	1809
YGL074C	20	704
MPS2	28	193
NBP35	24	361
NUP145	73	748
SPC105	54	537
SRM1	47	483
USE1	4	4
LSG1	29	74
YGL102C	8	29
RPL28	18	72
NSA1	35	122
TAF6	1	0
SLD3	64	446
CDC20	46	243
PRP43	82	553
NAB2	40	268
RPS2	6	7
CWC23	3	3
CEG1	9	10
SEC27	55	276
GPI10	35	353
TIP20	51	288
INO80	132	1378
CDC43	39	238
CUP2	46	475
SUA5	25	234
ROK1	32	145
NUP49	32	248
ATG1	95	1309
MCM6	106	717
SPT16	62	349
VRG4	20	62
SEC15	42	171
CSE1	46	331
YGL239C	11	168
GUS1	30	168
BRR6	11	24
SWC4	82	1288
TFG2	34	171
SEC9	35	93
SNU71	79	446
THG1	7	23
ERV1	20	96
POP6	8	16
TAM41	18	132
TFC4	61	362
UFD1	28	104
ERG25	29	150
VHT1	69	330
YGR073C	7	24
SMD1	3	2
PRP38	4	4
TOM20	23	182
GCD2	28	152
UTP22	19	124
PRP31	41	317
VAS1	89	745
RRP46	14	74
ESP1	72	329
TEL2	27	160
NOP7	29	78
DAM1	24	84
YGR114C	10	82
YGR115C	17	49
SPT6	74	440
NUP57	46	332
COG2	6	16
UTP8	22	141
CBF2	65	669
ENP2	53	377
NAT2	21	150
PTI1	19	81
MTR3	22	112
YIP1	20	36
ERG1	24	59
OKP1	40	156
TYS1	20	88
TFG1	49	293
YGR190C	2	1
HIP1	40	392
SKI6	24	113
YPP1	46	173
ZPR1	39	183
GPI1	25	98
CRM1	42	266
LSC2	71	957
SDA1	92	505
BRF1	44	178
NOP19	20	106
PUP2	21	109
MES1	56	287
YGR265W	29	372
FOL2	32	219
TAF1	64	397
CAB4	18	31
CWC22	51	647
PXR1	29	200
PAU12	18	155
RPS20	1	0
ARN2	64	1230
TIM10	15	73
ERG11	31	150
SPO13	29	304
DED81	44	324
YHR020W	51	405
MYO1	100	524
MAS2	20	75
BRL1	38	224
BCD1	80	953
NCP1	59	298
CPR2	47	683
MED6	27	549
RPP1	16	102
RRP3	43	310
DYS1	44	271
RRP4	29	136
TRM5	37	377
ERG7	42	259
NOP10	1	0
QNS1	48	345
KSP1	95	849
SAM35	41	172
STE12	79	1040
IPI1	21	28
NAM8	72	920
RPF1	11	18
SFB3	102	1323
BIG1	11	22
CDC12	11	33
ORC6	25	111
YHR122W	32	382
RPC10	0	0
IMP3	31	266
DNA2	84	627
CDC23	62	1081
NMD3	27	101
SPC97	59	517
KOG1	100	812
GPI16	52	327
ERG9	51	332
UTP9	55	308
RIX1	32	180
CFD1	44	846
BET1	12	12
FAF1	44	235
RPB3	40	182
TIM44	38	184
IRR1	95	435
ULP2	89	451
MET30	53	712
NEO1	58	226
MMF1	29	288
SNP1	23	201
ARC15	4	18
YRB2	18	53
SEC6	56	314
RPN2	103	1017
THS1	41	314
CAB2	21	147
UTP25	65	328
SHQ1	44	202
MOB1	18	53
SEC24	83	668
NUP159	121	720
RHO3	25	197
STH1	60	656
