Gene name	Number of transposons per gene	Number of reads per gene	
YAL069W	40	884	
YAL068W-A	18	428	
PAU8	31	210	
YAL067W-A	15	218	
SEO1	80	1245	
YAL066W	17	184	
YAL065C	28	235	
YAL064W-B	33	560	
TDA8	19	204	
YAL064W	16	141	
YAL063C-A	20	90	
FLO9	250	4209	
GDH3	161	3267	
BDH2	158	4184	
BDH1	93	1948	
YAL059C-A	30	336	
ECM1	42	464	
CNE1	111	2285	
YAL056C-A	28	507	
GPB2	116	977	
PEX22	36	548	
ACS1	136	2379	
FLC2	81	1016	
OAF1	143	2016	
AIM2	55	936	
GEM1	112	1372	
YAL047W-A	28	298	
SPC72	34	246	
BOL3	28	429	
YAL045C	16	138	
BOL1	20	212	
GCV3	53	1053	
PTA1	53	306	
YAL042C-A	28	263	
ERV46	59	528	
CDC24	59	507	
CLN3	32	245	
CYC3	118	1194	
CDC19	26	184	
YAL037C-B	20	126	
YAL037C-A	6	50	
YAL037W	28	343	
RBG1	65	946	
FUN12	72	509	
YAL034C-B	51	1087	
MTW1	27	239	
FUN19	72	973	
POP5	12	13	
PRP45	47	454	
YAL031W-A	26	149	
GIP4	92	1239	
SNC1	29	458	
MYO4	178	2097	
FRT2	67	1108	
SAW1	38	328	
YAL026C-A	15	120	
DRS2	168	2759	
MAK16	25	41	
LTE1	84	560	
PMT2	130	1001	
FUN26	110	1998	
CCR4	109	1148	
ATS1	91	2245	
YAL019W-A	74	2351	
FUN30	112	1715	
LDS1	44	590	
PSK1	189	2691	
YAL016C-B	15	57	
YAL016C-A	22	449	
TPD3	24	84	
NTG1	76	1189	
SYN8	57	1048	
DEP1	37	94	
CYS3	30	182	
SWC3	80	1933	
MDM10	37	164	
SPO7	21	114	
FUN14	49	656	
ERP2	53	1260	
SSA1	171	1856	
YAL004W	34	270	
EFB1	20	23	
VPS8	198	4427	
TFC3	98	427	
NUP60	59	441	
ERP1	68	1108	
SWD1	45	327	
RFA1	8	8	
SEN34	36	184	
BUD14	146	2256	
ADE1	18	152	
KIN3	43	342	
CDC15	52	266	
YAR019W-A	57	1939	
PAU7	10	174	
YAR023C	40	495	
UIP3	54	822	
YAR028W	52	981	
YAR029W	6	26	
YAR030C	16	72	
PRM9	58	483	
MST28	81	1326	
YAT1	298	8080	
YAR035C-A	7	161	
SWH1	127	2064	
YAR047C	0	0	
FLO1	270	7600	
YAR053W	4	5	
YAR060C	9	28	
YAR064W	20	120	
YAR066W	12	70	
YAR068W	26	462	
YAR069C	21	173	
YAR070C	20	197	
PHO11	59	498	
IMD1	30	285	
YAR075W	8	7	
YBL113C	205	1350	
YBL113W-A	70	419	
YBL112C	39	235	
YBL111C	318	3550	
YBL109W	59	1108	
PAU9	15	135	
YBL108W	39	714	
YBL107W-A	9	8	
MIX23	42	307	
SRO77	144	2202	
PKC1	75	593	
SEA4	163	1682	
RTG3	41	192	
SFT2	35	370	
ECM21	141	2150	
YBL100W-C	12	93	
YBL100C	2	1	
ATP1	26	164	
BNA4	57	686	
BRN1	60	357	
YBL096C	48	528	
MRX3	55	387	
YBL094C	9	22	
ROX3	35	339	
RPL32	6	7	
SCS22	35	255	
MAP2	52	309	
MRP21	21	115	
AVT5	47	459	
TEL1	270	3250	
RPL23A	50	386	
YBL086C	20	169	
BOI1	93	1332	
CDC27	44	400	
YBL083C	14	34	
ALG3	43	278	
YBL081W	45	518	
PET112	64	675	
NUP170	135	1243	
ATG8	3	3	
YBL077W	22	461	
ILS1	55	265	
SSA3	112	2086	
AAR2	53	369	
YBL073W	41	753	
RPS8A	19	77	
YBL071C-B	5	6	
KTI11	13	31	
YBL071C	11	49	
YBL070C	19	277	
AST1	59	509	
YBL068W-A	12	39	
PRS4	39	415	
UBP13	32	229	
SEF1	143	1411	
YBL065W	36	415	
PRX1	24	180	
KIP1	150	2571	
YBL062W	15	175	
