Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	25	393
YAL068W-A	15	325
PAU8	16	88
YAL067W-A	19	239
SEO1	48	765
YAL066W	13	120
YAL065C	23	154
YAL064W-B	19	402
TDA8	14	147
YAL064W	15	137
YAL063C-A	12	24
FLO9	167	2621
GDH3	108	2579
BDH2	118	3328
BDH1	57	1409
YAL059C-A	20	295
ECM1	30	415
CNE1	63	1356
YAL056C-A	16	283
GPB2	57	347
PEX22	25	414
ACS1	93	1575
FLC2	53	820
OAF1	102	1514
AIM2	41	714
GEM1	71	1033
YAL047W-A	26	295
SPC72	18	106
BOL3	16	148
YAL045C	10	81
BOL1	12	126
GCV3	31	509
PTA1	24	50
YAL042C-A	15	84
ERV46	27	82
CDC24	29	102
CLN3	19	146
CYC3	86	809
CDC19	11	13
YAL037C-B	9	11
YAL037C-A	6	50
YAL037W	26	327
RBG1	49	563
FUN12	44	119
YAL034C-B	42	1039
MTW1	20	119
FUN19	50	794
POP5	7	6
PRP45	27	345
YAL031W-A	14	76
GIP4	62	937
SNC1	24	441
MYO4	111	1557
FRT2	49	922
SAW1	23	282
YAL026C-A	15	118
DRS2	104	1289
MAK16	12	13
LTE1	45	242
PMT2	63	199
FUN26	82	1350
CCR4	52	539
ATS1	59	1599
YAL019W-A	49	1825
FUN30	78	1343
LDS1	36	556
PSK1	120	1559
YAL016C-B	12	48
YAL016C-A	17	421
TPD3	9	12
NTG1	51	821
SYN8	42	732
DEP1	30	82
CYS3	11	47
SWC3	64	1760
MDM10	29	80
SPO7	16	93
FUN14	39	430
ERP2	43	1045
SSA1	127	1596
YAL004W	23	177
EFB1	14	15
VPS8	132	3477
TFC3	55	139
NUP60	45	330
ERP1	54	1013
SWD1	27	171
RFA1	5	4
SEN34	22	26
BUD14	106	1542
ADE1	9	9
KIN3	34	300
CDC15	11	14
YAR019W-A	44	1027
PAU7	10	171
YAR023C	22	218
UIP3	40	750
YAR028W	17	381
YAR029W	6	26
YAR030C	10	45
PRM9	36	297
MST28	48	1026
YAT1	223	6897
YAR035C-A	7	161
SWH1	79	1151
YAR047C	0	0
FLO1	206	4205
YAR053W	2	1
YAR060C	11	26
YAR064W	19	132
YAR066W	9	32
YAR068W	19	254
YAR069C	13	77
YAR070C	17	186
PHO11	42	292
IMD1	20	108
YAR075W	6	5
YBL113C	151	863
YBL113W-A	51	204
YBL112C	22	107
YBL111C	240	2564
YBL109W	50	1056
PAU9	7	30
YBL108W	28	597
YBL107W-A	9	11
MIX23	18	137
SRO77	92	1306
PKC1	34	36
SEA4	85	964
RTG3	20	43
SFT2	24	340
ECM21	91	1400
YBL100W-C	5	25
YBL100C	2	1
ATP1	11	15
BNA4	25	319
BRN1	22	24
YBL096C	35	457
MRX3	37	226
YBL094C	7	20
