Gene name	Number of transposons per gene	Number of reads per gene
TFC3	70	436
EFB1	30	45
MAK16	24	102
PRP45	49	963
POP5	14	13
YAL034C-B	39	1430
MTW1	16	294
CDC19	48	438
CDC24	60	661
PTA1	44	495
RFA1	17	25
SEN34	28	88
CDC15	50	318
HTA2	25	153
UTP20	112	1038
RRN6	92	854
POP8	22	211
RFT1	37	132
MCM2	31	287
LSM2	24	109
PET9	30	89
STU1	125	1611
POL12	48	573
ERD2	37	319
PRE7	39	112
SEC17	34	173
YBL073W	52	1874
AAR2	41	332
ILS1	73	499
YBL077W	33	1063
CDC27	61	471
RPL32	5	4
BRN1	61	313
SFT2	23	281
PKC1	107	1109
RER2	55	1488
GPI18	36	228
HHF1	6	15
IPP1	44	498
SCO2	38	583
CDS1	59	553
CHS2	80	712
REB1	65	340
PRP6	67	642
TSC3	11	18
ORC2	58	483
ALG14	24	156
RPG1	94	798
SEC18	52	313
RFC5	13	28
POL30	12	15
YBR089W	10	10
TIM12	16	18
EXO84	65	1144
CMD1	1	0
ALG1	17	60
GRS1	5	4
TFC1	39	292
YBR124W	30	1157
CKS1	18	188
MEC1	171	2053
IRA1	134	1163
MAK5	60	440
SUP45	24	208
SPP381	34	406
RIB7	14	20
RPB5	15	48
CNS1	23	40
AMN1	64	1600
CDC28	16	244
POP7	12	27
YBR190W	26	165
RIM2	14	20
MED8	18	108
PGI1	35	192
TAF5	46	301
MCM7	45	557
AME1	15	77
DAD3	2	4
ARC40	41	317
ABD1	25	617
PRP5	65	317
ALG7	14	102
ENP1	11	50
DUT1	7	58
SRB6	10	64
TRS20	16	44
RIB5	20	83
POP4	13	65
TSC10	37	348
PGS1	44	1086
NFS1	41	261
RRP7	43	393
YCL041C	52	410
PDI1	73	887
PBN1	36	435
SPB1	85	842
KRR1	19	206
HMLALPHA2	5	4
PGK1	9	33
YCR013C	11	29
RRP43	11	78
MATALPHA2	3	2
RSC6	32	303
CTR86	71	820
PWP2	75	1110
RSA4	45	504
CDC39	123	1344
HMRA2	0	0
MCD1	34	359
ATP16	19	20
RPT2	42	281
APC11	29	306
SLX5	36	193
NOP1	29	47
TSC13	24	84
YDL016C	18	371
CDC7	44	310
MPS1	74	898
ARP2	10	36
PRP9	40	270
DBP10	51	518
PRP11	24	52
FAD1	20	157
PSA1	19	102
USO1	134	1997
TSR1	57	463
UBC9	32	209
COX9	4	86
SUB2	23	98
LUC7	12	35
SRP14	43	424
RPN6	38	332
SNU23	20	119
POL3	51	651
QRI1	25	292
NSE4	19	103
KIN28	24	124
RRP42	23	90
YFH1	16	134
CDC48	48	517
CDC53	64	473
SCM3	26	396
RPO21	102	873
BPL1	41	282
CCT4	29	194
COP1	40	237
RPN5	22	55
NOP14	77	807
RPC53	31	210
YDL152W	21	247
SAS10	27	64
CLB3	69	680
YDL163W	13	162
CDC9	52	377
CDC36	16	101
FAP7	7	43
NUS1	13	67
SEC31	81	1051
YDL196W	46	1121
HEM3	50	532
GLE1	28	325
NHP2	2	1
CWC2	43	201
SHR3	20	131
TIM22	11	71
CDC13	72	890
YDL221W	43	882
YPD1	2	1
YRB1	16	27
PSF1	9	79
DAD1	3	3
FAL1	18	114
SES1	16	47
KRS1	71	772
RSM10	13	50
HEM13	15	21
RPC11	6	25
BAP3	74	1104
HEM12	65	859
TPI1	5	4
DBF4	54	227
YDR053W	9	13
CDC34	30	201
MAK21	60	408
LCB2	42	301
RPS13	14	70
PDC2	35	119
STN1	50	418
SSS1	1	0
RRP1	18	56
SLU7	42	301
RLI1	25	57
PDS1	16	222
APC4	56	296
INO2	29	211
DOP1	72	701
TAF12	9	89
CTH1	35	371
SSY1	21	75
SEC1	51	603
SEC5	48	345
TAF10	16	99
CDC37	40	647
SEC7	106	842
SUP35	33	271
UBC1	22	69
SCC2	84	587
CDC1	33	357
YDR187C	19	95
CCT6	49	557
SLY1	23	86
RVB1	25	117
CAB5	8	50
SPC19	16	67
MSS4	76	742
GCD6	42	326
TCP1	31	154
HTB1	11	137
PCF11	13	58
COX20	33	281
HEM1	47	459
RTN1	29	317
PRP42	10	38
FMN1	14	29
SEC26	73	531
SNU56	22	115
PRP28	37	437
TRS23	33	334
CIA1	44	394
RRP45	21	79
NSE3	21	179
SRP101	30	247
BFR2	15	66
CFT1	104	771
GPI11	24	41
RSC3	43	192
SRB7	18	127
TFB1	36	214
UTP4	39	234
YCG1	59	351
YDR327W	14	47
SKP1	17	70
GPI8	32	116
FCF1	1	0
YDR341C	33	184
TRR1	15	111
YDR355C	5	50
SPC110	36	128
BCP1	35	236
TFC6	62	568
ESF1	33	131
KEI1	16	53
FRQ1	10	46
ARH1	26	138
YRA1	24	92
SAC7	43	498
UBA2	27	223
RPT3	27	130
YDR396W	12	82
NCB2	12	82
UTP5	13	33
RPB7	4	3
TRS120	98	911
RRP17	3	2
YDR413C	2	1
SYF1	63	400
RPL12B	10	33
RPN9	16	33
TIF35	15	34
GPI17	58	425
GPI19	9	59
UTP6	30	199
GUK1	3	2
TFB3	17	50
SPP41	61	632
TLG1	17	203
UGO1	27	244
TRS31	26	96
PRP3	56	713
SNM1	20	45
RIB3	23	111
SLD5	33	286
SEC20	15	147
LCD1	31	157
PSP1	37	323
SMT3	14	41
YDR526C	8	10
RBA50	37	176
CAB1	35	341
WBP1	42	136
MMS21	37	177
SNU13	1	0
MCM3	84	632
HYP2	37	719
UTR5	104	3562
POL5	69	573
PCM1	41	289
PMI40	32	147
YND1	199	6501
NUG1	61	360
SEC3	161	2583
NTF2	16	19
PRE1	15	72
PRP22	118	1426
BIM1	92	2458
SPC25	15	34
RPN3	46	533
SRB4	60	438
PRO3	24	66
GCD11	18	45
ARB1	46	217
KRE29	18	111
SAH1	46	656
ISD11	10	13
FCY21	71	565
YOS1	13	93
UTP7	37	234
TSC11	92	966
PUP3	11	31
RTT105	47	757
MAM1	14	68
LSM4	3	4
RSP5	34	226
NSA2	21	59
LCP5	28	196
GLC7	19	87
GDI1	34	215
LSM5	10	12
SCC4	66	1020
SPT15	25	173
COG3	45	352
BUR6	16	115
PAB1	38	153
CCA1	42	405
RAD3	39	400
BRR2	144	1821
