Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	55	2353
YAL068W-A	25	694
PAU8	29	416
YAL067W-A	17	90
SEO1	70	1394
YAL066W	15	216
YAL065C	40	620
YAL064W-B	43	1426
TDA8	22	376
YAL064W	15	135
YAL063C-A	26	283
FLO9	274	8197
GDH3	165	4806
BDH2	140	5038
BDH1	97	3253
YAL059C-A	40	612
ECM1	50	793
CNE1	140	5282
YAL056C-A	37	908
GPB2	96	1040
PEX22	43	733
ACS1	175	4058
FLC2	90	1155
OAF1	154	3466
AIM2	55	1110
GEM1	131	2542
YAL047W-A	20	252
SPC72	23	122
BOL3	33	1303
YAL045C	19	165
BOL1	20	250
GCV3	54	1523
PTA1	44	495
YAL042C-A	34	477
ERV46	78	1150
CDC24	60	661
CLN3	53	472
CYC3	95	1773
CDC19	48	438
YAL037C-B	37	279
YAL037C-A	8	327
YAL037W	28	315
RBG1	41	718
FUN12	72	455
YAL034C-B	39	1430
MTW1	16	294
FUN19	84	2250
POP5	14	13
PRP45	49	963
YAL031W-A	18	168
GIP4	82	1704
SNC1	39	1126
MYO4	174	2662
FRT2	64	1241
SAW1	44	485
YAL026C-A	16	54
DRS2	139	2498
MAK16	24	102
LTE1	84	829
PMT2	136	2087
FUN26	107	2018
CCR4	117	1594
ATS1	80	2396
YAL019W-A	79	2765
FUN30	165	2442
LDS1	68	787
PSK1	174	3343
YAL016C-B	12	113
YAL016C-A	23	227
TPD3	29	53
NTG1	95	2277
SYN8	72	2578
DEP1	46	432
CYS3	31	213
SWC3	125	3712
MDM10	39	204
SPO7	20	60
FUN14	51	1069
ERP2	62	1476
SSA1	202	2732
YAL004W	47	384
EFB1	30	45
VPS8	270	10989
TFC3	70	436
NUP60	76	1085
ERP1	64	1115
SWD1	49	601
RFA1	17	25
SEN34	28	88
BUD14	126	2684
ADE1	21	90
KIN3	48	579
CDC15	50	318
YAR019W-A	50	2367
PAU7	15	250
YAR023C	47	937
UIP3	49	1022
YAR028W	58	1787
YAR029W	4	16
YAR030C	17	88
PRM9	63	1337
MST28	76	1199
YAT1	337	13701
YAR035C-A	9	240
SWH1	133	2949
YAR047C	0	0
FLO1	312	12665
YAR053W	11	48
YAR060C	24	177
YAR064W	27	182
YAR066W	14	99
YAR068W	22	188
YAR069C	19	281
YAR070C	22	101
PHO11	71	989
IMD1	38	455
YAR075W	9	26
YBL113C	227	2457
YBL113W-A	80	748
YBL112C	45	408
YBL111C	358	5514
YBL109W	52	1106
PAU9	12	160
YBL108W	47	1197
YBL107W-A	9	14
MIX23	44	565
SRO77	154	2849
PKC1	107	1109
SEA4	197	3315
RTG3	49	351
SFT2	23	281
ECM21	145	3362
YBL100W-C	9	275
YBL100C	3	4
ATP1	21	131
BNA4	70	1022
BRN1	61	313
YBL096C	25	370
MRX3	53	987
YBL094C	12	93
ROX3	70	3039
RPL32	5	4
SCS22	38	632
MAP2	59	758
MRP21	27	176
AVT5	59	682
TEL1	295	4797
RPL23A	46	635
YBL086C	26	215
BOI1	128	3408
CDC27	61	471
YBL083C	11	18
ALG3	59	453
YBL081W	54	1565
PET112	64	605
NUP170	167	2621
ATG8	2	3
YBL077W	33	1063
ILS1	73	499
SSA3	134	2818
AAR2	41	332
YBL073W	52	1874
RPS8A	14	52
YBL071C-B	7	19
KTI11	12	28
YBL071C	17	53
YBL070C	18	63
AST1	62	635
YBL068W-A	11	27
PRS4	38	501
UBP13	49	315
SEF1	110	1415
YBL065W	33	572
PRX1	29	262
KIP1	166	3309
YBL062W	15	257
SKT5	80	1122
YEL1	104	1292
CMC2	8	85
YBL059W	51	752
SHP1	61	1291
PTH2	40	1139
PTC3	70	1206
YBL055C	68	1368
TOD6	47	392
YBL053W	16	124
SAS3	87	1541
PIN4	49	546
SEC17	34	173
MOH1	9	44
RRT1	8	15
EDE1	118	1728
PSY4	90	1286
COR1	19	57
YBL044W	61	2525
ECM13	22	387
FUI1	109	1898
PRE7	39	112
ERD2	37	319
YBL039W-B	10	17
URA7	83	1444
YBL039C-A	4	97
MRPL16	21	151
APL3	86	1256
YBL036C	51	1054
POL12	48	573
STU1	125	1611
RIB1	44	233
HEK2	45	464
SHE1	58	755
PET9	30	89
YBL029C-A	12	39
YBL029W	89	2179
YBL028C	34	383
RPL19B	21	48
LSM2	24	109
RRN10	13	46
NCL1	90	1157
MCM2	31	287
PIM1	82	893
HAP3	20	217
RFT1	37	132
APN2	85	1526
POP8	22	211
PEP1	250	4479
FUS3	99	1992
ACH1	135	3508
RRN6	92	854
FMT1	210	9377
YBL012C	58	1049
SCT1	141	2765
YBL010C	60	1113
ALK2	123	3406
YBL008W-A	29	288
HIR1	102	1733
SLA1	101	1541
LDB7	43	810
YBL006W-A	6	155
PDR3	217	5886
UTP20	112	1038
HTA2	25	153
HTB2	57	1243
ECM15	58	1992
NTH2	198	6341
RER2	55	1488
COQ1	87	968
GPI18	36	228
RCR1	77	2351
UGA2	199	9439
DSF2	170	4088
FLR1	144	4242
HHF1	6	15
HHT1	18	182
IPP1	44	498
YBR012C	20	437
YBR013C	34	975
GRX7	24	339
MNN2	78	990
YBR016W	29	807
KAP104	67	460
GAL7	66	1380
GAL10	136	3351
GAL1	112	2392
FUR4	93	1736
POA1	42	1054
CHS3	74	560
SCO2	38	583
OLA1	31	217
ETR1	37	393
YBR027C	35	1342
YPK3	47	975
CDS1	59	553
RKM3	67	930
RPL4A	19	60
YBR032W	43	811
EDS1	109	3157
HMT1	68	540
PDX3	56	779
CSG2	44	421
SCO1	25	171
CHS2	80	712
ATP3	31	176
FIG1	42	543
FAT1	47	580
CST26	34	190
QDR3	92	1627
TCM62	80	1455
GIP1	58	638
ZTA1	31	651
FMP23	28	238
RPS11B	33	233
REB1	65	340
REG2	42	796
YBR051W	12	95
RFS1	51	1278
YBR053C	51	444
YRO2	81	2459
PRP6	67	642
YBR056W	102	1811
YBR056W-A	19	317
YBR056C-B	14	300
MUM2	78	1925
UBP14	77	867
TSC3	11	18
AKL1	103	1646
ORC2	58	483
TRM7	69	472
YBR062C	21	295
YBR063C	22	270
YBR064W	8	66
ECM2	35	454
NRG2	30	574
TIP1	33	405
BAP2	62	803
TAT1	70	868
ALG14	24	156
YBR071W	52	593
HSP26	49	679
YBR072C-A	15	197
RDH54	102	1554
PFF1	147	2842
ECM8	92	2164
YBR076C-A	35	920
SLM4	28	316
ECM33	32	353
RPG1	94	798
SEC18	52	313
SPT7	102	1106
UBC4	41	987
TEC1	67	792
MIS1	118	3051
RPL19A	57	652
AAC3	36	369
YBR085C-A	17	228
IST2	91	800
RFC5	13	28
POL30	12	15
YBR089W	10	10
NHP6B	14	95
YBR090C	59	718
TIM12	16	18
PHO3	55	1377
PHO5	47	1081
PBY1	80	752
RXT2	24	156
YBR096W	28	150
VPS15	113	1186
MMS4	76	785
YBR099C	13	129
FES1	28	116
EXO84	65	1144
SIF2	61	1240
YBR103C-A	12	296
YMC2	41	418
VID24	75	1156
PHO88	27	644
IML3	15	156
AIM3	112	1960
CMD1	1	0
YBR109W-A	23	852
ALG1	17	60
YSA1	37	365
SUS1	16	41
CYC8	50	599
YBR113W	10	36
RAD16	118	2495
LYS2	147	2555
YBR116C	40	805
TKL2	116	2271
TEF2	70	990
MUD1	23	242
CBP6	2	1
GRS1	5	4
YBR121C-A	0	0
MRPL36	10	86
TFC1	39	292
YBR124W	30	1157
PTC4	43	606
TPS1	40	287
YBR126W-A	12	41
YBR126W-B	8	56
VMA2	44	400
ATG14	69	1513
OPY1	26	202
SHE3	20	259
CCZ1	55	440
YBR131C-A	1	0
AGP2	94	1409
HSL7	49	520
YBR134W	25	683
CKS1	18	188
MEC1	171	2053
YBR137W	19	284
YBR138C	61	1013
YBR139W	89	1742
IRA1	134	1163
BMT2	51	1050
YBR141W-A	13	23
MAK5	60	440
SUP45	24	208
YBR144C	40	963
ADH5	54	839
MRPS9	34	284
RTC2	40	401
YSW1	58	682
ARA1	30	367
TBS1	108	1639
APD1	48	821
SPP381	34	406
RIB7	14	20
RPB5	15	48
CNS1	23	40
SLI15	44	629
ICS2	36	803
