Gene name	Number of transposons per gene	Number of reads per gene
TFC3	134	878
EFB1	40	66
MAK16	40	176
PRP45	84	1575
POP5	23	28
YAL034C-B	71	2662
MTW1	34	603
CDC19	61	673
CDC24	103	1225
PTA1	77	821
RFA1	16	34
SEN34	50	317
CDC15	77	608
HTA2	51	465
UTP20	170	1640
RRN6	153	1494
POP8	32	544
RFT1	64	309
MCM2	62	567
LSM2	37	235
PET9	52	236
STU1	178	2661
POL12	77	1094
ERD2	60	563
PRE7	52	144
SEC17	58	308
YBL073W	71	2940
AAR2	74	731
ILS1	109	790
YBL077W	45	1614
CDC27	83	941
RPL32	9	14
BRN1	97	691
SFT2	53	733
PKC1	158	1755
RER2	80	2131
GPI18	65	399
HHF1	17	31
IPP1	74	804
SCO2	63	941
CDS1	82	859
CHS2	137	1330
REB1	94	673
PRP6	106	1649
TSC3	21	32
ORC2	98	869
ALG14	37	324
RPG1	149	1470
SEC18	81	536
RFC5	19	64
POL30	16	42
YBR089W	13	23
TIM12	31	49
EXO84	108	1887
CMD1	4	3
ALG1	30	95
GRS1	9	8
TFC1	63	416
YBR124W	50	1887
CKS1	29	290
MEC1	256	3887
IRA1	242	2354
MAK5	105	1052
SUP45	38	275
SPP381	58	870
RIB7	24	49
RPB5	20	86
CNS1	40	82
AMN1	106	2475
CDC28	24	318
POP7	17	51
YBR190W	47	372
RIM2	29	43
MED8	26	174
PGI1	53	329
TAF5	86	597
MCM7	74	919
AME1	24	191
DAD3	4	26
ARC40	60	645
ABD1	37	784
PRP5	111	622
ALG7	25	141
ENP1	21	127
DUT1	8	116
SRB6	21	155
TRS20	25	104
RIB5	32	163
POP4	18	98
TSC10	67	702
PGS1	79	2154
NFS1	65	389
RRP7	68	728
YCL041C	77	779
PDI1	109	1502
PBN1	65	724
SPB1	154	1427
KRR1	39	288
HMLALPHA2	11	11
PGK1	13	54
YCR013C	13	54
RRP43	16	100
MATALPHA2	5	6
RSC6	53	449
CTR86	94	1240
PWP2	116	1798
RSA4	68	832
CDC39	215	2440
HMRA2	6	14
MCD1	61	690
ATP16	28	55
RPT2	62	421
APC11	46	615
SLX5	75	564
NOP1	39	60
TSC13	41	165
YDL016C	25	441
CDC7	65	596
MPS1	116	1714
ARP2	16	101
PRP9	69	447
DBP10	76	841
PRP11	35	165
FAD1	37	230
PSA1	25	145
USO1	187	2742
TSR1	98	886
UBC9	43	310
COX9	8	184
SUB2	34	151
LUC7	23	83
SRP14	64	1009
RPN6	56	586
SNU23	30	203
POL3	85	1358
QRI1	40	442
NSE4	25	158
KIN28	35	248
RRP42	37	236
YFH1	30	213
CDC48	72	935
CDC53	90	798
SCM3	39	483
RPO21	166	1619
BPL1	64	543
CCT4	51	346
COP1	62	355
RPN5	34	148
NOP14	132	1639
RPC53	42	313
YDL152W	35	388
SAS10	51	229
CLB3	117	1831
YDL163W	23	478
CDC9	87	960
CDC36	29	194
FAP7	22	77
NUS1	19	134
SEC31	107	1570
YDL196W	76	1748
HEM3	74	872
GLE1	48	571
NHP2	6	5
CWC2	60	325
SHR3	26	181
TIM22	19	99
CDC13	116	2663
YDL221W	70	2111
YPD1	4	3
YRB1	20	49
PSF1	10	59
