Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	67	3428
YAL068W-A	31	1207
PAU8	40	663
YAL067W-A	28	353
SEO1	132	2776
YAL066W	26	455
YAL065C	57	887
YAL064W-B	63	2256
TDA8	35	662
YAL064W	27	278
YAL063C-A	42	404
FLO9	427	12802
GDH3	264	8137
BDH2	251	9459
BDH1	154	5444
YAL059C-A	61	1097
ECM1	82	1392
CNE1	212	7819
YAL056C-A	53	1667
GPB2	177	2142
PEX22	71	1421
ACS1	253	6590
FLC2	151	2376
OAF1	251	5715
AIM2	91	2160
GEM1	195	4075
YAL047W-A	42	614
SPC72	47	439
BOL3	50	1838
YAL045C	30	303
BOL1	34	533
GCV3	95	2711
PTA1	77	821
YAL042C-A	54	831
ERV46	112	1769
CDC24	103	1225
CLN3	75	1078
CYC3	183	3061
CDC19	61	673
YAL037C-B	49	456
YAL037C-A	11	518
YAL037W	48	723
RBG1	89	1687
FUN12	118	1053
YAL034C-B	71	2662
MTW1	34	603
FUN19	136	3389
POP5	23	28
PRP45	84	1575
YAL031W-A	31	375
GIP4	144	3087
SNC1	59	1814
MYO4	312	4990
FRT2	112	2639
SAW1	76	903
YAL026C-A	29	272
DRS2	267	5471
MAK16	40	176
LTE1	140	1483
PMT2	223	3138
FUN26	181	4139
CCR4	180	2918
ATS1	134	4842
YAL019W-A	127	5309
FUN30	251	4234
LDS1	99	1466
PSK1	313	6243
YAL016C-B	25	191
YAL016C-A	37	772
TPD3	45	164
NTG1	148	3658
SYN8	115	3752
DEP1	76	543
CYS3	48	443
SWC3	181	5966
MDM10	67	408
SPO7	38	226
FUN14	87	1978
ERP2	101	2960
SSA1	301	4597
YAL004W	62	732
EFB1	40	66
VPS8	383	15723
TFC3	134	878
NUP60	119	1612
ERP1	113	2365
SWD1	83	983
RFA1	16	34
SEN34	50	317
BUD14	234	5258
ADE1	31	241
KIN3	81	1009
CDC15	77	608
YAR019W-A	82	4306
PAU7	22	443
YAR023C	70	1606
UIP3	88	1980
YAR028W	87	2920
YAR029W	9	56
YAR030C	30	183
PRM9	106	1924
MST28	111	2630
YAT1	498	21886
YAR035C-A	14	450
SWH1	233	5360
YAR047C	0	0
FLO1	438	20657
YAR053W	12	76
YAR060C	35	210
YAR064W	40	333
YAR066W	27	194
YAR068W	36	701
YAR069C	37	554
YAR070C	39	375
PHO11	113	1654
IMD1	58	776
YAR075W	13	31
YBL113C	329	3877
YBL113W-A	116	1175
YBL112C	64	616
YBL111C	514	9475
YBL109W	76	2338
PAU9	16	316
YBL108W	66	2040
YBL107W-A	15	23
MIX23	72	956
SRO77	256	5145
PKC1	158	1755
SEA4	301	5183
RTG3	77	623
SFT2	53	733
ECM21	252	5732
YBL100W-C	18	368
YBL100C	5	6
ATP1	39	297
BNA4	103	1735
BRN1	97	691
YBL096C	61	912
MRX3	93	1496
YBL094C	21	177
ROX3	88	3498
RPL32	9	14
SCS22	63	887
MAP2	93	1114
MRP21	33	353
AVT5	88	1115
TEL1	481	8259
RPL23A	81	1110
YBL086C	43	429
BOI1	192	5043
CDC27	83	941
YBL083C	23	62
ALG3	86	782
YBL081W	83	2173
PET112	102	1327
NUP170	255	3949
ATG8	4	7
YBL077W	45	1614
ILS1	109	790
SSA3	209	4921
AAR2	74	731
YBL073W	71	2940
RPS8A	30	136
YBL071C-B	10	25
KTI11	20	61
YBL071C	23	104
YBL070C	31	520
AST1	99	1274
YBL068W-A	19	93
PRS4	67	917
UBP13	75	580
SEF1	215	2922
YBL065W	54	1188
PRX1	46	532
KIP1	269	6049
YBL062W	24	385
SKT5	126	1728
YEL1	152	1990
CMC2	15	110
YBL059W	81	1436
SHP1	102	2440
PTH2	62	1715
PTC3	117	2405
YBL055C	118	2962
TOD6	106	1560
YBL053W	18	133
SAS3	150	2517
PIN4	98	1236
SEC17	58	308
MOH1	22	134
RRT1	24	207
EDE1	206	3256
PSY4	148	2411
COR1	42	197
YBL044W	98	4083
ECM13	47	796
FUI1	160	2704
PRE7	52	144
ERD2	60	563
YBL039W-B	16	53
URA7	122	2243
YBL039C-A	4	97
MRPL16	42	424
APL3	148	2344
YBL036C	87	1716
POL12	77	1094
STU1	178	2661
RIB1	73	568
HEK2	67	966
SHE1	88	1173
PET9	52	236
YBL029C-A	25	201
