Gene name	Number of transposons per gene	Number of reads per gene
TFC3	41	2423
EFB1	4	4
MAK16	5	15
PRP45	41	2047
POP5	3	3
YAL034C-B	37	7594
MTW1	16	452
CDC19	21	544
CDC24	36	1559
PTA1	36	974
RFA1	6	63
SEN34	22	512
CDC15	31	1174
HTA2	34	1545
UTP20	61	2765
RRN6	49	1438
POP8	19	1320
RFT1	29	928
MCM2	34	873
LSM2	4	68
PET9	21	366
STU1	77	4637
POL12	40	1496
ERD2	30	1292
PRE7	6	27
SEC17	12	287
YBL073W	31	4851
AAR2	56	2305
ILS1	33	739
YBL077W	18	808
CDC27	35	1700
RPL32	4	15
BRN1	36	1079
SFT2	35	2204
PKC1	51	2538
RER2	22	1306
GPI18	18	553
HHF1	15	80
IPP1	23	712
SCO2	67	3646
CDS1	27	527
CHS2	50	2805
REB1	44	1787
PRP6	54	2620
TSC3	3	35
ORC2	31	1378
ALG14	12	59
RPG1	67	2085
SEC18	24	607
RFC5	5	35
POL30	6	60
YBR089W	5	44
TIM12	1	0
EXO84	46	2338
CMD1	2	1
ALG1	4	274
GRS1	1	0
TFC1	15	246
YBR124W	23	823
CKS1	9	269
MEC1	135	6099
IRA1	101	2218
MAK5	58	2825
SUP45	19	372
SPP381	20	789
RIB7	5	80
RPB5	3	5
CNS1	10	149
AMN1	43	2285
CDC28	9	94
POP7	6	83
YBR190W	17	117
RIM2	9	33
MED8	4	100
PGI1	11	285
TAF5	25	432
MCM7	31	1544
AME1	11	267
DAD3	3	3
ARC40	19	617
ABD1	18	1044
PRP5	39	1405
ALG7	7	96
ENP1	11	75
DUT1	7	61
SRB6	13	609
TRS20	9	31
RIB5	11	121
POP4	9	419
TSC10	17	1010
PGS1	41	2727
NFS1	23	458
RRP7	31	1014
YCL041C	67	921
PDI1	44	2144
PBN1	27	1233
SPB1	50	1778
KRR1	14	381
HMLALPHA2	10	23
PGK1	3	33
YCR013C	4	500
RRP43	3	55
MATALPHA2	9	12
RSC6	14	608
CTR86	39	1361
PWP2	41	1968
RSA4	33	547
CDC39	99	4148
HMRA2	8	13
MCD1	27	572
ATP16	8	281
RPT2	21	447
APC11	20	804
SLX5	48	1588
NOP1	9	96
TSC13	8	157
YDL016C	11	866
CDC7	27	1577
MPS1	49	3240
ARP2	8	67
PRP9	20	506
DBP10	30	1453
PRP11	22	553
FAD1	10	216
PSA1	8	104
USO1	77	3103
TSR1	31	1478
UBC9	11	161
COX9	6	167
SUB2	13	335
LUC7	17	232
SRP14	32	1883
RPN6	27	1086
SNU23	16	622
POL3	41	1291
QRI1	11	171
NSE4	7	117
KIN28	11	428
RRP42	11	271
YFH1	4	64
CDC48	31	1892
CDC53	40	1698
SCM3	9	243
RPO21	65	2214
BPL1	25	995
CCT4	16	505
COP1	36	789
RPN5	11	287
NOP14	56	2315
RPC53	12	326
YDL152W	13	539
SAS10	18	234
CLB3	41	3326
YDL163W	14	769
CDC9	34	1891
CDC36	14	121
FAP7	7	142
NUS1	11	370
SEC31	25	948
YDL196W	45	3391
HEM3	25	1366
GLE1	17	1053
NHP2	4	52
CWC2	7	161
SHR3	7	263
TIM22	6	58
CDC13	56	4946
YDL221W	56	5468
YPD1	2	14
YRB1	3	2
PSF1	2	1
DAD1	3	3
FAL1	15	432
SES1	13	176
KRS1	40	2003
RSM10	6	32
HEM13	4	31
RPC11	2	2
BAP3	60	3456
HEM12	30	594
TPI1	2	1
DBF4	23	440
YDR053W	4	18
CDC34	13	476
MAK21	43	1353
LCB2	24	672
RPS13	12	171
PDC2	19	469
STN1	30	855
SSS1	1	0
RRP1	6	16
SLU7	14	458
RLI1	14	203
PDS1	11	111
APC4	32	900
INO2	21	1055
DOP1	57	2108
TAF12	8	168
CTH1	23	748
SSY1	18	272
SEC1	35	786
SEC5	38	623
TAF10	7	170
CDC37	26	1310
SEC7	72	2571
SUP35	20	580
UBC1	21	438
SCC2	55	2481
CDC1	21	637
YDR187C	14	538
CCT6	41	1345
SLY1	21	415
RVB1	12	392
CAB5	12	67
SPC19	6	9
MSS4	47	1497
GCD6	23	522
TCP1	11	38
HTB1	9	141
PCF11	15	616
COX20	28	1185
HEM1	29	612
RTN1	21	467
PRP42	7	92
FMN1	7	116
SEC26	33	1018
SNU56	12	322
PRP28	16	555
TRS23	10	492
CIA1	32	955
RRP45	13	309
NSE3	12	226
SRP101	26	1125
BFR2	14	185
CFT1	51	1297
GPI11	7	173
RSC3	32	583
SRB7	8	233
TFB1	21	867
UTP4	16	364
YCG1	44	1642
YDR327W	7	185
SKP1	9	198
GPI8	15	414
FCF1	0	0
YDR341C	33	760
TRR1	9	70
YDR355C	7	582
SPC110	40	1929
BCP1	26	1292
TFC6	48	1596
ESF1	17	517
KEI1	13	233
FRQ1	5	59
ARH1	16	213
YRA1	19	359
SAC7	32	763
UBA2	29	2351
RPT3	19	640
YDR396W	16	505
NCB2	15	393
UTP5	11	259
RPB7	0	0
TRS120	53	1780
RRP17	2	26
YDR413C	1	0
SYF1	47	1668
RPL12B	6	193
RPN9	13	84
TIF35	6	37
GPI17	22	485
GPI19	6	166
UTP6	17	469
GUK1	1	0
TFB3	10	48
SPP41	31	839
TLG1	12	415
UGO1	23	555
TRS31	16	508
PRP3	41	1158
SNM1	8	44
RIB3	9	147
SLD5	24	964
SEC20	8	103
LCD1	36	1052
PSP1	39	1202
SMT3	8	147
YDR526C	5	59
RBA50	22	1379
CAB1	26	1163
WBP1	22	329
MMS21	25	849
SNU13	0	0
MCM3	37	1080
HYP2	14	1630
UTR5	123	8580
POL5	43	1079
PCM1	25	1344
PMI40	26	715
YND1	135	10808
NUG1	41	1715
SEC3	105	5583
NTF2	2	1
PRE1	5	26
PRP22	76	3972
BIM1	59	4313
SPC25	12	283
RPN3	29	711
SRB4	35	1388
PRO3	6	129
GCD11	12	168
ARB1	37	751
KRE29	13	403
SAH1	22	543
ISD11	6	186
FCY21	46	2075
YOS1	2	3
UTP7	22	605
TSC11	65	2731
PUP3	9	45
RTT105	32	1424
MAM1	15	179
LSM4	2	1
RSP5	22	740
NSA2	8	85
LCP5	11	332
GLC7	10	463
GDI1	18	556
LSM5	5	28
SCC4	60	2426
SPT15	18	631
COG3	31	867
BUR6	14	772
PAB1	9	66
CCA1	26	592
RAD3	26	871
BRR2	80	3184
SPB4	25	732
SEC4	7	84
SMC1	37	1134
CDC4	42	1443
GNA1	12	411
SMX2	1	0
FRS2	36	1376
EPL1	65	3707
CAK1	9	173
MOB2	22	393
TUB2	39	1197
YPT1	15	478
ACT1	18	556
SEC53	2	3
NIC96	79	5052
YPI1	9	324
RPN11	7	84
SAD1	22	963
ECO1	10	204
CDC14	26	1807
PTR3	59	2067
SMC2	46	1095
RSC8	25	534
KEG1	4	19
PRE4	31	677
RET2	79	4651
RPN12	15	546
ERG26	16	352
PMA1	16	524
SCL1	18	292
PUF4	121	7396
JAC1	12	285
STT3	63	3052
RPL30	4	4
HEM2	12	291
RNA15	6	202
ALG13	3	94
RPT6	3	6
OLE1	13	474
DUO1	25	1112
ALG2	17	488
MNP1	6	41
YGL069C	8	86
HSF1	82	6865
YGL074C	19	2224
MPS2	33	1080
NBP35	24	551
NUP145	50	1047
SPC105	40	1133
SRM1	30	1004
USE1	1	0
LSG1	25	227
YGL102C	8	82
RPL28	11	240
NSA1	14	356
TAF6	0	0
SLD3	30	1549
CDC20	37	1155
PRP43	41	1429
NAB2	21	729
RPS2	3	5
CWC23	8	40
CEG1	3	19
SEC27	40	1538
GPI10	22	775
