Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	41	2149
YAL068W-A	10	443
PAU8	32	893
YAL067W-A	20	210
SEO1	65	5363
YAL066W	24	1559
YAL065C	25	759
YAL064W-B	35	3330
TDA8	20	1719
YAL064W	16	476
YAL063C-A	25	2321
FLO9	254	14141
GDH3	137	10080
BDH2	133	14422
BDH1	96	6769
YAL059C-A	23	791
ECM1	26	943
CNE1	104	9295
YAL056C-A	25	3401
GPB2	90	4498
PEX22	37	1782
ACS1	156	11112
FLC2	97	2884
OAF1	143	7806
AIM2	31	2167
GEM1	117	7391
YAL047W-A	31	2690
SPC72	26	1204
BOL3	25	907
YAL045C	26	886
BOL1	33	1290
GCV3	30	1558
PTA1	36	974
YAL042C-A	38	2851
ERV46	92	5987
CDC24	36	1559
CLN3	25	1083
CYC3	111	3919
CDC19	21	544
YAL037C-B	14	217
YAL037C-A	14	813
YAL037W	44	2445
RBG1	52	2856
FUN12	29	1135
YAL034C-B	37	7594
MTW1	16	452
FUN19	59	4377
POP5	3	3
PRP45	41	2047
YAL031W-A	26	1498
GIP4	98	6027
SNC1	23	919
MYO4	162	11529
FRT2	63	4868
SAW1	61	2983
YAL026C-A	33	1323
DRS2	160	9744
MAK16	5	15
LTE1	88	3139
PMT2	82	4155
FUN26	98	6140
CCR4	77	3489
ATS1	67	5344
YAL019W-A	69	9208
FUN30	130	7591
LDS1	44	1717
PSK1	176	10032
YAL016C-B	19	2042
YAL016C-A	20	2197
TPD3	16	159
NTG1	89	4823
SYN8	51	3701
DEP1	32	681
CYS3	40	1221
SWC3	79	7629
MDM10	37	1232
SPO7	30	639
FUN14	55	4273
ERP2	42	3470
SSA1	241	12665
YAL004W	40	1213
EFB1	4	4
VPS8	267	37353
TFC3	41	2423
NUP60	98	3509
ERP1	69	4388
SWD1	53	1449
RFA1	6	63
SEN34	22	512
BUD14	137	9513
ADE1	11	103
KIN3	61	1289
CDC15	31	1174
YAR019W-A	54	4683
PAU7	13	489
YAR023C	36	3951
UIP3	47	4111
YAR028W	64	6336
YAR029W	11	561
YAR030C	14	496
PRM9	74	3967
MST28	81	5098
YAT1	384	23577
YAR035C-A	12	397
SWH1	146	5840
YAR047C	0	0
FLO1	295	24583
YAR053W	9	399
YAR060C	16	196
YAR064W	30	412
YAR066W	19	534
YAR068W	19	302
YAR069C	17	600
YAR070C	19	520
PHO11	51	1790
IMD1	28	638
YAR075W	4	34
YBL113C	274	6662
YBL113W-A	88	1883
YBL112C	40	768
YBL111C	420	11553
YBL109W	44	1846
PAU9	17	251
YBL108W	26	1751
YBL107W-A	14	64
MIX23	31	866
SRO77	110	7206
PKC1	51	2538
SEA4	117	7978
RTG3	39	1145
SFT2	35	2204
ECM21	126	12279
YBL100W-C	12	643
YBL100C	0	0
ATP1	18	261
BNA4	49	2933
BRN1	36	1079
YBL096C	27	1543
MRX3	34	1424
YBL094C	7	227
ROX3	37	623
RPL32	4	15
SCS22	25	1236
MAP2	39	2650
MRP21	15	399
AVT5	55	3434
TEL1	232	13369
RPL23A	52	2773
YBL086C	14	245
BOI1	74	4988
CDC27	35	1700
YBL083C	9	127
ALG3	36	1900
YBL081W	31	1951
PET112	47	1598
NUP170	131	6692
ATG8	3	28
YBL077W	18	808
ILS1	33	739
SSA3	145	7810
AAR2	56	2305
YBL073W	31	4851
RPS8A	18	334
YBL071C-B	7	40
KTI11	4	15
YBL071C	12	696
YBL070C	14	736
AST1	49	2121
YBL068W-A	7	72
PRS4	27	1195
UBP13	38	775
SEF1	84	4766
YBL065W	24	1195
PRX1	28	1082
KIP1	111	6371
YBL062W	14	1148
SKT5	52	4309
YEL1	77	3642
CMC2	5	9
YBL059W	34	2466
SHP1	40	2614
PTH2	36	4091
PTC3	53	2571
YBL055C	63	4356
TOD6	34	2367
YBL053W	8	99
SAS3	62	3950
PIN4	39	1781
SEC17	12	287
MOH1	13	268
RRT1	17	723
EDE1	111	4247
PSY4	57	3205
COR1	10	101
YBL044W	73	10155
ECM13	49	1730
FUI1	87	6066
PRE7	6	27
ERD2	30	1292
YBL039W-B	7	67
URA7	56	2664
YBL039C-A	1	0
MRPL16	17	288
APL3	111	6735
YBL036C	30	3068
POL12	40	1496
STU1	77	4637
RIB1	20	1502
HEK2	43	2566
SHE1	52	4287
PET9	21	366
YBL029C-A	14	345
YBL029W	112	7813
YBL028C	17	990
RPL19B	28	752
LSM2	4	68
RRN10	5	39
NCL1	60	3548
MCM2	34	873
PIM1	77	2345
HAP3	17	659
RFT1	29	928
APN2	97	4155
POP8	19	1320
PEP1	220	11984
FUS3	72	3857
ACH1	117	8132
RRN6	49	1438
FMT1	235	24510
YBL012C	41	3119
SCT1	130	7451
YBL010C	48	3497
ALK2	104	7445
YBL008W-A	33	2221
HIR1	94	2980
SLA1	74	2805
LDB7	40	2130
YBL006W-A	12	473
PDR3	159	14607
UTP20	61	2765
HTA2	34	1545
HTB2	48	4839
ECM15	40	2268
NTH2	200	15715
RER2	22	1306
COQ1	68	1936
GPI18	18	553
RCR1	82	9981
UGA2	171	17179
DSF2	183	11620
FLR1	176	17427
HHF1	15	80
HHT1	28	972
IPP1	23	712
YBR012C	18	574
YBR013C	53	2880
GRX7	24	1708
MNN2	53	1730
YBR016W	41	2255
KAP104	36	1480
GAL7	78	4886
GAL10	145	9469
GAL1	103	7185
FUR4	74	2789
POA1	54	3744
CHS3	42	758
SCO2	67	3646
OLA1	35	1707
ETR1	29	946
YBR027C	45	1435
YPK3	51	2568
CDS1	27	527
RKM3	72	6591
RPL4A	41	785
YBR032W	48	3308
EDS1	117	7661
HMT1	60	2705
PDX3	44	2658
CSG2	27	535
SCO1	22	871
CHS2	50	2805
ATP3	21	641
FIG1	27	978
FAT1	38	741
CST26	34	2142
QDR3	77	2972
TCM62	78	3720
GIP1	64	3653
ZTA1	26	1111
FMP23	37	3763
RPS11B	30	564
REB1	44	1787
REG2	39	1504
YBR051W	19	284
RFS1	33	1499
YBR053C	45	3165
YRO2	60	4406
PRP6	54	2620
YBR056W	78	4845
YBR056W-A	15	532
YBR056C-B	13	517
MUM2	48	2515
UBP14	53	2500
TSC3	3	35
AKL1	90	4144
ORC2	31	1378
TRM7	43	1651
YBR062C	15	972
YBR063C	32	1022
YBR064W	11	205
ECM2	31	1706
NRG2	38	1745
TIP1	20	636
BAP2	95	4950
TAT1	72	4148
ALG14	12	59
YBR071W	45	2922
HSP26	40	4751
YBR072C-A	23	360
RDH54	70	4640
PFF1	97	5544
ECM8	60	5388
YBR076C-A	25	2047
SLM4	21	195
ECM33	18	359
RPG1	67	2085
SEC18	24	607
SPT7	66	3161
UBC4	35	1631
TEC1	59	2403
MIS1	71	4339
RPL19A	37	961
AAC3	21	812
YBR085C-A	14	440
IST2	80	3774
RFC5	5	35
POL30	6	60
YBR089W	5	44
NHP6B	9	138
YBR090C	59	1783
TIM12	1	0
PHO3	44	2189
PHO5	45	2311
PBY1	78	3792
RXT2	19	307
YBR096W	18	911
VPS15	71	2441
MMS4	76	3302
YBR099C	22	787
FES1	11	207
EXO84	46	2338
SIF2	52	4361
YBR103C-A	23	1944
YMC2	32	1565
VID24	39	2506
PHO88	23	630
IML3	20	1325
AIM3	68	3335
CMD1	2	1
YBR109W-A	19	1159
ALG1	4	274
YSA1	20	660
SUS1	6	175
CYC8	34	1375
YBR113W	11	236
RAD16	93	6454
LYS2	132	6056
YBR116C	38	3632
TKL2	93	7336
TEF2	74	2110
MUD1	15	686
CBP6	2	1
GRS1	1	0
YBR121C-A	0	0
MRPL36	11	496
TFC1	15	246
YBR124W	23	823
PTC4	38	1984
TPS1	32	881
YBR126W-A	14	543
YBR126W-B	12	680
VMA2	29	1134
ATG14	55	3246
OPY1	18	747
SHE3	16	179
CCZ1	29	879
YBR131C-A	1	0
AGP2	46	2820
HSL7	51	2102
YBR134W	25	2289
CKS1	9	269
MEC1	135	6099
