Gene name	Number of transposons per gene	Number of reads per gene
TFC3	54	3104
EFB1	4	9
MAK16	8	103
PRP45	44	2048
POP5	4	70
YAL034C-B	34	3571
MTW1	24	868
CDC19	30	950
CDC24	32	854
PTA1	34	689
RFA1	8	298
SEN34	15	454
CDC15	40	1524
HTA2	43	2702
UTP20	73	2179
RRN6	43	1222
POP8	11	369
RFT1	27	611
MCM2	30	526
LSM2	11	179
PET9	28	697
STU1	85	3714
POL12	43	2044
ERD2	23	1254
PRE7	8	83
SEC17	15	336
YBL073W	31	1987
AAR2	47	2490
ILS1	30	808
YBL077W	25	1286
CDC27	35	1837
RPL32	5	38
BRN1	52	2655
SFT2	35	1027
PKC1	57	2085
RER2	36	4232
GPI18	26	599
HHF1	19	448
IPP1	24	606
SCO2	30	2014
CDS1	30	873
CHS2	55	1855
REB1	31	926
PRP6	58	2959
TSC3	3	14
ORC2	35	1212
ALG14	11	150
RPG1	59	2127
SEC18	25	797
RFC5	8	66
POL30	8	75
YBR089W	6	36
TIM12	3	6
EXO84	66	3061
CMD1	2	1
ALG1	8	185
GRS1	1	0
TFC1	23	554
YBR124W	23	904
CKS1	7	110
MEC1	163	6940
IRA1	127	3405
MAK5	48	1676
SUP45	15	135
SPP381	19	794
RIB7	14	207
RPB5	5	14
CNS1	10	133
AMN1	48	3900
CDC28	7	69
POP7	6	18
YBR190W	14	357
RIM2	9	62
MED8	6	88
PGI1	18	273
TAF5	39	1032
MCM7	33	1888
AME1	16	288
DAD3	4	25
ARC40	23	683
ABD1	19	1097
PRP5	36	1056
ALG7	10	128
ENP1	7	105
DUT1	4	59
SRB6	9	130
TRS20	8	181
RIB5	16	260
POP4	10	170
TSC10	19	648
PGS1	48	2711
NFS1	28	839
RRP7	21	657
YCL041C	56	481
PDI1	56	2074
PBN1	27	1087
SPB1	56	1938
KRR1	14	222
HMLALPHA2	7	16
PGK1	8	151
YCR013C	10	198
RRP43	6	110
MATALPHA2	7	24
RSC6	14	270
CTR86	37	1187
PWP2	57	2545
RSA4	28	717
CDC39	106	3974
HMRA2	5	10
MCD1	26	438
ATP16	10	35
RPT2	21	278
APC11	22	1016
SLX5	76	2005
NOP1	8	112
TSC13	13	268
YDL016C	15	1027
CDC7	39	1006
MPS1	42	2277
ARP2	10	27
PRP9	26	810
DBP10	31	671
PRP11	14	340
FAD1	10	117
PSA1	7	121
USO1	84	4320
TSR1	33	1064
UBC9	18	321
COX9	10	393
SUB2	16	205
LUC7	10	65
SRP14	33	1803
RPN6	29	503
SNU23	14	483
POL3	42	1040
QRI1	10	398
NSE4	8	214
KIN28	17	314
RRP42	19	200
YFH1	9	292
CDC48	30	1754
CDC53	38	1147
SCM3	12	211
RPO21	82	2504
BPL1	30	884
CCT4	23	439
COP1	35	610
RPN5	11	163
NOP14	57	2311
RPC53	20	501
YDL152W	20	472
SAS10	16	269
CLB3	43	2777
YDL163W	10	328
CDC9	47	1097
CDC36	8	137
FAP7	12	310
NUS1	9	65
SEC31	54	1858
YDL196W	54	3736
HEM3	28	1296
GLE1	12	278
NHP2	3	9
CWC2	7	183
SHR3	8	335
TIM22	5	27
CDC13	69	3019
YDL221W	66	4214
YPD1	0	0
YRB1	2	2
PSF1	4	87
DAD1	4	18
FAL1	14	554
SES1	12	543
KRS1	43	1392
RSM10	10	187
HEM13	6	136
RPC11	3	5
BAP3	66	3361
HEM12	38	1111
TPI1	3	9
DBF4	25	488
YDR053W	3	8
CDC34	9	243
MAK21	33	902
LCB2	22	562
RPS13	8	39
PDC2	22	535
STN1	28	1124
SSS1	0	0
RRP1	5	50
SLU7	20	492
RLI1	18	156
PDS1	14	247
APC4	41	1645
INO2	15	768
DOP1	56	2146
TAF12	14	173
CTH1	35	1573
SSY1	21	337
SEC1	42	1163
SEC5	32	741
TAF10	7	265
CDC37	29	729
SEC7	83	2647
SUP35	29	805
UBC1	12	231
SCC2	56	1686
CDC1	27	523
YDR187C	24	916
CCT6	48	1669
SLY1	20	349
RVB1	14	182
CAB5	12	220
SPC19	6	32
MSS4	59	1598
GCD6	24	894
TCP1	20	322
HTB1	8	77
PCF11	14	366
COX20	31	1852
HEM1	25	891
RTN1	12	381
PRP42	6	142
FMN1	8	72
SEC26	33	1045
SNU56	16	537
PRP28	18	553
TRS23	13	366
CIA1	24	896
RRP45	11	173
NSE3	10	157
SRP101	32	972
BFR2	13	107
CFT1	71	1692
GPI11	6	55
RSC3	22	517
SRB7	5	248
TFB1	20	774
UTP4	16	299
YCG1	42	1073
YDR327W	8	128
SKP1	11	140
GPI8	21	463
FCF1	0	0
YDR341C	30	669
TRR1	6	118
YDR355C	6	33
SPC110	27	659
BCP1	31	811
TFC6	40	1148
ESF1	13	200
KEI1	6	63
FRQ1	5	24
ARH1	17	256
YRA1	18	414
SAC7	29	710
UBA2	15	974
RPT3	10	286
YDR396W	16	464
NCB2	15	462
UTP5	15	423
RPB7	2	16
TRS120	50	1684
RRP17	3	4
YDR413C	2	1
SYF1	51	1823
RPL12B	7	119
RPN9	18	448
TIF35	5	15
GPI17	27	943
GPI19	6	126
UTP6	14	309
GUK1	0	0
TFB3	15	614
SPP41	38	688
