Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	44	1853
YAL068W-A	13	219
PAU8	31	611
YAL067W-A	22	565
SEO1	66	4319
YAL066W	25	2747
YAL065C	40	2318
YAL064W-B	23	776
TDA8	19	1134
YAL064W	21	751
YAL063C-A	14	960
FLO9	252	14865
GDH3	170	10598
BDH2	171	14766
BDH1	75	5702
YAL059C-A	26	1561
ECM1	34	2263
CNE1	94	6516
YAL056C-A	26	1890
GPB2	97	3232
PEX22	31	3033
ACS1	140	9011
FLC2	90	3649
OAF1	124	6838
AIM2	44	2875
GEM1	109	7494
YAL047W-A	20	1369
SPC72	22	592
BOL3	27	1876
YAL045C	21	1248
BOL1	25	1444
GCV3	35	1084
PTA1	34	689
YAL042C-A	28	1087
ERV46	88	4663
CDC24	32	854
CLN3	27	789
CYC3	140	4703
CDC19	30	950
YAL037C-B	18	579
YAL037C-A	12	1048
YAL037W	55	3018
RBG1	62	2413
FUN12	30	822
YAL034C-B	34	3571
MTW1	24	868
FUN19	70	3959
POP5	4	70
PRP45	44	2048
YAL031W-A	21	1412
GIP4	97	5988
SNC1	30	2026
MYO4	164	10352
FRT2	63	3844
SAW1	59	2426
YAL026C-A	29	815
DRS2	172	8110
MAK16	8	103
LTE1	101	3756
PMT2	88	2973
FUN26	101	6516
CCR4	71	3639
ATS1	74	5448
YAL019W-A	71	7385
FUN30	132	6729
LDS1	57	3058
PSK1	184	10112
YAL016C-B	22	1631
YAL016C-A	18	1670
TPD3	19	251
NTG1	84	4937
SYN8	49	4190
DEP1	38	624
CYS3	60	1185
SWC3	79	6256
MDM10	48	1254
SPO7	40	852
FUN14	60	3334
ERP2	55	4646
SSA1	277	14775
YAL004W	47	1379
EFB1	4	9
VPS8	272	27036
TFC3	54	3104
NUP60	93	3853
ERP1	54	3972
SWD1	63	1698
RFA1	8	298
SEN34	15	454
BUD14	130	8352
ADE1	10	106
KIN3	66	2176
CDC15	40	1524
YAR019W-A	55	5216
PAU7	11	625
YAR023C	35	3040
UIP3	57	4553
YAR028W	61	5538
YAR029W	5	69
YAR030C	19	912
PRM9	67	5145
MST28	86	5691
YAT1	426	30820
YAR035C-A	16	1011
SWH1	146	8154
YAR047C	0	0
FLO1	290	20763
YAR053W	3	36
YAR060C	19	408
YAR064W	42	957
YAR066W	18	416
YAR068W	20	276
YAR069C	33	1512
YAR070C	12	400
PHO11	66	3091
IMD1	24	712
YAR075W	5	28
YBL113C	282	4218
YBL113W-A	106	1700
YBL112C	40	595
YBL111C	406	11098
YBL109W	51	3177
PAU9	22	348
YBL108W	21	1454
YBL107W-A	14	90
MIX23	30	1289
SRO77	99	4820
PKC1	57	2085
SEA4	141	5406
RTG3	44	1809
SFT2	35	1027
ECM21	127	6864
YBL100W-C	14	1191
YBL100C	7	10
ATP1	22	299
BNA4	57	3715
BRN1	52	2655
YBL096C	31	2393
MRX3	29	2383
YBL094C	9	202
ROX3	32	2798
RPL32	5	38
SCS22	25	878
MAP2	38	2004
MRP21	21	931
AVT5	51	2370
TEL1	249	11261
RPL23A	47	1916
YBL086C	15	572
BOI1	78	2704
CDC27	35	1837
YBL083C	5	29
ALG3	33	844
YBL081W	46	2207
PET112	42	1365
NUP170	142	8434
ATG8	5	33
YBL077W	25	1286
ILS1	30	808
SSA3	129	6603
AAR2	47	2490
YBL073W	31	1987
RPS8A	16	237
YBL071C-B	7	52
KTI11	5	49
YBL071C	15	425
YBL070C	16	628
AST1	53	3010
YBL068W-A	10	762
PRS4	30	1866
UBP13	51	3881
SEF1	96	2714
YBL065W	32	1347
PRX1	34	1408
KIP1	124	8239
YBL062W	12	430
SKT5	51	2384
YEL1	74	2839
CMC2	6	35
YBL059W	31	1864
SHP1	42	1810
PTH2	44	2845
PTC3	54	4372
YBL055C	74	4361
TOD6	62	3934
YBL053W	14	679
SAS3	66	2935
PIN4	53	1605
SEC17	15	336
MOH1	15	590
RRT1	4	32
EDE1	97	3779
PSY4	64	3563
COR1	22	219
YBL044W	72	9197
ECM13	61	2600
FUI1	96	6132
PRE7	8	83
ERD2	23	1254
YBL039W-B	7	210
URA7	67	3188
YBL039C-A	0	0
MRPL16	21	507
APL3	103	6146
YBL036C	32	2883
POL12	43	2044
STU1	85	3714
RIB1	24	748
HEK2	51	1868
SHE1	46	2628
PET9	28	697
YBL029C-A	28	749
YBL029W	121	8622
YBL028C	19	820
RPL19B	20	210
LSM2	11	179
RRN10	7	59
NCL1	53	4275
MCM2	30	526
PIM1	96	2304
HAP3	21	468
RFT1	27	611
APN2	108	5581
POP8	11	369
PEP1	214	10915
FUS3	88	5791
ACH1	108	6280
RRN6	43	1222
FMT1	244	22360
YBL012C	47	2776
SCT1	119	6031
YBL010C	47	2746
ALK2	114	6421
YBL008W-A	28	1203
HIR1	126	4509
SLA1	81	2553
LDB7	49	2640
YBL006W-A	17	877
PDR3	202	18987
UTP20	73	2179
HTA2	43	2702
HTB2	52	3467
ECM15	41	3119
NTH2	192	15853
RER2	36	4232
COQ1	60	1920
GPI18	26	599
RCR1	83	7133
UGA2	171	16608
DSF2	207	17767
FLR1	189	18248
HHF1	19	448
HHT1	34	933
IPP1	24	606
YBR012C	16	793
YBR013C	49	2839
GRX7	21	841
MNN2	81	1755
YBR016W	36	2383
KAP104	37	1064
GAL7	71	6709
GAL10	157	11298
GAL1	114	8575
FUR4	80	3614
POA1	43	3676
CHS3	50	1465
SCO2	30	2014
OLA1	53	2285
ETR1	48	2452
YBR027C	49	3472
YPK3	58	1589
CDS1	30	873
RKM3	60	3167
RPL4A	40	931
YBR032W	54	3451
EDS1	136	9353
HMT1	38	1654
PDX3	43	2088
CSG2	19	383
SCO1	27	659
CHS2	55	1855
ATP3	23	874
FIG1	26	1497
FAT1	30	574
CST26	40	1518
QDR3	80	4453
TCM62	84	3337
GIP1	63	2742
ZTA1	29	963
FMP23	25	1621
RPS11B	30	985
REB1	31	926
REG2	27	699
YBR051W	9	320
RFS1	40	1837
YBR053C	39	2849
YRO2	61	4082
PRP6	58	2959
YBR056W	71	4717
YBR056W-A	12	342
YBR056C-B	11	336
MUM2	34	1855
UBP14	60	2444
TSC3	3	14
AKL1	90	6421
ORC2	35	1212
TRM7	43	1254
YBR062C	20	599
YBR063C	23	519
YBR064W	10	140
ECM2	25	913
NRG2	34	1084
TIP1	18	249
BAP2	97	5582
TAT1	73	3208
ALG14	11	150
YBR071W	45	2742
HSP26	40	1879
YBR072C-A	21	637
RDH54	75	3579
PFF1	95	5142
ECM8	63	6265
YBR076C-A	35	3601
SLM4	17	309
ECM33	26	872
RPG1	59	2127
SEC18	25	797
SPT7	72	2274
UBC4	36	2245
TEC1	65	4178
MIS1	96	5833
RPL19A	33	1106
AAC3	27	2054
YBR085C-A	13	748
IST2	76	4035
RFC5	8	66
POL30	8	75
YBR089W	6	36
NHP6B	12	344
YBR090C	64	2105
TIM12	3	6
PHO3	42	3483
PHO5	48	2467
PBY1	74	3842
RXT2	24	524
YBR096W	15	745
VPS15	75	2310
MMS4	63	2140
YBR099C	11	317
FES1	16	280
EXO84	66	3061
SIF2	51	3251
YBR103C-A	23	1854
YMC2	39	3577
VID24	43	1540
PHO88	30	1238
IML3	23	288
AIM3	89	5178
CMD1	2	1
YBR109W-A	17	931
ALG1	8	185
YSA1	26	818
SUS1	5	14
CYC8	51	1033
YBR113W	17	509
RAD16	103	6764
LYS2	150	6401
YBR116C	45	2316
TKL2	98	5822
TEF2	73	2081
MUD1	18	265
CBP6	4	5
GRS1	1	0
YBR121C-A	0	0
MRPL36	12	196
TFC1	23	554
YBR124W	23	904
PTC4	31	786
TPS1	30	1028
YBR126W-A	23	1618
YBR126W-B	14	975
VMA2	14	338
ATG14	56	2282
OPY1	13	304
SHE3	17	872
CCZ1	34	1054
YBR131C-A	1	0
AGP2	50	2912
HSL7	51	1757
YBR134W	28	2259
CKS1	7	110
MEC1	163	6940
YBR137W	12	677
YBR138C	37	1571
YBR139W	55	4129
IRA1	127	3405
BMT2	51	2518
YBR141W-A	4	39
MAK5	48	1676
SUP45	15	135
YBR144C	58	5910
ADH5	48	3056
MRPS9	23	634
RTC2	40	2793
YSW1	64	3049
ARA1	41	1904
TBS1	100	4763
APD1	33	2280
SPP381	19	794
RIB7	14	207
RPB5	5	14
CNS1	10	133
SLI15	26	735
ICS2	25	1524
AMN1	48	3900
IFA38	22	595
CDC28	7	69
CSH1	28	483
TOS1	47	4392
YSY6	2	18
EXO5	31	874
ARL1	9	149
UBS1	26	692
TYR1	53	2438
POP7	6	18
PEX32	41	2141
SSE2	60	2342
NPL4	42	1974
SEC66	7	210
SMY2	47	1748
UMP1	2	1
YBR174C	12	466
SWD3	19	504
ECM31	12	468
EHT1	56	3113
YBR178W	39	1697
FZO1	77	2011
DTR1	60	3369
RPS6B	12	99
SMP1	20	660
YBR182C-A	7	371
YPC1	32	1947
YBR184W	49	3118
MBA1	23	472
PCH2	68	4693
GDT1	22	1407
NTC20	14	258
RPS9B	7	46
YBR190W	14	357
RPL21A	17	410
YBR191W-A	1	0
RIM2	9	62
MED8	6	88
AIM4	9	280
MSI1	42	1822
PGI1	18	273
YBR196C-A	21	729
YBR196C-B	9	1109
YBR197C	45	3420
TAF5	39	1032
KTR4	31	1499
BEM1	27	1316
YBR200W-A	4	32
DER1	11	835
YBR201C-A	6	84
MCM7	33	1888
COS111	94	3409
LDH1	37	1286
KTR3	33	1687
YBR206W	9	316
FTH1	47	2449
DUR1,2	155	8568
YBR209W	40	4369
ERV15	6	259
AME1	16	288
NGR1	60	2767
MET8	50	2243
SDS24	68	4120
HPC2	41	630
YBP1	39	1538
ATG12	13	425
PYC2	118	6534
YBR219C	60	3901
YBR220C	64	3588
PDB1	26	1292
YBR221W-A	28	1948
PCS60	68	2586
TDP1	62	2918
YBR223W-A	15	408
YBR224W	25	972
YBR225W	43	1028
YBR226C	10	241
MCX1	33	1520
SLX1	31	1644
ROT2	107	5053
OM14	17	583
YBR230W-A	21	1271
SWC5	29	2062
YBR232C	11	348
PBP2	32	1795
DAD3	4	25
ARC40	23	683
VHC1	93	4485
ABD1	19	1097
PRP5	36	1056
YBR238C	48	2851
ERT1	69	3687
THI2	59	5219
YBR241C	100	5003
YBR242W	24	1114
ALG7	10	128
GPX2	17	795
ISW1	93	7033
RRT2	55	3445
ENP1	7	105
HIS7	49	1806
ARO4	26	1309
SPO23	35	1307
MRPS5	29	660
DUT1	4	59
SRB6	9	130
TRS20	8	181
MTC4	51	2336
YBR255C-A	16	532
RIB5	16	260
POP4	10	170
SHG1	13	398
YBR259W	72	3681
RGD1	67	3764
TAE1	26	1347
MIC12	18	799
SHM1	40	1418
YPT10	14	660
TSC10	19	648
REI1	37	1195
SLM6	6	163
MRPL37	7	148
SDH8	10	164
BIT2	38	2203
EFM2	46	1839
HSM3	21	623
UBX7	45	2437
CHK1	30	1745
RIF1	167	9009
PPS1	72	3022
YBR277C	21	1152
DPB3	27	827
PAF1	26	1092
SAF1	55	3249
DUG2	58	1909
MRPL27	9	96
SSH1	35	1240
YBR284W	68	3599
YBR285W	7	81
APE3	69	5513
YBR287W	27	879
APM3	33	605
SNF5	45	1984
BSD2	23	806
CTP1	46	3543
YBR292C	24	1013
VBA2	45	2074
SUL1	70	3079
PCA1	104	5535
PHO89	79	4160
YBR296C-A	2	31
MAL33	35	1278
MAL31	43	2240
YBR298C-A	17	653
MAL32	97	3881
YBR300C	22	364
PAU24	28	299
COS2	60	1488
YCL076W	6	39
GEX1	72	1703
VBA3	45	1193
YCL068C	35	1786
HMLALPHA2	7	16
HMLALPHA1	54	1108
YCL065W	17	252
CHA1	42	2387
VAC17	41	1049
MRC1	74	3002
KRR1	14	222
FYV5	30	1324
ADF1	19	746
MIC10	28	2811
PRD1	69	4644
PEX34	12	232
KAR4	18	400
RDT1	0	0
SPB1	56	1938
PBN1	27	1087
LRE1	71	5366
APA1	33	1780
YCL049C	44	1712
YCL048W-A	11	218
SPS22	78	5916
POF1	34	2083
EMC1	80	3714
YCL046W	17	197
MGR1	72	5091
PDI1	56	2074
YCL041C	56	481
YCL042W	43	1855
GLK1	138	10294
GID7	133	5147
ATG22	70	2472
SRO9	50	2440
GFD2	121	8947
GRX1	18	635
LSB5	90	8387
MXR2	28	868
STE50	46	3655
RRP7	21	657
HIS4	177	8835
BIK1	126	9103
RNQ1	64	4978
FUS1	76	4819
HBN1	29	889
FRM2	39	3532
AGP1	178	12611
YCL023C	47	3639
KCC4	184	11704
YCL022C	29	2164
YCL021W-A	39	1900
LEU2	93	5801
NFS1	28	839
DCC1	65	2367
BUD3	232	11836
YCL012C	44	879
GBP2	96	3903
SGF29	73	3364
ILV6	109	9559
STP22	102	6503
CWH36	13	564
VMA9	6	132
LDB16	73	3319
PGS1	48	2711
YCL002C	76	5287
RER1	46	696
YCL001W-A	22	483
YCL001W-B	10	517
YCR001W	23	1488
CDC10	8	88
MRPL32	25	430
YCP4	39	1007
CIT2	133	11000
YCR006C	214	20917
YCR007C	69	2987
SAT4	113	4577
RVS161	28	546
ADY2	76	4243
ADP1	197	15319
PGK1	8	151
YCR013C	10	198
POL4	91	4583
CTO1	63	2718
YCR016W	33	1360
CWH43	71	2169
SRD1	10	143
YCR018C-A	71	2613
MAK32	69	4676
PET18	40	1690
MAK31	12	615
HTL1	1	0
HSP30	66	5741
YCR022C	64	3886
YCR023C	92	7203
SLM5	39	1140
YCR024C-B	11	287
PMP1	8	126
YCR025C	96	4624
NPP1	147	7066
RHB1	15	294
FEN2	65	2556
RIM1	10	66
SYP1	80	4433
RPS14A	18	607
BPH1	195	8172
SNT1	140	9458
ELO2	15	542
RRP43	6	110
RBK1	61	3604
PHO87	90	6006
BUD5	58	2469
YCR038W-A	4	4
MATALPHA2	7	24
MATALPHA1	54	1057
YCR041W	23	467
TAF2	72	2081
YCR043C	29	1649
PER1	25	1385
RRT12	78	5014
YCR045W-A	32	1680
IMG1	20	428
BUD23	16	327
YCR047W-A	2	1
YCR049C	35	1909
ARE1	110	8177
YCR050C	18	489
YCR051W	43	1848
RSC6	14	270
THR4	33	1859
CTR86	37	1187
PWP2	57	2545
YIH1	62	3678
TAH1	26	1673
YCR061W	210	19711
YCR064C	51	4710
BUD31	31	722
HCM1	70	3411
RAD18	34	724
SED4	93	4062
ATG15	81	3608
CPR4	47	2744
IMG2	21	480
RSA4	28	717
SSK22	126	10425
SOL2	38	2011
ERS1	39	1433
YCR075W-A	4	58
FUB1	36	1937
PAT1	44	1310
PTC6	61	1887
SRB8	180	17600
YCR081C-A	16	1420
AHC2	15	385
TRX3	16	667
TUP1	25	841
YCR085W	19	201
CSM1	21	989
YCR087W	16	333
YCR087C-A	15	278
ABP1	58	3193
FIG2	80	3390
YCR090C	20	1355
KIN82	88	5295
MSH3	101	6237
CDC39	106	3974
CDC50	40	2561
OCA4	19	846
YCR095W-A	6	130
HMRA2	5	10
HMRA1	1	0
YCR097W-A	9	54
GIT1	79	4502
YCR099C	26	1816
YCR100C	41	2220
YCR101C	20	1078
YCR102C	66	5521
YCR102W-A	6	78
PAU3	15	399
ADH7	61	3053
RDS1	97	4112
AAD3	51	2960
YCR108C	25	989
COS7	45	1045
YDL247W-A	4	42
MPH2	95	2652
SOR2	80	2090
HXT15	103	4042
THI13	82	2291
AAD4	45	1885
YDL242W	22	2280
YDL241W	12	290
YDL240C-A	34	2307
LRG1	63	2045
ADY3	35	898
GUD1	37	1129
AIM6	28	603
PHO13	18	247
YPD1	0	0
GYP7	69	4468
MFG1	40	2055
OST4	1	0
BRE4	80	3746
PTP1	51	2543
SSB1	54	1446
YDL228C	19	460
HO	93	4714
GCS1	19	676
SHS1	58	1829
WHI4	41	1889
HBT1	142	9704
FMP45	42	1566
YDL221W	66	4214
CDC13	69	3019
DTD1	3	49
YDL218W	49	1952
TIM22	5	27
RRI1	39	1804
GDH2	117	8883
PRR2	86	3573
NOP6	21	430
SHR3	8	335
YDL211C	31	1926
UGA4	66	4099
CWC2	7	183
NHP2	3	9
GLE1	12	278
YDL206W	47	1921
HEM3	28	1296
RTN2	46	3737
ACK1	57	2409
MRPL11	8	107
TRM8	44	3339
MGT1	22	863
YDL199C	43	1856
GGC1	7	162
ASF2	73	2978
YDL196W	54	3736
SEC31	54	1858
SNF3	43	1232
NUS1	9	65
ARF1	20	687
RPL35A	11	149
UFD2	60	1891
RBS1	23	948
PPH22	56	2648
YDL187C	8	97
YDL186W	9	565
YDL185C-A	14	769
VMA1	41	1298
RPL41A	8	203
YDL183C	30	1943
LYS20	84	4167
INH1	12	176
YDL180W	40	1167
PCL9	15	553
DLD2	52	2402
YDL177C	30	1070
YDL176W	64	3099
AIR2	26	1094
DLD1	62	4487
PAR32	24	336
YDL172C	16	113
GLT1	195	11875
UGA3	52	2173
UGX2	27	1568
SFA1	54	3409
NRP1	2	1
FAP7	12	310
CDC36	8	137
CDC9	47	1097
YDL163W	10	328
YDL162C	35	2504
ENT1	34	2209
MHF2	6	148
DHH1	46	1372
YDL159W-A	12	768
STE7	52	3004
YDL159C-B	8	264
YDL158C	9	415
YDL157C	12	282
CMR1	64	3967
CLB3	43	2777
MSH5	89	4781
SAS10	16	269
YDL152W	20	472
BUD30	7	45
RPC53	20	501
ATG9	73	3327
NOP14	57	2311
RPN5	11	163
LDB17	26	511
COP1	35	610
YDL144C	49	3306
CCT4	23	439
CRD1	39	1947
BPL1	30	884
RPO21	82	2504
SCM3	12	211
RGT2	62	2413
ARF2	18	1381
RPL35B	22	447
RDI1	24	1024
PPH21	47	2327
RPL41B	6	65
SRF1	36	1514
CDC53	38	1147
LYS21	75	3228
STF1	17	527
RPP1B	20	733
YDL129W	18	908
VCX1	47	1955
PCL2	49	2402
CDC48	30	1754
HNT1	8	100
YDL124W	29	1105
SNA4	19	619
UBP1	51	2059
EXP1	17	637
YFH1	9	292
HEM25	44	2282
YDL118W	15	635
CYK3	50	2167
NUP84	38	1028
IWR1	33	1433
YDL114W-A	0	0
YDL114W	25	938
ATG20	58	1864
TRM3	101	5834
RRP42	19	200
TMA17	21	512
YDL109C	66	3517
KIN28	17	314
MSS2	32	994
PHO2	57	2064
NSE4	8	214
QRI7	47	2426
QRI1	10	398
POL3	42	1040
DUN1	35	1665
GET3	42	1573
BUG1	18	784
SNU23	14	483
RPN6	29	503
OPI6	23	554
PMT1	80	2526
YDL094C	46	4296
PMT5	78	3611
SRP14	33	1803
UBX3	36	2654
RAM1	10	131
NUR1	48	1508
ASM4	34	1434
LUC7	10	65
YDL086W	48	2814
YDL086C-A	33	2185
YDL085C-A	11	697
NDE2	55	3629
SUB2	16	205
RPS16B	14	185
RPL13A	30	1237
RPP1A	4	14
THI3	55	2492
MRK1	81	3796
MDH3	30	911
VAM6	38	993
RXT3	44	1709
RPL31A	8	14
BRE1	29	888
YDL073W	62	3709
YET3	20	587
YDL071C	46	2496
BDF2	48	1987
CBS1	12	235
YDL068W	6	40
COX9	10	393
IDP1	56	2987
PEX19	32	769
UBC9	18	321
SYO1	54	1509
YDL062W	11	229
RPS29B	2	1
TSR1	33	1064
RAD59	28	747
USO1	84	4320
YDL057W	50	1707
MBP1	67	1910
PSA1	7	121
MCH1	122	9096
PBP4	19	699
SLC1	45	1408
LHP1	50	2681
YDL050C	29	1154
KNH1	77	4250
STP4	102	5858
SIT4	21	668
NPC2	24	954
MRP10	7	14
FAD1	10	117
MTF2	28	772
PRP11	14	340
SIR2	77	2650
YDL041W	29	723
NAT1	53	3043
PRM7	87	3933
BSC1	18	676
PUS9	73	4010
GPR1	72	2673
YDL034W	11	341
SLM3	74	4202
YDL032W	16	816
DBP10	31	671
PRP9	26	810
ARP2	10	27
MPS1	42	2277
MRX9	42	1411
YDL026W	11	267
RTK1	52	2118
YDL025W-A	3	3
DIA3	58	3424
YDL022C-A	13	583
YDL023C	26	1458
GPD1	65	3456
GPM2	70	3050
RPN4	84	6415
OSH2	159	9088
ERP3	23	1139
CDC7	39	1006
YDL016C	15	1027
TSC13	13	268
NOP1	8	112
SLX5	76	2005
YDL012C	31	1632
YDL011C	26	1480
GRX6	41	1754
YDL009C	10	157
APC11	22	1016
YDL007C-A	11	159
RPT2	21	278
PTC1	17	567
MED2	42	1163
ATP16	10	35
MCD1	26	438
NHP10	37	947
RMD1	103	6966
NTH1	198	10535
YRB1	2	2
RCR2	74	4023
YDR003W-A	10	43
RAD57	52	2136
MAF1	33	966
SOK1	115	4258
TRP1	68	3332
YDR008C	70	3919
GAL3	111	8575
YDR010C	80	7080
SNQ2	254	16179
RPL4B	45	1406
PSF1	4	87
RAD61	67	2835
HED1	19	641
YDR015C	9	310
DAD1	4	18
KCS1	87	2868
YDR018C	77	5863
GCV1	64	3345
DAS2	60	4612
FAL1	14	554
ATG31	18	1139
SES1	12	543
FYV1	58	1682
RPS11A	14	141
NSI1	66	5633
VPS54	66	2765
REG1	88	3097
YDR029W	18	220
RAD28	79	5740
MIX14	16	678
PST2	25	1049
MRH1	37	1523
LYS14	95	5806
YDR034C-A	16	361
YDR034W-B	9	269
ARO3	55	3988
EHD3	74	5132
KRS1	43	1392
ENA5	303	12818
ENA2	337	13616
ENA1	337	15095
RSM10	10	187
YDR042C	16	231
NRG1	23	988
HEM13	6	136
RPC11	3	5
BAP3	66	3361
HEM12	38	1111
YDR048C	27	2500
VMS1	23	358
TPI1	3	9
DET1	52	2661
DBF4	25	488
YDR053W	3	8
CDC34	9	243
PST1	47	2086
EMC10	39	2227
YOS9	64	4545
TGL2	30	1727
UBC5	18	585
MAK21	33	902
YDR061W	62	4262
LCB2	22	562
AIM7	14	534
RPS13	8	39
RRG1	22	454
RTR2	33	1447
OCA6	27	1080
DOS2	17	333
DOA4	35	831
FMP16	9	118
PAA1	18	347
IPT1	75	3433
SNF11	13	383
TPS2	73	2229
PPH3	21	512
RAD55	63	3619
SED1	25	751
SHU2	43	3584
PET100	14	612
TFB5	12	368
VPS41	55	1876
PDC2	22	535
STN1	28	1124
RRP8	31	870
TVP23	9	101
AFR1	35	2119
SSS1	0	0
RRP1	5	50
SLU7	20	492
YDR089W	87	5487
YDR090C	30	1509
RLI1	18	156
UBC13	27	1029
DNF2	261	17070
YDR094W	70	7676
YDR095C	55	4241
GIS1	82	5105
MSH6	70	3375
GRX3	20	690
BMH2	40	1770
TVP15	16	953
ARX1	32	1475
YDR102C	23	2450
STE5	43	1444
SPO71	117	7179
TMS1	50	2965
ARP10	38	1504
TMN2	64	2704
TRS85	55	1830
YDR109C	38	1525
FOB1	48	2167
ALT2	51	2260
IRC2	14	754
PDS1	14	247
YDR114C	21	786
YDR115W	5	23
MRPL1	24	792
TMA64	25	628
APC4	41	1645
YDR118W-A	4	121
VBA4	80	3777
YDR119W-A	12	284
TRM1	51	2289
DPB4	2	8
KIN1	73	3362
INO2	15	768
YDR124W	35	2528
ECM18	28	1179
SWF1	82	5432
ARO1	111	3555
MTC5	107	7527
SAC6	50	1776
FIN1	23	1349
YDR131C	58	2466
YDR132C	48	2353
YDR133C	6	69
YCF1	126	6874
VPS61	51	3293
RGP1	26	813
HPR1	33	827
RUB1	7	101
MTQ2	18	554
DOP1	56	2146
PEX7	37	1890
SAN1	57	1377
MKC7	46	2214
TAF12	14	173
SWI5	32	775
EKI1	39	2065
KGD2	36	1212
YDR149C	17	554
NUM1	151	5953
CTH1	35	1573
GIR2	23	976
ENT5	34	1041
YDR154C	10	366
CPR1	16	640
RPA14	33	894
YDR157W	43	2743
HOM2	29	934
SAC3	70	2353
SSY1	21	337
ACL4	15	174
NBP2	7	86
CWC15	19	731
SEC1	42	1163
TRM82	24	568
SEC5	32	741
TAF10	7	265
CDC37	29	729
STB3	16	251
YDR169C-A	6	306
