!,,,,,,,,,,,,,,,,
!Date: 12/21/2022,,,,,,,,,,,,,,,,
!From: Saccharomyces Genome Database (SGD) ,,,,,,,,,,,,,,,,
!URL: http://www.yeastgenome.org/ ,,,,,,,,,,,,,,,,
!Contact Email: sgd-helpdesk@lists.stanford.edu ,,,,,,,,,,,,,,,,
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 ,,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Interactor,Interactor Systematic Name,Interactor,Interactor Systematic Name,Allele,Assay,Annotation,Action,Phenotype,SGA score,P-value,Source,Reference,Note,,,
BEM1,YBR200W,ACT1,YFL039C,,Synthetic Haploinsufficiency,high-throughput,Hit,,,,BioGRID,Haarer B, et al. (2007) PMID:17167106,these complex haploinsufficient interactions with the act1-null hemizygote have a growth defect,,
BEM1,YBR200W,ARC40,YBR234C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2001) PMID:11743205,,,
BEM1,YBR200W,ARC40,YBR234C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2004) PMID:14764870,,,
BEM1,YBR200W,ARP2,YDL029W,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2001) PMID:11743205,,,
BEM1,YBR200W,ARP2,YDL029W,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2004) PMID:14764870,,,
BEM1,YBR200W,BBC1,YJL020C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2001) PMID:11743205,,,
BEM1,YBR200W,BBC1,YJL020C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2004) PMID:14764870,,,
BEM1,YBR200W,BEM2,YER155C,,Synthetic Lethality,manually curated,Bait,inviable Mutant Type: unspecified,,,BioGRID,Peterson J, et al. (1994) PMID:7962098,,,
BEM1,YBR200W,BEM2,YER155C,,Synthetic Lethality,manually curated,Bait,inviable Mutant Type: unspecified,,,BioGRID,Gorelik M, et al. (2011) PMID:21489982,,,
BEM1,YBR200W,BEM2,YER155C,,Synthetic Rescue,manually curated,Bait,vegetative growth: normal Mutant Type: unspecified,,,BioGRID,Laan L, et al. (2015) PMID:26426479,Deletion of BEM2, BEM3, and NRP1 suppresses polarization defect of bem1 mutant
BEM1,YBR200W,BEM3,YPL115C,,Synthetic Rescue,manually curated,Bait,vegetative growth: normal Mutant Type: unspecified,,,BioGRID,Laan L, et al. (2015) PMID:26426479,Deletion of BEM2, BEM3, and NRP1 suppresses polarization defect of bem1 mutant
BEM1,YBR200W,BEM3,YPL115C,,Synthetic Rescue,manually curated,Bait,vegetative growth: normal Mutant Type: unspecified,,,BioGRID,Grinhagens S, et al. (2020) PMID:32737079,,,
BEM1,YBR200W,BEM4,YPL161C,,Synthetic Lethality,manually curated,Hit,inviable Mutant Type: unspecified,,,BioGRID,Mack D, et al. (1996) PMID:8754839,,,
BEM1,YBR200W,BIM1,YER016W,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2001) PMID:11743205,,,
BEM1,YBR200W,BIM1,YER016W,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2004) PMID:14764870,,,
BEM1,YBR200W,BNI1,YNL271C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2001) PMID:11743205,,,
BEM1,YBR200W,BNI1,YNL271C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2004) PMID:14764870,,,
BEM1,YBR200W,BNI1,YNL271C,,Synthetic Lethality,manually curated,Bait,inviable Mutant Type: unspecified,,,BioGRID,Gorelik M, et al. (2011) PMID:21489982,,,
BEM1,YBR200W,BRE1,YDL074C,,Synthetic Growth Defect,high-throughput,Hit,vegetative growth: decreased Mutant Type: unspecified,,,BioGRID,Pan X, et al. (2006) PMID:16487579,confirmed by RSA,,
BEM1,YBR200W,BUB3,YOR026W,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Daniel JA, et al. (2006) PMID:16157669,,,
BEM1,YBR200W,CBK1,YNL161W,,Synthetic Growth Defect,manually curated,Hit,vegetative growth: decreased Mutant Type: unspecified,,,BioGRID,Jorgensen P, et al. (2002) PMID:12454058,analyzed in a ssd1-d genetic background,,
BEM1,YBR200W,CDC24,YAL041W,,Synthetic Lethality,manually curated,Bait,inviable Mutant Type: unspecified,,,BioGRID,Peterson J, et al. (1994) PMID:7962098,,,
BEM1,YBR200W,CDC24,YAL041W,,Synthetic Lethality,manually curated,Hit,inviable Mutant Type: unspecified,,,BioGRID,Mack D, et al. (1996) PMID:8754839,,,
BEM1,YBR200W,CDC24,YAL041W,,Synthetic Rescue,manually curated,Bait,vegetative growth: normal Mutant Type: unspecified,,,BioGRID,Kozubowski L, et al. (2008) PMID:19013066,Expression of a CDC24-CLA4 fusion protein rescues the growth defects seen in an RSR1/BEM1 double mutant,,
BEM1,YBR200W,CDC24,YAL041W,,Synthetic Growth Defect,manually curated,Hit,vegetative growth: decreased Mutant Type: unspecified,,,BioGRID,Fujimura-Kamada K, et al. (2012) PMID:22117027,double mutants show mislocalization of cdc24,,
BEM1,YBR200W,CDC24,YAL041W,,Synthetic Rescue,manually curated,Bait,vegetative growth: normal Mutant Type: unspecified,,,BioGRID,Fujimura-Kamada K, et al. (2012) PMID:22117027,A cdc24-ts136-CLA4 gene rescues the lethality of an Rsr1/Bem1 double mutant at 25 degrees but not 37,,
BEM1,YBR200W,CDC24,YAL041W,,Synthetic Lethality,manually curated,Bait,inviable Mutant Type: unspecified,,,BioGRID,Wu CF, et al. (2015) PMID:26523396,,,
BEM1,YBR200W,CDC24,YAL041W,,Synthetic Lethality,manually curated,Hit,inviable Mutant Type: unspecified,,,BioGRID,Chollet J, et al. (2020) PMID:32327559,,,
BEM1,YBR200W,CDC34,YDR054C,,Synthetic Rescue,manually curated,Hit,vegetative growth: normal Mutant Type: unspecified,,,BioGRID,Gulli MP, et al. (2000) PMID:11106754,,,
BEM1,YBR200W,CDC42,YLR229C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Kozminski KG, et al. (2003) PMID:12960420,,,
BEM1,YBR200W,CDC42,YLR229C,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2004) PMID:14764870,,,
BEM1,YBR200W,CLA4,YNL298W,,Synthetic Lethality,manually curated,Hit,inviable Mutant Type: unspecified,,,BioGRID,Goehring AS, et al. (2003) PMID:12686605,,,
BEM1,YBR200W,CLA4,YNL298W,,Synthetic Lethality,manually curated,Hit,inviable Mutant Type: unspecified,,,BioGRID,Oehlen LJ and Cross FR (1998) PMID:9737966,,,,
BEM1,YBR200W,CLA4,YNL298W,,Synthetic Lethality,manually curated,Hit,inviable Mutant Type: unspecified,,,BioGRID,Kozubowski L, et al. (2008) PMID:19013066,,,
BEM1,YBR200W,CLA4,YNL298W,,Synthetic Rescue,manually curated,Bait,vegetative growth: normal Mutant Type: unspecified,,,BioGRID,Kozubowski L, et al. (2008) PMID:19013066,Expression of a CDC24-CLA4 fusion protein rescues the growth defects seen in an RSR1/BEM1 double mutant,,
BEM1,YBR200W,CLA4,YNL298W,,Synthetic Lethality,high-throughput,Hit,inviable Mutant Type: unspecified,,,BioGRID,Tong AH, et al. (2004) PMID:14764870,,,
