!
!Date: 04/11/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Allele	Assay	Annotation	Action	Phenotype	SGA score	P-value	Source	Reference	Note
BEM3	YPL115C	ART5	YGR068C		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: art5-delta (GI score = 0.092135, p-value = 0.00704; Digenic)
BEM3	YPL115C	BEM1	YBR200W		Positive Genetic	high-throughput	Hit				BioGRID	Fiedler D, et al. (2009) PMID:19269370	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).
BEM3	YPL115C	BEM1	YBR200W		Positive Genetic	high-throughput	Hit				BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BEM3	YPL115C	BEM1	YBR200W		Positive Genetic	high-throughput	Bait				BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BEM3	YPL115C	BEM1	YBR200W	bem1-Δ, bem3-Δ	Positive Genetic	high-throughput	Hit		0.1905	0.005447	BioGRID	Costanzo M, et al. (2016) PMID:27708008	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.
BEM3	YPL115C	CKB2	YOR039W		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: ckb2-delta (GI score = 0.094944, p-value = 0.0349; Digenic)
BEM3	YPL115C	DAM1	YGR113W		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: dam1-19 (GI score = 0.084864, p-value = 0.0115; Digenic)
BEM3	YPL115C	DBF4	YDR052C		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: dbf4-2 (GI score = 0.118501, p-value = 0.00799; Digenic)
BEM3	YPL115C	ERG2	YMR202W		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: erg2-delta (GI score = 0.098752, p-value = 0.0118; Digenic)
BEM3	YPL115C	ESP1	YGR098C		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: esp1-1 (GI score = 0.080997, p-value = 0.0336; Digenic)
BEM3	YPL115C	GCD11	YER025W	gcd11-5001-supp1, bem3-Δ	Positive Genetic	high-throughput	Hit		0.2056	0.000002401	BioGRID	Costanzo M, et al. (2016) PMID:27708008	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.
BEM3	YPL115C	GPI15	YNL038W		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: GPI15-PH (GI score = 0.0842, p-value = 0.00707; Digenic)
BEM3	YPL115C	LST8	YNL006W		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: lst8-6 (GI score = 0.124216, p-value = 0.00204; Digenic)
BEM3	YPL115C	PML39	YML107C		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: pml39-delta (GI score = 0.096263, p-value = 0.0362; Digenic)
BEM3	YPL115C	RPB7	YDR404C	bem3-Δ, rpb7-5001	Positive Genetic	high-throughput	Bait		0.1693	0.006287	BioGRID	Costanzo M, et al. (2016) PMID:27708008	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.
BEM3	YPL115C	RSM24	YDR175C	rsm24-supp1a, bem3-Δ	Positive Genetic	high-throughput	Hit		0.1836	0.02682	BioGRID	Costanzo M, et al. (2016) PMID:27708008	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.
BEM3	YPL115C	SEC12	YNR026C	sec12-1-supp1, bem3-Δ	Positive Genetic	high-throughput	Hit		0.1794	0.0138	BioGRID	Costanzo M, et al. (2016) PMID:27708008	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.
BEM3	YPL115C	SKI3	YPR189W		Positive Genetic	high-throughput	Hit				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ski3-delta+ho-delta; Array allele name: bem3-delta (GI score = 0.090528, p-value = 0.0118; Digenic)
BEM3	YPL115C	SPC3	YLR066W		Positive Genetic	high-throughput	Hit				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: spc3-4+ho-delta; Array allele name: bem3-delta (GI score = 0.092148, p-value = 0.00348; Digenic)
BEM3	YPL115C	STU1	YBL034C		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: stu1-8 (GI score = 0.101688, p-value = 0.000523; Digenic)
BEM3	YPL115C	SUM1	YDR310C		Positive Genetic	high-throughput	Hit				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: sum1-delta+ho-delta; Array allele name: bem3-delta (GI score = 0.087616, p-value = 0.0202; Digenic)
BEM3	YPL115C	YDJ1	YNL064C		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: ydj1-delta (GI score = 0.111228, p-value = 0.0365; Digenic)
BEM3	YPL115C	YPT7	YML001W		Positive Genetic	high-throughput	Bait				BioGRID	Kuzmin E, et al. (2018) PMID:29674565	Digenic interaction: Query allele name: ho-delta+bem3-delta; Array allele name: ypt7-delta (GI score = 0.117711, p-value = 0.0268; Digenic)
