!,,,,,,,,,,,,,,,
!Date: 01/05/2023,,,,,,,,,,,,,,,
!From: Saccharomyces Genome Database (SGD) ,,,,,,,,,,,,,,,
!URL: http://www.yeastgenome.org/ ,,,,,,,,,,,,,,,
!Contact Email: sgd-helpdesk@lists.stanford.edu ,,,,,,,,,,,,,,,
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 ,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interactor,Interactor Systematic Name,Interactor,Interactor Systematic Name,Allele,Assay,Annotation,Action,Phenotype,SGA score,P-value,Source,Reference,Note,,
NRP1,YDL167C,AEP3,YPL005W,,Positive Genetic,high-throughput,Bait,,,,BioGRID,Wilmes GM, et al. (2008) PMID:19061648,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
NRP1,YDL167C,ANB1,YJR047C,,Positive Genetic,high-throughput,Hit,,,,BioGRID,Wilmes GM, et al. (2008) PMID:19061648,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
NRP1,YDL167C,BMT5,YIL096C,,Positive Genetic,high-throughput,Hit,,,,BioGRID,Wilmes GM, et al. (2008) PMID:19061648,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
NRP1,YDL167C,BRR1,YPR057W,,Positive Genetic,high-throughput,Hit,,,,BioGRID,Wilmes GM, et al. (2008) PMID:19061648,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
NRP1,YDL167C,DBP5,YOR046C,,Positive Genetic,high-throughput,Bait,,,,BioGRID,Wilmes GM, et al. (2008) PMID:19061648,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
NRP1,YDL167C,ECM1,YAL059W,,Positive Genetic,high-throughput,Bait,,,,BioGRID,Wilmes GM, et al. (2008) PMID:19061648,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
NRP1,YDL167C,HTA1,YDR225W,,Positive Genetic,high-throughput,Hit,,,,BioGRID,Libuda DE and Winston F (2010) PMID:20139344,A synthetic genetic array (SGA) analysis was performed to identify deletions that either increase or decrease/eliminate the viability of an hta1 htb1 double mutant.  Since HTA2 -HTB2 gene amplification is required for survival in an hta1 htb1 double mutant background, the level of survival of the triple mutant served as an indicator of the frequency of HTA2-HTB2 amplification.,
NRP1,YDL167C,HTB1,YDR224C,,Positive Genetic,high-throughput,Hit,,,,BioGRID,Libuda DE and Winston F (2010) PMID:20139344,A synthetic genetic array (SGA) analysis was performed to identify deletions that either increase or decrease/eliminate the viability of an hta1 htb1 double mutant.  Since HTA2 -HTB2 gene amplification is required for survival in an hta1 htb1 double mutant background, the level of survival of the triple mutant served as an indicator of the frequency of HTA2-HTB2 amplification.,
NRP1,YDL167C,IES3,YLR052W,,Positive Genetic,high-throughput,Hit,,,,BioGRID,Hannum G, et al. (2009) PMID:20041197,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
NRP1,YDL167C,POP8,YBL018C,,Positive Genetic,high-throughput,Bait,,,,BioGRID,Wilmes GM, et al. (2008) PMID:19061648,An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).,
