Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	52/337	0.0	0.0	0.0781162361722416	0.8639567463057363	-1.5444194768597763	75.98406871358532	PUT3;POP2;TFB2;TUP1;CAF120;MGA2;CAF4;HTB1;ESA1;SIP3;SIF2;MBF1;SKN7;SAS3;RTG3;SAP30;PDR3;CDC39;AZF1;PPR1;BYE1;RIM15;PAH1;HIR1;RAD9;ISW1;YAP7;SWI3;ESS1;LYS14;GSM1;CAD1;RAD23;RVB1;SWI6;YTA7;SPT5;THI3;SPT6;MOT1;SIN3;SSL2;ZAP1;PDC2;ADA2;GTR2;MSN2;EPL1;DAL81;RAP1;RAD3;FAP1
GO_Biological_Process_2018	DNA metabolic process (GO:0006259)	36/207	0.0	7.5e-15	0.0386114219928092	0.8639567463057363	-1.8799708197162197	71.99062979573061	POL1;PIF1;MEC1;RAD9;MRE11;RNH1;POL3;MCM7;NMD2;SMC6;THO2;SUA5;SIR3;SEN1;RDH54;NAM7;IRC3;ESA1;SLD2;HEK2;RPO41;CDC9;TSA1;EPL1;RAD53;TEL1;BDF1;YKU80;SGS1;MSH3;RAP1;ADK1;MCM3;MCM4;EBS1;TOR1
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	39/241	0.0	6e-15	0.0720134108815548	0.8639567463057363	-1.5336991742876165	59.509254093850565	PUT3;RAD9;DHR2;TUP1;ISW1;YAP7;SWI3;ESS1;MGA2;THO2;LYS14;CAD1;SWI6;YTA7;THI3;SPT6;SIN3;ESA1;SIP3;SSL2;ZAP1;SEC13;MBF1;UTP10;PDC2;SCH9;CHA4;SAS3;RTG3;GTR2;MSN2;SAP30;PDR3;DAL81;RAP1;RAD3;PPR1;RIM15;PAH1
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	43/270	0.0	3e-16	0.0730889118619267	0.8639567463057363	-1.3845259820240736	58.21743014187601	PUT3;RAD9;HMT1;ECM22;POP2;TUP1;ISW1;YAP7;SWI3;SPT16;ESS1;MGA2;LYS14;CAD1;SWI6;YTA7;SPT5;THI3;SPT6;VPS34;SIN3;ESA1;SIP3;SSL2;ZAP1;MBF1;BCY1;PDC2;SCH9;SAS3;RTG3;GTR2;MSN2;SAP30;PDR3;DAL81;RAP1;CDC39;RPT4;SCC2;PPR1;RIM15;PAH1
GO_Biological_Process_2018	intracellular protein transport (GO:0006886)	28/161	8.69e-14	1.60114e-11	0.0628227481231567	0.8639567463057363	-1.844460670673632	55.46925783237242	SSO1;SXM1;MDR1;COP1;DNF1;DNF2;DNF3;NUP49;SEC61;VPS36;NUP116;CSE1;TLG2;PSE1;SSH4;RNA1;CRM1;KAP114;ACC1;COS4;SIS1;COS3;MSB3;COS2;COS1;YPT11;GYP5;SEC31
GO_Biological_Process_2018	vesicle-mediated transport (GO:0016192)	32/213	1.017e-13	1.63897e-11	0.1758182894451244	0.8639567463057363	-1.6848215749522946	50.40403652027884	SEC7;SEC22;NYV1;SSO1;FAB1;EDE1;RVS167;MYO3;BOS1;DNF1;DNF2;MYO5;VPS13;VPS34;VPS16;MON2;TLG2;SEC18;SSH4;CHC1;SNX41;SVL3;PAN1;COS4;COS3;MSB3;COS2;COS1;GYP5;VPS41;PEP3;VPS27
GO_Biological_Process_2018	transcription from RNA polymerase II promoter (GO:0006366)	27/123	5e-16	1.484e-13	0.0066475633431664	0.7729899859639977	-1.4073322656896872	49.38391253087499	HIR1;POP2;TFB2;ISW1;ISW2;RPB2;SPT16;SPT15;ESS1;CHD1;RBA50;THO2;SEN1;PCF11;SPT5;SPT6;SSL2;RSC1;STH1;THP1;RSC4;SUB2;RAD3;CDC39;RPO21;TAF5;RAD2
GO_Biological_Process_2018	DNA repair (GO:0006281)	31/169	8e-16	1.831e-13	0.0306388701700107	0.8639567463057363	-1.346263619667826	46.713277062128064	POL1;MEC1;RAD9;MRE11;POL3;TFB2;SMC6;MEC3;APN2;RTT107;CHL1;RDH54;PSY3;HTB1;RAD26;PMS1;ESA1;CDC9;RSC1;STH1;MLH1;MLH2;EPL1;RAD53;TEL1;BDF1;SGS1;MSH3;RPT4;SCC2;TOR1
GO_Biological_Process_2018	mRNA splicing, via spliceosome (GO:0000398)	21/101	3.1448e-12	3.685237e-10	0.0249392273427068	0.8304071379574643	-1.7185285433759616	45.51564576621744	PRP43;PRP21;PRP3;DBR1;PRP11;PRP22;PRP4;STO1;URN1;SNU114;PRP9;BRR2;DRN1;CEF1;SUB2;RIM4;SPT5;PRP18;SAD1;PRP46;PRP16
GO_Biological_Process_2018	amino acid catabolic process to alcohol via Ehrlich pathway (GO:0000947)	7/12	1.72116839e-08	6.722988066e-07	0.0029608028189451	0.7729899859639977	-2.330660283450452	41.6667926389952	ADH3;PDC6;ADH1;ARO10;PDC1;THI3;ADH5
