Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	207/1599	0.0	0.0	0.1005033389620716	0.797285540784918	-1.5655556829259734	276.52876370297	RNH1;HMT1;ECM22;TUP1;SRM1;MFG1;SMC6;SMC3;UBX5;APN2;CDC24;SET2;PSY3;AAP1;TRI1;CLA4;SKN7;REV1;PRE2;CRM1;BPL1;SAK1;SUB2;DSK2;CDC39;GUF1;PPR1;RKR1;ARB1;PIF1;CLB6;SWI3;FPR4;ADH5;RPN9;SWI6;YTA7;THI3;RAD26;SEF1;SNF1;TEA1;CDC9;CDC5;SNU114;LIA1;BRR2;CCA1;SAM4;STB4;RAP1;CDC16;PUP2;PUP1;URK1;ECM5;SXM1;IPK1;DRN1;CHL1;PCF11;STE5;UFD2;ITC1;SLD2;CBR1;HSP104;AVO2;RTG3;DUS3;SCC2;AZF1;PAH1;HIR1;RAD9;YAP7;RPB2;PUB1;RTT107;PES4;SLX1;PIK1;MEX67;PMS1;DCS2;APE2;RLI1;BCY1;MLH1;MLH2;MDY2;GID7;NUG1;RAD3;TEF4;RAD2;MAL13;PUT3;DBR1;MRE11;MSI1;TBS1;MGA2;THO2;RIM20;NAS6;CDH1;TOM1;NMA111;SAD1;ESA1;HFM1;MBF1;URN1;CHA4;SAS3;ERG12;STH1;PHO13;PDR3;SGO1;SIS1;CAC2;MSH3;HAT2;TRM13;RPT4;BYE1;DUG2;RIM15;NOP4;IFM1;KKQ8;ISW1;ISW2;SPT15;ESS1;PRP8;LYS14;GSM1;SDS23;SEN1;CAD1;RVB1;YHB1;SPT5;SPT6;MOT1;ZAP1;PRM15;PDC2;SCH9;PDC1;ADA2;RNA1;SPB1;PAN1;THP1;DAL81;PBP1;UBA2;RPO21;UBA1;RNR1;SPO14;MCM7;PPN1;APJ1;SCL1;SIF2;SWR1;PKC1;KAP114;TEL1;COS4;SGS1;MCM3;MCM4;ERB1;MCM2;RNT1;MEC1;MAL33;STO1;PAB1;RNH70;IRC20;CLN1;RDH54;PAC1;TIS11;BUB1;SUA7;SSL2;PMI40;GLR1;SPO22;PSE1;GTR2;MSN2;ADE3;RAD53;RDR1;FAP1;TOR1;NCL1;ACS2
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	132/1063	0.0	0.0	0.3405325719205359	0.8732053840634048	-1.5418027137366643	157.74967251536023	PRP43;VAS1;MRE11;FAB1;SMC6;TBS1;KOG1;BEM2;PIM1;MDL1;MDL2;IRC3;ERG6;MSP1;GLT1;MBF1;MDM32;REV1;YTA12;PIC2;PDR5;ALO1;GUF1;PET8;VMR1;RDL2;PIF1;IFM1;TOM71;URA2;ATP1;ATP2;ADH3;MSC1;RAD23;MDV1;YHB1;SPT5;SPT6;VPS13;HSP78;MOT1;TAH18;SNF1;ALA1;CDC9;GLN4;COQ9;CCA1;COQ4;NAT1;STB4;PBP1;CEM1;RPO21;TIM23;ACO2;ROT2;MIC60;POL1;MRS4;MRPS16;APJ1;YME2;GUS1;CHD1;MRPL35;MSM1;SCL1;CAF4;DNF1;THS1;NEW1;PFK1;LEU5;MMR1;LEU9;LAM4;MPA43;CBR1;UTP10;ORT1;RPO41;MRPS5;HFA1;AFG3;LAT1;TEL1;MRPL51;ADK1;GAS1;OMS1;SNQ2;ODC2;MEC1;FUN12;AXL1;GEM1;MSW1;RML2;ODC1;TCB3;RPB2;BI4;PIB2;FOL1;SIR3;IRC20;MCP1;SAM37;TAO3;YLF2;IRA1;LSB3;ILV2;APE2;FKS1;GLR1;ATM1;PMA2;MLH1;GDB1;SPF1;ACC1;ADE3;BCH2;MSF1;YPT11;TEF4;TCB1;TEF1;MIS1
GO_Cellular_Component_2018	cytosol (GO:0005829)	89/676	0.0	0.0	0.1951628425211471	0.843837452185506	-1.5436839032242025	111.210426459724	SEC7;VAS1;TSC11;PUP1;HMT1;PPN1;APJ1;RVS167;GUS1;SXM1;SAH1;DRN1;NAS6;PCF11;SET2;PSY3;VPS34;EFT1;GAL1;PGM1;EFT2;ATG2;RIA1;RIM8;SWR1;AVO2;SKN7;ERG12;SEC18;SUP35;FRS2;PRE2;PEX1;KAP114;PHO13;SAK1;SIS1;CAC2;PYC1;PEX5;SCC2;AZF1;PYC2;RKR1;PAH1;DED81;FUN12;PAB1;SWI3;ESS1;CPR7;GEA2;RPN9;SUA5;PES4;RAD23;YHB1;YTA7;THI3;TIS11;TAH18;SSL2;PDC6;PRM15;CSE1;GLR1;BCY1;ARO10;PDC1;TSA1;GLN4;RNA1;MSN2;ACC1;GCD6;RAD53;MES1;MSB3;MDY2;RAP1;GYP5;CDC16;ALY2;TEF1;ACO2;VIP1;FRA1;BET2;ACS2
GO_Cellular_Component_2018	nuclear lumen (GO:0031981)	56/339	0.0	0.0	0.0143786407907846	0.2923656960792884	-1.6500954501941678	93.112745062016	RRP4;DHR2;RRP3;HEH2;DIP2;APJ1;RPA190;CDC27;TOM1;SOF1;TRI1;SEC13;HSP104;UTP10;UTP13;URB1;HMG2;DUS3;SGS1;RPT4;SCC2;RPT5;GAS1;ERB1;DUG2;RNT1;NOP4;SKI6;YAP7;RRB1;SRC1;RPF2;FPR4;SIR2;SIR3;CBF5;RAD23;HAS1;AIR2;KRE33;MOT1;MKT1;NOP58;YCS4;ROK1;SPB4;PSE1;SPB1;CSM1;NOG1;MDY2;NUG1;RAP1;MRD1;DBP7;ACS2
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	47/274	0.0	0.0	0.0139099835502346	0.2923656960792884	-1.4895461196668134	73.11281944381119	HIR1;POL1;PIF1;MRE11;POL3;MCM7;SRM1;ISW1;ECM5;YAP7;SIZ1;SPT16;CHD1;SIR2;SIR3;CHL1;RVB1;SWI6;RTT103;HTB1;CEP3;BUB1;SIN3;ESA1;MAD3;YCS4;SIF2;SWR1;HEK2;BCY1;SAS3;REV1;HOS4;CSM1;MLH1;GTR2;NDC80;SAP30;SGO1;BDF1;YKU80;SGS1;RAP1;MCM3;SCC2;MCM4;MCM2
GO_Cellular_Component_2018	lytic vacuole membrane (GO:0098852)	41/220	0.0	0.0	0.0065926106180757	0.1968374566900915	-1.5599936134327457	71.95581371750117	VAC14;NYV1;SEC24;RSN1;SSO1;PPN1;FAB1;YPK9;KOG1;PIB1;YBT1;STE6;VAC7;VPS34;YCF1;VPS16;VMA2;CSC1;MNR2;VTC3;VTC4;SCH9;ENV7;IML1;GTR2;VCX1;VMA1;AFG3;NFT1;COS4;MSB3;AMS1;COS1;VPS41;VNX1;TEF1;FRE6;PEP3;TOR1;VMR1;YPQ1
GO_Cellular_Component_2018	fungal-type vacuole membrane (GO:0000329)	42/224	0.0	0.0	0.0054706375853748	0.1968374566900915	-1.3885378470030183	65.91385507305966	VAC14;NYV1;SEC24;RSN1;SSO1;PPN1;FAB1;YPK9;KOG1;PIB1;YBT1;STE6;VAC7;VPS34;YCF1;SEH1;VPS16;VMA2;CSC1;MNR2;VTC3;VTC4;SCH9;ENV7;IML1;GTR2;VCX1;VMA1;AFG3;NFT1;COS4;MSB3;AMS1;COS1;VPS41;VNX1;TEF1;FRE6;PEP3;TOR1;VMR1;YPQ1
GO_Cellular_Component_2018	cytoplasmic stress granule (GO:0010494)	26/96	0.0	1e-16	0.0003855278350231	0.0940687917456607	-1.6490015321802154	65.01377954398687	TIF4632;FUN12;PAB1;TIF1;RPB2;KOG1;GUS1;PUB1;PES4;MAP1;YHB1;RBG1;MET5;MKT1;VMA2;SLH1;ECM32;PRS1;RQC2;SUP35;MDY2;PBP1;SES1;TEF4;RPO21;CLU1
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	31/131	0.0	0.0	0.0008021221408579	0.0978589011846711	-1.4864304544879825	63.06994096578929	TIF4632;FUN12;POP2;PAB1;TIF1;RPB2;KOG1;GUS1;PBY1;PUB1;PES4;MAP1;YHB1;RBG1;MET5;MKT1;VMA2;DCS2;SLH1;ECM32;PRS1;HEK2;RQC2;SUP35;MDY2;PBP1;SES1;TEF4;RPO21;CLU1;EBS1
GO_Cellular_Component_2018	fungal-type vacuole (GO:0000324)	56/452	0.0	0.0	0.4216470640488443	0.8805246328744419	-1.357950907548329	57.377578894242426	VTH2;NYV1;SEC24;RSN1;SSO1;PPN1;FAB1;YPK9;KOG1;VTH1;YBT1;SIP1;STE6;PAU4;VAC7;VPS34;YCF1;VMA2;CSC1;MCD4;CLA4;MNR2;VTC3;VTC4;PHM7;ENV7;IML1;VMA1;AFG3;NFT1;COS4;COS3;COS2;COS1;VNX1;PEP3;VMR1;VAC14;AXL2;PIB1;MET5;TOS1;VPS16;SNF1;SCH9;SSH4;GTR2;VCX1;MSB3;AMS1;VPS41;PDR10;TEF1;FRE6;TOR1;YPQ1
