Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	RNA binding (GO:0003723)	70/477	0.0	0.0	0.3172593171564711	0.8898132410872902	-1.4049202080584993	88.59207993944483	PRP43;RRP4;DIP2;SRP54;GUS1;JSN1;STI1;THO2;GLE2;PCF11;NEW1;BEM2;CFT2;SOF1;PRP11;SLH1;UTP10;HEK2;UTP13;URN1;SUP35;URB1;VMA1;IMD2;DUS3;YKU80;SUB2;CLU1;EBS1;RNT1;PRP21;NOP4;TIF4632;IFM1;STO1;PAB1;SKI2;RPB2;BI4;RPF2;PRP9;PRP8;SUA5;PUB1;CBF5;SEN1;PES4;PUF2;PUF4;MAP1;HAS1;AIR2;PUF3;RIM4;SPT5;NAM7;KRE33;TIS11;MEX67;NUP116;NOP58;ECM32;TMA64;RQC2;GLN4;THP1;NUG1;PBP1;MRD1;NCL1
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	43/197	0.0	0.0	0.0043190388393312	0.17228166036888	-1.4565205651242656	80.01990780058722	PRP43;NOP4;TIF4632;STO1;PAB1;SKI2;RPB2;GUS1;JSN1;PRP8;STI1;THO2;PUB1;CBF5;SEN1;PES4;PUF2;PCF11;NEW1;PUF4;MAP1;BEM2;PUF3;SPT5;NAM7;TIS11;MEX67;SOF1;NOP58;SLH1;ECM32;HEK2;RQC2;SUP35;GLN4;URB1;VMA1;IMD2;DUS3;NUG1;PBP1;MRD1;CLU1
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	41/195	0.0	0.0	0.0091003452089444	0.2178015953340701	-1.527736677901249	77.77451835812771	FUN12;GEM1;IFM1;ISW1;OLA1;ATP1;SRP101;ATP2;SMC3;IRC20;NEW1;YLF2;YTA7;MDL1;NAM7;HSP78;MOT1;EFT1;PMS1;EFT2;RIA1;MSP1;SWR1;RLI1;SEC18;SUP35;YTA12;PEX1;STH1;MLH1;GTR2;MLH2;SNU114;AFG2;AFG3;NUG1;YPT11;MCM3;GUF1;RPT4;RPT5
GO_Molecular_Function_2018	DNA binding (GO:0003677)	54/337	0.0	0.0	0.1563865196681487	0.8264813167780581	-1.3436063426944438	71.10293724441156	PUT3;MRE11;MCM7;ECM22;TFB2;SMC6;TBS1;CHD1;THO2;PIM1;HTB1;SLD2;CHA4;SKN7;RTG3;YKU80;SGS1;MSH3;MCM4;AZF1;PPR1;MCM2;HIR1;PIF1;RAD9;ISW1;YAP7;ISW2;RPB2;SWI3;SPT15;MEC3;LYS14;GSM1;SIR3;CAD1;RAD23;RDH54;SPT5;CEP3;MOT1;PMS1;MKT1;TEA1;MLH1;MLH2;MSN2;THP1;STB4;RAP1;RDR1;RAD3;RPO21;RAD2
GO_Molecular_Function_2018	ATP-dependent helicase activity (GO:0008026)	20/47	0.0	1e-16	7.41843791358e-05	0.0266321921097705	-1.5496979447975816	63.287901696419794	SSL2;PRP43;PRP22;MCM7;ECM32;ROK1;RRP3;SKI2;TIF1;SPB4;BRR2;SGS1;CHL1;SUB2;RVB1;HAS1;RAD3;NAM7;MCM4;DBP7
GO_Molecular_Function_2018	ATPase activity (GO:0016887)	29/112	0.0	0.0	0.002427445198287	0.1452421376975088	-1.4624538295073857	62.09230449015362	ISW1;OLA1;ATP1;ATP2;SMC3;NEW1;YLF2;YTA7;DYN1;MDL1;NAM7;HSP78;MOT1;PMS1;MSP1;HSP104;SWR1;RLI1;SEC18;YTA12;PEX1;MLH1;MLH2;AFG2;AFG3;MCM3;RPT4;RPT5;ARB1
GO_Molecular_Function_2018	ATP-dependent RNA helicase activity (GO:0004004)	17/41	1.1e-15	6.02e-14	0.0003272464190179	0.0587407322137173	-1.666794376797091	57.30143885539203	PRP43;PRP22;DHR2;ECM32;ROK1;RRP3;SKI2;TIF1;SPB4;BRR2;SEN1;SUB2;HAS1;AIR2;NAM7;DBP7;PRP16
GO_Molecular_Function_2018	RNA-dependent ATPase activity (GO:0008186)	16/39	1e-14	4.513e-13	0.0005361829611137	0.0641632276799416	-1.5792027051454942	50.89835869530072	PRP43;PRP22;ECM32;ROK1;RRP3;SKI2;TIF1;SPB4;BRR2;SEN1;CHL1;SUB2;HAS1;NAM7;DBP7;PRP16
GO_Molecular_Function_2018	RNA helicase activity (GO:0003724)	15/38	1.378e-13	5.5004e-12	0.0010916831658161	0.0979785641320027	-1.5915500193078749	47.12943948907692	PRP43;PRP22;DHR2;SLH1;ECM32;ROK1;RRP3;SKI2;TIF1;SPB4;BRR2;SUB2;HAS1;NAM7;DBP7
GO_Molecular_Function_2018	ATPase activity, coupled (GO:0042623)	18/69	1.839e-12	5.50182e-11	0.0144956438985293	0.2738913768195814	-1.6812329025073347	45.42989246137744	HSP104;ROK1;RRP3;TIF1;RSC1;STH1;CHD1;BRR2;SEN1;CHL1;MSH3;RDH54;HAS1;PIM1;RPT4;RPT5;RAD26;PRP16
