Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	YDJ1	137/831	0.0	0.0	7.64560115e-08	0.000101661009981	-1.688699257245342	239.0314643917614	TSC11;RRP4;ATG26;TFB2;SAC6;DIP2;FAB1;MSI1;SMC6;SMC3;STI1;RIM20;CDC24;RPA190;CDC27;PIM1;GSC2;ERG6;SEC61;SAD1;ESA1;ATG2;CLA4;MBF1;PPQ1;MDM32;ERG12;FRS2;RPA43;STH1;VMA1;SAK1;SIS1;SUB2;CDC37;CDC39;RPT4;RPT5;SKI6;TYR1;RPO31;CPR7;MSC1;SCJ1;CBF5;COP1;MYO5;BCK1;RAD26;MOT1;TAH18;SIN3;SNF1;TLG2;PDC1;CDC9;SPB4;ADA2;RNA1;PGA3;SNU114;NOG1;LAS21;PAN1;NAT1;PBP1;ROT2;UBI4;PUP2;SEC24;RSN1;POL3;DHR2;SEC26;ECM5;APJ1;GUS1;IPK1;PSD2;PCF11;THS1;NEW1;UFD2;MMR1;SEH1;LEU9;SIP3;SKT5;TMA108;SWR1;UTP13;RTG3;AVO1;PKC1;ARO1;MCM3;SCC2;MCM4;GAS1;OMS1;GAS5;RNT1;VAC14;MEC1;PRP22;TCB3;MNN11;RBA50;IQG1;SAM37;TAO3;CEP3;MEX67;RBG2;MET5;SFB3;YCS4;FKS1;CSE1;PMI40;RLI1;BCY1;TSA1;PSE1;PMA2;CDC60;GTR2;SPF1;RAD53;MDY2;BCH2;RAD3;TAF5;TOR1;BET2;SEC31;ACS2
Gene_Interaction_Hubs_BioGRID_2018	YKE2	121/697	0.0	0.0	4.46695706e-08	8.90934587499e-05	-1.6545047612238104	214.90909176965263	DBR1;TSC11;HMT1;FAB1;MSI1;RVS167;SMC3;KOG1;STI1;RIM20;UBP5;BEM2;VAC7;SAD1;ESA1;CFT2;MAD3;CLA4;RGA1;RIM8;MDM32;SAP30;VMA1;DFG16;CDC37;HAT2;RPT4;PET8;RIM15;VPS27;ARD1;PRP3;PIF1;PRP4;KKQ8;ISW1;SKI2;NMD2;EDE1;BNI1;CPR7;GEA1;ADH3;MSC1;COP1;MYO5;YTA7;BCK1;NAM7;VPS13;PDC2;SCH9;CDC9;NDC80;LAS21;PAN1;NAT1;RSC4;PBP1;RAP1;POL1;RSN1;POL3;SEC26;CHD1;MRPL35;CEF1;STE6;CHL1;NEW1;SKT5;SIF2;SWR1;HOS4;AVO1;SUP35;PKC1;ARO1;PEX3;PEX5;PRP18;SCC2;GAS1;AZF1;PAH1;HIR1;VAC14;DED81;RAD9;AXL2;PRP22;STO1;PAB1;SRC1;MNN11;SUA5;TAO3;RTT103;DYN1;PAC1;BUB1;NUP116;MON2;CSE1;ECM32;PSE1;CSM1;CDC60;MLH1;SPF1;ACC1;RAD53;MDY2;NUG1;YPT11;TEF4;TEF1;TAF5;VIP1;FRA1;NCL1
Gene_Interaction_Hubs_BioGRID_2018	CDC48	125/769	0.0	0.0	6.789947107e-07	0.0004514183168782	-1.645065796560324	208.42716949305265	PRP43;TSC11;RRP4;MRE11;SRM1;UBP2;FAB1;MSI1;RVS167;SMC3;OLE1;MGA2;RIM20;GLE2;RPA190;BEM2;VAC7;CDC27;SKP2;ERG6;SEC61;ESA1;CFT2;ATG2;CLA4;MDM32;PRE2;PIC2;SAP30;CAC2;CDC37;DSK2;CDC39;GUF1;RPT4;RPT5;RKR1;VPS27;SKI6;ISW1;RPO31;SKI2;ISW2;ESS1;RPF2;TRS23;SCJ1;BOS1;YHB1;YTA7;NAM7;MOT1;SIN3;SNF1;SCH9;SPB4;PGA3;NDC80;SNU114;BRR2;NOG1;PAN1;DAL81;RAP1;CDC16;DMA2;SEC22;PUP2;SEC24;PUP1;SRP54;CHD1;IPK1;SCL1;CHL1;PCF11;MMR1;SWR1;UTP13;SUP35;INN1;IML1;PKC1;AFG2;AFG3;CCC2;LAT1;YKU80;SGS1;ADK1;ERB1;PRP16;RNT1;VAC14;PRP22;SMI1;PAB1;SRP101;SRC1;MNN11;THI80;SIR2;RTT107;CLN1;SAM37;HRD1;RTT103;YLF2;RPC82;DUF1;MEX67;NUP116;NOP58;SFB3;BCY1;SPF1;RAD53;YPT11;MRD1;TEF4;DBP7;TAF5;NCL1;BET2;ACS2
Gene_Interaction_Hubs_BioGRID_2018	LSM1	134/858	0.0	0.0	1.7694595518e-06	0.0007186649851926	-1.5616669843896718	205.30494383373903	MRE11;POP2;SRM1;UBP14;RVS167;KOG1;MGA2;RIM20;RPA190;SET2;BEM2;VAC7;MDL2;HTB1;SEC61;SAD1;PRP46;ESA1;SLH1;SKN7;SAS3;RPA43;SNX41;SAP30;VMA1;SUB2;CDC37;HAT2;CDC39;RPT4;ARD1;PRP3;NOP4;IFM1;RPO31;SKI2;ISW2;ESS1;CPR7;TRS23;MSC1;SEN1;PUF4;SWI6;YTA7;SIN3;SNF1;ZAP1;SCH9;RSC1;ADA2;RNA1;COQ9;PGA3;NDC80;SNU114;LIA1;BRR2;NOG1;CCA1;EPL1;NAT1;PBP1;RAP1;CEM1;UBI4;POL3;MCM7;DHR2;SEC26;PPN1;GUS1;CHD1;IPK1;CHL1;PCF11;MMR1;STE11;SEH1;EFT2;TRM3;PRP11;SIF2;SWR1;UTP13;RTG3;HOS4;SUP35;PKC1;KAP114;AFG2;LAT1;SGS1;PRP18;SCC2;GAS1;SNQ2;ERB1;PAH1;HIR1;VAC14;DED81;GEM1;SMI1;PAB1;RML2;TIF1;SRC1;MNN11;CLN1;SAM37;TAO3;DYN1;PIK1;CEP3;PAC1;MEX67;BUB1;SUA7;YCS4;APE2;FKS1;CSE1;PMI40;TSA1;CSM1;CDC60;RAD53;NUG1;TEF1;TAF5;VIP1;MIS1;ACS2
Gene_Interaction_Hubs_BioGRID_2018	CTF8	115/641	0.0	0.0	2.14077659e-08	8.53955781902e-05	-1.5989458741214972	202.6057697994981	TSC11;MRE11;POP2;MSI1;UBP14;SMC6;SMC3;MGA2;GLE2;CDH1;BEM2;VAC7;CDC27;IRC3;VPS34;VPS36;ESA1;MAD3;CLA4;PPQ1;SKN7;SAS3;PRE2;STH1;SGO1;CAC2;CDC37;CDC39;RPT4;RPT5;VPS27;ARD1;PIF1;SKI2;ISW2;UBR1;MSC1;COP1;BOS1;SWI6;YTA7;BCK1;SPT6;VPS13;TAH18;SIN3;VPS16;SNF1;ZAP1;TLG2;SCH9;CDC9;NDC80;BRR2;PAN1;THP1;BDF1;NAT1;RSC4;RAP1;CDC16;DMA2;UBI4;SEC22;POL1;PUP1;POL3;MCM7;DHR2;CHD1;SCL1;CHL1;NEW1;ITC1;SWR1;MNR2;RTG3;SEC18;AVO1;INN1;PKC1;YKU80;SGS1;KCS1;MCM3;SCC2;MCM2;RNT1;HIR1;MEC1;RAD9;SMI1;RML2;SRP101;MEC3;RTT107;SAM37;MEX67;BUB1;NUP116;YCS4;MON2;CSE1;PMI40;BCY1;TSA1;CSM1;CDC60;SPF1;ACC1;RAD53;MDY2;DBP7;TAF5;VIP1
Gene_Interaction_Hubs_BioGRID_2018	CDC28	133/865	0.0	0.0	4.1492525721e-06	0.0011034245673573	-1.561350675684871	200.6287596505435	TSC11;MRE11;TUP1;SRM1;FAB1;RVS167;SMC3;OLE1;STI1;NAS6;GLE2;CDC24;CDH1;SET2;BEM2;VAC7;MDL2;HTB1;YCF1;PRP46;CFT2;MAD3;ATG2;AMA1;CLA4;MDM32;FRS2;STH1;SAP30;SGO1;CDC37;CDC39;RPT5;PPR1;RIM15;CLB6;TIF4632;SKI6;ISW1;SKI2;NMD2;URA2;UBR1;BNI1;ESS1;RPF2;GEA1;TRS23;COP1;SEN1;SWI6;BCK1;NAM7;SIN3;KEL3;SCH9;SPB4;ADA2;RNA1;CDC5;PGA3;LIA1;BRR2;NOG1;PAN1;BDF1;DAL81;CDC16;RPO21;RNR1;UBI4;SEC22;POL1;POL3;SEC26;SRP54;YPK9;CHD1;IPK1;CHL1;THS1;NEW1;UFD2;RIA1;PRP11;ARO1;AFG2;TEL1;YKU80;SGS1;KCS1;ADK1;MCM3;PRP18;EBS1;PRP16;RNT1;HIR1;VAC14;MEC1;RAD9;AXL2;PRP22;SMI1;PAB1;RML2;TCB3;THI80;SIR2;PUB1;SIR3;RTT107;CLN1;SAM37;SLX1;TAO3;RTT103;HAS1;YLF2;DYN1;BUB1;SUA7;YCS4;SFB2;CSM1;MLH1;SPF1;ACC1;RAD53;RIT1;NUG1;DBP7;VIP1
Gene_Interaction_Hubs_BioGRID_2018	YPT6	124/908	0.0	0.0	0.0010340825437429	0.0214841420155756	-1.886847923146613	199.94620364656095	PRP43;SEC7;DBR1;TFB2;SRM1;UBP2;FAB1;UBP14;RVS167;OLE1;MGA2;AST1;RIM20;CDH1;BEM2;VAC7;TOM1;GSC2;ERG6;ESA1;MAD3;SKN7;SAS3;PRE2;ALG11;BPL1;SAP30;VMA1;PHO13;ALO1;DSK2;RPT4;RIM15;VPS27;ARD1;PRP4;TRL1;ISW1;NMD2;SWI3;EDE1;BNI1;CPR7;PRP9;PRP8;TRS23;COP1;CAD1;BOS1;RVB1;MYO5;BCK1;VPS13;RAD26;MOT1;SIN3;SNF1;TLG2;PDC1;RSC1;BRR2;CCA1;LAS21;PAN1;THP1;PBP1;RAP1;RPO21;INP53;SEC21;SEC24;RSN1;SEC26;YPK9;CHD1;INP51;IPK1;SCL1;STE6;PSD2;NEW1;ITC1;SEH1;RIA1;SIF2;SWR1;RTG3;SEC18;HOS4;SUP35;PRP18;GAS1;AZF1;PEP3;MCM2;HIR1;MAL33;SMI1;PAB1;MNN11;PIB2;RNH70;SIR2;MCP1;SAM37;HRD1;RTT103;PIK1;SSL2;MON2;BCY1;TSA1;MLH1;SPF1;ACC1;RAD53;MDY2;RET1;VPS41;RAD3;TEF4;VIP1;TOR1;BET2
Gene_Interaction_Hubs_BioGRID_2018	PAT1	129/820	0.0	0.0	2.0869931295e-06	0.0007568195994425	-1.5354624998104094	195.14575128652643	MRE11;POP2;TFB2;SRM1;SAC6;SMC3;KOG1;MGA2;RIM20;RPA190;VAC7;HTB1;ERG6;SEC61;SAD1;PRP46;ESA1;PRE2;RPA43;SNX41;SAP30;VMA1;SUB2;CDC37;HAT2;RPT4;ARD1;NOP4;IFM1;SKI6;ISW1;SKI2;SWI3;ESS1;CPR7;PRP9;PRP8;ADH3;TRS23;MSC1;CBF5;COP1;SEN1;PUF4;SWI6;YTA7;SIN3;SCH9;CDC9;SPB4;GLN4;ADA2;RNA1;NDC80;SNU114;LIA1;BRR2;NOG1;GCD6;CCA1;THP1;DAL81;RAP1;CDC16;CEM1;POL1;SEC24;POL3;DHR2;SEC26;GUS1;CAF120;IPK1;SCL1;CHL1;PCF11;MMR1;STE11;SEH1;EFT2;TRM3;PRP11;TMA108;SIF2;SWR1;HOS4;AVO1;SUP35;KAP114;HFA1;LAT1;SGS1;PRP18;SCC2;ERB1;PAH1;HIR1;VAC14;MEC1;DED81;RAD9;PAB1;RML2;RPB2;SRC1;MNN11;PUB1;RTT107;CLN1;TAO3;RTT103;DYN1;PAC1;MEX67;SUA7;YCS4;MON2;FKS1;PMI40;BCY1;TSA1;CSM1;CDC60;RAD53;NUG1;TEF1;TAF5;VIP1;TOR1
Gene_Interaction_Hubs_BioGRID_2018	IRA2	136/961	0.0	0.0	0.0001323898389028	0.0076022068437716	-1.5598879701503263	189.27046469451855	TSC11;RRP4;MRE11;UBP2;FAB1;MSI1;RVS167;KOG1;APN2;MGA2;YBT1;RIM20;CDH1;SET2;BEM2;CDC27;PIM1;HTB1;DBF20;ERG6;SEC61;PRP46;VMA2;CLA4;RIM8;FLO1;SAS3;REV1;YTA12;PRE2;RPA43;SAP30;SGO1;SAK1;CDC39;RPT4;RDL2;RIM15;VPS27;NOP4;SKI6;ISW1;SWI3;ATP1;EDE1;ESS1;CPR7;PRP8;MSC1;RAD23;CCH1;SWI6;BCK1;NAM7;VPS13;SIN3;CTA1;SNF1;TLG2;SCH9;CDC9;RSC1;RNA1;CDC5;PGA3;NDC80;EPL1;BDF1;RAP1;CEM1;TIM23;ROT2;MIC60;INP53;SEC22;PUP2;SPO14;APJ1;SXM1;JSN1;IPK1;SIP1;SCL1;NEW1;MMR1;PGM1;EFT2;CBR1;SWR1;VTC4;RPO41;RTG3;SUP35;IML1;ARO1;HFA1;AFG3;LAT1;HMG2;DUS3;SGS1;PEX3;PEX5;GAS1;OMS1;AXL2;SMI1;PIB2;IRC20;RTT107;MCP1;SAM37;RTT103;RDH54;HAS1;CEP3;IRA1;PMS1;SFB3;YCS4;PMI40;TSA1;CSM1;SPF1;FIG2;RAD53;MES1;MSF1;MRD1;TEF4;DBP7;TAF5;VIP1;FRA1;MIS1;BET2
Gene_Interaction_Hubs_BioGRID_2018	VMA21	131/898	0.0	0.0	5.23487487548e-05	0.0048065691484641	-1.5617106314635127	187.61767347970908	HMT1;POP2;UBP2;FAB1;UBP14;SMC6;UBX5;EKI1;MGA2;RIM20;GLE2;RPA190;SET2;BEM2;SKP2;ERG6;VPS36;CLA4;RGA1;RIM8;MBF1;PPQ1;SKN7;REV1;RPA43;ALG11;VMA1;DFG16;CDC37;CDC39;PMT3;PPR1;DUG2;RKR1;RIM15;VPS27;PRP4;KKQ8;ISW1;ISW2;NMD2;ESS1;RPF2;CPR7;MSC1;LYS14;SCJ1;RVB1;SWI6;YHB1;YTA7;BCK1;NAM7;VPS13;CTA1;SNF1;TLG2;TEA1;SCH9;SPB4;GLN4;ADA2;PGA3;SNU114;NOG1;PAN1;BDF1;DAL81;STB4;ACO2;SIM1;ROT2;INP53;SEC22;POL3;GUS1;CHD1;MRPL35;JSN1;CEF1;PSD2;NEW1;DNF2;UFD2;PFK1;EFT2;SWR1;VTC4;RPO41;RTG3;AVO1;SUP35;INN1;PKC1;ARO1;CCC2;KCS1;GAS1;PAH1;VAC14;MEC1;MAL33;AXL2;PRP22;SMI1;STO1;RML2;TCB3;SRP101;MNN11;SIR2;PUB1;RTT107;RTT103;PIK1;PAC1;LSB3;DUF1;RBG2;SFB3;FKS1;TSA1;MLH1;SPF1;RAD53;MDY2;VPS41;TEF4;DBP7;FRA1;NCL1
Gene_Interaction_Hubs_BioGRID_2018	RSP5	135/972	0.0	0.0	0.000302054301045	0.0114329545722318	-1.5640673517449946	184.7234427997383	SEC7;DBR1;RRP4;MRE11;RRP3;UBP2;UBP14;RVS167;KOG1;MGA2;RIM20;GLE2;RPA190;VAC7;YCF1;SEC61;VPS36;ESA1;CFT2;VMA2;ATG2;CLA4;RIM8;SKN7;REV1;YTA12;PRE2;CRM1;FLO9;CAC2;ALO1;DSK2;RPT4;RPT5;PPZ2;VPS27;PRP3;NOP4;PRP4;SKI2;TOM71;URA2;TWF1;EDE1;ESS1;RPF2;PRP9;GEA1;TRS23;MSC1;COP1;SWI6;BCK1;MOT1;SIN3;MKT1;TLG2;PDC2;ARO10;RNA1;SNU114;COQ4;PAN1;AMS1;RSC4;CEM1;RPO21;ROT2;UBI4;SEC22;POL1;PUP1;INP51;CAF120;CEF1;SCL1;STE6;NEW1;MMR1;EFT1;PGM1;SEC13;SIF2;SEC18;AVO1;SUP35;INN1;IML1;PKC1;LYS2;HFA1;LAT1;PEX3;PEX5;PRP18;MCM4;OMS1;AZF1;PRP16;HIR1;VAC14;TCB3;TIF1;PIB2;RBA50;IQG1;IRC20;MCP1;CLN1;SAM37;TAO3;HRD1;RIM4;PIK1;CEP3;TIS11;RBG1;PMS1;MON2;FKS1;SFB2;TSA1;PMA2;CSM1;CDC60;GTR2;MES1;VPS41;TEF4;TCB2;TCB1;DBP7;FRA1;TOR1;SEC31
