Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	Fungal_trans	12/20	6.34e-14	3.141e-12	0.003461961873203	0.1713671127235524	-964.4285714285716	29307.48115895769	PDR3;MAL13;PUT3;MAL33;DAL81;STB4;TEA1;CHA4;RDR1;PPR1;SEF1;TBS1
Pfam_Domains_2019	EFG_C	5/7	5.354453674e-07	4.0776224134e-06	0.0357958345236531	0.2770721143427606	-814.4285714285714	11760.484559725342	RIA1;GUF1;EFT1;SNU114;EFT2
Pfam_Domains_2019	FYVE	4/5	4.2921156411e-06	2.02342594513e-05	0.0475780398366356	0.2770721143427606	-828.7142857142859	10241.856759079215	FAB1;PIB2;PIB1;VPS27
Pfam_Domains_2019	HA2	4/6	1.25624157348e-05	4.78338137595e-05	0.0691881943968578	0.2854013018870384	-628.7142857142858	7094.915650341085	PRP43;PRP22;DHR2;PRP16
Pfam_Domains_2019	FAD_binding_6	3/6	0.0005373136334501	0.0012974158466234	0.1779809467542013	0.5034318208190267	-693.0000000000001	5217.547510480254	CBR1;YHB1;PGA3
Pfam_Domains_2019	HMGL-like	3/6	0.0005373136334501	0.0012974158466234	0.1779809467542013	0.5034318208190267	-550.1428571428572	4141.986283830026	PYC1;PYC2;LEU9
Pfam_Domains_2019	DnaJ_C	3/6	0.0005373136334501	0.0012974158466234	0.1779809467542013	0.5034318208190267	-500.1428571428572	3765.539854502446	SCJ1;SIS1;APJ1
Pfam_Domains_2019	GTP_EFTU_D2	8/13	8.474867e-10	1.0495038e-08	0.0149282390625603	0.2465539557706261	-127.23809523809524	2657.844248261942	RIA1;FUN12;GUF1;SUP35;TEF1;EFT1;SNU114;EFT2
Pfam_Domains_2019	ABC_tran	15/28	4e-16	4.39e-14	0.0025405900158613	0.1713671127235524	-72.0	2545.313003090328	RLI1;PDR15;ATM1;YBT1;NFT1;PDR5;STE6;NEW1;MDL1;MDL2;PDR10;SNQ2;YCF1;VMR1;ARB1
Pfam_Domains_2019	Glyco_hydro_72	2/5	0.0088471607360224	0.0156405163011824	0.3305356295265215	0.667816884145421	-428.7142857142857	2026.8148193380575	GAS1;GAS5
Pfam_Domains_2019	GTP_EFTU_D3	2/5	0.0088471607360224	0.0156405163011824	0.3305356295265215	0.667816884145421	-407.2857142857143	1925.5078473618132	SUP35;TEF1
Pfam_Domains_2019	GTP_EFTU	9/16	2.15765e-10	3.5601231e-09	0.0149426639860985	0.2465539557706261	-84.14285714285714	1872.75335732038	RIA1;FUN12;IFM1;GUF1;SUP35;TEF1;EFT1;SNU114;EFT2
Pfam_Domains_2019	AAA	12/33	1.239683e-10	2.4545741e-09	0.0580892772752061	0.2854013018870384	-68.0	1551.1476258473074	MSP1;HSP104;YTA7;PIM1;RPT4;SEC18;RPT5;YTA12;PEX1;HSP78;AFG2;AFG3
Pfam_Domains_2019	C2	7/9	8.480838e-10	1.0495038e-08	0.0096978206291167	0.2465539557706261	-60.8	1269.992927285101	PSD2;SCH9;TCB3;TCB2;TCB1;INN1;PKC1
Pfam_Domains_2019	DnaJ	3/19	0.0193419373727167	0.0303944730142691	0.7374309371794054	0.839145549204151	-307.2857142857143	1212.3895231034064	SCJ1;SIS1;APJ1
Pfam_Domains_2019	CPSase_L_D2	6/7	5.5736848e-09	6.13105338e-08	0.0123148515182802	0.2465539557706261	-58.4	1109.9042313421924	CPA2;PYC1;URA2;PYC2;ACC1;HFA1
Pfam_Domains_2019	Biotin_lipoyl	5/8	1.3916644352e-06	9.8410556495e-06	0.0504714489018237	0.2775929689600304	-58.4	787.5245893562565	LAT1;PYC1;PYC2;ACC1;HFA1
