Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_AutoRIF	riboflavin_biosynthetic_process_(GO:0009231)	1/102	0.02524372187962	0.0683515900917928	0.0438804116734998	0.1184181493575696	-2.078208382823924	7.6460981304961475	RIB1
GO_Biological_Process_AutoRIF	riboflavin_metabolic_process_(GO:0006771)	1/102	0.02524372187962	0.0683515900917928	0.0438804116734998	0.1184181493575696	-2.073187397218281	7.627625031758865	RIB1
GO_Biological_Process_AutoRIF	cellular_transition_metal_ion_homeostasis_(GO:0046916)	1/118	0.0291568291609366	0.0683515900917928	0.0506084451360243	0.1184181493575696	-1.904660396895884	6.73310043363194	RIB1
GO_Biological_Process_AutoRIF	cellular_iron_ion_homeostasis_(GO:0006879)	1/71	0.0176261717862429	0.0683515900917928	0.0307772454309318	0.1184181493575696	-1.6482824947620127	6.656375317079454	RIB1
GO_Biological_Process_AutoRIF	tRNA_aminoacylation_(GO:0043039)	1/85	0.0210722304426274	0.0683515900917928	0.0367058470248292	0.1184181493575696	-1.6436272182293452	6.34407101885964	GRS2
GO_Biological_Process_AutoRIF	tRNA_catabolic_process_(GO:0016078)	1/143	0.0352458915724128	0.0683515900917928	0.0610734398108341	0.1184181493575696	-1.7612440905637066	5.892077089889618	GRS2
GO_Biological_Process_AutoRIF	IMP_biosynthetic_process_(GO:0006188)	1/117	0.028912628747208	0.0683515900917928	0.0501886390107606	0.1184181493575696	-1.6593003514956737	5.879692297167982	RIB1
GO_Biological_Process_AutoRIF	ribosomal_large_subunit_assembly_(GO:0000027)	1/146	0.0359745211009435	0.0683515900917928	0.0623253417671419	0.1184181493575696	-1.732439229126365	5.76026400632095	RIB1
GO_Biological_Process_AutoRIF	tRNA_metabolic_process_(GO:0006399)	1/142	0.0350029171835309	0.0683515900917928	0.0606559535680547	0.1184181493575696	-1.7089468570562347	5.728943346367395	GRS2
GO_Biological_Process_AutoRIF	iron_ion_homeostasis_(GO:0055072)	1/108	0.0267126129368425	0.0683515900917928	0.0464062080818706	0.1184181493575696	-1.5654322796096547	5.670965393215876	RIB1
GO_Biological_Process_AutoRIF	response_to_ethanol_(GO:0045471)	1/314	0.0760808656894938	0.0876518739189716	0.1310989390420129	0.1510053138930574	-1.940740010735375	4.9992656922746095	GRS2
GO_Biological_Process_AutoRIF	respiratory_electron_transport_chain_(GO:0022904)	1/184	0.0451657848230958	0.0722753450076253	0.078110478980405	0.1249844761117078	-1.5943917675741377	4.938493697000009	RIB1
GO_Biological_Process_AutoRIF	positive_regulation_of_hydrolase_activity_(GO:0051345)	1/186	0.0456475863206055	0.0722753450076253	0.078937563860026	0.1249844761117078	-1.5946827680896616	4.922474019448903	RIB1
GO_Biological_Process_AutoRIF	cellular_metal_ion_homeostasis_(GO:0006875)	1/243	0.0592973883821374	0.0866654137892777	0.1023534476197138	0.149593500367274	-1.6915832069360035	4.7790439853064735	RIB1
GO_Biological_Process_AutoRIF	metal_ion_homeostasis_(GO:0055065)	1/272	0.0661818224812503	0.0876518739189716	0.1141510761976208	0.1510053138930574	-1.7058718044906902	4.632038046681271	RIB1
GO_Biological_Process_AutoRIF	mitochondrial_RNA_metabolic_process_(GO:0000959)	1/324	0.0784253608748693	0.0876518739189716	0.1351100176937882	0.1510053138930574	-1.7603484352066114	4.481156924584779	GRS2
GO_Biological_Process_AutoRIF	mitochondrial_fusion_(GO:0008053)	1/344	0.0831000729733247	0.0877167436940649	0.143104336389078	0.1510545772995823	-1.6529204181322534	4.1119861558337085	GRS2
GO_Biological_Process_AutoRIF	cellular_ion_homeostasis_(GO:0006873)	1/380	0.0914667404790649	0.0914667404790649	0.1574005723415448	0.1574005723415448	-1.7170049005324228	4.106697748876947	RIB1
GO_Biological_Process_AutoRIF	positive_regulation_of_DNA_metabolic_process_(GO:0051054)	1/296	0.0718487513124854	0.0876518739189716	0.1238556130462759	0.1510053138930574	-1.4521811369227913	3.823871818655888	RIB1
