Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_AutoRIF	regulation_of_protein_dephosphorylation_(GO:0035304)	10/140	3.212e-13	1.234775e-10	2.426704165e-07	9.24152135633e-05	-1.7904972055927697	51.506548542127376	HOG1;ACT1;RTS1;RPO21;MSN5;PKC1;SAP190;PHO85;IKI3;TAP42
GO_Biological_Process_AutoRIF	cytoplasmic_translation_(GO:0002181)	10/169	2.1398e-12	3.280139e-10	1.2637845843e-06	0.0002260068098293	-1.887973826091823	50.73036350954361	HOG1;ACT1;YIF1;URM1;YDJ1;PKC1;SEC62;MTR4;OPI3;TAP42
GO_Biological_Process_AutoRIF	protein_dephosphorylation_(GO:0006470)	11/176	8.05e-14	8.64727e-11	1.947701895e-07	9.24152135633e-05	-1.5831029028570445	47.72961082849389	SSK1;HOG1;ACT1;RTS1;RPO21;MSN5;PKC1;SAP190;PHO85;IKI3;TAP42
GO_Biological_Process_AutoRIF	regulation_of_dephosphorylation_(GO:0035303)	10/141	3.452e-13	1.234775e-10	2.583836353e-07	9.24152135633e-05	-1.648561855484351	47.30476278913919	HOG1;ACT1;RTS1;RPO21;MSN5;PKC1;SAP190;PHO85;IKI3;TAP42
GO_Biological_Process_AutoRIF	response_to_endoplasmic_reticulum_stress_(GO:0034976)	11/266	7.396e-12	8.817789e-10	9.6906370424e-06	0.0011553392829489	-1.7153949011258758	43.96568955452493	SSK1;HOG1;ACT1;URM1;TCP1;SAC1;YDJ1;PKC1;SEC62;OPI3;TAP42
GO_Biological_Process_AutoRIF	regulation_of_TOR_signaling_(GO:0032006)	12/301	1.0974e-12	2.209558e-10	4.9167904135e-06	0.0007536737305396	-1.5792501160384849	43.4893927783255	HOG1;ACT1;YIF1;RTS1;URM1;MSN5;UBR2;SAC1;PKC1;SAP190;PHO85;TAP42
GO_Biological_Process_AutoRIF	cellular_modified_amino_acid_biosynthetic_process_(GO:0042398)	11/322	5.77622e-11	4.4270634e-09	5.50146794823e-05	0.002867529547016	-1.8222032113057487	42.957868102914304	HOG1;ACT1;CDC11;HMT1;URM1;RPO21;ACO1;SEC62;SEC72;PHO85;IKI3
GO_Biological_Process_AutoRIF	cellular_modified_amino_acid_catabolic_process_(GO:0042219)	11/322	5.77622e-11	4.4270634e-09	5.50146794823e-05	0.002867529547016	-1.81940362399094	42.89186871170153	HOG1;ACT1;CDC11;HMT1;URM1;RPO21;ACO1;SEC62;SEC72;PHO85;IKI3
GO_Biological_Process_AutoRIF	dephosphorylation_(GO:0016311)	10/160	1.2355e-12	2.209558e-10	7.83966538e-07	0.0001682392190571	-1.5426571618303628	42.29890722477721	SSK1;HOG1;ACT1;RTS1;RPO21;PKC1;SAP190;PHO85;IKI3;TAP42
GO_Biological_Process_AutoRIF	regulation_of_translation_in_response_to_stress_(GO:0043555)	10/205	1.46714e-11	1.4311333e-09	6.6907760779e-06	0.0008974003414549	-1.675145215346444	41.7866944543777	SSK1;HOG1;ACT1;TCP1;RPO21;YDJ1;PKC1;PHO85;OPI3;TAP42
