Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_AutoRIF	tRNA_binding_(GO:0000049)	8/126	2.389532e-10	3.25508947e-08	4.0065909137e-05	0.008758969219679	-1.6955841363771629	37.5652480687319	ACT1;URM1;RPO21;MSN5;YDJ1;MTR4;ATS1;TAP42
GO_Molecular_Function_AutoRIF	tubulin_binding_(GO:0015631)	9/218	7.528292e-10	5.15018968e-08	0.0003029955617189	0.0199846434452139	-1.5704971610470513	32.99172076201181	ACT1;BIM1;RTS1;TCP1;GIM3;SAC1;YDJ1;PHO85;ATS1
GO_Molecular_Function_AutoRIF	protein_phosphatase_regulator_activity_(GO:0019888)	9/223	9.196767e-10	5.15018968e-08	0.0003568686329502	0.0199846434452139	-1.5723329695035235	32.71553034971807	SSK1;HOG1;ACT1;RTS1;SAC1;PKC1;SAP190;PHO85;TAP42
GO_Molecular_Function_AutoRIF	actin_binding_(GO:0003779)	10/283	3.487595e-10	3.25508947e-08	0.0004457219493424	0.0208003576359799	-1.4853261895020078	32.345411176673515	HOG1;ACT1;CDC11;BIM1;ARP8;TCP1;NHP10;GIM3;PKC1;PHO85
GO_Molecular_Function_AutoRIF	signal_sequence_binding_(GO:0005048)	10/388	7.2914551e-09	2.552009296e-07	0.0046759322499527	0.0495921567076969	-1.644067150822274	30.804167261282345	HOG1;ACT1;GYP1;RTS1;ACO1;SAC1;YDJ1;PKC1;SEC62;SEC72
GO_Molecular_Function_AutoRIF	protein_phosphatase_binding_(GO:0019903)	9/176	1.12375e-10	3.14650099e-08	6.25640658548e-05	0.008758969219679	-1.3391361282703889	30.67850968065442	HOG1;ACT1;RTS1;SAC1;PKC1;SAP190;PHO85;IKI3;TAP42
GO_Molecular_Function_AutoRIF	protein_kinase_activator_activity_(GO:0030295)	9/276	5.961337e-09	2.384534804e-07	0.001597325388095	0.0305500701660221	-1.5447376366387324	29.254196643116284	SSK1;HOG1;ACT1;BEM4;RPO21;YDJ1;PKC1;PHO85;TAP42
GO_Molecular_Function_AutoRIF	protein_serine/threonine_phosphatase_activity_(GO:0004722)	6/71	8.8660258e-09	2.758319156e-07	9.60869454371e-05	0.0089681149074675	-1.5573887011018932	28.875604931806	SSK1;HOG1;ACT1;RTS1;PKC1;TAP42
GO_Molecular_Function_AutoRIF	phosphatidylinositol_phosphate_binding_(GO:1901981)	9/244	2.0301178e-09	9.47388326e-08	0.0006780280961073	0.021094207434451	-1.3399461775322177	26.819253207291744	HOG1;ACT1;CDC11;GYP1;BEM4;SAC1;PKC1;PHO85;OPI3
GO_Molecular_Function_AutoRIF	MAP_kinase_activity_(GO:0004707)	7/145	2.35786757e-08	6.602029223e-07	0.0006501624977313	0.021094207434451	-1.511945716061038	26.554186344409324	SSK1;HOG1;ACT1;BEM4;URM1;RPO21;PKC1
GO_Molecular_Function_AutoRIF	tRNA_(guanine)_methyltransferase_activity_(GO:0016423)	8/236	3.39098241e-08	7.912292312e-07	0.0023995149156976	0.0366566651961998	-1.5139681650080792	26.03958790494715	ACT1;URM1;RPO21;MSN5;YDJ1;MTR4;IKI3;ATS1
GO_Molecular_Function_AutoRIF	nucleotide_kinase_activity_(GO:0019201)	9/336	3.26782285e-08	7.912292312e-07	0.0058930833579408	0.0503116496449396	-1.4259961467102784	24.579263542133088	HOG1;ACT1;GYP1;BEM4;TDP1;RPO21;PKC1;MTR4;PHO85
GO_Molecular_Function_AutoRIF	ATPase_regulator_activity_(GO:0060590)	7/203	2.366024175e-07	3.8969809956e-06	0.0042445822032188	0.0475393206760516	-1.595210559879787	24.337943532283084	SSK1;HOG1;ACT1;TCP1;YDJ1;SEC62;TAP42
GO_Molecular_Function_AutoRIF	AMP-activated_protein_kinase_activity_(GO:0004679)	7/184	1.212220562e-07	2.2628117162e-06	0.0024874165668849	0.0366566651961998	-1.513258303379158	24.09960968717088	SSK1;HOG1;RPO21;MSN5;PKC1;SAP190;PHO85
GO_Molecular_Function_AutoRIF	ATPase_activity_(GO:0016887)	7/170	7.05394222e-08	1.4960710563e-06	0.0016035422077968	0.0305500701660221	-1.458965806663304	24.024927231126348	ACT1;TDP1;TCP1;RPO21;ACO1;YDJ1;MTR4
GO_Molecular_Function_AutoRIF	kinase_activator_activity_(GO:0019209)	6/101	7.48035528e-08	1.4960710563e-06	0.0005878486190921	0.021094207434451	-1.3543932333672752	22.2234265473326	SSK1;HOG1;ACT1;PKC1;PHO85;TAP42
GO_Molecular_Function_AutoRIF	phosphatidylinositol-4-phosphate_binding_(GO:0070273)	5/76	5.96219618e-07	8.2368024159e-06	0.0011461128802983	0.0291737824075934	-1.5392138763590564	22.06102415631793	ACT1;CDC11;GYP1;BEM4;SAC1
GO_Molecular_Function_AutoRIF	GTP_binding_(GO:0005525)	6/128	3.066785258e-07	4.7705548465e-06	0.0019151014382849	0.0315428472188103	-1.4312507350090808	21.465133928169276	ACT1;CDC11;GYP1;BEM4;PKC1;PHO85
GO_Molecular_Function_AutoRIF	ribosomal_large_subunit_binding_(GO:0043023)	7/234	6.177601811e-07	8.2368024159e-06	0.0089748021437409	0.0598320142916066	-1.4858599461530335	21.243585576486783	ACT1;RPO21;MSN5;PAT1;YDJ1;PKC1;MTR4
GO_Molecular_Function_AutoRIF	GTPase_binding_(GO:0051020)	6/140	5.204681082e-07	7.6700563324e-06	0.0029614752111707	0.0406919567081285	-1.4680726368263413	21.240863590659867	ACT1;CDC11;GYP1;BEM4;PKC1;PHO85
GO_Molecular_Function_AutoRIF	carbohydrate_kinase_activity_(GO:0019200)	7/240	7.322410956e-07	9.3194321261e-06	0.0102216203608858	0.0629451260264993	-1.4430894519968518	20.386749827064367	SSK1;HOG1;ACT1;RPO21;MSN5;PKC1;PHO85
GO_Molecular_Function_AutoRIF	DNA_secondary_structure_binding_(GO:0000217)	7/191	1.563653545e-07	2.7363937049e-06	0.0030518967531096	0.0406919567081285	-1.281187980044496	20.077587224979197	SSK1;HOG1;ACT1;HMT1;RPO21;YDJ1;PKC1
GO_Molecular_Function_AutoRIF	protein_kinase_inhibitor_activity_(GO:0004860)	5/81	8.203341955e-07	9.5705656144e-06	0.0015019885026639	0.0305500701660221	-1.429100202254244	20.026772890289983	HOG1;ACT1;PKC1;PHO85;TAP42
GO_Molecular_Function_AutoRIF	GDP-dissociation_inhibitor_activity_(GO:0005092)	4/41	1.7699924596e-06	1.50181178395e-05	0.0009604646577676	0.0268930104174938	-1.4785167556947605	19.582267320248626	ACT1;GYP1;BEM4;PKC1
GO_Molecular_Function_AutoRIF	DNA_insertion_or_deletion_binding_(GO:0032135)	6/168	1.51389928e-06	1.41297266137e-05	0.0070255066703905	0.0547502364023	-1.4516286225740522	19.45301668090088	HOG1;ACT1;ARP8;YDJ1;PKC1;SEC62
GO_Molecular_Function_AutoRIF	ubiquitin_protein_ligase_activity_(GO:0061630)	6/150	7.806438122e-07	9.5034898886e-06	0.0041225242096201	0.0475393206760516	-1.3521586133715175	19.01560515428292	ACT1;RTS1;RPO21;UBR2;PKC1;PHO85
GO_Molecular_Function_AutoRIF	RNA_polymerase_III_activity_(GO:0001056)	6/157	1.0196576692e-06	1.09741712973e-05	0.0051172554518884	0.0495921567076969	-1.3652508284094045	18.83505996105445	NHP10;RPO21;YDJ1;SEC62;MTR4;TAP42
