Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	HMG_box	1/7	0.014955503612001	0.024925839353335	0.0591932009857345	0.0986553349762243	-800.1428571428572	3362.7411121198616	NHP10
Pfam_Domains_2019	DnaJ_C	1/6	0.0128324564797398	0.024925839353335	0.0519685753960077	0.0986553349762243	-735.8571428571429	3205.2301000887355	YDJ1
Pfam_Domains_2019	DnaJ	1/19	0.0400867952081571	0.0501084940101963	0.1421503484125052	0.1776879355156315	-693.0	2229.17884874984	YDJ1
Pfam_Domains_2019	C2	1/9	0.0191882271437793	0.0274117530625419	0.0734958014364304	0.1049940020520435	-61.6	243.53303482868864	PKC1
Pfam_Domains_2019	Septin	1/7	0.014955503612001	0.024925839353335	0.0591932009857345	0.0986553349762243	-53.20408163265307	223.59951231403775	CDC11
Pfam_Domains_2019	UBA	1/6	0.0128324564797398	0.024925839353335	0.0519685753960077	0.0986553349762243	-41.82142857142858	182.16484406930252	UBP14
Pfam_Domains_2019	DnaJ_CXXCXGXG	1/5	0.0107049402210336	0.024925839353335	0.0446946769974278	0.0986553349762243	-39.61654135338345	179.74222661656572	YDJ1
Pfam_Domains_2019	Pkinase	3/113	0.0018385029225888	0.0183850292258884	0.0491970284881001	0.0986553349762243	-0.0708881205008334	0.4465103533974245	HOG1;PKC1;PHO85
Pfam_Domains_2019	DEAD	1/46	0.0943642918678132	0.0943642918678132	0.3054906827126228	0.3054906827126228	0.4782608695652173	-1.128979041588269	MTR4
Pfam_Domains_2019	Zn_clus	1/44	0.0904487230050151	0.0943642918678132	0.294418075880924	0.3054906827126228	1.107142857142857	-2.660433491069857	EDS1
