Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Phenotype_AutoRIF	endoplasmic_reticulum_morphology	10/243	7.85927e-11	9.6929235e-09	0.0001208038357279	0.0082003323821033	-1.8540743637718209	43.13826892045469	HOG1;ACT1;GYP1;YIF1;TCP1;SAC1;YDJ1;SEC62;OPI3;TAP42
Phenotype_AutoRIF	toxin_resistance	8/121	1.725305e-10	9.6929235e-09	2.82740634478e-05	0.0041562873268371	-1.8003266362714987	40.472147425204575	HOG1;ACT1;URM1;TPO4;SAP190;IKI3;ATS1;TAP42
Phenotype_AutoRIF	cold_sensitivity	11/362	2.011774e-10	9.6929235e-09	0.0006908684864605	0.0169262779182829	-1.5755989031540476	35.17813488938156	HOG1;ACT1;CDC11;YIF1;BIM1;RTS1;TCP1;RPO21;GIM3;PKC1;PHO85
Phenotype_AutoRIF	RNA_accumulation	10/275	2.63753e-10	9.6929235e-09	0.00032534580704	0.0119564584087234	-1.5742226240680597	34.72106674945319	HOG1;ACT1;RTS1;URM1;RPO21;MSN5;YDJ1;MTR4;PHO85;OPI3
Phenotype_AutoRIF	inviable	11/428	1.1785684e-09	3.46499119e-08	0.0026900533830103	0.0304182959463478	-1.561986482911565	32.11282594469982	HOG1;ACT1;CDC11;BIM1;BEM4;TCP1;SAC1;YDJ1;PKC1;SEC62;PHO85
Phenotype_AutoRIF	spindle_morphology	8/216	1.70365136e-08	3.130459378e-07	0.0013092112559649	0.020352956739973	-1.672101326486052	29.91039291575053	HOG1;ACT1;CDC11;BIM1;RTS1;YDJ1;SEC72;MTR4
Phenotype_AutoRIF	bud_neck_morphology	9/273	5.4200285e-09	1.138205988e-07	0.0013845548802702	0.020352956739973	-1.5353696854216772	29.222944190730654	HOG1;ACT1;CDC11;BIM1;RTS1;SAC1;PKC1;MTR4;PHO85
Phenotype_AutoRIF	killer_toxin_resistance	7/116	4.9863237e-09	1.138205988e-07	0.0001673537220837	0.0082003323821033	-1.464429780858609	27.9948699078007	HOG1;URM1;SAC1;SAP190;IKI3;ATS1;TAP42
Phenotype_AutoRIF	heat_sensitivity	9/317	1.97996856e-08	3.233948652e-07	0.0038011920836556	0.0349234522685865	-1.4243764505144598	25.26501941082721	HOG1;ACT1;NTH2;URM1;TCP1;UBR2;YDJ1;PKC1;TAP42
Phenotype_AutoRIF	RNA_modification	6/113	1.463112289e-07	1.5362679043e-06	0.0009950543018714	0.0182841227968879	-1.5533055322379186	24.445192068999205	ACT1;HMT1;URM1;RPO21;IKI3;ATS1
Phenotype_AutoRIF	nuclear_fusion_during_mating	7/174	8.27278751e-08	1.0134164701e-06	0.0017441089008362	0.0233076371293568	-1.4809080206537693	24.150217395157995	ACT1;CDC11;BIM1;MSN5;SAC1;SEC62;SEC72
Phenotype_AutoRIF	chitin_deposition	6/99	6.63487039e-08	8.866599527e-07	0.00051055476164	0.0150103099922164	-1.41387524032864	23.369012965932463	HOG1;ACT1;CDC11;BEM4;SAC1;PKC1
Phenotype_AutoRIF	budding	6/111	1.31537966e-07	1.4873908465e-06	0.0009098854501999	0.0182841227968879	-1.462591271720261	23.173252687766222	HOG1;ACT1;CDC11;BIM1;PKC1;PHO85
Phenotype_AutoRIF	oxidative_stress_resistance	8/248	4.97766225e-08	7.317163515e-07	0.0030784411278009	0.0323236318419097	-1.3545736793034957	22.778132238413058	SSK1;HOG1;MSN5;UBR2;ACO1;YDJ1;UBP14;PKC1
Phenotype_AutoRIF	plasma_membrane_morphology	6/146	6.661373591e-07	6.5281461201e-06	0.0035014204860485	0.0343139207632762	-1.2796787773560168	18.19929717201981	HOG1;ACT1;YIF1;YDJ1;PKC1;SEC62
Phenotype_AutoRIF	mitotic_cell_cycle	5/114	4.4607923874e-06	2.62294592381e-05	0.0060373742130085	0.0443747004656127	-1.4574014885246531	17.955454707983858	ACT1;CDC11;BIM1;RTS1;PKC1
Phenotype_AutoRIF	septum_formation	6/181	2.3344309659e-06	1.55982432728e-05	0.0096020139796221	0.056459842200178	-1.338210902019585	17.35357424648385	HOG1;ACT1;CDC11;SAC1;PKC1;PHO85
Phenotype_AutoRIF	osmotic_stress_resistance	6/161	1.1811506723e-06	9.6460638239e-06	0.005575311930566	0.0443747004656127	-1.253560733331894	17.109877336373394	SSK1;HOG1;ACT1;TCP1;YDJ1;PKC1
Phenotype_AutoRIF	oxidative_phosphorylation	6/168	1.51389928e-06	1.17127996929e-05	0.0068054058714731	0.0476378411003123	-1.244804977659974	16.68140984430928	SSK1;HOG1;ACT1;URM1;PKC1;OPI3
Phenotype_AutoRIF	RNA_localization	8/375	1.1588092038e-06	9.6460638239e-06	0.0319979603683984	0.0984573619262336	-1.2039862208499708	16.456225289663948	HOG1;ACT1;YIF1;RPO21;GIM3;SAC1;YDJ1;MTR4
Phenotype_AutoRIF	cell_size	4/53	5.0230689667e-06	2.83996591579e-05	0.0022902640994586	0.0280557352183684	-1.3449812718798118	16.410747917292532	HOG1;ACT1;TCP1;RPO21
Phenotype_AutoRIF	cell_cycle_progression_in_anaphase	6/179	2.1887610646e-06	1.53213274524e-05	0.0091254205684825	0.0558932009819555	-1.25175739760544	16.31312133562281	ACT1;BIM1;RTS1;PKC1;MTR4;TAP42
Phenotype_AutoRIF	spore_germination	6/179	2.1887610646e-06	1.53213274524e-05	0.0091254205684825	0.0558932009819555	-1.1290504149970222	14.713982477048049	HOG1;ACT1;CDC11;NTH2;RTS1;YDJ1
Phenotype_AutoRIF	nuclear_position	8/363	9.080631011e-07	8.342829742e-06	0.0270025801174638	0.0913416855128153	-1.0243836933928874	14.251176737315252	HOG1;ACT1;HMT1;BIM1;RTS1;RPO21;PHO85;ATS1
Phenotype_AutoRIF	endoplasmic_reticulum_distribution	6/201	4.2768631943e-06	2.62294592381e-05	0.0154028868919075	0.079300183555181	-1.1298530291838518	13.967571612654968	HOG1;ACT1;YIF1;SAC1;YDJ1;SEC62
Phenotype_AutoRIF	bipolar_budding_pattern	4/66	1.2114994964e-05	5.74485245069e-05	0.0048474907800903	0.0419165379219579	-1.2335775752091005	13.9654139091094	HOG1;ACT1;CDC11;PHO85
Phenotype_AutoRIF	temperature_sensitive_growth	5/123	6.4726326502e-06	3.36517687962e-05	0.0081967797719051	0.0547693921122753	-1.1586986384999591	13.844047479046813	ACT1;CDC11;RPO21;YDJ1;PKC1
Phenotype_AutoRIF	filamentous_growth	5/150	1.69799268891e-05	7.13156929342e-05	0.0178190678893858	0.0844968703141845	-1.2101023566460596	13.29113343822334	HOG1;ACT1;CDC11;PKC1;PHO85
Phenotype_AutoRIF	autophagy	5/145	1.44125285141e-05	6.6207552862e-05	0.0156442538986411	0.079300183555181	-1.1618313825856823	12.951413902449213	HOG1;ACT1;YDJ1;PKC1;SEC62
Phenotype_AutoRIF	cell_cycle_progression_in_G2_phase	6/217	6.6387843203e-06	3.36517687962e-05	0.0215532459563589	0.0911315295360189	-1.0793135730346608	12.868204249591264	HOG1;ACT1;BIM1;YDJ1;PKC1;PHO85
Phenotype_AutoRIF	bud_morphology	5/114	4.4607923874e-06	2.62294592381e-05	0.0060373742130085	0.0443747004656127	-1.02338275387173	12.608263975822611	ACT1;CDC11;BIM1;PKC1;PHO85
Phenotype_AutoRIF	cell_cycle_progression	6/211	5.6532831178e-06	3.0778985864e-05	0.0190774429562938	0.0849813368053089	-0.9948529034068924	12.021080319809096	SSK1;HOG1;ACT1;UBP14;PKC1;PHO85
Phenotype_AutoRIF	cytoskeleton_morphology	5/168	2.92958104213e-05	0.0001196245592207	0.0273027642532637	0.0913416855128153	-1.0211441825119392	10.658770414642673	HOG1;ACT1;CDC11;BIM1;RTS1
Phenotype_AutoRIF	endocytosis	6/229	9.0292801958e-06	4.42434729595e-05	0.0271519938338052	0.0913416855128153	-0.8836087340974569	10.263148940832146	HOG1;ACT1;GYP1;YIF1;YDJ1;PKC1
Phenotype_AutoRIF	size_of_nucleus	5/193	5.67878616521e-05	0.0002140465554582	0.0451371669075526	0.110586058923504	-1.0317374665485848	10.086459396683454	ACT1;BIM1;MSN5;YDJ1;PKC1
Phenotype_AutoRIF	prion_formation	6/252	1.55521392998e-05	6.8764009312e-05	0.040471578393112	0.1060769026020999	-0.8788374077836042	9.729883449293032	ACT1;YIF1;RTS1;URM1;YDJ1;TAP42
Phenotype_AutoRIF	actin_cytoskeleton_morphology	5/202	7.04780905613e-05	0.0002526897393296	0.0529644266478336	0.1199738925181456	-0.969838871162748	9.27186198326017	HOG1;ACT1;BIM1;PKC1;SEC62
Phenotype_AutoRIF	mitochondrial_distribution	5/177	3.76073267755e-05	0.0001454809746318	0.0330754309555885	0.0992262928667655	-0.8847072060599813	9.013672748051604	HOG1;ACT1;MSN5;ACO1;PHO85
Phenotype_AutoRIF	pheromone_sensitivity	5/175	3.56194148339e-05	0.0001415149724482	0.0317309087798701	0.0984573619262336	-0.8563705165869205	8.771477530764098	HOG1;ACT1;PKC1;SEC62;PHO85
Phenotype_AutoRIF	subcellular_morphology	6/253	1.59046007932e-05	6.8764009312e-05	0.0411318601926509	0.1060769026020999	-0.7835513270053427	8.657381927894017	HOG1;ACT1;CDC11;MSN5;PKC1;PHO85
Phenotype_AutoRIF	mating_projection_morphology	4/99	6.01053929493e-05	0.0002208873190887	0.0185043845768585	0.0849813368053089	-0.8864125299930152	8.615407683485167	ACT1;CDC11;SAC1;OPI3
Phenotype_AutoRIF	cell_cycle_progression_in_G1_phase	4/111	9.38550575835e-05	0.0002999281187996	0.0265844161574038	0.0913416855128153	-0.9095390717377964	8.434846067163956	HOG1;ACT1;PKC1;PHO85
Phenotype_AutoRIF	metabolism_and_growth	4/113	0.000100589173916	0.0003028996833791	0.0281092665956552	0.0918236042124736	-0.8898182558515683	8.190301812081103	HOG1;ACT1;TDP1;YDJ1
Phenotype_AutoRIF	budding_pattern	4/105	7.56153890894e-05	0.0002584991208407	0.0223179256006577	0.0911315295360189	-0.831033437802474	7.886383281461417	HOG1;ACT1;CDC11;PHO85
Phenotype_AutoRIF	auxotrophy	4/105	7.56153890894e-05	0.0002584991208407	0.0223179256006577	0.0911315295360189	-0.8166954030063747	7.75031747139729	ACT1;RPO21;ACO1;SAC1
Phenotype_AutoRIF	hyperosmotic_stress_resistance	3/45	0.0001233411914266	0.0003555128458768	0.0117129724724354	0.0662233443633849	-0.8340886259612548	7.507261494319136	SSK1;HOG1;ACT1
Phenotype_AutoRIF	nuclear_import	4/108	8.43769019191e-05	0.0002818955586845	0.0243937797298319	0.0913416855128153	-0.790893979019186	7.418757042606689	HOG1;MSN5;YDJ1;PHO85
Phenotype_AutoRIF	mitochondrial_transport	4/112	9.71797131244e-05	0.0003028996833791	0.0273403684528154	0.0913416855128153	-0.7549656232640778	6.975088573753981	HOG1;ACT1;ACO1;YDJ1
Phenotype_AutoRIF	lifespan	4/109	8.74549476794e-05	0.0002856861624194	0.0251111694839442	0.0913416855128153	-0.7435831390563425	6.948328455070242	HOG1;ACT1;ACO1;PKC1
Phenotype_AutoRIF	Golgi_morphology	4/122	0.0001353089418007	0.000373218497904	0.0356181410424365	0.1006897448699647	-0.7380233752933029	6.574275278912736	ACT1;GYP1;YIF1;SAC1
Phenotype_AutoRIF	axial_budding_pattern	3/53	0.0002011973300874	0.0005099311641872	0.0177763910794678	0.0844968703141845	-0.7638806772581211	6.501559851153057	HOG1;ACT1;CDC11
Phenotype_AutoRIF	colony_shape	2/16	0.000531559571038	0.0011839281354939	0.0134967946319078	0.0734825485514984	-0.7919302177715973	5.970912529368092	ACT1;RTS1
Phenotype_AutoRIF	cell_fusion	5/218	0.0001009665611263	0.0003028996833791	0.0687666662953187	0.1465028977595922	-0.6160458887697319	5.668066452896472	ACT1;BIM1;YDJ1;PKC1;TAP42
