Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_AutoRIF	transcription_factor_activity,_RNA_polymerase_II_transcription_factor_recruiting_(GO:0001135)	3/25	5.63259939021e-05	0.0087305290548346	0.0008505194583786	0.1318305160486964	-2.152856519886228	21.064311218800768	TAH1;HSP26;SFL1
GO_Molecular_Function_AutoRIF	transcription_corepressor_activity_(GO:0003714)	3/66	0.001026900134921	0.0530565069709194	0.0112801551854451	0.857099532303969	-1.8611169150862736	12.806737429736817	HSP26;UBR1;SFL1
GO_Molecular_Function_AutoRIF	fatty_acid_ligase_activity_(GO:0015645)	3/77	0.001603638530118	0.0621409930420727	0.0168248733332768	0.857099532303969	-1.7357628762419897	11.170467535547845	SPT8;YIL092W;HTD2
GO_Molecular_Function_AutoRIF	RNA_polymerase_II_transcription_factor_activity,_TBP-class_protein_binding_(GO:0001132)	5/250	0.000914549377342	0.0530565069709194	0.0276691118525877	0.857099532303969	-1.3539218689510109	9.473498409261495	TAH1;HSP26;SPT8;UBR1;SFL1
GO_Molecular_Function_AutoRIF	transcriptional_repressor_activity,_RNA_polymerase_II_transcription_factor_binding_(GO:0001191)	2/46	0.0084156234820597	0.1935098032850256	0.0424718847966703	0.857099532303969	-1.756436347585674	8.391665099008007	HSP26;SFL1
GO_Molecular_Function_AutoRIF	beta-glucosidase_activity_(GO:0008422)	3/118	0.0053646890775836	0.1663053614050929	0.0489691415843724	0.857099532303969	-1.5343587210370593	8.02149982459017	NCA3;SEC1;ALG3
GO_Molecular_Function_AutoRIF	beta-fructofuranosidase_activity_(GO:0004564)	3/141	0.0087558203726106	0.1935098032850256	0.0747038417985046	0.857099532303969	-1.5308719171737857	7.253327195387076	SEC1;ALG3;MIG3
GO_Molecular_Function_AutoRIF	phosphoric_diester_hydrolase_activity_(GO:0008081)	3/148	0.0099876027501948	0.1935098032850256	0.083547902749139	0.857099532303969	-1.5600484972561688	7.186224059177561	HEM1;HSP26;SFL1
GO_Molecular_Function_AutoRIF	oligosaccharyl_transferase_activity_(GO:0004576)	1/12	0.0354214818845385	0.349556391844773	0.086147169939114	0.857099532303969	-1.9416281607027348	6.48588617933327	ALG3
GO_Molecular_Function_AutoRIF	alpha-1,3-mannosyltransferase_activity_(GO:0000033)	1/15	0.0440822836027598	0.349556391844773	0.1049888977014124	0.857099532303969	-1.9676845178170697	6.142515465429072	ALG3
GO_Molecular_Function_AutoRIF	copper_ion_binding_(GO:0005507)	2/89	0.0293317146149326	0.349556391844773	0.1289865071766412	0.857099532303969	-1.616909946495031	5.706214155635105	SFL1;YJL225C
GO_Molecular_Function_AutoRIF	ATP_binding_(GO:0005524)	3/274	0.0491643662932706	0.349556391844773	0.2976920560178327	0.857099532303969	-1.7419353346230393	5.24773031592304	SEC1;CUE5;YJL225C
GO_Molecular_Function_AutoRIF	ribonuclease_P_activity_(GO:0004526)	1/23	0.0668056565163281	0.349556391844773	0.153425175749595	0.857099532303969	-1.922320857975176	5.201737811689693	HTD2
GO_Molecular_Function_AutoRIF	asparaginase_activity_(GO:0004067)	1/19	0.0555111662174579	0.349556391844773	0.1295309197746405	0.857099532303969	-1.7849036960362858	5.160461956130551	PUT4
GO_Molecular_Function_AutoRIF	hydro-lyase_activity_(GO:0016836)	3/198	0.0216430941178881	0.349556391844773	0.1583545257074642	0.857099532303969	-1.339438692952644	5.134160735540209	HSP26;ACO1;HTD2
GO_Molecular_Function_AutoRIF	alpha-1,6-mannosyltransferase_activity_(GO:0000009)	1/21	0.0611751128788378	0.349556391844773	0.1415579821218948	0.857099532303969	-1.824031899409948	5.096372167268326	ALG3
GO_Molecular_Function_AutoRIF	DNA-dependent_ATPase_activity_(GO:0008094)	2/103	0.038314830946252	0.349556391844773	0.1623856675896765	0.857099532303969	-1.5409935877298937	5.026595071163334	TAH1;ACO1
GO_Molecular_Function_AutoRIF	copper_ion_transmembrane_transporter_activity_(GO:0005375)	1/19	0.0555111662174579	0.349556391844773	0.1295309197746405	0.857099532303969	-1.708744271441652	4.940272029864965	YJL225C
GO_Molecular_Function_AutoRIF	RNA_polymerase_II_regulatory_region_DNA_binding_(GO:0001012)	2/108	0.0417470707513415	0.349556391844773	0.1746931270593951	0.857099532303969	-1.477491357077017	4.692698701859209	SPT8;SFL1
GO_Molecular_Function_AutoRIF	acetyltransferase_activity_(GO:0016407)	3/303	0.0626795776297738	0.349556391844773	0.3541649411726173	0.857099532303969	-1.6493872227519482	4.568340118901238	HEM1;MIG3;SFL1
GO_Molecular_Function_AutoRIF	RNA_polymerase_II_activity_(GO:0001055)	2/114	0.0460123682290735	0.349556391844773	0.1896690821335744	0.857099532303969	-1.4639488671221466	4.507271714337627	TAH1;HSP26
GO_Molecular_Function_AutoRIF	hexokinase_activity_(GO:0004396)	2/109	0.0424470067928901	0.349556391844773	0.1771744069661621	0.857099532303969	-1.4036123795061295	4.434711741099123	NCA3;HSP26
GO_Molecular_Function_AutoRIF	methyltransferase_activity_(GO:0008168)	3/279	0.0513803462040499	0.349556391844773	0.3073893430802965	0.857099532303969	-1.4609542269287283	4.336841964060093	ISY1;TAH1;MEP3
GO_Molecular_Function_AutoRIF	phosphatidylinositol_binding_(GO:0035091)	2/122	0.0519370467885532	0.349556391844773	0.2099219933803187	0.857099532303969	-1.456962767465286	4.309292189126925	TAH1;UTR2
GO_Molecular_Function_AutoRIF	1,3-beta-glucanosyltransferase_activity_(GO:0042124)	1/22	0.0639945479456801	0.349556391844773	0.1475114343665838	0.857099532303969	-1.544661508018114	4.246208663807669	MIG3
GO_Molecular_Function_AutoRIF	peptide_alpha-N-acetyltransferase_activity_(GO:0004596)	2/130	0.0581189466094995	0.349556391844773	0.2304193634794324	0.857099532303969	-1.424011030440272	4.051686700857224	SPT8;MIG3
GO_Molecular_Function_AutoRIF	GTP_binding_(GO:0005525)	2/128	0.0565501930476301	0.349556391844773	0.2252766727426536	0.857099532303969	-1.3960069345902413	4.010206741582617	SEC1;PEX30
GO_Molecular_Function_AutoRIF	protein-arginine_N-methyltransferase_activity_(GO:0016274)	1/33	0.0944640696043761	0.354540893323865	0.2104336840819553	0.857099532303969	-1.672453901757572	3.946214742339189	MEP3
GO_Molecular_Function_AutoRIF	succinate_dehydrogenase_(ubiquinone)_activity_(GO:0008177)	2/132	0.059702829450519	0.349556391844773	0.2355722235519018	0.857099532303969	-1.378150824364762	3.88414702203042	ISY1;ACO1
GO_Molecular_Function_AutoRIF	basic_amino_acid_transmembrane_transporter_activity_(GO:0015174)	1/31	0.0889976579064609	0.3537086403974729	0.1993357125366697	0.857099532303969	-1.564080783888959	3.783738560256512	YJL225C
GO_Molecular_Function_AutoRIF	kinase_activity_(GO:0016301)	2/146	0.0711945221916175	0.349556391844773	0.2718302128220909	0.857099532303969	-1.370256204210296	3.620681955156857	TAH1;RGC1
GO_Molecular_Function_AutoRIF	activating_transcription_factor_binding_(GO:0033613)	2/155	0.0789320884810777	0.349556391844773	0.2951982083302481	0.857099532303969	-1.4033289802763282	3.563287248287601	SPT8;SFL1
GO_Molecular_Function_AutoRIF	translation_elongation_factor_activity_(GO:0003746)	2/133	0.0605003721896618	0.349556391844773	0.2381520928628726	0.857099532303969	-1.2650182358555957	3.548509942520927	UBR1;SFL1
GO_Molecular_Function_AutoRIF	MAP_kinase_activity_(GO:0004707)	2/145	0.0703511167000344	0.349556391844773	0.2692338913321832	0.857099532303969	-1.33234772163673	3.5363927630375627	RGC1;SFL1
GO_Molecular_Function_AutoRIF	ubiquitin_binding_(GO:0043130)	2/148	0.0728913135596351	0.349556391844773	0.2770237708800612	0.857099532303969	-1.314796160820213	3.4431695193053438	UBR1;CUE5
GO_Molecular_Function_AutoRIF	phosphopyruvate_hydratase_activity_(GO:0004634)	1/31	0.0889976579064609	0.3537086403974729	0.1993357125366697	0.857099532303969	-1.4048433849376427	3.398520166901569	HSP26
GO_Molecular_Function_AutoRIF	microtubule_binding_(GO:0008017)	2/160	0.0833404219423786	0.3537086403974729	0.3081610322342507	0.857099532303969	-1.2853464820492402	3.193856689351352	VIK1;CUE5
GO_Molecular_Function_AutoRIF	protein_serine/threonine_kinase_activity_(GO:0004674)	2/162	0.0851247341720688	0.3537086403974729	0.3133381938166289	0.857099532303969	-1.2914946877566762	3.1817749211463946	HSP26;MIG3
GO_Molecular_Function_AutoRIF	microtubule_plus-end_binding_(GO:0051010)	1/37	0.1053003079473766	0.3668637001651469	0.2321875497936655	0.857099532303969	-1.382907357714202	3.112840015488507	VIK1
GO_Molecular_Function_AutoRIF	protein_kinase_activity_(GO:0004672)	2/155	0.0789320884810777	0.349556391844773	0.2951982083302481	0.857099532303969	-1.2072845934090046	3.065497725202898	TAH1;RGC1
GO_Molecular_Function_AutoRIF	antiporter_activity_(GO:0015297)	2/151	0.0754610512948151	0.349556391844773	0.2848145693556683	0.857099532303969	-1.1840943369111494	3.059863920805702	YJL225C;MEP3
GO_Molecular_Function_AutoRIF	glucose_transmembrane_transporter_activity_(GO:0005355)	1/44	0.1239577257248307	0.3668637001651469	0.2688774698638518	0.857099532303969	-1.4556519284553908	3.039131484236516	YJL225C
GO_Molecular_Function_AutoRIF	heme_binding_(GO:0020037)	2/174	0.0960691452877569	0.354540893323865	0.3442524402356917	0.857099532303969	-1.2629462108557192	2.9586877751569345	HEM1;UBR1
GO_Molecular_Function_AutoRIF	ATPase_activity_(GO:0016887)	2/170	0.0923768730873483	0.354540893323865	0.333981078834643	0.857099532303969	-1.2247818890608475	2.9172817992997904	TAH1;ACO1
GO_Molecular_Function_AutoRIF	neutral_amino_acid_transmembrane_transporter_activity_(GO:0015175)	1/42	0.1186664291759103	0.3668637001651469	0.2585703251393621	0.857099532303969	-1.3235659929957286	2.821099962294983	YJL225C
GO_Molecular_Function_AutoRIF	repressing_transcription_factor_binding_(GO:0070491)	2/218	0.1391483911757643	0.3668637001651469	0.4535008660027851	0.857099532303969	-1.403896716724771	2.76878525467923	SPT8;UBR1
GO_Molecular_Function_AutoRIF	palmitoyltransferase_activity_(GO:0016409)	1/42	0.1186664291759103	0.3668637001651469	0.2585703251393621	0.857099532303969	-1.2967365096187324	2.763914559418376	HEM1
GO_Molecular_Function_AutoRIF	aminoacyl-tRNA_ligase_activity_(GO:0004812)	1/49	0.1370496831019107	0.3668637001651469	0.2940461068219888	0.857099532303969	-1.3853902966080085	2.753340979467815	HTS1
GO_Molecular_Function_AutoRIF	AMP-activated_protein_kinase_activity_(GO:0004679)	2/184	0.1054807533324728	0.3668637001651469	0.3697399422199402	0.857099532303969	-1.2134598965066647	2.729346490311044	HSP26;RGC1
GO_Molecular_Function_AutoRIF	microtubule_motor_activity_(GO:0003777)	1/44	0.1239577257248307	0.3668637001651469	0.2688774698638518	0.857099532303969	-1.295684247330597	2.705148609166552	VIK1
GO_Molecular_Function_AutoRIF	mannose_binding_(GO:0005537)	2/199	0.120041715045321	0.3668637001651469	0.4073210977273255	0.857099532303969	-1.2677349530360795	2.6874915742278493	ALG3;SFL1
GO_Molecular_Function_AutoRIF	Rab_guanyl-nucleotide_exchange_factor_activity_(GO:0017112)	1/47	0.1318361499343049	0.3668637001651469	0.284080272942598	0.857099532303969	-1.290742000509907	2.6152955244250267	SEC1
