Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_AutoRIF	protein_localization_to_bud_neck_(GO:0097271)	34/243	0.0	0.0	1.29345e-11	1.56766387e-08	-1.6336889976422424	116.39650838039792	SSK1;ARF1;RSR1;MYO1;MYO2;BNI1;GIC2;CDC42;CDC24;PBS2;BEM4;SWE1;SPR3;GLC7;KEL1;RDI1;PHO85;SKT5;ACT1;CYK3;CLA4;RTS1;GIN4;PKC1;MTR4;CDC4;CDC3;YPT31;CDC11;CDC12;SMY1;LTE1;CHS6;PCL1
GO_Biological_Process_AutoRIF	septin_ring_assembly_(GO:0000921)	18/61	0.0	0.0	5.23289e-11	3.17113154e-08	-1.7983448728314009	93.95270442141498	ACT1;CYK3;CLA4;RSR1;GIN4;MYO1;BNI1;PKC1;CDC3;GIC2;CDC42;CDC11;CDC12;CDC24;BEM4;SWE1;TCP1;SKT5
GO_Biological_Process_AutoRIF	Rho_protein_signal_transduction_(GO:0007266)	25/229	0.0	0.0	7.92278255e-07	4.57257735752e-05	-1.9492611260779136	89.64210139785553	ARF1;RSR1;MYO1;MYO2;BNI1;GIC2;CDC42;CLN2;CDC24;PBS2;BEM4;SWE1;IRA2;KEL1;RDI1;ACT1;CLA4;PKC1;CDC3;YPT31;CDC11;CDC12;LTE1;CHS6;TAP42
GO_Biological_Process_AutoRIF	cell_wall_chitin_biosynthetic_process_(GO:0006038)	30/307	0.0	0.0	4.903568453e-07	3.49595586242e-05	-1.6631595866144608	86.39118003589596	SMI1;SEC3;RSR1;SWI4;MYO1;MYO2;CDC42;CDC24;VPS51;PBS2;ERI1;SWE1;GLC7;SIN3;PHO85;SKT5;SEC10;ACT1;CLA4;ARC18;ECM33;SEC15;PKC1;CDC4;CDC3;LAS21;CDC11;CDC12;CHS6;PCL1
GO_Biological_Process_AutoRIF	protein_localization_to_cell_cortex_(GO:0072697)	23/133	0.0	0.0	1.1018697e-09	3.338665373e-07	-1.6217003771225804	86.16264517331143	SSK1;ACT1;ARF1;SEC13;CLA4;RSR1;MYO2;BNI1;ARP2;CDC3;GIC2;LAS21;CDC42;BBC1;CDC11;CDC12;CDC24;BIM1;LTE1;SWE1;GLC7;KES1;KEL1
GO_Biological_Process_AutoRIF	cell_wall_chitin_metabolic_process_(GO:0006037)	30/307	0.0	0.0	4.903568453e-07	3.49595586242e-05	-1.658046829327141	86.12560291458807	SMI1;SEC3;RSR1;SWI4;MYO1;MYO2;CDC42;CDC24;VPS51;PBS2;ERI1;SWE1;GLC7;SIN3;PHO85;SKT5;SEC10;ACT1;CLA4;ARC18;ECM33;SEC15;PKC1;CDC4;CDC3;LAS21;CDC11;CDC12;CHS6;PCL1
GO_Biological_Process_AutoRIF	actin_polymerization_or_depolymerization_(GO:0008154)	26/209	0.0	0.0	4.31005421e-08	5.8042063447e-06	-1.678653482901066	85.98348850340211	ARF1;SEC3;MYO1;MYO2;BNI1;ARP2;GIC2;CDC42;BBC1;CLN2;BIM1;PBS2;SWE1;AIP1;GLC7;MMR1;YDJ1;PHO85;ACT1;CLA4;ARC18;PKC1;CDC12;DUO1;SMY1;TCP1
GO_Biological_Process_AutoRIF	cellular_bud_site_selection_(GO:0000282)	25/182	0.0	0.0	1.36805535e-08	2.3686901298e-06	-1.6470602851264309	85.26416894201056	SEC3;RSR1;MYO1;MYO2;BNI1;GIC2;CDC42;CDC43;CDC24;PBS2;BEM4;SWE1;GLC7;YDJ1;MAD2;SEC10;ACT1;CLA4;SEC15;MSN5;SSD1;IST3;CDC3;CDC11;CDC12
GO_Biological_Process_AutoRIF	regulation_of_cytokinesis_(GO:0032465)	21/107	0.0	0.0	8.365701e-10	3.338665373e-07	-1.5898434447844172	81.6649837988984	MAD2;SEC10;ACT1;CYK3;CLA4;SEC15;SEC3;RSR1;MYO1;MYO2;BNI1;PKC1;CDC3;CDC42;CDC11;CDC12;CDC24;LTE1;SWE1;SPR3;BUB3
GO_Biological_Process_AutoRIF	cytoplasmic_microtubule_organization_(GO:0031122)	24/166	0.0	0.0	1.12757313e-08	2.2776977406e-06	-1.5415478836751653	78.55935808477109	MAD2;ACT1;MYO1;MYO2;BNI1;PKC1;ARP2;CDC4;ATS1;CDC42;BBC1;CDC11;DUO1;ARC40;BIM1;PBS2;LTE1;TCP1;SPR3;BUB3;YDJ1;SPC24;SKT5;SEC63
