Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_AutoRIF	septin_ring_(GO:0005940)	25/118	0.0	0.0	1.928388e-10	4.24245383e-08	-1.679831294638184	106.10091739616712	RSR1;MYO1;MYO2;BNI1;GIC2;CDC42;CDC24;BEM4;SWE1;SPR3;GLC7;PHO85;SKT5;ACT1;CYK3;CLA4;RTS1;MSN5;GIN4;PKC1;CDC3;CDC11;CDC12;LTE1;TCP1
GO_Cellular_Component_AutoRIF	cellular_bud_neck_septin_ring_(GO:0000144)	20/74	0.0	0.0	4.063361e-10	4.46969818e-08	-1.7935280982253878	100.39796390688528	ACT1;CYK3;CLA4;RTS1;GIN4;MYO1;MYO2;BNI1;PKC1;CDC3;CDC42;CDC11;CDC12;CDC24;BEM4;LTE1;SWE1;SPR3;GLC7;SKT5
GO_Cellular_Component_AutoRIF	septin_cytoskeleton_(GO:0032156)	24/126	0.0	0.0	3.0777956e-09	2.257050125e-07	-1.733148413325703	100.33054317767102	SSK1;MAD2;ACT1;HSP82;CLA4;SEC3;RSR1;GIN4;MYO1;MYO2;BNI1;PKC1;ARP2;CDC3;GIC2;CDC42;CDC11;CDC12;CDC24;BEM4;LTE1;SWE1;SPR3;GLC7
GO_Cellular_Component_AutoRIF	microtubule_cytoskeleton_(GO:0015630)	25/212	0.0	0.0	5.9248217521e-06	0.0001629325981835	-1.5745626307152922	75.43688452290023	HSP82;SEC3;SWI4;MYO1;MYO2;BNI1;ARP2;CDC42;BBC1;CDC24;BIM1;PBS2;GLC7;BUB3;SKT5;SEC63;ACT1;SEC13;MAD1;RTS1;LSM1;ELP2;ELP3;MTR4;DUO1
GO_Cellular_Component_AutoRIF	actin_cytoskeleton_(GO:0015629)	25/205	0.0	0.0	3.4197410812e-06	0.000150468607575	-1.5402551227181	75.09090853997425	SEC3;RSR1;MYO1;MYO2;BNI1;ARP2;GIC2;CDC42;BBC1;CDC24;BIM1;SWE1;AIP1;RDI1;ACT1;CYK3;CLA4;ARC18;MSN5;PKC1;CDC3;CDC11;CDC12;LTE1;TCP1
GO_Cellular_Component_AutoRIF	actin_filament_(GO:0005884)	25/210	0.0	0.0	5.0769049837e-06	0.0001595598709192	-1.5556443787934386	74.89995474380663	SEC3;RSR1;MYO1;MYO2;BNI1;ARP2;GIC2;CDC42;BBC1;CDC24;BIM1;SWE1;AIP1;RDI1;ACT1;CYK3;CLA4;ARC18;MSN5;PKC1;CDC3;CDC11;CDC12;LTE1;TCP1
GO_Cellular_Component_AutoRIF	cytoskeleton_(GO:0005856)	25/208	0.0	0.0	4.3414611816e-06	0.0001591869099941	-1.5321285678508745	74.1355134170901	HSP82;RSR1;MYO2;BNI1;ARP2;GIC2;CDC42;BBC1;BIM1;SWE1;SPR3;GLC7;BUB3;RDI1;SKT5;SEC63;MAD2;ACT1;CLA4;ARC18;PKC1;CDC3;CDC11;CDC12;LTE1
GO_Cellular_Component_AutoRIF	cortical_actin_cytoskeleton_(GO:0030864)	26/207	0.0	0.0	1.2670844813e-06	6.96896464751e-05	-1.436063848059113	73.92002361941131	SHE4;ARF1;SEC3;RSR1;MYO1;MYO2;BNI1;ARP2;GIC2;CDC42;BBC1;CDC24;BIM1;PBS2;AIP1;GLC7;KEL1;RDI1;SEC63;ACT1;CYK3;CLA4;SWF1;PKC1;CDC4;SMY1
GO_Cellular_Component_AutoRIF	cytoplasmic_microtubule_(GO:0005881)	24/224	0.0	0.0	4.05582526123e-05	0.0007435679645595	-1.566840730898832	68.48808521796184	ACT1;HSP82;SEC13;MAD1;SEC3;RTS1;MYO1;MYO2;BNI1;ARP2;OPI3;IWR1;YPT31;CDC42;BBC1;DUO1;CDC24;BIM1;PBS2;GLC7;BUB3;SKT5;BUD27;SEC63
GO_Cellular_Component_AutoRIF	mitotic_spindle_pole_body_(GO:0044732)	26/253	0.0	0.0	3.5995198224e-05	0.0007199039644813	-1.427124882031988	66.03426160867082	HSP82;SEC3;RAD6;UBC6;MYO1;MYO2;BNI1;CDC42;CDC24;BIM1;SWE1;GLC7;YDJ1;DAM1;SEC63;MAD2;ACT1;PKC1;CDC4;CDC3;CDC12;DUO1;LTE1;SAC3;SEC72;SPC24
GO_Cellular_Component_AutoRIF	meiotic_spindle_pole_body_(GO:0035974)	24/229	0.0	0.0	5.634677296e-05	0.0008854492893722	-1.4234040555063396	61.473494785608594	MAD2;ACT1;HSP82;SEC3;RAD6;UBC6;MYO2;BNI1;PKC1;CDC4;CDC3;CDC42;CDC12;DUO1;CDC24;BIM1;LTE1;SWE1;GLC7;SAC3;YDJ1;SPC24;DAM1;SEC63
GO_Cellular_Component_AutoRIF	spindle_pole_body_(GO:0005816)	19/155	0.0	1.1e-15	5.49979888203e-05	0.0008854492893722	-1.574117306050542	58.66516837166324	MAD2;ACT1;SWI4;MYO2;BNI1;PKC1;CDC4;CDC3;CDC42;CDC11;CDC12;DUO1;BIM1;LTE1;SWE1;GLC7;YDJ1;DAM1;SEC63
GO_Cellular_Component_AutoRIF	mating_projection_(GO:0005937)	20/156	0.0	0.0	1.89953302441e-05	0.0004643302948579	-1.432437705669542	57.434811395632856	ACT1;SMI1;ECM33;RSR1;SSD1;MYO2;BNI1;PKC1;CDC4;OPI3;VID22;GIC2;CDC42;CDC11;CDC12;CDC24;VPS51;SMY1;GLC7;RDI1
