Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_AutoRIF	tubulin_binding_(GO:0015631)	29/218	0.0	0.0	1.03221324e-08	2.1447135846e-06	-1.6020058314352086	94.7299845877978	HSP82;ARF1;PRP22;SWI4;GIM3;BNI1;CDC42;BIM1;RUD3;IRA2;GLC7;BUB3;YDJ1;PHO85;DAM1;MAD2;ACT1;RTS1;LSM1;ELP2;ELP3;ELP4;ATS1;RBL2;DUO1;YKE2;LTE1;TCP1;PRP16
GO_Molecular_Function_AutoRIF	actin_binding_(GO:0003779)	30/283	0.0	0.0	5.856969202e-07	3.06514721623e-05	-1.493918843612282	81.1940546004738	RSR1;GIM3;MYO1;MYO2;BNI1;ARP2;GIC2;CDC42;BBC1;CDC24;VPS51;BIM1;SWE1;AIP1;MMR1;KEL1;RDI1;PHO85;ACT1;CYK3;CLA4;PKC1;CDC3;YPT31;CDC11;CDC12;SMY1;YKE2;LTE1;TCP1
GO_Molecular_Function_AutoRIF	actin_filament_binding_(GO:0051015)	21/116	0.0	0.0	1.3660596e-08	2.1447135846e-06	-1.6344756445816166	81.0065483273279	ACT1;ARF1;CLA4;SEC3;MYO1;MYO2;BNI1;PKC1;ARP2;CDC3;GIC2;CDC42;BBC1;CLN2;CDC12;CDC24;LTE1;SWE1;AIP1;GLC7;RDI1
GO_Molecular_Function_AutoRIF	GTPase_binding_(GO:0051020)	21/140	0.0	0.0	2.462444863e-07	1.93301921809e-05	-1.603030592041118	72.83481968774512	ACT1;HSP82;ARF1;CLA4;SEC15;RSR1;MYO1;MYO2;BNI1;PKC1;CDC3;SNU114;YPT31;CDC42;CDC11;CDC12;CDC24;BEM4;SWE1;IRA2;PHO85
GO_Molecular_Function_AutoRIF	phosphatidylinositol-4-phosphate_binding_(GO:0070273)	16/76	0.0	1e-16	1.39231049e-07	1.4572849798e-05	-1.6547456920840553	67.0524909627025	ACT1;ARF1;CLA4;SEC15;SEC3;MYO2;ARP2;CDC3;YPT31;CDC42;CDC11;CDC12;BEM4;LTE1;KES1;PAH1
GO_Molecular_Function_AutoRIF	Rho_GTPase_binding_(GO:0017048)	19/118	0.0	0.0	3.692880444e-07	2.3191289193e-05	-1.5732736279960988	66.9659034047116	SEC10;ACT1;ARF1;CLA4;SEC15;SEC3;RSR1;BNI1;PKC1;ARP2;GIC2;CDC42;CLN2;CDC24;BEM4;LTE1;RDI1;PHO85;TAP42
GO_Molecular_Function_AutoRIF	Rho_guanyl-nucleotide_exchange_factor_activity_(GO:0005089)	14/68	4e-16	1.19e-14	1.1228355025e-06	5.0367192542e-05	-1.8114018080580685	63.839270055459686	ACT1;HSP82;ARF1;CLA4;RSR1;PKC1;GIC2;CDC42;CDC24;LTE1;SWE1;IRA2;KEL1;RDI1
GO_Molecular_Function_AutoRIF	GTP_binding_(GO:0005525)	18/128	0.0	1.4e-15	4.4370119081e-06	0.0001548024154625	-1.5193602360561802	57.51207297285047	ACT1;ARF1;CLA4;SEC15;SEC3;RSR1;MYO2;PKC1;CDC3;SNU114;YPT31;CDC42;CDC11;CDC12;CDC24;BEM4;PHO85;PAH1
GO_Molecular_Function_AutoRIF	phosphatidylinositol-4,5-bisphosphate_binding_(GO:0005546)	18/134	0.0	2.9e-15	7.925010588e-06	0.0002488453324654	-1.492823098674376	55.25378726490505	SEC10;ACT1;ARF1;SEC15;SEC3;MYO2;PKC1;CDC3;GIC2;YPT31;CDC42;CDC11;CDC12;LTE1;SWE1;SPR3;RDI1;PAH1
GO_Molecular_Function_AutoRIF	microtubule_binding_(GO:0008017)	19/160	1e-16	3.7e-15	2.17020483814e-05	0.0005678702659817	-1.5069726411664246	55.25182262630023	ACT1;CYK3;HSP82;RTS1;UBR2;MYO1;ELP3;MYO2;BNI1;CDC42;DUO1;BIM1;SMY1;TCP1;GLC7;BUB3;PHO85;SPC24;DAM1
