Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	DnaJ	3/19	0.0005289444559672	0.0044960278757214	0.041500479430661	0.2351693834404123	-721.5714285714287	5443.9873760815135	JJJ3;YDJ1;SEC63
Pfam_Domains_2019	HA2	2/6	0.0010535178179795	0.0051170865444718	0.030866696253707	0.2098935345252082	-750.1428571428572	5142.694683146427	PRP22;PRP16
Pfam_Domains_2019	EF-hand_7	1/6	0.049934564199903	0.0825572238213522	0.2267282825750237	0.3936404232988524	-785.8571428571429	2355.246742649436	CNB1
Pfam_Domains_2019	HATPase_c	1/5	0.0417877231376645	0.0825572238213522	0.1977223528511658	0.3936404232988524	-700.1428571428572	2223.0604744432526	HSP82
Pfam_Domains_2019	EFG_C	1/7	0.0580125437978738	0.0825572238213522	0.2547085091933751	0.3936404232988524	-743.0	2115.392342445467	SNU114
Pfam_Domains_2019	DnaJ_C	1/6	0.049934564199903	0.0825572238213522	0.2267282825750237	0.3936404232988524	-650.1428571428572	1948.5053491724384	YDJ1
Pfam_Domains_2019	Fungal_trans	1/20	0.1570166869526374	0.1722118502061185	0.5397230778079781	0.5913575556224754	-757.2857142857144	1402.041189411027	DAL81
Pfam_Domains_2019	Myosin_head	2/5	0.0007062929265294	0.0048027919004005	0.0236867745044742	0.2098935345252082	-192.71428571428572	1398.234741382283	MYO1;MYO2
Pfam_Domains_2019	LSM	3/16	0.0003114700520924	0.0044960278757214	0.0281470703229178	0.2098935345252082	-142.71428571428572	1152.3047368497917	LSM1;LSM4;LSM3
Pfam_Domains_2019	Septin	4/7	1.728860946e-07	5.8781272192e-06	0.0004009933427371	0.0136337736530617	-58.30612244897961	907.8632268153916	CDC11;CDC12;SPR3;CDC3
Pfam_Domains_2019	F-box-like	1/5	0.0417877231376645	0.0825572238213522	0.1977223528511658	0.3936404232988524	-151.04761904761904	479.5992535492073	CDC4
Pfam_Domains_2019	S4	1/6	0.049934564199903	0.0825572238213522	0.2267282825750237	0.3936404232988524	-107.0	320.68347759396966	RPS4B
Pfam_Domains_2019	Cyclin_N	2/16	0.0079703973668368	0.0270993510472453	0.1345476770717076	0.3936404232988524	-52.8	255.13070508295564	CLN2;PCL1
Pfam_Domains_2019	GTP_EFTU_D2	1/13	0.1050663982714699	0.1323058348603695	0.4029540163183603	0.54801746219297	-103.42857142857142	233.04140589649143	SNU114
Pfam_Domains_2019	Arrestin_N	1/5	0.0417877231376645	0.0825572238213522	0.1977223528511658	0.3936404232988524	-72.0	228.61099349508245	RIM8
Pfam_Domains_2019	Ras	3/25	0.0012093696672345	0.0051398210857469	0.0760562120796457	0.3694158872439938	-32.82417582417582	220.50152138402535	YPT31;CDC42;RSR1
Pfam_Domains_2019	Arrestin_C	1/7	0.0580125437978738	0.0825572238213522	0.2547085091933751	0.3936404232988524	-62.4	177.6587916131859	RIM8
Pfam_Domains_2019	Arf	1/7	0.0580125437978738	0.0825572238213522	0.2547085091933751	0.3936404232988524	-61.6	175.38111479763225	ARF1
Pfam_Domains_2019	GTP_EFTU	1/16	0.1277094929620871	0.1550758128825344	0.465846723924093	0.5913575556224754	-68.42857142857142	140.8258070800533	SNU114
Pfam_Domains_2019	UQ_con	2/14	0.0061119148713246	0.0230894561805596	0.1103537687749792	0.3936404232988524	-25.83116883116883	131.67477459692316	RAD6;UBC6
Pfam_Domains_2019	C2	1/9	0.0739642283202793	0.1005913505155798	0.3077324812651596	0.4549088853484968	-47.2	122.9169988161146	PKC1
Pfam_Domains_2019	DnaJ_CXXCXGXG	1/5	0.0417877231376645	0.0825572238213522	0.1977223528511658	0.3936404232988524	-35.85714285714285	113.85190350647952	YDJ1
