Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Phenotype_AutoRIF	bud_neck_morphology	33/273	0.0	0.0	1.58095989e-08	6.205267575e-07	-1.6609280623131868	106.6349882749117	ARF1;SEC3;RSR1;MYO1;MYO2;BNI1;GIC2;CDC42;CDC24;BIM1;PBS2;SWE1;SPR3;GLC7;RDI1;PHO85;SKT5;MAD2;ACT1;CYK3;CLA4;RTS1;GIN4;PKC1;MTR4;CDC4;CDC3;YPT31;CDC11;CDC12;SMY1;LTE1;PCL1
Phenotype_AutoRIF	cytokinesis	24/115	0.0	0.0	1.630505e-10	2.55989396e-08	-1.6791895150866396	101.16348310080036	MAD2;ACT1;CYK3;HSP82;CLA4;SEC15;SEC3;RSR1;GIN4;MYO1;MYO2;BNI1;PKC1;ARP2;CDC3;CDC42;CDC11;CDC12;CDC24;LTE1;SWE1;SPR3;GLC7;SKT5
Phenotype_AutoRIF	inviable	36/428	0.0	0.0	1.30367754467e-05	0.0001461981246531	-1.6072155688508023	92.08759561028629	ARF1;SEC3;CNB1;RAD6;SWI4;MYO2;BNI1;ARP2;CDC42;BBC1;CLN2;CDC24;ARC40;BIM1;PBS2;BEM4;SWE1;GLC7;YDJ1;PHO85;SEC63;ACT1;CLA4;GAB1;GIN4;PKC1;CDC4;CDC3;RBL2;CDC11;CDC12;PAP2;TCP1;SAC3;PCL1;TAF1
Phenotype_AutoRIF	septum_formation	24/181	0.0	0.0	4.537364031e-07	1.18727692148e-05	-1.720488610148729	84.02804568363067	SEC10;ACT1;CYK3;CLA4;SEC15;SEC3;RSR1;GIN4;MYO1;MYO2;BNI1;PKC1;CDC3;GIC2;CDC42;CDC11;CDC12;CDC24;CHS6;SWE1;GLC7;PHO85;PCL1;SKT5
Phenotype_AutoRIF	filamentous_growth	22/150	0.0	0.0	3.0911793e-07	9.7063030035e-06	-1.776158552582366	83.59741215321995	SEC10;ACT1;HSP82;CLA4;SEC15;SEC3;RSR1;MYO1;MYO2;BNI1;PKC1;ARP2;CDC4;CDC3;CDC42;CDC11;CDC12;CDC24;PBS2;SWE1;GLC7;PHO85
Phenotype_AutoRIF	chitin_deposition	21/99	0.0	0.0	2.0228216e-09	1.587914968e-07	-1.5389969430125905	81.75873300109762	ACT1;CYK3;SEC13;SMI1;SEC3;RSR1;MYO1;MYO2;PKC1;CDC4;CDC3;LAS21;CDC42;CDC11;CDC12;CDC24;BEM4;SWE1;GLC7;SAC3;SKT5
Phenotype_AutoRIF	bud_morphology	22/114	0.0	0.0	3.779833e-09	1.978112629e-07	-1.4247093240175064	76.07231428817812	ACT1;CLA4;SEC3;RSR1;MYO1;MYO2;BNI1;PKC1;CDC3;GIC2;CDC42;CDC11;CLN2;CDC12;CDC24;BIM1;LTE1;SWE1;GLC7;MMR1;PHO85;SKT5
Phenotype_AutoRIF	cell_cycle_progression_in_G2_phase	25/217	0.0	0.0	2.7529875183e-06	3.92926400349e-05	-1.5350697842968974	72.65010832473205	HSP82;PRP22;ECM2;RAD6;SWI4;MYO2;BNI1;GIC2;CDC42;CDC24;BIM1;SWE1;GLC7;BUB3;YDJ1;PHO85;MAD2;ACT1;CLA4;LSM1;SSD1;PKC1;CDC4;CDC12;PRP16
Phenotype_AutoRIF	mitotic_cell_cycle	17/114	1e-16	1.2e-15	6.4354160275e-06	7.77200243326e-05	-1.7287984137620187	63.65560416688293	MAD2;ACT1;CYK3;HSP82;RTS1;MYO2;BNI1;PKC1;CDC4;CDC3;CDC11;CDC12;BIM1;LTE1;SWE1;GLC7;BUB3
Phenotype_AutoRIF	spindle_morphology	22/216	0.0	1e-16	6.90895876726e-05	0.0006380626626235	-1.6006032652052915	62.429330892022655	MAD2;ACT1;HSP82;SEC3;RTS1;RSR1;MYO2;BNI1;MTR4;CDC11;DUO1;BIM1;PBS2;SWE1;SPR3;IRA2;GLC7;BUB3;YDJ1;SEC72;SPC24;SEC63
Phenotype_AutoRIF	axial_budding_pattern	13/53	4e-16	4.9e-15	7.323039011e-07	1.43714640607e-05	-1.7339595054358887	61.176021683237536	MAD2;ACT1;SEC3;RSR1;IST3;BNI1;CDC3;CDC42;CDC11;CDC12;CDC24;PBS2;SWE1
Phenotype_AutoRIF	temperature_sensitive_growth	18/123	0.0	2e-16	4.2612366221e-06	5.57511791393e-05	-1.5448510695768043	59.61182219180024	ACT1;HSP82;ARF1;SEC13;SEC15;MYO2;BNI1;PKC1;CDC4;CDC3;CDC42;CDC11;CDC12;CDC24;GLC7;YDJ1;PRP16;SEC63
Phenotype_AutoRIF	mating_projection_morphology	17/99	0.0	1e-16	1.1468691162e-06	1.92407382855e-05	-1.4680480483611356	57.71188580689918	ACT1;ECM33;RSR1;MYO2;BNI1;CDC4;OPI3;VID22;GIC2;CDC42;CDC11;CDC12;CDC24;VPS51;SMY1;GLC7;RDI1
Phenotype_AutoRIF	cold_sensitivity	27/362	0.0	0.0	0.0012252468264194	0.0071691530145547	-1.4455274471974668	57.3942213431269	ARF1;PRP22;MAK16;RAD6;SWI4;GIM3;YIF1;CDC24;BIM1;IRA2;GLC7;BUB3;PHO85;MAD2;ACT1;RIM8;RTS1;SSD1;IST3;PKC1;CDC11;YKE2;PAP2;LTE1;TCP1;PRP16;PAH1
Phenotype_AutoRIF	bipolar_budding_pattern	14/66	3e-16	3.5e-15	1.2255247315e-06	1.92407382855e-05	-1.6021980494322454	57.18775249097863	MAD2;ACT1;RSR1;IST3;BNI1;CDC3;CDC42;CDC11;CDC12;CDC24;PBS2;SWE1;PHO85;PCL1
Phenotype_AutoRIF	cell_cycle_progression_through_the_G2/M_phase_transition	12/43	1.1e-15	1.08e-14	6.240456021e-07	1.39964513626e-05	-1.4770684898095774	50.781108228491306	GIC2;CDC42;MAD2;ACT1;CDC12;CLA4;CDC24;SWE1;RAD6;SWI4;GLC7;BNI1
Phenotype_AutoRIF	budding	16/111	1.4e-15	1.28e-14	1.8072927909e-05	0.0001891633121146	-1.3535240627925755	46.2258659712756	ACT1;HSP82;SWI4;MYO1;MYO2;BNI1;PKC1;CDC42;CDC11;CDC12;CDC24;BIM1;SWE1;GLC7;RTT109;PHO85
Phenotype_AutoRIF	spore_wall_formation	20/203	7e-16	7e-15	0.0002326700845188	0.0019225896457611	-1.3092234726417975	45.64357180167403	ACT1;HSP82;CLA4;DIT2;SMI1;ECM33;SWI4;MYO1;MYO2;PKC1;SVL3;CDC3;LAS21;CDC42;CDC12;SWE1;SPR3;GLC7;YDJ1;SKT5
Phenotype_AutoRIF	budding_pattern	15/105	1.34e-14	1.052e-13	3.70024526951e-05	0.0003630865670713	-1.308758233340012	41.8053335408015	ACT1;SEC3;RSR1;MYO1;BNI1;CDC3;CDC42;CDC11;CDC12;CDC24;PBS2;LTE1;SWE1;RTT109;PHO85
Phenotype_AutoRIF	actin_cytoskeleton_morphology	18/202	1.257e-13	8.585e-13	0.0014605596521579	0.0076435955129598	-1.3491761089056742	40.07630302678692	ACT1;CYK3;CLA4;SEC3;MYO1;MYO2;BNI1;PKC1;ARP2;GIC2;CDC42;CLN2;CDC12;CDC24;BIM1;SWE1;AIP1;RDI1
Phenotype_AutoRIF	vegetative_growth	16/140	6.23e-14	4.452e-13	0.0002266532911454	0.0019225896457611	-1.3022605654970587	39.59578882826802	ACT1;ARF1;DIT2;RSR1;BNI1;PKC1;ARP2;CDC3;CDC42;CDC11;CDC12;CDC24;SWE1;SPR3;GLC7;SKT5
