Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	120/1599	0.0	0.0	0.3971576648820764	0.9719064801819836	-1.5655556829259734	86.35220349013625	RRP6;HAL5;YGR017W;UBP10;TDA10;ADF1;YPP1;RCK1;YGL082W;BEM4;PMU1;CYK3;YNL035C;SSN3;STP2;RTS3;RTS1;PUS1;MDM31;RIM101;PUS7;DIG1;YOR283W;SUB1;GPD1;YKL091C;CUB1;TOF1;WAR1;EMW1;NPR1;PEF1;YOX1;YKL222C;YMR027W;YDL144C;JJJ2;HIF1;NUP82;CNN1;SFP1;YPR127W;RAD24;SSA4;YNL010W;BCK2;SAN1;YER152C;THI2;RKM1;MDN1;IBD2;YMR114C;BTN2;YCR051W;YKR041W;PET309;NRM1;YLL054C;RSC9;CHK1;NAT4;IES1;LYS21;SAE2;DET1;YBR090C;SPO13;DAT1;PRR2;RRD2;YMR178W;ARN1;GIC1;VPS71;SWC3;FYV7;AIM20;YHR112C;YPL247C;SPT21;NQM1;ESC8;YOL057W;AME1;PHM8;SPT8;YRF1-1;WHI2;YDR132C;SYF1;IDS2;BAT2;GSY2;MMS4;TSR3;YPL245W;ASR1;QRI1;MET1;ROY1;YER156C;TGS1;SPP381;OAF1;YHR097C;MET4;GCR2;CSE2;KIP3;SPO20;RAT1;YKR018C;NUP192;YIG1;YCK1;ROX3;YEL025C;RMT2;YDL124W
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	73/1063	4.755e-13	4.1845e-11	0.7497502118861074	0.9719064801819836	-1.5418027137366643	43.747701231944745	ARG5,6;MRS1;AI2;LSP1;AI3;OPI3;YKR005C;SWC3;SED1;DCK1;COS111;CBP1;SUR7;POM152;PET127;EFR3;NCA2;ICL2;ZRG8;YJL070C;GDH2;YBR238C;YPT31;AIM11;YDR132C;YJL045W;GPD1;FMP52;TCD1;WAR1;BAT2;FMT1;ALD4;RSM25;PTH2;GLO4;YPR097W;YIL055C;JID1;SEN2;BIO3;RMD9;MRX12;VPS54;CYC3;ISC1;CIT2;FMP40;MDN1;LYS12;MLP2;TFC3;FKS3;IDH1;MRX5;NDE2;SYH1;RAT1;PET309;AUS1;ERP1;RAX2;SCM4;EHD3;PTC6;ERP6;YJL043W;GPB2;PDH1;YCK1;NNR1;AIM39;YML133C
GO_Cellular_Component_2018	fungal-type vacuole (GO:0000324)	41/452	2.42841e-11	1.4246693e-09	0.1007084037356108	0.9719064801819836	-1.434304627399233	35.05612312458462	YCR023C;PAU20;YHR202W;HSV2;FCY22;YDL211C;ARN1;SNA3;IRC18;SMA2;YIL067C;YNL234W;VPS3;AKR2;AIM20;CCW12;IRC8;MTC6;YPL162C;YCR101C;FUN26;TDA6;PRM1;PHO8;YAR028W;APE1;PHO91;CSI2;YJL163C;SSP120;ITR1;FPS1;YHL042W;NCR1;PER1;YML018C;YDL180W;YJR124C;VAM10;FRE8;ECM38
GO_Cellular_Component_2018	storage vacuole (GO:0000322)	26/279	6.74679408e-08	2.9685893965e-06	0.1371277586901972	0.9719064801819836	-1.5623165103884515	25.796366075716385	PAU20;YHR202W;HSV2;FCY22;YDL211C;ARN1;SNA3;IRC18;SMA2;YIL067C;AKR2;AIM20;CCW12;IRC8;MTC6;YCR101C;TDA6;PRM1;APE1;CSI2;SSP120;ITR1;FPS1;YHL042W;YDL180W;ECM38
GO_Cellular_Component_2018	lytic vacuole (GO:0000323)	26/283	8.97213698e-08	3.1581922188e-06	0.1522225389595673	0.9719064801819836	-1.4233493201542684	23.096058674147592	PAU20;YHR202W;HSV2;FCY22;YDL211C;ARN1;SNA3;IRC18;SMA2;YIL067C;AKR2;AIM20;CCW12;IRC8;MTC6;YCR101C;TDA6;PRM1;APE1;CSI2;SSP120;ITR1;FPS1;YHL042W;YDL180W;ECM38
GO_Cellular_Component_2018	cytosol (GO:0005829)	43/676	3.410273535e-07	8.5744020309e-06	0.8548623662641576	0.989840634621656	-1.4834924949978845	22.091136459801294	MET12;DET1;TOF1;ARF1;YHR202W;DAT1;NPR1;PEF1;ECM21;HSV2;YBR056W;PTH2;ROD1;NUP82;CUP1-1;YPP1;YGL082W;BIO4;VPS5;SGT2;ADE16;SSA4;BEM4;SDS24;YLR446W;SPP381;RNQ1;CUP1-2;CSE2;YNL035C;RTS1;CCZ1;BTN2;YHR033W;YOR283W;YIG1;YHR131C;SYF1;GPD1;IES1;GCS1;AIM39;YDL124W
GO_Cellular_Component_2018	lytic vacuole membrane (GO:0098852)	21/220	8.331877182e-07	1.83301298006e-05	0.1449015149917609	0.9719064801819836	-1.5429426394089971	21.59812166364812	FUN26;YCR023C;PHO8;YAR028W;PHO91;HSV2;YJL163C;ITR1;SNA3;SMA2;NCR1;YNL234W;PER1;YML018C;VPS3;AKR2;YDL180W;YJR124C;VAM10;FRE8;YPL162C
GO_Cellular_Component_2018	fungal-type vacuole membrane (GO:0000329)	22/224	2.796451823e-07	8.2029253479e-06	0.1134383343125473	0.9719064801819836	-1.3885378470030183	20.952680983514583	FUN26;YCR023C;PHO8;YAR028W;PHO91;HSV2;NPR2;YJL163C;ITR1;SNA3;SMA2;NCR1;YNL234W;PER1;YML018C;VPS3;AKR2;YDL180W;YJR124C;VAM10;FRE8;YPL162C
GO_Cellular_Component_2018	mitochondrial outer membrane (GO:0005741)	11/81	1.33093255949e-05	0.0002602712560783	0.0472591738601063	0.9719064801819836	-1.3521099586707337	15.18020015665765	YPT31;SEN2;SCM4;NCA2;FMP52;PDH1;LSP1;TCD1;PTH2;ERG27;UIP4
GO_Cellular_Component_2018	ribosome (GO:0005840)	12/114	7.29749960455e-05	0.0012843599304022	0.1497106257137761	0.9719064801819836	-1.3562760262388531	12.919063109575031	YPP1;NVJ2;LAA1;YEL043W;YKL222C;OTU2;YMR114C;SYH1;YOR019W;SED1;YJL213W;SEG1
GO_Cellular_Component_2018	nuclear lumen (GO:0031981)	21/339	0.0005028892437942	0.0080462279007075	0.8105849388038235	0.989840634621656	-1.5411987956136155	11.705621550436325	RRP6;POM152;TOF1;SKI8;UTP7;MLP2;BTN2;POL5;HMG1;UBP10;FYV7;TGS1;SBP1;SHU1;RSA1;YPR174C;YHR097C;RKM1;ESC1;NDT80;MDN1
GO_Cellular_Component_2018	RNA polymerase III transcription factor complex (GO:0090576)	3/10	0.002159591570183	0.0253392077568143	0.0540392907527156	0.9719064801819836	-1.7823082176241112	10.939515831823142	TFC6;TFC3;BDP1
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	18/274	0.000630264168173	0.0092438744665386	0.7129766644869187	0.9719064801819836	-1.403288485337994	10.341354186835554	CTF13;TOF1;ACT1;SPO13;TFC3;MMS4;RTS1;YOX1;VPS71;SWC3;ORC6;CHK1;RAD24;SET3;IES1;HCS1;ZIP1;ESC1
GO_Cellular_Component_2018	endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	4/20	0.0019430252726796	0.0244266034279727	0.0767277694542557	0.9719064801819836	-1.61669991653755	10.09388064350818	ERP6;VPS64;GCS1;ERP1
GO_Cellular_Component_2018	spindle pole body (GO:0005816)	8/78	0.0013620847879833	0.0184405325142366	0.2314456073422337	0.9719064801819836	-1.4469167716373503	9.547825871231067	NDC1;MLP2;RTS1;AME1;ASK1;YPR174C;BUB2;MPC54
GO_Cellular_Component_2018	core mediator complex (GO:0070847)	4/21	0.0023484588886341	0.025833047774976	0.08665801717912	0.9719064801819836	-1.541109772892607	9.329872335960516	RGR1;CSE2;SRB2;ROX3
GO_Cellular_Component_2018	mitotic spindle (GO:0072686)	3/12	0.0037998255364133	0.0393393702593385	0.077778884108807	0.9719064801819836	-1.6594778867204245	9.24793857417515	KIP3;YKL222C;YKR041W
GO_Cellular_Component_2018	site of DNA damage (GO:0090734)	3/15	0.0073905197924302	0.0518727828357788	0.1202203934424453	0.9719064801819836	-1.6186241605743947	7.943490668252476	SHU2;CHK1;SHU1
GO_Cellular_Component_2018	microbody lumen (GO:0031907)	3/15	0.0073905197924302	0.0518727828357788	0.1202203934424453	0.9719064801819836	-1.613316855128651	7.917444763150658	SPS19;PCS60;LPX1
GO_Cellular_Component_2018	peroxisomal matrix (GO:0005782)	3/15	0.0073905197924302	0.0518727828357788	0.1202203934424453	0.9719064801819836	-1.5898678587019377	7.802367471687651	SPS19;PCS60;LPX1
GO_Cellular_Component_2018	INO80-type complex (GO:0097346)	4/26	0.0052622618620903	0.0463079043863949	0.1446436506179148	0.9719064801819836	-1.481281037134812	7.772569463422107	ACT1;VPS71;SWC3;IES1
GO_Cellular_Component_2018	Swr1 complex (GO:0000812)	3/15	0.0073905197924302	0.0518727828357788	0.1202203934424453	0.9719064801819836	-1.5589891842964312	7.650828610497601	ACT1;VPS71;SWC3
GO_Cellular_Component_2018	site of double-strand break (GO:0035861)	3/15	0.0073905197924302	0.0518727828357788	0.1202203934424453	0.9719064801819836	-1.5410283499674304	7.562684788502619	SHU2;CHK1;SHU1
