Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	RPD3	84/977	0.0	0.0	0.2864603753501629	0.9999969718970356	-1.6788493375061522	77.70709584979564	ARF1;DAT1;OTU2;RRD2;YJR039W;ARN1;YNR062C;SGF29;OPI3;GIC1;VPS71;SWC3;SET3;YNR021W;IRC8;MTC6;SUR7;PET127;CYK3;TDA6;PRM1;ESC8;YJL070C;HOS1;STP2;RTS1;AME1;PHM8;SPT8;PEX30;ITR1;TRM11;RIM101;YHL042W;TAT2;YBR238C;YLR352W;RGR1;WHI2;YOR283W;YDR132C;SUB1;VPS64;YJR124C;TCD1;BDP1;CDS1;YNL143C;BRE2;FMT1;ALD4;PEF1;MMS4;YOX1;GLO4;QRI1;YIL067C;AIM44;SBP1;BCK2;SPP381;OAF1;THI2;VHS3;YGR210C;MET4;GCR2;FUN26;ACT1;CSE2;KIP3;DCW1;SYH1;CCZ1;SRB2;BTN2;RAT1;SEY1;NUP192;PER1;YHL017W;IES1;YCK1;FRE8
Gene_Interaction_Hubs_BioGRID_2018	ARP3	74/779	0.0	0.0	0.0855901285222345	0.9999969718970356	-1.6164325577568883	74.9624949506671	ASK10;UGA2;DAT1;PCL9;ECM21;PRR2;OTU2;JHD1;YNR062C;POL5;GPI1;VPS71;RRT15;CIN1;YOR385W;CCW12;PAC11;SET3;SIL1;POM152;CYK3;NCA2;ICL2;YNL035C;TDA6;COG6;YNL095C;RKM5;PEX30;ITR1;FPS1;IGD1;DIG1;YBR238C;RGR1;AIM11;YHR210C;GCS1;SEG2;YDR249C;CDS1;JIP4;YDR089W;RSM25;YOX1;NST1;GLO4;YPR097W;QRI1;CNN1;EMC1;HCS1;VHS2;YHR097C;YEL076C;ESC1;BUB2;ACT1;PEA2;YAR028W;YMR102C;APE1;ASK1;DCW1;YHR045W;YNL092W;YJL206C;CHK1;YGR130C;YPR174C;MMS1;MAG2;FRE8;RMT2
Gene_Interaction_Hubs_BioGRID_2018	BIR1	85/947	0.0	0.0	0.1655401208867994	0.9999969718970356	-1.5005589630880836	74.52405606649268	MET12;RRP6;ISY1;ARF1;UGA2;YOL036W;YNR062C;LSP1;YGL140C;YKR005C;VPS71;SGT2;CIN1;BUD9;SET3;YPL247C;YNR021W;PMU1;YNL011C;CYK3;YNL035C;HOS1;STP2;YKL075C;RTS1;PHO91;PUS1;SPT8;ITR1;RPL13A;TRM11;RIM101;YBR238C;AIM11;SCS3;GCS1;SKI8;BRE2;YJR154W;PEF1;MMS4;YOX1;YJR061W;YMR027W;SPC2;OCA5;JID1;YIL067C;REC107;MET1;CNN1;VPS5;YPR127W;RAD24;YOL098C;IOC2;BCK2;YML096W;HCS1;OAF1;ISC1;VPS17;KIP3;IBD2;MLP2;DCW1;LAA1;YGL117W;SYH1;YHR045W;YCR051W;YPR153W;NRM1;RAX2;PER1;EHD3;PTC6;IRC15;CHK1;YHR131C;GPB2;MMS1;PCS60;FRE8;BSC2
Gene_Interaction_Hubs_BioGRID_2018	SMD2	64/693	0.0	1.63e-14	0.1505908031088943	0.9999969718970356	-1.7370276234210946	67.13139412154291	RRP6;ISY1;HLR1;UGA2;RRD2;JHD1;YGR017W;SGF29;SNA3;YGL140C;VPS71;SWC3;BEM4;PAC11;SET3;MTC6;FUB1;COG6;YKL075C;RTS1;PHO91;FPS1;PUS7;FDC1;YBR238C;RGR1;MUD2;YDR132C;SYF1;GCS1;SKI8;HKR1;FMT1;YOX1;YJL213W;JJJ2;PTH2;SDS24;YNL010W;TGS1;SBP1;YML096W;VPS55;OYE3;UIP4;ACT1;TFC6;KIP3;MLP2;IPT1;DCW1;SYH1;CCZ1;SRB2;YKR041W;NRM1;YKR018C;NUP192;ERP1;PER1;YJL206C;PTC6;IES1;YCK1
Gene_Interaction_Hubs_BioGRID_2018	ECM4	36/256	8e-16	4.699e-13	0.0017254493457261	0.9999969718970356	-1.762762099619048	61.21460817107823	PSP2;YBR090C;BRE2;YJR154W;GSY2;YOR019W;YGR017W;YDL144C;YLR177W;BEM4;TGS1;BCK2;VHS2;FMP40;IRC8;COS111;YPL216W;ALG8;YJL070C;YOL057W;PHO8;YKL075C;IDH1;PUS7;ERP1;PER1;YOR283W;AIM11;IES1;SEG1;OSW2;SEG2;PCS60;SAE2;YKL091C;YNR014W
Gene_Interaction_Hubs_BioGRID_2018	CDC50	47/426	5e-16	3.362e-13	0.0239156618032556	0.9999969718970356	-1.6866122256601324	59.394634098997706	RRP6;DET1;ASK10;ARF1;PCL9;PEF1;YPR078C;TSR3;YJR039W;HLJ1;OCA5;VPS71;ROY1;AIM44;SWC3;SGT2;YML020W;SDS24;SBP1;OAF1;PNS1;VPS17;SUR7;FUN26;ACT1;ALG8;YJL070C;YKL075C;RTS1;YMR279C;SYH1;PEX30;ITR1;YHR045W;FPS1;RAX2;YPT31;YML018C;MUD2;YDL180W;SHU1;YCK1;GCS1;VAM10;TCD1;AIM39;YSW1
Gene_Interaction_Hubs_BioGRID_2018	SLA2	71/875	2e-16	1.967e-13	0.4988950083339657	0.9999969718970356	-1.6046709571806628	57.66154581510968	PSP2;SHE4;KAP122;HAL5;DAT1;PCL9;YOL036W;OTU2;ERG27;PAM1;YPP1;MTC2;SED1;MTC6;SUR7;CET1;YNL011C;CYK3;ALG8;ICL2;YOL057W;COG6;RTS1;PUS1;PEX30;RGR1;MUD2;SCS3;GCS1;WAR1;RSM25;ROD1;YPR097W;YOR114W;QRI1;DPL1;VPS3;BIO4;AIM44;ORC6;VPS5;IOC2;VPS54;YHR097C;VHS3;CIT2;VPS17;FUN26;ACT1;YMR102C;DCW1;CSI2;CCZ1;SRB2;YPR153W;AUS1;SEY1;NRM1;NUP192;ERP1;YNL092W;PER1;RSC9;MSB2;PTC6;YDL176W;IRC15;IES1;YCK1;VAM10;MAG2
Gene_Interaction_Hubs_BioGRID_2018	RPO21	52/545	5.7e-15	2.0678e-12	0.1284260236182847	0.9999969718970356	-1.7333235904548403	56.84064418815923	RRP6;CTF13;ASK10;SNU71;YBL113C;NRT1;UBC8;FCY22;YGL176C;ADF1;VPS71;SWC3;ADE16;PAC11;SPT21;YPR003C;SSN3;YNL095C;PHO91;YHL042W;MUD2;SUB1;YJL045W;SEG2;BRE2;YJR142W;FMT1;YNL018C;NUP120;PTH2;SPG5;BIO5;ORC6;TGS1;YNL034W;OAF1;GCR2;EAP1;FUN26;ACT1;TFC3;ASK1;IDH1;SRB2;RAT1;YLR156W;PTC6;CHK1;ISF1;NAT4;VAM10;SAE2
Gene_Interaction_Hubs_BioGRID_2018	RPC25	47/439	1.6e-15	8.075e-13	0.0363686456294532	0.9999969718970356	-1.6498884251479893	56.18135454908332	RRP6;PUT4;SKI8;PEF1;YOR093C;NPP1;RRD2;YOR019W;YGL176C;SGF29;ROD1;YOR114W;ERG27;OPI3;ASR1;YLR177W;SWC3;AKR2;YER156C;CIN1;YPL247C;VHS2;IRC8;SIP5;OYE3;VPS17;MTC6;COS111;YPL216W;NQM1;ESC8;YOL057W;RTS3;IPT1;FPS1;TRM11;NRM1;NUP192;WHI2;AIM11;YGR130C;YDR132C;SUB1;SEG1;VAM10;SAE2;AIM39
Gene_Interaction_Hubs_BioGRID_2018	PMR1	65/795	3.6e-15	1.5911e-12	0.4755016185786667	0.9999969718970356	-1.628370087426065	54.15242424270126	GIS4;SHE4;ARF1;KAP122;RRD2;MDM20;HLJ1;OPI3;YPP1;VPS71;BEM4;CCW12;IRC8;SIL1;YPL216W;CYK3;ALG8;NQM1;COG6;RTS1;AME1;FPS1;RIM101;YPT31;RGR1;WHI2;VAB2;SCS3;GCS1;LDB17;YNL143C;BRE2;FMT1;NPR1;MMS4;NST1;YEL043W;SPC2;GLO4;OCA5;ASR1;AIM44;VPS5;NVJ2;YER156C;EMC1;VPS55;VHS3;YLR415C;VPS17;ACT1;YDR222W;ASK1;DCW1;CCZ1;YJR149W;RAT1;YJL016W;ERP1;RAX2;PER1;YDL180W;MMS1;AIM39;NIT2
