Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	EMP24_GP25L	2/9	0.0239892551315845	0.1679247859210917	0.0658173493261822	0.4494682778648741	-885.857142857143	3304.379358571507	ERP6;ERP1
Pfam_Domains_2019	DnaJ	3/19	0.014507768154219	0.1679247859210917	0.0513154977125466	0.4494682778648741	-743.0	3145.1717814097333	HLJ1;JJJ2;JID1
Pfam_Domains_2019	His_Phos_1	2/9	0.0239892551315845	0.1679247859210917	0.0658173493261822	0.4494682778648741	-814.4285714285714	3037.940126304815	DET1;PMU1
Pfam_Domains_2019	Hist_deacetyl	1/5	0.1303785360025924	0.2960790853611577	0.2133190360184949	0.4566328153959986	-785.8571428571429	1601.0371652273632	HOS1
Pfam_Domains_2019	HMGL-like	1/6	0.1543425983455323	0.2960790853611577	0.2442450690004286	0.4566328153959986	-728.7142857142858	1361.6612918884323	LYS21
Pfam_Domains_2019	Pyr_redox_2	2/10	0.0294466710217955	0.1717722476271405	0.0770517047768355	0.4494682778648741	-107.0	377.1936622533813	IRC15;NDE2
Pfam_Domains_2019	Iso_dh	2/7	0.0145134811257204	0.1679247859210917	0.0452743575440631	0.4494682778648741	-55.2	233.64378854319943	IDH1;LYS12
Pfam_Domains_2019	GRAM	1/6	0.1543425983455323	0.2960790853611577	0.2442450690004286	0.4566328153959986	-114.42857142857146	213.81899525634864	LAM5
Pfam_Domains_2019	adh_short	1/10	0.2437853019754696	0.3281725218900553	0.3564764180103327	0.4798721011677556	-142.7142857142857	201.436554803221	ERG27
Pfam_Domains_2019	SPX	1/6	0.1543425983455323	0.2960790853611577	0.2442450690004286	0.4566328153959986	-104.9047619047619	196.02299065740155	PHO91
Pfam_Domains_2019	Exo_endo_phos	1/10	0.2437853019754696	0.3281725218900553	0.3564764180103327	0.4798721011677556	-109.32653061224488	154.31082855439084	ISC1
Pfam_Domains_2019	Arrestin_N	1/5	0.1303785360025924	0.2960790853611577	0.2133190360184949	0.4566328153959986	-73.6	149.94625477642927	ROD1
Pfam_Domains_2019	LAGLIDADG_1	1/5	0.1303785360025924	0.2960790853611577	0.2133190360184949	0.4566328153959986	-71.28571428571429	145.2313298397481	AI3
Pfam_Domains_2019	ArfGap	1/6	0.1543425983455323	0.2960790853611577	0.2442450690004286	0.4566328153959986	-69.6	130.0532016091049	GCS1
