Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	Fungal_trans	2/20	0.053093579034097	0.2243030196989822	0.1483945080945379	0.3941336990457395	-957.2857142857144	2810.30298236568	PDR3;STB5
Pfam_Domains_2019	Enolase_C	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-878.7142857142859	2115.1490872973745	ERR1
Pfam_Domains_2019	ENTH	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-857.2857142857144	2063.5684722600463	ENT3
Pfam_Domains_2019	Hist_deacetyl	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-785.8571428571429	1891.633088802285	HDA1
Pfam_Domains_2019	EFG_C	1/7	0.1237986859929751	0.2243030196989822	0.2247131541271571	0.3941336990457395	-771.5714285714287	1611.8887393312034	EFT2
Pfam_Domains_2019	HMGL-like	1/6	0.107096377561094	0.2243030196989822	0.1995758673158704	0.3941336990457395	-714.4285714285714	1596.0520930603054	LEU9
Pfam_Domains_2019	HMG_box	1/7	0.1237986859929751	0.2243030196989822	0.2247131541271571	0.3941336990457395	-693.0	1447.745283187496	NHP6A
Pfam_Domains_2019	EMP24_GP25L	1/9	0.1562742797252859	0.2294120717908571	0.2727027639528749	0.3941336990457395	-728.7142857142859	1352.5976378299722	ERP1
Pfam_Domains_2019	Enolase_N	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-439.4285714285714	1057.7464790321449	ERR1
Pfam_Domains_2019	HLH	1/6	0.107096377561094	0.2243030196989822	0.1995758673158704	0.3941336990457395	-127.23809523809524	284.2532288647028	RTG3
Pfam_Domains_2019	zf-Tim10_DDP	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-101.6	244.56088943031904	TIM10
Pfam_Domains_2019	adh_short	1/10	0.1720590538431428	0.2294120717908571	0.2956002742843046	0.3941336990457395	-128.4285714285714	226.0236935418838	IRC24
Pfam_Domains_2019	Exo_endo_phos	1/10	0.1720590538431428	0.2294120717908571	0.2956002742843046	0.3941336990457395	-107.28571428571426	188.81400873187405	NGL3
Pfam_Domains_2019	LAGLIDADG_1	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-71.28571428571429	171.59151269084535	AI4
Pfam_Domains_2019	ABC_trans_N	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-70.4	169.4595139359691	SNQ2
Pfam_Domains_2019	Biotin_carb_C	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-67.2	161.75680875706144	ACC1
Pfam_Domains_2019	Biotin_carb_N	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-65.6	157.90545616760755	ACC1
Pfam_Domains_2019	GTP_EFTU_D2	1/13	0.2176679999709384	0.2638399999647739	0.3601611800935939	0.4365590061740532	-96.28571428571428	146.81494670421782	EFT2
Pfam_Domains_2019	Arrestin_C	1/7	0.1237986859929751	0.2243030196989822	0.2247131541271571	0.3941336990457395	-66.4	138.71614257380915	CSR2
Pfam_Domains_2019	Ribosomal_L1	1/5	0.0900765541619926	0.2243030196989822	0.1736456737586	0.3941336990457395	-52.91836734693879	127.379556944564	RPL1A
Pfam_Domains_2019	NAD_binding_1	1/8	0.1401893873118638	0.2243030196989822	0.2490811443204158	0.3941336990457395	-64.14285714285711	126.02538440095498	NCP1
Pfam_Domains_2019	GATase	1/8	0.1401893873118638	0.2243030196989822	0.2490811443204158	0.3941336990457395	-59.040816326530624	116.00109356409897	URA7
Pfam_Domains_2019	CPSase_L_D2	1/7	0.1237986859929751	0.2243030196989822	0.2247131541271571	0.3941336990457395	-51.2	106.96184487619018	ACC1
