Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Phenotype_AutoRIF	lifespan	4/109	0.0009603297561355	0.0969933053696916	0.016716191492548	0.7838988252718431	-1.590313421625677	11.049869526794064	RIF2;ATG32;RNR2;SNF6
Phenotype_AutoRIF	vacuolar_morphology	4/135	0.0021121773973516	0.1066649585662561	0.0329281856165008	0.7838988252718431	-1.7298660488745297	10.656037000809071	ATG15;VPS41;ATG32;SNC1
Phenotype_AutoRIF	subcellular_morphology	5/253	0.0034622315220019	0.1165617945740663	0.0742599140994497	0.7838988252718431	-1.5127645103486516	8.571084622065428	FIR1;ATG32;RNR2;NTH1;LPX1
Phenotype_AutoRIF	chronological_lifespan	4/184	0.0063683451187319	0.1608007142479824	0.0824671358677398	0.7838988252718431	-1.5806836592892488	7.992593570601895	ATG32;RNR2;NHP6A;SNF6
Phenotype_AutoRIF	cell_death	2/43	0.0128314668968841	0.1630545555005479	0.0597185193232362	0.7838988252718431	-1.8182073363009583	7.919847105111729	FCY1;VPS41
Phenotype_AutoRIF	heat_sensitivity	5/317	0.0088499347258376	0.1630545555005479	0.1519355259112142	0.7838988252718431	-1.510623889237709	7.141240585148077	CNE1;SNQ2;NTH1;DSF2;TOR2
Phenotype_AutoRIF	vesicle_distribution	3/133	0.0162830655138638	0.1630545555005479	0.118021571264288	0.7838988252718431	-1.6900690412809192	6.959078372542892	CLC1;SNA3;SNC1
Phenotype_AutoRIF	cell_fusion	4/218	0.0113946865766655	0.1630545555005479	0.1309103473115051	0.7838988252718431	-1.4775084324152106	6.611271232010749	FCY1;VPS41;ATG32;SNC1
Phenotype_AutoRIF	cell_size	2/53	0.0190845284123902	0.1630545555005479	0.0848489310410838	0.7838988252718431	-1.6384317311990433	6.486350193071489	VPS41;CNE1
Phenotype_AutoRIF	hydrostatic_pressure_resistance	1/9	0.0354363186290955	0.1943819603154373	0.0854869898741029	0.7838988252718431	-1.9283657263117624	6.440776303561743	NTH1
Phenotype_AutoRIF	autophagy	3/145	0.0204347292334432	0.1630545555005479	0.1420628829142617	0.7838988252718431	-1.6195155986919196	6.300756875057095	ATG15;ATG32;TOR2
Phenotype_AutoRIF	endocytosis	4/229	0.0134450403050444	0.1630545555005479	0.1487520712165923	0.7838988252718431	-1.3562416577576577	5.844241946781671	CNE1;ATG32;CLC1;SNC1
Phenotype_AutoRIF	pexophagy	2/58	0.0226016215545314	0.1630545555005479	0.0984388129651458	0.7838988252718431	-1.534350479127616	5.814779603403416	ATG15;ATG32
Phenotype_AutoRIF	peroxisomal_morphology	3/139	0.0182928477497623	0.1630545555005479	0.1298335876123546	0.7838988252718431	-1.4241281291266348	5.69828573956372	PEX18;ATG32;LPX1
Phenotype_AutoRIF	petite	4/267	0.0222770585956009	0.1630545555005479	0.2170243309966241	0.7838988252718431	-1.3791245207110496	5.246462595300657	SNQ2;RNR2;TAR1;NHP6A
Phenotype_AutoRIF	vacuolar_distribution	3/159	0.0259479730166588	0.1747163516455029	0.1720498972224589	0.7838988252718431	-1.4331273004554743	5.233296194010332	TOR2;BUD14;SNC1
Phenotype_AutoRIF	nucleophagy	1/13	0.0507849958192709	0.2218378853322778	0.1176630570001311	0.7838988252718431	-1.630605229605252	4.859455228864125	CNE1
Phenotype_AutoRIF	budding_index	1/14	0.0545843254054774	0.2218378853322778	0.1255342642615775	0.7838988252718431	-1.6104262216008594	4.683133169917197	NTH1
Phenotype_AutoRIF	oxidative_phosphorylation	3/168	0.0298730666471938	0.1885737332104108	0.1922591894024037	0.7838988252718431	-1.311994882895309	4.606148991937597	ATG32;NTH1;BUD14
Phenotype_AutoRIF	lipid_particle_morphology	2/85	0.0455647744659824	0.2180932238485114	0.1800750382318079	0.7838988252718431	-1.4642858199815236	4.5226229829342754	ATG15;LPX1
Phenotype_AutoRIF	shmoo_formation	2/87	0.0475054546996757	0.2180932238485114	0.186510466899499	0.7838988252718431	-1.4117903480577505	4.301599172363609	BUD14;SNC1
Phenotype_AutoRIF	peroxisomal_transport	3/179	0.0350726280422979	0.1943819603154373	0.2177751374590727	0.7838988252718431	-1.2750430794820593	4.271820538416496	PEX18;ATG32;LPX1
Phenotype_AutoRIF	apoptosis	1/16	0.0621379895885024	0.2218378853322778	0.1410733290749207	0.7838988252718431	-1.5272771098392313	4.243383252732972	FCY1
Phenotype_AutoRIF	Golgi_distribution	3/182	0.0365669034256763	0.1943819603154373	0.2248676206595206	0.7838988252718431	-1.279752878218998	4.234205378832479	CNE1;TOR2;SNC1
Phenotype_AutoRIF	ionic_stress_resistance	1/17	0.0658924411878052	0.2218378853322778	0.148742317208723	0.7838988252718431	-1.4732796236246726	4.006925067419189	SNQ2
Phenotype_AutoRIF	resistance_to_enzymatic_treatment	1/16	0.0621379895885024	0.2218378853322778	0.1410733290749207	0.7838988252718431	-1.4255276684030105	3.960682835772724	FCY1
Phenotype_AutoRIF	vacuolar_transport	2/100	0.060822025814877	0.2218378853322778	0.2290659876035479	0.7838988252718431	-1.3019539479182811	3.645214945404887	VPS41;SNC1
Phenotype_AutoRIF	telomere_length	3/190	0.0407097984707003	0.205584482277037	0.2440175203936296	0.7838988252718431	-1.0406239525423766	3.331335376346624	RIF2;TOR2;ROX3
Phenotype_AutoRIF	entry_into_G0_(stationary_phase)	1/25	0.095398555632054	0.2676459477454848	0.2077539933374031	0.7838988252718431	-1.2560254010953773	2.9512726367508217	TOR2
Phenotype_AutoRIF	adhesion	1/23	0.0881094741577092	0.2542587682836751	0.1933835274411758	0.7838988252718431	-1.1985796755528102	2.911560038828497	CNE1
Phenotype_AutoRIF	nuclear_import	2/108	0.0695764993243143	0.226684723605024	0.255652564510123	0.7838988252718431	-1.0586445448329729	2.8216353941870524	PEX18;RNR2
Phenotype_AutoRIF	protein_transport	2/104	0.0651490543216313	0.2218378853322778	0.2423361046838417	0.7838988252718431	-1.0116693061358195	2.762947270239696	ATG32;SNC1
Phenotype_AutoRIF	temperature_sensitive_growth	2/123	0.0870033357995623	0.2542587682836751	0.3056932728834654	0.8821434446065716	-1.013891476846142	2.4757291492043425	TOR2;SNC1
Phenotype_AutoRIF	stress_resistance	3/247	0.0765878705197466	0.2417304663279503	0.3852977659587924	0.8904792973689071	-0.9625817573239154	2.473177252411169	MET13;SNQ2;SNF6
Phenotype_AutoRIF	nuclear_position	4/363	0.0576964100278142	0.2218378853322778	0.4142442445198619	0.8904792973689071	-0.8510205260266597	2.427587388553229	MUD2;PEX18;RIF2;NHP6A
Phenotype_AutoRIF	prion_formation	3/252	0.0802349724541524	0.2455676429657392	0.397701848817916	0.8904792973689071	-0.8788374077836042	2.2171273156547757	CNE1;TOR2;SNC1
Phenotype_AutoRIF	position_of_spindle_pole_body	1/32	0.120460134194455	0.3119608603497425	0.2561253587521863	0.7838988252718431	-1.0438354399025505	2.209211338730789	RIF2
Phenotype_AutoRIF	gamma_ray_resistance	1/37	0.1379402454585185	0.3317134474121518	0.2889132602625898	0.8582423319565171	-1.053121261313892	2.0861644409160736	MET13
Phenotype_AutoRIF	starvation_resistance	2/156	0.1291115976273492	0.3260067840090568	0.4132718175969084	0.8904792973689071	-0.9726497321256158	1.9910900149336723	NTH1;TOR2
Phenotype_AutoRIF	intracellular_transport	2/140	0.1081289593142969	0.287395391861684	0.361821421415956	0.8904792973689071	-0.8328097422097677	1.85252755488636	ATG32;SNC1
Phenotype_AutoRIF	hyperosmotic_stress_resistance	1/45	0.1651974540575754	0.3880219269724447	0.3384848912734962	0.8904792973689071	-0.988728463914674	1.7803181455352162	SNQ2
Phenotype_AutoRIF	nucleolar_morphology	2/137	0.1043063776696491	0.2847282201252585	0.3520037651613861	0.8904792973689071	-0.7731052974459968	1.7475448191024785	TOF2;TOR2
Phenotype_AutoRIF	actin_cytoskeleton_morphology	2/202	0.1935835197734389	0.4191131374892801	0.549163017690055	0.8904792973689071	-0.8855417072198754	1.4541004244164133	TOR2;SNC1
Phenotype_AutoRIF	mitochondrial_rho-_mutation_frequency	1/54	0.1948454394810967	0.4191131374892801	0.390257537929908	0.8904792973689071	-0.8734142866263112	1.428511559785851	RNR2
Phenotype_AutoRIF	growth_in_exponential_phase	3/316	0.1330040441559046	0.3276441087743016	0.548977351355303	0.8904792973689071	-0.7056314815524986	1.4235238351117872	SNQ2;NTH1;SNF6
Phenotype_AutoRIF	cold_sensitivity	3/362	0.1766776444028126	0.4055555019246382	0.6442304731318833	0.8904792973689071	-0.6867772874507462	1.1904792716465806	MUD2;CSE2;TOR2
Phenotype_AutoRIF	viability	1/57	0.2044951286905552	0.4302918332863767	0.4066267594961142	0.8904792973689071	-0.7109386167298483	1.1284096812157571	FCY1
Phenotype_AutoRIF	resistance_to_chemicals	1/66	0.2327641896001095	0.4609236711034294	0.4532231346480776	0.8904792973689071	-0.6910996842055119	1.007436327788994	SNQ2
Phenotype_AutoRIF	spore_wall_formation	2/203	0.1950328461583779	0.4191131374892801	0.5518811907431072	0.8904792973689071	-0.5902522122007752	0.9648187655899876	PAM1;SNC1
Phenotype_AutoRIF	colony_sectoring	1/60	0.214030595942423	0.4411651059221373	0.4225703373604476	0.8904792973689071	-0.6085706454188348	0.938194599605132	RNR2
Phenotype_AutoRIF	cell_wall_morphology	2/230	0.234600689827938	0.4609236711034294	0.6211218621931808	0.8904792973689071	-0.5839156516255583	0.8466020207456529	PAM1;CNE1
Phenotype_AutoRIF	nutrient_uptake	2/233	0.239034628525667	0.4609236711034294	0.628315200985525	0.8904792973689071	-0.5858607143388014	0.838452714878912	TOR2;SNC1
Phenotype_AutoRIF	nuclear_morphology	1/80	0.2747783450521755	0.4955823723262451	0.518747215178821	0.8904792973689071	-0.6459825650075522	0.8344741563493313	ATG32
Phenotype_AutoRIF	utilization_of_carbon_source	2/238	0.2464344380156949	0.4609236711034294	0.6400809266445447	0.8904792973689071	-0.5718855564765769	0.8010168188767595	NTH1;LPX1
Phenotype_AutoRIF	biofilm_formation	1/89	0.3005791068763871	0.5048534405320246	0.5567851094314697	0.8904792973689071	-0.6501766718714965	0.7815411681472366	NTH1
Phenotype_AutoRIF	cell_cycle_progression_in_metaphase	1/82	0.2805918672745811	0.4971890981532051	0.5274638543634022	0.8904792973689071	-0.5535375037917178	0.7034654034710586	TOR2
Phenotype_AutoRIF	protein_activity	1/92	0.3089762660500563	0.5048534405320246	0.5688051474974014	0.8904792973689071	-0.5824512294328044	0.6840836185333002	CNE1
Phenotype_AutoRIF	inviable	3/428	0.2449412830460289	0.4609236711034294	0.7561438743256723	0.8906326482209679	-0.4764884203698663	0.6702937757896685	CNE1;INO80;SNC1
Phenotype_AutoRIF	utilization_of_nitrogen_source	1/94	0.3145189832206518	0.5048534405320246	0.5766425923358957	0.8904792973689071	-0.5545739860602024	0.6414817438428035	TAR1
Phenotype_AutoRIF	oxidative_stress_resistance	2/248	0.2612592500685284	0.4797669864894794	0.662778069045376	0.8904792973689071	-0.3809941302113809	0.5113863497523866	NTH1;YHL012W
Phenotype_AutoRIF	invasive_growth	1/103	0.3389227968062873	0.5048534405320246	0.6102376429913527	0.8904792973689071	-0.4545900010502499	0.4918586238182468	SNF6
Phenotype_AutoRIF	mating_projection_morphology	1/99	0.3281844338817931	0.5048534405320246	0.5956378433843871	0.8904792973689071	-0.4404919659107897	0.4907871316390632	SNC1
Phenotype_AutoRIF	pheromone-induced_cell_cycle_arrest	1/94	0.3145189832206518	0.5048534405320246	0.5766425923358957	0.8904792973689071	-0.4161952119910627	0.481417515206113	TOR2
Phenotype_AutoRIF	mitochondrial_morphology	1/104	0.3415807942822911	0.5048534405320246	0.6138071062298252	0.8904792973689071	-0.3761401604334282	0.4040388678734625	ATG32
Phenotype_AutoRIF	chitin_deposition	1/99	0.3281844338817931	0.5048534405320246	0.5956378433843871	0.8904792973689071	-0.3503407675150611	0.3903425117627851	NHP6A
Phenotype_AutoRIF	metabolism_and_growth	1/113	0.3650327749634358	0.5048534405320246	0.6445403717671441	0.8904792973689071	-0.3694567027219962	0.3723266922692937	TOR2
