LINE 401 : 2023-04-26 08:54:04,532 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 228 : 2023-04-26 08:54:04,541 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 456 : 2023-04-26 08:54:04,748 [DEBUG   ] http://maayanlab.cloud:80 "GET /YeastEnrichr/datasetStatistics HTTP/1.1" 308 164
LINE 1001: 2023-04-26 08:54:04,751 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 456 : 2023-04-26 08:54:05,098 [DEBUG   ] https://maayanlab.cloud:443 "GET /YeastEnrichr/datasetStatistics HTTP/1.1" 200 2970
LINE 421 : 2023-04-26 08:54:05,102 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_AutoRIF
LINE 422 : 2023-04-26 08:54:05,102 [INFO    ] Analysis name: , Enrichr Library: GO_Biological_Process_AutoRIF
LINE 228 : 2023-04-26 08:54:05,107 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 456 : 2023-04-26 08:54:05,355 [DEBUG   ] http://maayanlab.cloud:80 "POST /YeastEnrichr/addList HTTP/1.1" 308 164
LINE 1001: 2023-04-26 08:54:05,373 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 456 : 2023-04-26 08:54:05,922 [DEBUG   ] https://maayanlab.cloud:443 "POST /YeastEnrichr/addList HTTP/1.1" 200 73
LINE 228 : 2023-04-26 08:54:06,932 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 456 : 2023-04-26 08:54:07,147 [DEBUG   ] http://maayanlab.cloud:80 "GET /YeastEnrichr/export?userListId=2010244&filename=GO_Biological_Process_AutoRIF..reports&backgroundType=GO_Biological_Process_AutoRIF HTTP/1.1" 308 164
LINE 1001: 2023-04-26 08:54:07,156 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 456 : 2023-04-26 08:54:09,212 [DEBUG   ] https://maayanlab.cloud:443 "GET /YeastEnrichr/export?userListId=2010244&filename=GO_Biological_Process_AutoRIF..reports&backgroundType=GO_Biological_Process_AutoRIF HTTP/1.1" 200 None
LINE 430 : 2023-04-26 08:54:09,696 [INFO    ] Save file of enrichment results: Job Id:4c459dce8509740369dba5b11e0399c3
LINE 1329: 2023-04-26 08:54:09,911 [DEBUG   ] findfont: Matching serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1341: 2023-04-26 08:54:09,911 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1341: 2023-04-26 08:54:09,911 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,911 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,911 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,911 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal 700 normal>) = 0.05
LINE 1341: 2023-04-26 08:54:09,912 [DEBUG   ] findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,912 [DEBUG   ] findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,912 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,912 [DEBUG   ] findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,912 [DEBUG   ] findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,912 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,912 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal 700 normal>) = 1.05
