Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_AutoRIF	protein_phosphatase_1_binding_(GO:0008157)	3/168	0.0005109993125482	0.0402636633668572	0.01889765587687	0.52256109396811	-1.5172301431354172	11.499303176500131	CDC10;PHO80;BNI4
GO_Molecular_Function_AutoRIF	protein_phosphatase_regulator_activity_(GO:0019888)	3/223	0.0011614518278901	0.0402636633668572	0.0391946644344977	0.52256109396811	-1.5924794615209947	10.762110734682125	PTP3;PHO80;BNI4
GO_Molecular_Function_AutoRIF	phospholipid_transporter_activity_(GO:0005548)	3/217	0.0010736601051349	0.0402636633668572	0.0365844759431732	0.52256109396811	-1.5490325325054548	10.590242535987391	CDC10;PSD1;PHO80
GO_Molecular_Function_AutoRIF	histone_acetyltransferase_activity_(GO:0004402)	3/247	0.0015577377166312	0.0405011806324137	0.0505965821457412	0.52256109396811	-1.4472439828986792	9.35573867367396	PHO80;TAF9;SPT3
GO_Molecular_Function_AutoRIF	transcription_coactivator_activity_(GO:0003713)	2/77	0.0023978425883764	0.0498751258382292	0.0292948459961792	0.52256109396811	-1.506139641724325	9.08682040079761	TAF9;SPT3
GO_Molecular_Function_AutoRIF	RNA_polymerase_II_transcription_coactivator_activity_(GO:0001105)	1/11	0.0104030923894243	0.0601067560277848	0.0407892785853004	0.52256109396811	-1.8464996693091256	8.430475225586756	TAF9
GO_Molecular_Function_AutoRIF	Rho_GTPase_binding_(GO:0017048)	2/118	0.0055274278767923	0.0601067560277848	0.0626891248752141	0.52256109396811	-1.5644720972101067	8.132177109191314	BEM3;SEC9
GO_Molecular_Function_AutoRIF	phospholipase_activity_(GO:0004620)	2/126	0.0062773208383745	0.0601067560277848	0.0702647365524396	0.52256109396811	-1.555493225827274	7.887613727300629	PHO80;SEC9
GO_Molecular_Function_AutoRIF	nucleosomal_DNA_binding_(GO:0031492)	2/139	0.0075892961539809	0.0601067560277848	0.0832006978818167	0.52256109396811	-1.598854908673193	7.804037070762195	PHO80;SPT3
GO_Molecular_Function_AutoRIF	GTPase_binding_(GO:0051020)	2/140	0.0076949432733689	0.0601067560277848	0.0842259490511184	0.52256109396811	-1.5490474099552074	7.53951098104612	BEM3;SEC9
GO_Molecular_Function_AutoRIF	kinase_activity_(GO:0016301)	2/146	0.008342831403208	0.0601067560277848	0.0904629562048243	0.52256109396811	-1.5494332168562976	7.416133742345121	PTP3;PHO80
GO_Molecular_Function_AutoRIF	Ran_GTPase_binding_(GO:0008536)	2/148	0.0085641001551461	0.0601067560277848	0.0925736889505355	0.52256109396811	-1.5554641226686468	7.404283317556199	CDC10;PHO80
GO_Molecular_Function_AutoRIF	phosphoric_diester_hydrolase_activity_(GO:0008081)	2/148	0.0085641001551461	0.0601067560277848	0.0925736889505355	0.52256109396811	-1.5288864798328246	7.277769054320334	PHO80;SEC9
GO_Molecular_Function_AutoRIF	alpha-1,6-mannosyltransferase_activity_(GO:0000009)	1/21	0.0197714042735543	0.0761565201648017	0.0736011780674066	0.52256109396811	-1.8151315778552977	7.121702532199378	MNN11
GO_Molecular_Function_AutoRIF	repressing_transcription_factor_binding_(GO:0070491)	2/218	0.0179016987231159	0.0716067948924638	0.1743452320225891	0.5494516403136144	-1.7410842755569382	7.004137714044611	PHO80;SPT3
GO_Molecular_Function_AutoRIF	GTPase_activity_(GO:0003924)	2/124	0.0060857046874844	0.0601067560277848	0.0683422018942684	0.52256109396811	-1.3075069749023596	6.670655757803805	CDC10;BEM3
GO_Molecular_Function_AutoRIF	mRNA_5'-UTR_binding_(GO:0048027)	2/155	0.0093592416340278	0.0601067560277848	0.1000807721993172	0.52256109396811	-1.3887875003059642	6.487569448980198	WHI3;CDC37
GO_Molecular_Function_AutoRIF	protein_kinase_activity_(GO:0004672)	2/155	0.0093592416340278	0.0601067560277848	0.1000807721993172	0.52256109396811	-1.3865931621612704	6.477318837489879	PTP3;PHO80
GO_Molecular_Function_AutoRIF	protein_kinase_regulator_activity_(GO:0019887)	2/158	0.0097098014812314	0.0601067560277848	0.1033529849808842	0.52256109396811	-1.3811922717537874	6.401300555345115	PTP3;PHO80
GO_Molecular_Function_AutoRIF	phosphatidylinositol_phosphate_5-phosphatase_activity_(GO:0034595)	1/22	0.0207036002452144	0.0768990866250821	0.0768247285718319	0.52256109396811	-1.6492429586726316	6.394853265628172	CDC10
GO_Molecular_Function_AutoRIF	phosphatidylinositol_transporter_activity_(GO:0008526)	2/160	0.0099467455862385	0.0601067560277848	0.105552094051174	0.52256109396811	-1.3701228511805754	6.316964912138929	CDC10;PSD1
GO_Molecular_Function_AutoRIF	AMP-activated_protein_kinase_activity_(GO:0004679)	2/184	0.0129885032102649	0.063961974162913	0.1329458306319526	0.52256109396811	-1.451231046784849	6.3036987742545705	PTP3;BNI4
GO_Molecular_Function_AutoRIF	ATPase_regulator_activity_(GO:0060590)	2/203	0.0156491683848501	0.0651005404809766	0.1557634030097251	0.52256109396811	-1.5122185297111046	6.286802804418447	PTP3;SPT3
GO_Molecular_Function_AutoRIF	histone_deacetylase_activity_(GO:0004407)	2/188	0.0135304176113854	0.063961974162913	0.1376746010283425	0.52256109396811	-1.447517488338611	6.228399920605416	PTP3;WHI3
GO_Molecular_Function_AutoRIF	phosphatase_inhibitor_activity_(GO:0019212)	2/171	0.0112957787313882	0.0618295256875986	0.1178870460144342	0.52256109396811	-1.3613946965055972	6.103576493210063	PTP3;PHO80
GO_Molecular_Function_AutoRIF	phosphatase_activity_(GO:0016791)	2/200	0.0152145931206032	0.0651005404809766	0.1521033375534107	0.52256109396811	-1.4353221125988855	6.007541043863489	PTP3;PHO80
GO_Molecular_Function_AutoRIF	protein_deacetylase_activity_(GO:0033558)	2/200	0.0152145931206032	0.0651005404809766	0.1521033375534107	0.52256109396811	-1.4235717666282386	5.958359968006975	PTP3;WHI3
GO_Molecular_Function_AutoRIF	core_promoter_binding_(GO:0001047)	2/274	0.0274298724288451	0.0864456585636332	0.2466931603673894	0.5689882551044332	-1.5587309227007176	5.60538753715071	TAF9;SPT3
GO_Molecular_Function_AutoRIF	protein_phosphatase_binding_(GO:0019903)	2/176	0.0119343353883514	0.0620585440194277	0.1236204641736474	0.52256109396811	-1.1779477441263444	5.216348055915563	PHO80;BNI4
GO_Molecular_Function_AutoRIF	acid_phosphatase_activity_(GO:0003993)	2/269	0.0265104297905494	0.0861588968192858	0.2401039419947058	0.5689882551044332	-1.3825822866650503	5.019073785128709	PTP3;PHO80
GO_Molecular_Function_AutoRIF	cation_transmembrane_transporter_activity_(GO:0008324)	1/36	0.0336664787470309	0.0972587163803116	0.1208807439338422	0.52256109396811	-1.4079745045265348	4.774797245103551	PSD1
GO_Molecular_Function_AutoRIF	methyltransferase_activity_(GO:0008168)	2/279	0.0283622510020942	0.0865202172012795	0.2532977442598021	0.5689882551044332	-1.3219646465335586	4.709758433366408	PTP3;SPT3
