Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	ubiquitin-dependent protein catabolic process (GO:0006511)	17/124	8e-16	2.146e-13	9.9359843753e-06	0.0050022556116913	-1.6058690384445875	55.68156150090628	RSP5;RPN6;PUP2;PUP1;RPN2;RPN1;UBP14;CDC4;RPN9;RAD23;CDC48;DMA1;RPT5;RPT2;UBA1;DOA1;VPS36
GO_Biological_Process_2018	ribosome biogenesis (GO:0042254)	20/176	0.0	7.12e-14	2.03619631412e-05	0.0050022556116913	-1.3690069862890513	50.48178153763638	PRP43;NOP4;FUN12;DHR2;UTP22;RLI1;SRM1;UTP21;RRB1;RNA1;AFG2;CBF5;XRN1;MDV1;YTM1;HAS1;MOT1;ERB1;ARB1;ECM16
GO_Biological_Process_2018	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	18/145	7e-16	2.146e-13	1.85282941995e-05	0.0050022556116913	-1.4049300343606994	48.97024682412971	RSP5;PUP2;SEC13;PUP1;MET30;RPN2;RPN1;UBP14;CDC4;SIS1;CDC23;RAD23;CDC48;CDC16;CDC27;RPT5;RPT2;DOA1
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	22/337	2.985e-13	5.50145e-11	0.0094032772719843	0.1980061528414997	-1.5353611210159095	44.27937926695699	RSP5;SNF2;ZAP1;BAS1;TUP1;PDC2;ELP2;SET1;ADA2;ELP3;ESS1;RAD23;RVB1;RAP1;SWI6;CDC39;SPT5;AZF1;MOT1;SIN3;ESA1;TAF1
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	18/241	5.1558e-12	7.599776e-10	0.0053160664758993	0.1567176397095125	-1.527414165889757	39.69884150864237	RSP5;SNF2;ZAP1;SEC13;BAS1;DHR2;NUP145;UTP10;TUP1;PDC2;NAB2;SET1;ESS1;RAP1;SWI6;SIN3;ESA1;TAF1
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	15/177	5.52344e-11	6.7846312e-09	0.0036799501667426	0.1567176397095125	-1.5942758738884069	37.655894285940136	SEC13;MET30;NUP145;ELP2;ADA2;ELP3;STH1;RSC8;RVB1;CDC39;SPT5;AZF1;MOT1;SIN3;ESA1
GO_Biological_Process_2018	proteasomal protein catabolic process (GO:0010498)	9/58	1.9923239e-09	1.129494403e-07	0.0005988518478666	0.0838441590024786	-1.8617426172849485	37.29808472733737	RSP5;PUP2;PUP1;RAD23;RPN2;CDC48;RPN1;UBP14;DOA1
GO_Biological_Process_2018	mRNA splicing, via spliceosome (GO:0000398)	11/101	1.5224522e-09	9.35039445e-08	0.0021939341026115	0.1347441194687267	-1.7153287806900004	34.82622324270035	PRP43;PRP21;PRP11;PRP4;PRP40;SPT5;SNP1;MSL5;PRP46;SNU114;BRR2
GO_Biological_Process_2018	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	12/105	1.515846e-10	1.59597012e-08	0.0009489674339773	0.0874236248551658	-1.5250258937059251	34.4806474330725	PRP43;FUN12;DHR2;UTP22;UTP10;MRD1;UTP13;HAS1;DIP2;PWP2;CDC4;ECM16
GO_Biological_Process_2018	maturation of SSU-rRNA (GO:0030490)	11/87	2.985195e-10	2.46620979e-08	0.0007261834202366	0.0838441590024786	-1.4876164143720825	32.62667962386954	PRP43;FUN12;DHR2;UTP22;UTP10;UTP13;HAS1;DIP2;PWP2;CDC4;ECM16
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	17/270	3.011653e-10	2.46620979e-08	0.0289530502916498	0.3222283234342108	-1.3649555247037544	29.924413511626064	RSP5;SNF2;ZAP1;BAS1;TUP1;PDC2;SET1;ESS1;XRN1;RAP1;SWI6;CDC39;SPT5;SCC2;SIN3;ESA1;TAF1
GO_Biological_Process_2018	protein modification by small protein conjugation (GO:0032446)	10/74	1.0059325e-09	6.73974804e-08	0.0007963488643383	0.0838441590024786	-1.3761052393544375	28.509255011280874	RSP5;CDC23;MET30;CDC16;CDC27;ELP2;UBA2;DMA1;UBA1;CDC4
GO_Biological_Process_2018	modification-dependent protein catabolic process (GO:0019941)	10/72	7.62339e-10	5.61843861e-08	0.0006567668355279	0.0838441590024786	-1.3517428575810089	28.379340805671475	RSP5;RPN6;RPN2;RPN1;DMA1;RPT5;RPT2;UBA1;CDC4;RPN9
GO_Biological_Process_2018	intracellular protein transport (GO:0006886)	11/161	2.016952044e-07	7.4324682855e-06	0.0456998064811759	0.3666441719006683	-1.7984129123414054	27.72524735204152	RSP5;NUP116;COP1;SIS1;NUP145;DNF2;PSE1;RNA1;CRM1;VPS36;SEC31
GO_Biological_Process_2018	DNA metabolic process (GO:0006259)	12/207	3.324866675e-07	1.0654029305e-05	0.0966958729538436	0.4394501344687584	-1.8136905239838528	27.0542159098764	SNF2;SUA5;BDF1;RAD51;POL3;DBF4;MCM7;MET30;RAP1;EAF1;SET1;ESA1
GO_Biological_Process_2018	ribosomal large subunit biogenesis (GO:0042273)	10/104	2.90866254e-08	1.3398026841e-06	0.0077229332189648	0.1778688056992836	-1.537116097214657	26.67355622951651	PRP43;NOP4;RSA4;RLI1;MDV1;YTM1;HAS1;SPB4;ERB1;AFG2
GO_Biological_Process_2018	rRNA processing (GO:0006364)	11/119	8.8022748e-09	4.633768985e-07	0.0069266324191234	0.1646750997707734	-1.435417926993512	26.624498661436277	PRP43;CBF5;XRN1;UTP22;UTP21;YTM1;HAS1;DIP2;SPB4;MOT1;ERB1
GO_Biological_Process_2018	transcription from RNA polymerase II promoter (GO:0006366)	11/123	1.24797993e-08	6.131741432e-07	0.0086495037685532	0.1874907140418757	-1.3836609241982625	25.181459002776545	RSC8;PCF11;CDC39;RPB2;SPT5;RPO21;TAF5;STH1;ESS1;CHD1;TAF1
GO_Biological_Process_2018	ribosomal subunit export from nucleus (GO:0000054)	7/49	2.370741649e-07	8.3201742638e-06	0.0037016571890945	0.1567176397095125	-1.6054062508693672	24.490300277754976	NUP116;RLI1;SRM1;NOG2;RNA1;CRM1;ARB1
GO_Biological_Process_2018	maturation of LSU-rRNA (GO:0000470)	7/51	3.148026642e-07	1.05458892521e-05	0.0045173661148448	0.1567176397095125	-1.6291729014835483	24.39086861070581	PRP43;NOP4;YTM1;HAS1;SPB4;DBP7;ERB1
