Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	70/1599	0.0	0.0	0.0209246063944903	0.1663506208361982	-1.5655556829259734	110.66741458386434	PUP2;PUP1;MCM7;TUP1;SRM1;PRP40;NAB2;SMC3;CDC24;PCF11;ESA1;BAS1;MSL5;CRM1;STH1;PKC1;SIS1;DBF4;XRN1;CDC39;SCC2;RPT2;AZF1;ERB1;ARB1;RSP5;NOP4;MET30;UTP22;RPN2;PAB1;UTP21;RPN1;RPB2;ESS1;PRP8;RPN9;SDS22;VPS4;RVB1;CDC48;SWI6;SPT5;MOT1;SUA7;SNF2;ZAP1;RLI1;PDC2;NOG2;ELP2;CIA1;PSE1;ADA2;ELP3;RNA1;CDC5;CDC4;SNU114;BRR2;RSC8;RAP1;YTM1;CDC16;UBA2;RPO21;UBA1;DOA1;RNR1;TAF1
GO_Cellular_Component_2018	nuclear lumen (GO:0031981)	32/339	0.0	0.0	6.460488258e-07	0.0001027217633154	-1.6812087800743256	89.19675889351166	NOP4;DHR2;UTP22;UTP21;DIP2;RRB1;PWP2;CBF5;RAD23;HAS1;AIR2;CDC27;MOT1;SEC13;UTP10;UTP13;NOG2;SPB4;PSE1;CDC40;RSA4;RAD51;RAP1;MRD1;YTM1;SCC2;RPT5;GAS1;RPT2;DBP7;ERB1;ECM16
GO_Cellular_Component_2018	preribosome (GO:0030684)	22/183	0.0	0.0	1.3179400822e-06	0.0001047762365373	-1.843713022692632	76.94015534531508	PRP43;NOP4;FUN12;UTP22;RLI1;UTP10;UTP21;UTP13;DIP2;NOG2;SPB4;CRM1;PWP2;CDC4;AFG2;CBF5;MRD1;YTM1;HAS1;ERB1;ARB1;ECM16
GO_Cellular_Component_2018	cytosol (GO:0005829)	31/676	4.41e-14	1.4034e-12	0.0835856521672637	0.3391300411812813	-1.5135881991110436	46.54514868677515	SEC7;TSC11;FUN12;PUP1;PAB1;CYR1;ESS1;GUS1;RPN9;SUA5;RAD23;PCF11;CDC48;FAS2;TAH18;RIA1;VAC8;SEC18;CIA1;SUP35;GLN4;RNA1;MSL5;GCD6;SIS1;RAP1;CDC16;SCC2;AZF1;BET2;TAF1
GO_Cellular_Component_2018	nucleolus (GO:0005730)	20/231	1.93e-14	7.689e-13	0.0003112015430935	0.0082468408919803	-1.3968139270670528	44.10630510490225	NOP4;DHR2;UTP22;UTP10;UTP21;UTP13;DIP2;NOG2;SPB4;RRB1;PWP2;CBF5;RSA4;MRD1;YTM1;HAS1;AIR2;DBP7;ERB1;ECM16
GO_Cellular_Component_2018	cytosolic proteasome complex (GO:0031597)	8/32	2.817322e-10	6.3993468e-09	4.85611543925e-05	0.0025737411828025	-1.7963002382573283	39.50075712615724	RPN6;PUP2;PUP1;RPN2;RPN1;RPT5;RPT2;RPN9
GO_Cellular_Component_2018	90S preribosome (GO:0030686)	12/83	8.9009e-12	2.358742e-10	8.13466990401e-05	0.0032335312868471	-1.5448982494346182	39.30973062246039	PRP43;CBF5;UTP22;UTP10;UTP21;MRD1;UTP13;HAS1;DIP2;SPB4;PWP2;ECM16
GO_Cellular_Component_2018	cytoplasmic stress granule (GO:0010494)	11/96	8.776085e-10	1.55044184e-08	0.0009848970229692	0.0173998474057896	-1.6653444611413672	34.72879432785864	YEF3;FUN12;TIF34;XRN1;PAB1;SES1;RPB2;RPO21;SUP35;KOG1;GUS1
GO_Cellular_Component_2018	preribosome, large subunit precursor (GO:0030687)	11/89	3.833784e-10	7.6196468e-09	0.0005538562443972	0.0125804489798799	-1.462694174912302	31.714132871326225	NOP4;FUN12;RLI1;YTM1;HAS1;NOG2;SPB4;ERB1;CRM1;ARB1;AFG2
GO_Cellular_Component_2018	vesicle coat (GO:0030120)	6/22	2.9276816e-08	3.879178133e-07	0.0002985770359334	0.0082468408919803	-1.5054682401260857	26.114559503019105	SEC21;COP1;SEC13;SFB2;CHC1;SEC31
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	11/131	2.41700602e-08	3.49367234e-07	0.0090208396162965	0.1024509642136536	-1.4432118911669516	25.311268290111126	YEF3;FUN12;TIF34;XRN1;PAB1;SES1;RPB2;RPO21;SUP35;KOG1;GUS1
GO_Cellular_Component_2018	proteasome storage granule (GO:0034515)	6/27	1.119620701e-07	1.2715692256e-06	0.0007614992514392	0.0151347976223546	-1.5197092559925878	24.32310724815682	RPN6;PUP2;PUP1;RPN2;RPN1;RPN9
GO_Cellular_Component_2018	nucleoplasm part (GO:0044451)	10/117	9.00400502e-08	1.1012590766e-06	0.0112853746982909	0.1055514457075445	-1.475471879375277	23.936596916373524	MCM7;RET1;RPO31;EAF1;RPB2;ELP2;RPO21;TAF5;ESA1;TAF1
GO_Cellular_Component_2018	small-subunit processome (GO:0032040)	8/54	2.36147882e-08	3.49367234e-07	0.001124135147383	0.0178737488433904	-1.267561943034508	22.260153051888803	UTP22;UTP10;UTP21;UTP13;DIP2;PWP2;CDC4;ECM16
