Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	RNA binding (GO:0003723)	35/477	0.0	0.0	0.0012712595330753	0.0675904242742589	-1.4049202080584993	69.79559210072594	PRP43;PRP21;NOP4;NUP145;PAB1;PRP40;NAB2;DIP2;RPB2;SET1;PWP2;GUS1;PRP8;SUA5;CBF5;GLE2;PUF2;PCF11;HAS1;AIR2;BEM2;PUF3;SPT5;SNP1;MPT5;NUP116;PRP11;UTP10;UTP13;SUP35;GLN4;CDC4;VMA1;XRN1;MRD1
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	21/197	0.0	5.6e-15	0.0001833558203385	0.0209025635185984	-1.4565205651242656	54.41113278438065	MPT5;PRP43;NOP4;PAB1;NAB2;RPB2;SUP35;GLN4;PWP2;GUS1;PRP8;VMA1;CBF5;XRN1;PUF2;PCF11;MRD1;BEM2;PUF3;SPT5;SNP1
GO_Molecular_Function_2018	ubiquitin binding (GO:0043130)	13/45	0.0	5.6e-15	3.791058206e-07	8.6436127112e-05	-1.4436416140566053	53.60802837676203	RSP5;MET30;KOG1;CDC4;COP1;GLE2;RAD23;MDV1;CDC48;TAF5;DOA1;VPS36;VPS27
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	18/195	1.379e-13	7.8635e-12	0.0025287569152027	0.0675904242742589	-1.527736677901249	45.23907716016221	RIA1;FUN12;RLI1;NOG2;SEC18;SUP35;ATP1;SRP101;STH1;SMC3;SNU114;AFG2;YEF3;VPS4;CDC48;RPT5;RPT2;MOT1
GO_Molecular_Function_2018	ATP-dependent RNA helicase activity (GO:0004004)	8/41	2.3915278e-09	9.08780582e-08	0.0007465036606223	0.0567342782072949	-1.6750203823580885	33.25138807606969	PRP43;DHR2;HAS1;AIR2;SPB4;DBP7;BRR2;ECM16
GO_Molecular_Function_2018	ATPase activity (GO:0016887)	12/112	3.251796e-10	1.4828192e-08	0.0045907072992029	0.0872234386848559	-1.4624538295073857	31.949707181123543	YEF3;VPS4;RLI1;CDC48;SEC18;RPT5;RPT2;ATP1;MOT1;SMC3;ARB1;AFG2
GO_Molecular_Function_2018	ATPase activity, coupled (GO:0042623)	9/69	9.7549117e-09	3.177314101e-07	0.0043561927523915	0.0872234386848559	-1.7171154711919616	31.673044688903072	SNF2;RAD51;VPS4;HAS1;RPT5;RPT2;STH1;CHD1;BRR2
GO_Molecular_Function_2018	3'-5' RNA helicase activity (GO:0034458)	4/11	1.8642268654e-06	2.89190724991e-05	0.0026680430634575	0.0675904242742589	-2.277733370808579	30.04937136198967	PRP43;DHR2;AIR2;ECM16
GO_Molecular_Function_2018	ATP-dependent 3'-5' RNA helicase activity (GO:0034459)	4/11	1.8642268654e-06	2.89190724991e-05	0.0026680430634575	0.0675904242742589	-2.266324575835044	29.898858961659485	PRP43;DHR2;AIR2;ECM16
GO_Molecular_Function_2018	RNA helicase activity (GO:0003724)	7/38	3.78035062e-08	1.077399927e-06	0.0021504108783185	0.0675904242742589	-1.5999398454507732	27.34435427754328	PRP43;DHR2;HAS1;SPB4;DBP7;BRR2;ECM16
