Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	CKS1	57/597	0.0	0.0	2.7e-15	1.06237e-11	-1.6120879279193554	157.35317711273427	TSC11;PUP2;PUP1;SRM1;SET1;PWP2;SMC3;CHD1;GLE2;CDC23;BEM2;FAS2;ESA1;SKT5;SEC18;SUP35;INN1;PKC1;CDC40;GPI13;DBF4;CDC39;SCC2;RPT5;GAS1;AZF1;VPS27;RPN6;AXL2;MET30;PAB1;RPN1;ESS1;CBF5;COP1;SDS22;VPS4;CDC48;HAS1;SIN3;NUP116;SPB4;ELP2;PSE1;ELP3;RNA1;CDC60;CDC4;NDC80;GCD6;RSC8;RAD51;PMR1;RPO21;DOA1;BET2;TAF1
Gene_Interaction_Hubs_BioGRID_2018	STB5	57/667	0.0	0.0	2.492e-13	3.261743e-10	-1.6543303155879785	151.23360595280857	POL3;DHR2;SMC3;CHD1;CDC24;THS1;FAS2;SEH1;PRP46;ESA1;RIA1;SEC13;BAS1;AVO1;SUP35;INN1;MSL5;PKC1;CDC40;AFG2;VMA1;DBF4;XRN1;CDC39;SCC2;AZF1;VPS27;RSP5;NOP4;PRP4;MET30;ESS1;TRS23;CBF5;TIF34;SDS22;VPS4;CDC48;SWI6;HAS1;CEP3;SIN3;MPT5;PDC2;EAF1;VAC8;NOG2;SPB4;GLN4;ELP3;CDC60;SNU114;BRR2;BDF1;MRD1;DOA1;TAF1
Gene_Interaction_Hubs_BioGRID_2018	CDC20	69/979	0.0	0.0	1.8952e-12	1.062978e-09	-1.4960680563064448	149.49663831137917	TSC11;PUP2;PUP1;POL3;MCM7;SET1;UBP14;CHD1;GLE2;CDC23;DNF2;BEM2;CDC27;ESA1;PRP11;UTP13;SEC18;INN1;MSL5;PKC1;VMA1;DBF4;SCC2;RPT5;RPT2;ERB1;VPS27;RSP5;RPN6;AXL2;PRP4;PAB1;UTP21;RPN1;TOM71;RRB1;SRP101;CBF5;VPS4;RAD23;RVB1;CDC48;SWI6;HAS1;CEP3;MOT1;SIN3;SUA7;NUP116;SFB2;PDC2;EAF1;CIA1;ADA2;RNA1;CDC4;NDC80;SNU114;FIG2;BRR2;RSC8;BDF1;RAD51;RAP1;YTM1;CDC16;UBA1;DOA1;TAF1
Gene_Interaction_Hubs_BioGRID_2018	LSM1	64/858	0.0	0.0	1.7035e-12	1.062978e-09	-1.5607913012816292	148.78796698028594	POL3;MCM7;DHR2;NUP145;SRM1;PRP40;NAB2;SET1;UBP14;KOG1;GUS1;CHD1;YEF3;CDC23;PCF11;BEM2;FAS2;SEH1;PRP46;ESA1;PRP11;BAS1;UTP13;SUP35;MSL5;PKC1;AFG2;VMA1;GPI13;DBF4;XRN1;CDC39;SCC2;GAS1;RPT2;ERB1;RSP5;RPN6;NOP4;PAB1;UTP21;RPO31;ESS1;TRS23;VPS4;CDC48;SWI6;CEP3;SIN3;SUA7;MPT5;ZAP1;EAF1;ADA2;RNA1;CDC60;NDC80;SNU114;BRR2;RAD51;RAP1;TAF5;DOA1;TAF1
Gene_Interaction_Hubs_BioGRID_2018	YDJ1	60/831	0.0	0.0	4.43192e-11	1.15998239e-08	-1.6844487544508238	146.39491882902104	TSC11;PUP2;POL3;DHR2;DIP2;CYR1;SMC3;GUS1;CDC23;CDC24;PCF11;THS1;CDC27;FAS2;SEH1;ESA1;SKT5;UTP13;AVO1;STH1;PKC1;VMA1;SIS1;DBF4;XRN1;CDC39;SCC2;RPT5;GAS1;MET30;UTP21;RPO31;IQG1;CBF5;COP1;TIF34;SDS22;CDC48;CEP3;MOT1;TAH18;SIN3;SNF2;RLI1;VAC8;SPB4;ELP2;CIA1;PSE1;ADA2;RNA1;CDC60;CDC4;SNU114;RAD51;TAF5;DOA1;BET2;SEC31;TAF1
Gene_Interaction_Hubs_BioGRID_2018	ABF1	44/380	0.0	0.0	2.12e-14	4.16202e-11	-1.7330352388105636	143.0708930226466	RSP5;PRP43;RPN6;TSC11;POL3;PRP4;SRM1;RPN1;CYR1;KOG1;CDC43;CDC24;CDC48;SWI6;HAS1;CDC27;MOT1;SNF2;NUP116;RIA1;SEC13;PRP11;RLI1;PDC2;UTP13;NOG2;SPB4;SEC18;SUP35;PSE1;CRM1;CDC60;PKC1;CDC4;AFG2;BRR2;GPI13;BDF1;DBF4;CDC39;RPO21;RPT2;TAF5;BET2
Gene_Interaction_Hubs_BioGRID_2018	STU1	59/782	0.0	0.0	1.24265e-11	4.8786673e-09	-1.6145184865510642	141.7590611709412	PRP43;TSC11;PUP1;POL3;DIP2;SMC3;KOG1;CHD1;YEF3;GLE2;CDC23;CDC24;FAS2;PRP46;PRP11;AVO1;SUP35;CRM1;GPI13;DBF4;XRN1;CDC39;SCC2;RPT5;GAS1;RPT2;RSP5;RPN6;PRP4;MET30;RPN1;RPB2;SRP101;PRP8;SUA5;COP1;TIF34;SDS22;CDC48;HAS1;MOT1;SUA7;NUP116;SFB2;PDC2;NOG2;SPB4;PSE1;CDC4;NDC80;SNU114;BRR2;RAD51;MRD1;CDC16;PMR1;RPO21;DBP7;TAF1
Gene_Interaction_Hubs_BioGRID_2018	SEC12	56/736	0.0	0.0	3.83214e-11	1.07464318e-08	-1.681799066247594	140.26810108424775	PRP43;SEC7;PUP1;POL3;PRP40;NAB2;UBP14;PWP2;CHD1;GLE2;CDC23;CDC24;PCF11;FAS2;PRP46;SEC13;PRP11;UTP13;AVO1;MSL5;PKC1;GPI13;DBF4;CDC39;GAS1;RPT2;PRP21;RPN6;PRP4;MET30;PAB1;RPN1;SRP101;ESS1;TRS23;COP1;TIF34;CDC48;SIN3;RLI1;VAC8;ELP2;GLN4;ELP3;RNA1;CDC4;NDC80;SNU114;RSC8;RAP1;PMR1;RPO21;DBP7;TAF5;SEC31;TAF1
Gene_Interaction_Hubs_BioGRID_2018	CTF8	54/641	0.0	0.0	2.352e-12	1.1542785e-09	-1.5980529549621088	136.607953822144	TSC11;PUP1;POL3;MCM7;DHR2;SET1;UBP14;SMC3;CHD1;GLE2;BEM2;CDC27;VPS36;ESA1;SEC18;AVO1;INN1;STH1;PKC1;DBF4;XRN1;CDC39;SCC2;RPT5;RPT2;VPS27;RPN6;MET30;SRP101;COP1;CDC48;SWI6;TAH18;SIN3;NUP116;ZAP1;EAF1;VAC8;CIA1;ELP3;CDC60;CDC4;NDC80;BRR2;RSC8;BDF1;RAD51;RAP1;CDC16;PMR1;DBP7;TAF5;DOA1;TAF1
Gene_Interaction_Hubs_BioGRID_2018	GPI19	54/697	0.0	0.0	5.1824e-11	1.27163195e-08	-1.6774283962222047	136.0760926093811	PRP43;SEC21;TSC11;POL3;MCM7;NUP145;PRP40;NAB2;SET1;SMC3;OLE1;CHD1;GLE2;CDC23;CDC24;DNF2;BEM2;PRP46;ESA1;PRP11;UTP13;AVO1;SUP35;MSL5;PKC1;AFG2;GPI13;DBF4;RSP5;PRP21;PRP4;RPN1;ESS1;PRP8;IQG1;COP1;TIF34;SDS22;CDC48;SWI6;MOT1;SIN3;SUA7;NUP116;PDC2;SPB4;ELP2;RNA1;ADE6;CDC60;PMR1;TAF5;DOA1;SEC31
Gene_Interaction_Hubs_BioGRID_2018	BET3	47/476	0.0	0.0	5.302e-13	5.204476e-10	-1.657647289079055	134.28056575123586	PRP43;SEC7;SEC21;POL3;MET30;NUP145;SRM1;PAB1;RPO31;NAB2;RPB2;RRB1;SET1;ESS1;TRS23;CDC43;COP1;SDS22;CDC23;PCF11;CDC48;AIR2;SIN3;ESA1;SUA7;SFB2;VAC8;SEC18;RNA1;CDC60;PKC1;NDC80;SNU114;AFG2;BRR2;GPI13;BDF1;DBF4;RAP1;RPO21;GAS1;RPT2;DOA1;BET2;SEC31;TAF1;VPS27
