Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	HA2	3/6	1.3366019541e-05	7.85253648037e-05	0.0102860453425422	0.105596002092356	-743.0	8338.536630671104	PRP43;DHR2;ECM16
Pfam_Domains_2019	EFG_C	2/7	0.0015884715190165	0.0043916565525751	0.0823140438389372	0.2417975037768782	-785.8571428571429	5064.835952782049	RIA1;SNU114
Pfam_Domains_2019	Myb_DNA-binding	4/9	7.217383561e-07	1.13072342466e-05	0.0039843161714375	0.105596002092356	-199.8571428571429	2826.300401240664	RSC8;BAS1;RAP1;ADA2
Pfam_Domains_2019	FYVE	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-807.2857142857144	2531.2455159632173	VPS27
Pfam_Domains_2019	Glyco_hydro_72	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-614.4285714285714	1926.5416676973628	GAS1
Pfam_Domains_2019	GTP_EFTU_D3	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-593.0	1859.3523512233787	SUP35
Pfam_Domains_2019	GTP_EFTU_D2	4/13	3.9835428551e-06	4.68066285477e-05	0.0112336172438676	0.105596002092356	-130.8095238095238	1626.3991500312318	RIA1;FUN12;SUP35;SNU114
Pfam_Domains_2019	DnaJ_C	1/6	0.0519452839831837	0.0659845499245847	0.3253040205235985	0.4132240260705171	-507.28571428571433	1500.3301415413189	SIS1
Pfam_Domains_2019	F-box-like	2/5	0.0007652966480337	0.0025692101755417	0.0515143476929488	0.1862441801206613	-152.2380952380952	1092.3459398111331	MET30;CDC4
Pfam_Domains_2019	AAA	6/33	4.00879046e-07	9.4206575828e-06	0.0164617874786075	0.125018426782571	-70.4	1036.964268444622	VPS4;CDC48;SEC18;RPT5;RPT2;AFG2
Pfam_Domains_2019	HECT	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-310.85714285714283	974.6930176492584	RSP5
Pfam_Domains_2019	GTP_EFTU	4/16	9.9313554392e-06	7.77956176075e-05	0.0202036522841341	0.125018426782571	-84.14285714285714	969.3100291988762	RIA1;FUN12;SUP35;SNU114
Pfam_Domains_2019	DnaJ	1/19	0.1554698768183268	0.1623796491213635	0.6770843554427112	0.7071769934623872	-428.7142857142857	797.9673080429461	SIS1
Pfam_Domains_2019	C2	3/9	5.50471186251e-05	0.0002587214575382	0.0239396987455987	0.125018426782571	-59.2	580.5934054031893	RSP5;INN1;PKC1
Pfam_Domains_2019	Bromodomain	3/10	7.81267771978e-05	0.0003338144116634	0.0299263135179298	0.1406536735342703	-59.2	559.8649199604234	SNF2;BDF1;STH1
Pfam_Domains_2019	WW	3/5	6.7268742338e-06	6.32326177986e-05	0.007133924919566	0.105596002092356	-42.71428571428572	508.701513209965	RSP5;PRP40;ESS1
Pfam_Domains_2019	ABC_tran	3/28	0.0018971482728403	0.004948275476813	0.2366028477294713	0.4132240260705171	-58.4	366.0163602730718	YEF3;RLI1;ARB1
Pfam_Domains_2019	HGTP_anticodon	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-89.93877551020411	282.0031597150922	THS1
Pfam_Domains_2019	tRNA-synt_2b	2/6	0.0011412619622945	0.0033524570142401	0.0663078219509087	0.2077645087795142	-38.71428571428572	262.31331351745706	THS1;SES1
Pfam_Domains_2019	ThiF	2/8	0.0021056491390693	0.004948275476813	0.0993610580227175	0.2594427626148737	-34.83673469387756	214.7033762446366	UBA2;UBA1
Pfam_Domains_2019	UBA	2/6	0.0011412619622945	0.0033524570142401	0.0663078219509087	0.2077645087795142	-31.107142857142865	210.7701993299863	RAD23;UBP14
Pfam_Domains_2019	OB_NTP_bind	3/6	1.3366019541e-05	7.85253648037e-05	0.0102860453425422	0.105596002092356	-12.194805194805197	136.85979787453752	PRP43;DHR2;ECM16
Pfam_Domains_2019	Sec7	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-38.71428571428572	121.3886984296641	SEC7
Pfam_Domains_2019	CPSase_L_D2	1/7	0.0603380860609113	0.0708972511215708	0.3623034774630969	0.4257065860191389	-34.4	96.58803671588733	CPA2
Pfam_Domains_2019	Cyt-b5	1/6	0.0519452839831837	0.0659845499245847	0.3253040205235985	0.4132240260705171	-32.0	94.64205905526762	OLE1
Pfam_Domains_2019	Cation_ATPase_N	1/7	0.0603380860609113	0.0708972511215708	0.3623034774630969	0.4257065860191389	-32.8	92.09556989189257	PMR1
Pfam_Domains_2019	PA14	2/5	0.0007652966480337	0.0025692101755417	0.0515143476929488	0.1862441801206613	-11.761904761904765	84.39457214055363	FLO9;FLO1
Pfam_Domains_2019	SMC_N	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-25.142857142857142	78.83546466280768	SMC3
Pfam_Domains_2019	KH_1	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	-16.523809523809526	51.81042848104975	MSL5
Pfam_Domains_2019	zf-C2H2	2/19	0.0120639286129404	0.0257729384003728	0.3191664446079065	0.4132240260705171	-11.181818181818182	49.39607748789618	ZAP1;AZF1
Pfam_Domains_2019	RhoGAP	1/10	0.0850757784831243	0.0929898043885312	0.4617182371867591	0.5046687708785507	-15.441558441558442	38.05128763265353	BEM2
Pfam_Domains_2019	DEAD	7/46	1.510572286e-07	7.0996897473e-06	0.0217099298540233	0.125018426782571	-0.4534161490683229	7.121175878334944	PRP43;DHR2;HAS1;SPB4;DBP7;BRR2;ECM16
Pfam_Domains_2019	Prot_ATP_ID_OB	2/5	0.0007652966480337	0.0025692101755417	0.0515143476929488	0.1862441801206613	-0.4916919831452496	3.528011438834642	RPT5;RPT2
Pfam_Domains_2019	ubiquitin	1/9	0.0769026893986039	0.0860577714698663	0.4304067231826725	0.4816456187996574	1.4444444444444449	-3.705309732812156	RAD23
Pfam_Domains_2019	Zn_clus	1/44	0.3239960015801788	0.3239960015801788	0.9234854130665284	0.9435611829158006	7.892857142857141	-8.895440249964283	CEP3
Pfam_Domains_2019	RRM_1	5/45	4.70549402706e-05	0.0002457313547465	0.1314594483515557	0.325189161711743	1.155844155844156	-11.517056208228595	NOP4;PUF2;PAB1;MRD1;SNP1
Pfam_Domains_2019	Proteasome	2/14	0.0066086689960154	0.0147908306101298	0.2155922889267098	0.4132240260705171	2.8367296315098613	-14.238604142176872	PUP2;PUP1
Pfam_Domains_2019	PCI	2/8	0.0021056491390693	0.004948275476813	0.0993610580227175	0.2594427626148737	4.904761904761901	-30.228692496071627	RPN6;RPN9
Pfam_Domains_2019	Pribosyltran_N	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	17.844400146852276	-55.95114227524551	PRS3
Pfam_Domains_2019	PH	1/17	0.1403074436760649	0.1498738602903421	0.6381328776070668	0.6816419374439122	38.632653061224495	-75.87141055637679	BEM2
Pfam_Domains_2019	Proteasome_A_N	1/7	0.0603380860609113	0.0708972511215708	0.3623034774630969	0.4257065860191389	28.428571428571423	-79.82150874776401	PUP2
Pfam_Domains_2019	MCM_N	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	35.85714285714286	-112.4301228997996	MCM7
Pfam_Domains_2019	Pkinase	2/113	0.2642469750838048	0.2699914745421484	0.990446658603398	0.990446658603398	91.07098109485668	-121.2037369219452	CDC5;PKC1
Pfam_Domains_2019	Pribosyl_synth	1/5	0.0434779469783753	0.0619231366055648	0.2861912101199404	0.4132240260705171	41.52668471990456	-130.2069795488474	PRS3
Pfam_Domains_2019	NAD_binding_1	1/8	0.0686570056215763	0.0787043722979046	0.3973021566662526	0.4554439356905822	57.28571428571431	-153.4473533628286	TAH18
Pfam_Domains_2019	MCM_OB	1/6	0.0519452839831837	0.0659845499245847	0.3253040205235985	0.4132240260705171	85.85714285714286	-253.92802451882076	MCM7
Pfam_Domains_2019	MCM	1/6	0.0519452839831837	0.0659845499245847	0.3253040205235985	0.4132240260705171	93.0	-275.05348412937155	MCM7
