LINE 401 : 2023-01-09 16:04:48,321 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 228 : 2023-01-09 16:04:48,324 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 456 : 2023-01-09 16:04:48,552 [DEBUG   ] http://maayanlab.cloud:80 "GET /YeastEnrichr/datasetStatistics HTTP/1.1" 308 172
LINE 1001: 2023-01-09 16:04:48,559 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 456 : 2023-01-09 16:04:48,981 [DEBUG   ] https://maayanlab.cloud:443 "GET /YeastEnrichr/datasetStatistics HTTP/1.1" 200 None
LINE 421 : 2023-01-09 16:04:48,989 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 422 : 2023-01-09 16:04:48,989 [INFO    ] Analysis name: , Enrichr Library: GO_Biological_Process_2018
LINE 228 : 2023-01-09 16:04:48,998 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 456 : 2023-01-09 16:04:49,187 [DEBUG   ] http://maayanlab.cloud:80 "POST /YeastEnrichr/addList HTTP/1.1" 308 172
LINE 1001: 2023-01-09 16:04:49,194 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 456 : 2023-01-09 16:04:49,807 [DEBUG   ] https://maayanlab.cloud:443 "POST /YeastEnrichr/addList HTTP/1.1" 200 73
LINE 228 : 2023-01-09 16:04:50,822 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 456 : 2023-01-09 16:04:51,013 [DEBUG   ] http://maayanlab.cloud:80 "GET /YeastEnrichr/export?userListId=1355572&filename=GO_Biological_Process_2018..reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 308 172
LINE 1001: 2023-01-09 16:04:51,021 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 456 : 2023-01-09 16:04:52,535 [DEBUG   ] https://maayanlab.cloud:443 "GET /YeastEnrichr/export?userListId=1355572&filename=GO_Biological_Process_2018..reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 200 None
LINE 430 : 2023-01-09 16:04:52,954 [INFO    ] Save file of enrichment results: Job Id:04b6960ff329d16f3b470abeeadfb55b
LINE 1329: 2023-01-09 16:04:53,099 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 1.335
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,100 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'cmb10' (cmb10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal 700 normal>) = 0.05
LINE 1341: 2023-01-09 16:04:53,101 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 0.33499999999999996
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal 700 normal>) = 1.05
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniIta.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-01-09 16:04:53,102 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2023-01-09 16:04:53,103 [DEBUG   ] findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.335
