Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	DNA metabolic process (GO:0006259)	74/207	0.0	0.0	0.0024002393719422	0.972748545320268	-1.8904361295686984	161.53738156384142	POL2;POL1;POL12;MRE11;RNH1;HPR1;YNG2;SMC5;RRD1;SMC6;MFT1;YKU70;IRC3;DPB2;SLD2;RFC3;RFC1;HEK2;RPO41;TRA1;HRQ1;EST1;SLD3;NSE4;TEL1;YKU80;SGS1;NTG1;MSH2;DPB11;NSE1;MSH3;ADK1;DMC1;MCM3;BUD32;MCM4;TOP3;MCM5;EBS1;PIF1;SPT10;MEC1;RAD9;NMD2;SIR3;SEN1;ORC1;RDH54;RAD27;NAM7;RAD28;CDC9;MPH1;TSA1;EAF3;CSM3;CDC7;INO80;SNF5;EAF7;EPL1;RAD53;RAD50;CDC13;RAD57;SWD1;TDP1;RAD54;SRS2;RAD1;LYS20;TOR1;FUN30
GO_Biological_Process_2018	intracellular protein transport (GO:0006886)	51/161	0.0	0.0	0.0534095870689865	0.972748545320268	-1.858629211698933	98.07785790314992	SSO1;RTP1;SSO2;BRO1;SXM1;COS10;DNF3;SEC61;SRP1;BPH1;NUP170;COS9;COS8;KAP114;COS7;APS2;COS6;COS5;COS4;COS3;COS2;COS1;NUP57;PMT1;APL5;USO1;APL3;MOG1;CDC50;KAP104;MDR1;NUP85;NUP49;CSE1;TLG2;MLP1;NUP157;ECM30;NIC96;KAP95;SSH4;SNF8;DRS2;ACC1;IWR1;MSB3;YPT11;GYP5;YPT10;GYP7;BCP1
GO_Biological_Process_2018	DNA repair (GO:0006281)	61/169	0.0	0.0	0.0047226948325349	0.972748545320268	-1.355790895493685	96.5300835132576	POL2;POL1;POL4;MRE11;TFB2;YNG2;SMC5;RRD1;SMC6;APN2;SMC1;CHL1;PSY3;HTB1;RFC3;RFC1;TRA1;TPA1;HRQ1;NSE4;TEL1;SGS1;NTG1;MSH2;DPB11;NSE1;MSH3;MSH4;PAP2;MSH5;SPT10;MEC1;RAD9;RAD5;MEC3;RTT107;RDH54;RAD28;RAD26;PMS1;CDC9;MPH1;RSC1;EAF3;CSM3;INO80;SNF5;MLH1;EAF7;MLH2;HSM3;EPL1;PAN2;RAD53;RAD50;RSC2;TDP1;SRS2;MMS2;LYS20;TOR1
GO_Biological_Process_2018	vesicle-mediated transport (GO:0016192)	58/213	0.0	0.0	0.2240142529196022	0.972748545320268	-1.6985589598840267	87.03560143493439	SEC22;PKH1;NYV1;SSO1;SSO2;FAB1;RVS167;SLA2;SLA1;COS10;YSC84;SNX41;COS9;SVL3;COS8;COS7;COS6;COS5;COS4;COS3;COS2;COS1;STP22;PEP7;VPS24;PEP3;BRE4;YAP1801;USO1;MYO2;EDE1;CDC50;RCY1;MYO3;BOS1;VPS53;MYO5;VPS13;RTT10;VAM6;VPS16;MON1;MON2;TLG2;SYT1;ENT1;SSH4;SWH1;DRS2;GMH1;PAN1;MSB3;GYP5;VPS41;GYP7;GYP8;COY1;DOA4
GO_Biological_Process_2018	proteolysis (GO:0006508)	28/50	0.0	0.0	0.0004623499790704	0.7060084180406057	-1.608607836747033	77.31110061667717	DAP2;YME1;RIM20;NAS6;OCT1;MKC7;AAP1;APE4;AMA1;APE2;TMA108;RIM8;CYM1;ATG19;AFG3;MAS2;MAS1;ICP55;RIM11;YPS6;CPS1;DFG16;PRC1;ECM14;SSY5;STE23;YPS3;STE24
GO_Biological_Process_2018	cellular protein modification process (GO:0006464)	55/213	0.0	0.0	0.3493561484627331	0.972748545320268	-1.515667014698862	69.59202811805143	PKH2;MPS1;AKL1;RCK2;SIP2;RIO1;KIN2;GCN2;MNN2;KIN1;ATG1;PPQ1;STT3;KIN4;ALG3;GIN4;ALG11;GPI17;BPL1;PHO13;SAK1;PPZ1;RIM11;DBF2;YPK3;BUD32;RIM15;MKK2;KNS1;KKQ8;PSR2;PSR1;MSG5;IRE1;VHS1;BCK1;NEM1;SNF1;ATE1;PMI40;GLR1;GIP2;SCH9;KSP1;CDC7;PNG1;SNF4;RAD53;CDC55;NTA1;RIT1;CDC14;SKY1;CBK1;MEK1
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	70/337	0.0	0.0	0.8965721736586462	0.972748545320268	-1.526302765172043	68.2068608645029	PUT3;CAF16;POP2;TFB2;HAL9;TOD6;RRD1;RPA12;JHD2;CAF120;MGA2;EMI2;LEU3;ARG81;PHO4;HTB1;TFG1;REG1;SIP3;MBF1;SAS3;RTG3;TRA1;SAS2;SSN8;PDR3;PDR1;CKS1;BUD32;PPR1;BYE1;RIM15;PAH1;MAC1;SPT10;RAD9;ARP9;CRF1;ISW1;NOT5;SWI3;SWI1;CUP2;RTF1;LYS14;PHO23;GSM1;CAD1;YTA7;THI3;SPT3;SPT2;SFL1;SSL2;ASG1;NGG1;EAF3;GLN3;INO80;ELP4;SNF5;GTR2;EAF7;MSN2;SNF4;EPL1;RAD3;FAP1;FCP1;FUN30
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	56/241	0.0	2e-16	0.629008788448654	0.972748545320268	-1.5179866532929682	62.82013849095981	PUT3;HPR1;HAL9;ASP1;JHD2;MGA2;EMI2;MBP1;LEU3;ARG81;GAT1;PHO4;SIP3;UTP15;MBF1;SAS3;RTG3;TRA1;SAS2;SSN8;PDR3;PDR1;CKS1;BUD32;PPR1;RIM15;PAH1;MAC1;RAD9;ARP9;ISW1;SWI3;SWI1;CUP2;LYS14;PHO23;CAD1;NUP85;ASP3-1;YTA7;THI3;ASP3-2;SFL1;SSL2;ASG1;HHO1;UTP4;SCH9;GLN3;INO80;SNF5;GTR2;MSN2;CDC55;RAD3;TAP42
GO_Biological_Process_2018	protein phosphorylation (GO:0006468)	41/144	0.0	3e-15	0.1956047906646196	0.972748545320268	-1.6139817603310571	61.92959754671202	PKH2;PKH1;MKK2;MEC1;KNS1;KKQ8;TFB2;MPS1;AKL1;IRE1;VHS1;BCK1;RCK2;SIP2;RIO1;SNF1;SSL2;KIN2;GCN2;KIN1;ATG1;SCH9;KIN4;GIN4;KSP1;CDC7;COQ8;SNF4;RAD53;TEL1;SAK1;RIM11;DBF2;SKY1;YPK3;RAD3;BUD32;CBK1;MEK1;TOR1;RIM15
GO_Biological_Process_2018	fungal-type cell wall organization (GO:0031505)	40/150	6e-16	7.57e-14	0.3129713706230822	0.972748545320268	-1.6197024241464848	56.65256969793568	INP53;UBC7;PAU2;SLA2;INP51;KIC1;CRR1;MYO3;PAU4;MKC7;HRD1;MYO5;PAU6;IRE1;TUS1;KRE6;TPS2;EXG2;SNF1;PRS5;PRS2;AVO2;MTL1;BPH1;PAU18;KTR7;GPI14;YPS6;PMT3;PMT6;GAS4;CHS3;CHS2;PMT5;SIM1;DAN4;GAS5;TOR1;YPS3;PMT1
