Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	376/1599	0.0	0.0	0.2104461449507414	0.9967408543478516	-1.5655556829259734	475.2490927696328	PKH2;LTV1;RNH1;UGA3;HMT1;ECM22;HAL9;RRP1;POP3;SDA1;MFG1;ALF1;HGH1;TOD6;UBP15;SMC5;SMC6;UBX5;APN2;JHD2;SMC1;SLA1;CDC20;MBP1;DSL1;ARG81;PSY3;PHO81;CAJ1;RIO2;CFT1;RIO1;AAP1;TRI1;REV1;GIN4;PTI1;PRE2;PAT1;NTO1;SSN8;BPL1;MTR4;SAK1;CIK1;LAP2;NMA2;DPB11;DSK2;PRE5;GUF1;PPR1;TKL2;RKR1;PIF1;CLB6;MSS4;CLB5;CLB2;CLB1;SWI3;NMD3;SWI1;RTF1;FPR2;FPR4;ADH5;FKH2;TUB4;TUB1;RAD27;YTA7;VHS1;THI3;YTA6;RAD28;NAM8;RAD26;SEF1;SNF1;ASG1;PNO1;STR2;CDC9;REX4;SVF1;CDC7;SNF5;EAF7;LIA1;SNF4;STB5;SAM4;CDC14;TDP1;SGF73;NSR1;URK1;ASH1;ECM5;PIH1;YNG2;HST3;RRD1;MRS6;SXM1;NPL4;IPK1;CRP1;IME4;DRN1;CHL1;GAT1;UFD2;ITC1;RRP12;APA2;SIP2;ULP2;SLD2;TRM5;CBR1;ROM2;SRP1;AVO2;RTG3;YRF1-3;YRF1-2;HRQ1;SLD3;YRF1-5;APS2;DUS3;TAL1;YPK3;DMC1;CKS1;PCL5;BIR1;PEP7;PCL7;PAH1;RPL40B;MAC1;KNS1;RAD9;TRP4;URM1;NIP7;RAD5;SSE1;LIF1;RPL40A;VID30;MSG5;SHP1;PUB1;RTT107;PES4;SLX1;ELA1;PIK1;MEX67;PMS1;APC4;SFL1;DCS2;CAR1;APE2;DCS1;SPC110;HHO1;BCY1;MLH1;MLH2;MDY2;GID7;NUG1;GID8;RAD3;TEF4;SRS2;TSR1;MEK1;RAD1;RAD2;DBP2;NAB3;MAL13;PUT3;DBR1;MRE11;MSI1;TBS1;DST1;MGA2;AKL1;RIM20;NAS6;SYC1;HUL5;CDH1;IRC5;MAF1;SAD1;MAD1;HFM1;MBF1;URN1;RKI1;SAS3;ERG12;TRA1;CYS3;ERG10;SAS2;PHO13;NSE4;PDR3;PPZ1;CAC2;NTG1;MSH2;NSE1;MSH3;PDR1;HAT2;HAT1;MSH5;TRM13;SQS1;BYE1;DUG2;QNS1;LCL3;RIM15;SPT10;PRP5;IFM1;KKQ8;CRF1;ISW1;CUL3;NOP7;SPT15;LYS14;PHO23;GSM1;EMG1;SDS23;RCM1;SEN1;ORC1;VTS1;CBF2;CAD1;YHB1;IRE1;SPT3;SPT2;PRO2;HEM3;PDC5;SCH9;BLM10;PDC1;KTR3;KSP1;IPP1;SPB1;YRB30;GLN3;PNG1;PRE10;RIX7;PAN1;THP1;PBP1;SKY1;LYS20;TDH3;FCP1;BNA6;POL12;POL4;SPO14;PPN1;APJ1;CDC73;LEU3;VPS75;HSL7;PHO4;DPB2;KIN2;KIN1;RFC3;GCN5;PDE2;SWR1;RFC1;DIS3;KIN4;ARO4;TPA1;EST1;SAW1;KAP114;RAD30;THR4;TEL1;ICP55;COS4;SGS1;PCT1;PAP2;MCM3;BUD32;MCM4;TOP3;MCM5;NPT1;TAD3;SHB17;MEC1;MAL33;RRN3;LIN1;ARP9;STO1;MOG1;CUP2;MSO1;RNH70;IRC20;OYE2;CLN1;KAR2;BMS1;RDH54;PRP24;SNT1;SSL2;GAL3;GAL4;PMI40;GLR1;SPO22;SWT1;SGD1;MPH1;CSM3;DPS1;MND2;BRN1;GTR2;MSN2;IWR1;HSM3;RAD53;RAD50;CDC55;AFI1;RAD57;SDO1;RAD54;RDR1;CBK1;MMS2;FAP1;TOR1;BCP1;NCL1;FUN30;ZPR1;ACS2
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	242/1063	0.0	0.0	0.4745669279307722	0.9967408543478516	-1.5418027137366643	275.78223593088416	VAS1;PHB1;ATG27;HAL9;FAB1;ENO1;SMC6;CTP1;SMC2;BTS1;SUC2;FSF1;ERG6;CFT1;SEC63;MSP1;GLT1;MDM38;MDM32;REV1;GTT2;SHY1;TNA1;PIC2;SCO1;REV3;LSC1;GUF1;ATP25;TOF2;MSS1;PIF1;YMC1;ADH3;MSC1;MRPL20;YSP2;RAD27;SUV3;GCV2;VPS13;HSP78;TIM12;NAM2;ATG7;SNF1;MEF2;MSR1;MRP1;TAZ1;CYM1;MEF1;HTS1;CDC9;MRPL25;REX2;GCD7;SLS1;MSB1;NCP1;NTA1;HXT14;TIM23;FRE5;NSR1;MRS4;MRPS16;YME2;YME1;MRPL35;CSR1;FYV4;NEW1;CBR1;ARG3;STT4;RPO41;GPI18;LYS4;MRPS5;MRPL44;LAT1;FUM1;MRPL51;SAP185;ADK1;MSD1;BIR1;OMS1;YIM1;ODC2;RPL40B;BAT1;GEM1;MSW1;RML2;ODC1;TCB3;BI2;TUF1;BI3;SAM35;SIR3;SAM37;TAO3;YLF2;DLD3;IRA2;MDJ1;IRA1;ARG8;ILV2;APE2;DCS1;ATM1;KGD1;PMA2;MLH1;MAS2;MAS1;BCH2;MSF1;TEF4;TCB1;TEF1;MIS1;DBP2;PSP1;MRE11;PDB1;PUT1;TBS1;YIA6;CAB5;OCT1;PIM1;MDL1;MDL2;IRC3;VMS1;ILV5;CAT5;ILV6;PDA1;ILV3;LOS1;MBF1;SDH8;ERG10;PUS6;ETR1;PDR5;ALO1;MRF1;NTG1;PYK2;PET8;LCL3;VMR1;RDL2;PET9;IFM1;MSK1;URA2;CYT2;YHB1;NEM1;SYT1;ALA1;COQ9;COQ8;PNG1;COQ4;COQ1;NAT1;MRH4;PBP1;COX23;CEM1;ACO2;LYS20;TDH3;ROT2;MIC60;POL1;MGE1;SLM5;APJ1;MTO1;MSM1;FMP27;MRPL1;VPS73;PFK1;LEU5;LEU4;MMR1;MRPL9;TPS2;OXA1;ACP1;LEU9;LAM4;MPA43;PPM2;DIS3;BPH1;RSM7;HFA1;AFG3;COS7;RAD30;TEL1;ICP55;FLC3;FZO1;SNQ2;AIM18;MEC1;AXL1;PIB2;PIS1;IRC20;OYE2;MCP1;TMA19;BMS1;MMT1;LSB3;TUM1;FKS1;GLR1;GUT2;GDB1;SPF1;ACC1;RAD50;YPT11;STE23;DOA4;ACS1;FUN30
GO_Cellular_Component_2018	cytosol (GO:0005829)	191/676	0.0	0.0	0.0020835863197201	0.5300286105964394	-1.5436839032242025	274.3557265326847	VAS1;PKH1;HMT1;PDR17;PDR16;FDH1;POP3;UBP15;ENO1;RVS167;BRO1;CAB5;NAS6;RNY1;DSL1;PSY3;PHO81;CAJ1;RIO2;VMS1;NPY1;RIO1;ARA1;ATG1;RIM8;RKI1;ATG19;YSC84;ERG12;PTI1;FRS2;PRE2;ERG10;EGH1;ATG13;PHO13;SAK1;CAC2;PYC1;GRH1;PDR1;STP22;LSC1;VPS24;TKL2;LDB19;PYC2;RKR1;MSS1;SRO7;MKK2;PSR2;PSR1;ASN2;SWI3;NMD3;ART5;SPT14;GEA2;KAP104;FKH2;VTS1;YHB1;RAD27;SUV3;YTA7;THI4;THI3;GCV2;SPT3;YDJ1;SPT2;ATG7;GUA1;AAT2;MEF2;PRO1;PDC6;PDC5;MEF1;ARO10;BLM10;PDC1;HTS1;SWH1;GLN3;SNF5;PNG1;ATG34;GCD7;SNF4;CDC11;NCP1;MSB3;SAM1;SAM2;GYP5;CHS5;GYP7;ALY2;SNO1;ACO2;SGF73;TDH3;FCP1;ILS1;UBC7;PPN1;APJ1;YNG2;MRS6;SXM1;CSR1;NCS2;EMI2;SAH1;DRN1;THI20;TRS85;THI21;VPS75;HSL7;HBS1;LHS1;ACP1;EFT1;GAL1;PGM1;EFT2;ARG4;RFC3;GCN5;ARG3;SWR1;SRP1;AVO2;BPH1;PEX1;KAP114;FAR11;OXP1;PEX7;FUM1;PAP2;PEX6;PEX5;GCN20;BUD32;NPT1;FBP1;PAH1;DED81;URM1;SSE1;MSO1;SHP1;TMA19;PES4;VPS53;IRA2;SNT1;SSL2;GAL3;MON1;PET18;CAR1;CSE1;GLR1;MDH2;BCY1;TSA1;DPS1;KGD1;MSN2;ACC1;ROG3;HSM3;RAD53;CDC55;MES1;MDY2;GSH2;TSA2;TEF1;VIP1;BET3;FRA1;DOA4;ACS1;TAP42;ACS2
GO_Cellular_Component_2018	fungal-type vacuole (GO:0000324)	120/452	0.0	0.0	0.0574535870123158	0.9967408543478516	-1.4215790074240824	146.16746206482537	DAP2;VTH2;ATG27;SSO1;PFF1;PLB3;CWH41;FAB1;ENO1;VTH1;YBT1;RNY1;PAU4;SUC2;VAC7;KRE2;PAU6;YCF1;MTC5;VMA2;VMA6;VMA7;MCH4;GEF1;ENV7;EGH1;TNA1;PMC1;THI72;NFT1;BPT1;MAM3;ECM14;VMR1;DSC3;FET5;AVT3;YMC1;MYO2;FPR2;ATX2;MKC7;ADP1;VAM6;VPS16;SNF1;SCH9;KTR3;SSH4;KTR1;VCX1;MSB3;CPS1;AMS1;FAT1;HXT14;FRE2;FRE3;FRE6;FET3;FET4;MDM1;NYV1;SEC24;RSN1;PPN1;VPS73;PRB1;STE6;GMC1;VBA3;VBA4;KEX2;MNT2;GIT1;SMF3;CSC1;VTC2;MNR2;VTC3;VTC4;PHM7;BPH1;IML1;PFA3;COS8;AFG3;COS7;COS6;COS5;COS4;COS3;PEP1;FLC1;COS2;COS1;YHC3;VNX1;GAS4;PEP3;VAC14;VAC17;CRR1;VMA13;VMA11;LSB6;MET5;TOS1;APE4;MON1;APE3;GTR2;CDC55;PRC1;YPT10;VPS41;PDR10;TMN2;TEF1;TOR1
GO_Cellular_Component_2018	lytic vacuole membrane (GO:0098852)	72/220	0.0	0.0	0.0040096135007097	0.5300286105964394	-1.5940955614802426	121.91065828973755	DAP2;NYV1;SEC24;RSN1;SSO1;PFF1;PPN1;FAB1;YBT1;VPS73;STE6;GMC1;VBA3;VAC7;KRE2;VBA4;MNT2;YCF1;MTC5;VMA2;SMF3;CSC1;VMA6;VTC2;MNR2;VMA7;VTC3;MCH4;VTC4;BPH1;ENV7;IML1;EGH1;PFA3;PMC1;AFG3;NFT1;COS4;BPT1;COS1;MAM3;VNX1;PEP3;VMR1;FET5;VAC14;VAC17;AVT3;MYO2;ATX2;VMA13;VMA11;LSB6;ADP1;VAM6;VPS16;MON1;SCH9;KTR3;KTR1;GTR2;VCX1;CDC55;MSB3;AMS1;YPT10;VPS41;FAT1;TMN2;TEF1;FRE6;TOR1
GO_Cellular_Component_2018	fungal-type vacuole membrane (GO:0000329)	72/224	0.0	0.0	0.0057197332078752	0.5300286105964394	-1.3885378470030183	104.34201749995816	DAP2;NYV1;SEC24;RSN1;SSO1;PFF1;PPN1;FAB1;YBT1;VPS73;STE6;GMC1;VBA3;VAC7;KRE2;VBA4;MNT2;YCF1;MTC5;VMA2;SMF3;CSC1;VMA6;VTC2;MNR2;VMA7;VTC3;MCH4;VTC4;BPH1;ENV7;IML1;EGH1;PFA3;PMC1;AFG3;NFT1;COS4;BPT1;COS1;MAM3;VNX1;PEP3;VMR1;FET5;VAC14;VAC17;AVT3;MYO2;ATX2;VMA13;VMA11;LSB6;ADP1;VAM6;VPS16;MON1;SCH9;KTR3;KTR1;GTR2;VCX1;CDC55;MSB3;AMS1;YPT10;VPS41;FAT1;TMN2;TEF1;FRE6;TOR1
GO_Cellular_Component_2018	nuclear lumen (GO:0031981)	76/339	0.0	0.0	0.5512972805003009	0.9967408543478516	-1.5878687904338522	84.78342617455884	NSR1;NUR1;RRP3;RRP1;APJ1;CDC20;RPA190;RRP12;MAF1;EBP2;UTP15;LAC1;TRI1;ASI1;RRP42;DIS3;SRP1;RRP40;URB2;URB1;EST1;MTR4;HMG2;DUS3;SGS1;MSH2;MSH4;PAP2;MSH5;SQS1;DUG2;TOF2;RRN3;EFM1;NOP1;NIP7;ARP6;FPR3;SRC1;NOP7;RPF2;FPR4;KAP104;SIR2;SIR3;EMG1;RCM1;BMS1;TUB1;KRE33;UAF30;APC4;MKT1;NOP58;YCS4;UTP4;MLP1;ROK1;PNO1;MDH2;SGD1;REX4;KAP95;SPB1;CSM1;DRS1;HCA4;NET1;RIX7;MDY2;NUG1;CDC14;TSR1;DBP8;MAK5;ACS2
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	70/274	0.0	0.0	0.1923738133190875	0.9967408543478516	-1.4649010812871508	84.1546934932863	POL2;POL1;POL12;MRE11;MPS1;ASH1;ECM5;TOD6;RRD1;ASP1;SLK19;SMC2;MBP1;YKU70;CHL1;HTB1;DPB2;RIO1;MAD3;MAD1;SWR1;HEK2;SAS3;REV1;SAS4;HOS4;SAS2;SLD5;SLD3;YKU80;SGS1;DPB11;REV3;HAT1;MCM3;BIR1;MCM4;MCM5;PIF1;BRE1;CRF1;ISW1;RAD5;ARP6;LIF1;SPT16;MIG3;SIR2;PHO23;SIR3;DSN1;ORC1;CBF2;POB3;RTT103;ASP3-1;ASP3-2;SIR4;SNT1;YCS4;HHO1;BCY1;INO80;CSM1;BRN1;MLH1;GTR2;PLC1;RAD50;CDC13
GO_Cellular_Component_2018	storage vacuole (GO:0000322)	62/279	0.0	0.0	0.5757683777008101	0.9967408543478516	-1.465996133669065	63.43097873747698	VTH2;ATG27;PPN1;PLB3;CWH41;ENO1;VTH1;YBT1;RNY1;PRB1;STE6;PAU4;SUC2;PAU6;KEX2;GIT1;PHM7;GEF1;TNA1;PFA3;COS8;COS7;COS6;THI72;COS5;COS4;COS3;PEP1;FLC1;COS2;COS1;YHC3;VNX1;ECM14;GAS4;AVT3;YMC1;FPR2;CRR1;VMA11;MKC7;ADP1;VAM6;MET5;TOS1;APE4;SNF1;APE3;KTR3;SSH4;KTR1;VCX1;CPS1;PRC1;HXT14;FRE2;PDR10;FRE3;FRE6;FET3;FET4;MDM1
GO_Cellular_Component_2018	lytic vacuole (GO:0000323)	63/283	0.0	0.0	0.5708972123007168	0.9967408543478516	-1.3677280102615654	60.23963424865341	VTH2;ATG27;PPN1;PLB3;CWH41;ENO1;VTH1;YBT1;RNY1;PRB1;STE6;PAU4;SUC2;PAU6;KEX2;GIT1;PHM7;GEF1;TNA1;PFA3;COS8;COS7;COS6;THI72;COS5;COS4;COS3;PEP1;FLC1;COS2;COS1;YHC3;VNX1;ECM14;GAS4;AVT3;YMC1;FPR2;CRR1;VMA11;MKC7;ADP1;VAM6;MET5;TOS1;APE4;SNF1;APE3;KTR3;SSH4;KTR1;GTR2;VCX1;CPS1;PRC1;HXT14;FRE2;PDR10;FRE3;FRE6;FET3;FET4;MDM1
