Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	DNA binding (GO:0003677)	86/337	0.0	0.0	0.5333829486991739	0.999791562975518	-1.3590692001642422	95.61418515962232	POL2;PUT3;MRE11;UGA3;ECM22;TFB2;HAL9;HOP2;TOD6;SMC5;SMC6;TBS1;SMC1;SMC2;CRP1;MBP1;LEU3;YKU70;GAT1;PHO4;PIM1;HTB1;DPB2;ILV5;SLD2;RFC3;RFC1;RTG3;EST1;YKU80;SGS1;MSH2;MSH3;PDR1;MSH4;MSH5;DMC1;MCM4;PPR1;MCM5;PIF1;SPT10;RAD9;ISW1;SWI3;SPT15;MIG3;MEC3;FKH2;LYS14;GSM1;SIR3;IOC3;VTS1;CBF2;CAD1;IOC4;RDH54;RAD27;SPT3;SPT2;SIR4;PMS1;SFL1;MKT1;ASG1;HHO1;GAL4;NUP157;TFC1;MPH1;CSM3;GLN3;MLH1;MLH2;MSN2;RAD50;THP1;STB5;RAD57;TDP1;RDR1;RAD3;RAD1;RAD2;FUN30
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	59/195	0.0	0.0	0.1408152273188112	0.999791562975518	-1.5456106920917922	89.8665973874442	CAF16;OLA1;SMC5;SMC1;SMC2;NEW1;MDL1;IRC5;HBS1;LHS1;EFT1;EFT2;RFC3;MSP1;SWR1;PEX1;YRF1-8;AFG3;MSH2;PEX6;FZO1;MCM3;GCN20;GUF1;BUD32;GEM1;IFM1;ISW1;HEF3;TUF1;IRC20;IOC3;ORC1;IOC4;KAR2;BMS1;YLF2;YTA7;NAM7;YTA6;HSP78;RHO4;PMS1;MEF2;MEF1;INO80;ELP4;MLH1;COQ8;GTR2;MLH2;RIX7;RAD50;CDC11;NUG1;YPT11;YPT10;TSR1;DBP8
GO_Molecular_Function_2018	kinase activity (GO:0016301)	52/158	0.0	0.0	0.0658580574419935	0.9652321543842172	-1.5124807872700523	84.4097636745046	PKH2;URK1;MPS1;CAB5;KIC1;IPK1;AKL1;THI20;THI21;RIO2;RCK2;GAL1;RIO1;MAD3;KIN2;GCN2;KIN1;ARG2;ATG1;STT4;VTC4;KIN4;ERG12;TRA1;GIN4;ARO1;TEL1;SAK1;RIM11;KCS1;DBF2;RIM15;MEC1;KNS1;CLB6;CLB5;CLB2;CLB1;CLN1;IRE1;VHS1;BCK1;PIK1;SNF1;GAL3;KSP1;COQ8;RAD53;SKY1;MEK1;VIP1;TOR1
GO_Molecular_Function_2018	ATPase activity (GO:0016887)	42/112	0.0	0.0	0.0223859225562409	0.6999331785918018	-1.4624538295073857	74.78592831352627	HSP82;CAF16;ISW1;OLA1;SMC5;HEF3;SMC1;SMC2;IOC3;ORC1;IOC4;KAR2;NEW1;YLF2;YTA7;DYN1;MDL1;IRC5;NAM7;YTA6;LHS1;HSP78;PMS1;RFC3;MSP1;SWR1;PEX1;INO80;ELP4;MLH1;COQ8;MLH2;AFG3;RIX7;RAD50;CIK1;MSH2;PEX6;MCM3;GCN20;BUD32;DBP8
GO_Molecular_Function_2018	protein kinase activity (GO:0004672)	47/137	0.0	0.0	0.0490554569436301	0.9048326586195896	-1.418692388497622	74.61403176805896	PKH2;PKH1;MKK2;MEC1;KNS1;CLB6;CLB5;KKQ8;MPS1;CLB2;CLB1;CAF120;KIC1;AKL1;CLN1;IRE1;VHS1;BCK1;RIO2;RCK2;RIO1;MAD3;SNF1;KIN2;GCN2;KIN1;ATG1;SCH9;KIN4;GIN4;ENV7;KSP1;CDC7;COQ8;RAD53;TEL1;SAK1;RIM11;DBF2;SKY1;YPK3;HYM1;BUD32;CBK1;MEK1;TOR1;RIM15
GO_Molecular_Function_2018	ATPase activity, coupled (GO:0042623)	30/69	0.0	0.0	0.0117631837614557	0.6129925760136383	-1.6902035446784915	70.87928963114555	PRP2;HSP82;PRP5;RRP3;RAD5;TIF2;TIF1;YME1;SEN1;CHL1;KAR2;RDH54;PIM1;YTA6;LHS1;RAD26;SEC63;ROK1;RSC1;HCA4;MSH2;MSH3;RAD57;MSH4;RAD54;MSH5;DMC1;PRP16;FUN30;DBP2
GO_Molecular_Function_2018	protein serine/threonine kinase activity (GO:0004674)	42/120	0.0	0.0	0.0489100363078951	0.9048326586195896	-1.4251459286678605	68.44807102435352	PKH2;PKH1;MKK2;KNS1;KKQ8;TFB2;MPS1;CAF120;KIC1;AKL1;IRE1;VHS1;BCK1;RCK2;SIP2;SNF1;SSL2;KIN2;GCN2;KIN1;ATG1;SCH9;KIN4;GIN4;ENV7;KSP1;CDC7;SNF4;RAD53;TEL1;SAK1;RIM11;DBF2;SKY1;YPK3;HYM1;RAD3;BUD32;CBK1;MEK1;TOR1;RIM15
GO_Molecular_Function_2018	phosphotransferase activity, alcohol group as acceptor (GO:0016773)	47/152	0.0	0.0	0.1430545465396356	0.999791562975518	-1.3361312964016192	63.58744070188048	PKH2;MEC1;KNS1;CLB6;CLB5;MPS1;CLB2;CLB1;CAB5;IPK1;AKL1;THI20;CLN1;THI21;IRE1;VHS1;BCK1;PIK1;RIO2;RCK2;GAL1;RIO1;MAD3;SNF1;GAL3;KIN2;GCN2;KIN1;ATG1;STT4;KIN4;ERG12;GIN4;KSP1;COQ8;ARO1;RAD53;TEL1;SAK1;RIM11;THR1;DBF2;PYK2;SKY1;MEK1;TOR1;RIM15
GO_Molecular_Function_2018	RNA binding (GO:0003723)	87/477	0.0	0.0	0.9994828592509932	0.999791562975518	-1.345804786945194	62.13283554290281	NSR1;NAB3;POL2;PSP1;NAB6;RPL14A;JSN1;SYC1;RPL18A;YKU70;NEW1;YMR1;RRP12;CFT1;EBP2;UTP15;GCN2;LOS1;SLH1;RRP42;IMP3;HEK2;DIS3;RRP40;URN1;RPL37B;PTI1;PAT1;URB1;EST1;MTR4;RSM7;IMD2;DUS3;YKU80;WHI4;IMD4;PAP2;CLU1;EBS1;DBP1;TIF4632;IFM1;STO1;NOP1;KRS1;SKI2;SUI3;RTF1;NOP7;RPF2;BI3;DHH1;PRP9;SRO9;PUB1;EMG1;SEN1;PES4;VTS1;BMS1;RPL1B;RPL16B;RIM4;NAM7;KRE33;NAM8;MEX67;NAM2;PRP24;NOP58;MLP1;ECM32;TMA64;NUP157;SGD1;HTS1;RQC2;DPS1;KSP1;ELP4;PRE10;THP1;NUG1;PBP1;TDH3;NCL1
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	51/197	0.0	0.0	0.4982331744801177	0.999791562975518	-1.3942285598951845	59.66305275356952	NSR1;NAB3;POL2;PSP1;NAB6;JSN1;NEW1;YMR1;RRP12;CFT1;EBP2;SLH1;HEK2;PAT1;URB1;MTR4;RSM7;IMD2;DUS3;WHI4;IMD4;PAP2;CLU1;DBP1;TIF4632;STO1;KRS1;SKI2;SUI3;NOP7;DHH1;SRO9;PUB1;SEN1;PES4;VTS1;BMS1;RPL16B;NAM7;NAM8;MEX67;NAM2;NOP58;MLP1;ECM32;HTS1;RQC2;KSP1;PRE10;NUG1;PBP1
